citationID,citationName,citedReferences
e05b9a1d072556b7f49a1ed4e5ab8e4f7364b229,Surface defect detection of civil structures using images: Review from data perspective,2941488b503121f9e8e5b09b7bdf28568b6e39e0
21f7abf1e9eb38ddc37ba12adf8fd2d0b8841e06,A parallel ensemble optimization and transfer learning based intelligent fault diagnosis framework for bearings,2941488b503121f9e8e5b09b7bdf28568b6e39e0
392aa8fd656e67043e95ea415e21f981831fa97e,Extended efficient convolutional neural network for concrete crack detection with illustrated merits,eb42cf88027de515750f230b23b1a057dc782108$$@$$7ffdbc358b63378f07311e883dddacc9faeeaf4b$$@$$abd1c342495432171beb7ca8fd9551ef13cbd0ff$$@$$2941488b503121f9e8e5b09b7bdf28568b6e39e0$$@$$424561d8585ff8ebce7d5d07de8dbf7aae5e7270$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d
92d9a124f7aeafa2d3e671cb35b09ad55700f70d,A method of concrete damage detection and localization based on weakly supervised learning,51fc4d5e64fad5d70ffde8e0870c9b85dd47c8d7$$@$$6b5bcce2fedc701c16381df5c2f2543cdbaec226$$@$$424561d8585ff8ebce7d5d07de8dbf7aae5e7270$$@$$133981fcdec11dce6a3ceafa548cdadac9375054
ea41c86f79bb9c71fd1c826237ffd365408d5bf1,Artificial intelligence-aided detection of rail defects based on ultrasonic imaging data,2941488b503121f9e8e5b09b7bdf28568b6e39e0
0703c40902c31186b460ca4e8261eed70c342045,CNN-Based Structural Damage Detection using Time-Series Sensor Data,127c6c0fd615b2ce9de0e453b2e1698c47a74b0e
f5fd93401ce059c1ba505f92cea0387b30d9ff41,Automated fatigue crack detection of orthotropic steel decks using an improved mask region-based convolutional neural network approach,2941488b503121f9e8e5b09b7bdf28568b6e39e0
f9aaa7eaf661bc7b27f318ff95b9d7856422b3dc,Prediction of retaining structure deformation of ultra-deep foundation pit by empirical mode decomposition with recurrent neural networks,2941488b503121f9e8e5b09b7bdf28568b6e39e0
adb48d29704b4a123b323abcf73af2d7d2843845,Bridge anomaly detection based on reconstruction error and structural similarity of unsupervised convolutional auto-encoder,2941488b503121f9e8e5b09b7bdf28568b6e39e0
5c424cbd91ad0f5e9bc1f629bfef74124c1cab0b,CrackF-Net: a pixel-level segmentation network for pavement crack detection,2941488b503121f9e8e5b09b7bdf28568b6e39e0$$@$$4a7fb2f46d5e23acfd2a49f4f0a56a43d40f9e87$$@$$424561d8585ff8ebce7d5d07de8dbf7aae5e7270$$@$$abd1c342495432171beb7ca8fd9551ef13cbd0ff
ef9078745d9536004f5a3d67170d572e8868c1c8,Damage assessment of laminated composites using unsupervised autonomous features,2941488b503121f9e8e5b09b7bdf28568b6e39e0
c6722b3017dc8b9f7b046bbe7706689b2af661a3,Bridge bottom crack detection and modeling based on faster R‐CNN and BIM,2941488b503121f9e8e5b09b7bdf28568b6e39e0$$@$$424561d8585ff8ebce7d5d07de8dbf7aae5e7270
8d63c6d72ae3ec8859be4c5a429f3262c3b9aa3c,Segmentation network of concrete cracks with multi-frequency OctaveRes dual encoder and cross-attention mechanism optimized by average weight,2941488b503121f9e8e5b09b7bdf28568b6e39e0
ca0b6922a9df297cef2ed8815b482363bec79166,Robust discriminant latent variable manifold learning for rotating machinery fault diagnosis,2941488b503121f9e8e5b09b7bdf28568b6e39e0
0aefa69e41012dffa7ddbac1cd1f1547276a7076,Few-shot learning for image-based bridge damage detection,2941488b503121f9e8e5b09b7bdf28568b6e39e0$$@$$3a9b175324ba11bc0e16c0633912d897b2fac4e2$$@$$4a7fb2f46d5e23acfd2a49f4f0a56a43d40f9e87
cec61593964d89b9a7ee5354579973968e06c698,Image-based preliminary emergency assessment of damaged buildings after earthquake: Taiwan case studies,1a2a770d23b4a171fa81de62a78a3deb0588f238
26e44e153469d0bee3e34615c07c37ea1b0ecbca,Deep reference autoencoder convolutional neural network for damage identification in parallel steel wire cables,2941488b503121f9e8e5b09b7bdf28568b6e39e0
affe772da48fe5cee8f505e21debe09189327cbf,PAF-Net: A Progressive and Adaptive Fusion Network for Pavement Crack Segmentation,2941488b503121f9e8e5b09b7bdf28568b6e39e0
144200d4e6c52dcddb34d74797b4fb615c11408f,A deep learning-based approach for crack damage detection using strain field,a538b05ebb01a40323997629e171c91aa28b8e2f$$@$$eb42cf88027de515750f230b23b1a057dc782108$$@$$2941488b503121f9e8e5b09b7bdf28568b6e39e0
4045cb1c206ce6060bef39d1ab6e5ccac0fd04e0,Automatic pavement distress severity detection using deep learning,2941488b503121f9e8e5b09b7bdf28568b6e39e0
003dee7470447721dddc7a908cd75bddde42951e,Scale-space effect and scale hybridization in image intelligent recognition of geological discontinuities on rock slopes,2941488b503121f9e8e5b09b7bdf28568b6e39e0
644884a6a7d205d18286466d684ff9031cd306fc,Empirical Case Study on Applying Artificial Intelligence and Unmanned Aerial Vehicles for the Efficient Visual Inspection of Residential Buildings,3a9b175324ba11bc0e16c0633912d897b2fac4e2$$@$$424561d8585ff8ebce7d5d07de8dbf7aae5e7270
22b3d4b48650d7845590a3a304dd386916824137,Image-based Concrete Cracks Identification under Complex Background with Lightweight Convolutional Neural Network,2941488b503121f9e8e5b09b7bdf28568b6e39e0$$@$$e15cf50aa89fee8535703b9f9512fca5bfc43327$$@$$abd1c342495432171beb7ca8fd9551ef13cbd0ff
ae50137556cf10122b73034a62aa110fdb1061a5,Surface Defect Detection of Medical Cables Based on Anomaly Detection,424561d8585ff8ebce7d5d07de8dbf7aae5e7270
4d7d96b056b2874cd388edf4d825400777ae90b4,Semi-supervised semantic segmentation using cross-consistency training for pavement crack detection,2941488b503121f9e8e5b09b7bdf28568b6e39e0
9a3116ebc876a232bb4e600ce5866239a2c86288,Rotating Target Detection Method of Concrete Bridge Crack Based on YOLO v5,2941488b503121f9e8e5b09b7bdf28568b6e39e0$$@$$cbb19236820a96038d000dc629225d36e0b6294a
150a743ea28b229f7029e8477558e5ca0a70ea13,An adaptively weighted loss-enabled lightweight teacher–student model for real-time railroad inspection on edge devices,eb42cf88027de515750f230b23b1a057dc782108$$@$$2f4df08d9072fc2ac181b7fced6a245315ce05c8$$@$$abd1c342495432171beb7ca8fd9551ef13cbd0ff$$@$$e15cf50aa89fee8535703b9f9512fca5bfc43327$$@$$424561d8585ff8ebce7d5d07de8dbf7aae5e7270$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d
2b152f18fb1999f06a65f4ca32e4bba364e5d926,Deep learning for crack detection on masonry façades using limited data and transfer learning,eb42cf88027de515750f230b23b1a057dc782108$$@$$de23c4f9714ce4df5e27add495c0248651921675$$@$$133981fcdec11dce6a3ceafa548cdadac9375054$$@$$e74f9b7f8eec6ba4704c206b93bc8079af3da4bd$$@$$2941488b503121f9e8e5b09b7bdf28568b6e39e0$$@$$51fc4d5e64fad5d70ffde8e0870c9b85dd47c8d7
292bd4dd9a084ae53aba14cc8f808c46aff7098a,Cementitious phase quantification using deep learning,2941488b503121f9e8e5b09b7bdf28568b6e39e0
111086939920ffaaf42e432c0267ce772b784d85,Online monitoring of crack dynamic development using attention-based deep networks,2941488b503121f9e8e5b09b7bdf28568b6e39e0$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d
54c28c7189e4a0fcfd4368e7606bfff389e56a56,High-fidelity time-series data synthesis based on finite element simulation and data space mapping,2941488b503121f9e8e5b09b7bdf28568b6e39e0
