citationID,citationName,citedReferences
bd7eafa859de8c2bde0767dfab12d5ed043ed37a,Reproduced neuron-like excitability and bursting synchronization of memristive Josephson junctions loaded inductor.,08ccf07e211f7bba8c7808a417ee3f9e6738b69f
766fe61dad88748fa118fe68424c97fe5dd4a501,Simulating Synaptic Behaviors through Frequency Modulation in a Capacitor–Memristor Circuit,08ccf07e211f7bba8c7808a417ee3f9e6738b69f$$@$$220e2ed6968d183af81001e428609fdc859b5ede
69518f8d34db42ef398abf35af51a1acbd7dbac8,A Sampled-data Stabilization Analysis on Memristive BAM Neural Networks for Memductance Function,220e2ed6968d183af81001e428609fdc859b5ede
73ce47503f58de3d336011e85cf6341b164c7bbb,Finite/Fixed-Time Synchronization of Memristor-Based Fuzzy Neural Networks with Markov Jumping Parameters Under Unified Control Schemes,220e2ed6968d183af81001e428609fdc859b5ede
f6e2befaf44ebcc070a421895544f09ec564b5e1,Memristive circuit design of mood-dependent memory with learning curve,08ccf07e211f7bba8c7808a417ee3f9e6738b69f$$@$$220e2ed6968d183af81001e428609fdc859b5ede
78e9287e02ade9f06c24928a6644b14a7c1ea971,Energy balance regulates synchronization of photosensitive neural network,08ccf07e211f7bba8c7808a417ee3f9e6738b69f
7b103b4599d18c5b21cb90d8f7cadb0e7327d1b8,Finite-Time Synchronization of Memristive Neural Networks Modeling in Terms of Voltage-Flux-Time,08ccf07e211f7bba8c7808a417ee3f9e6738b69f$$@$$220e2ed6968d183af81001e428609fdc859b5ede
2a312af82edf328d17a8bbb5b097d299faca6b40,Effects of high–low-frequency electromagnetic radiation on vibrational resonance in FitzHugh–Nagumo neuronal systems,08ccf07e211f7bba8c7808a417ee3f9e6738b69f$$@$$220e2ed6968d183af81001e428609fdc859b5ede
2c4555373b924acd88e0009bfafe23713dd458f2,Logistic stochastic resonance in the Hodgkin–Huxley neuronal system under electromagnetic induction,08ccf07e211f7bba8c7808a417ee3f9e6738b69f
6c2370a0a56059883853daaec2aa2f37da4bf321,Synchronization of Coupled Memristive Neural Network Based on Edge-Event Triggered Control,08ccf07e211f7bba8c7808a417ee3f9e6738b69f
cccd7fc53e1a4433fc5062fc390c136a4307c56f,Finite-time/fixed-time synchronization of memristive shunting inhibitory cellular neural networks via sliding mode control,08ccf07e211f7bba8c7808a417ee3f9e6738b69f
659ee446cf6e016c4007def34684230abf0a1a52,Implementing Bionic Associate Memory Based on Spiking Signal,220e2ed6968d183af81001e428609fdc859b5ede
50c74d3302fbbf3e25786719365a72603b22c7c1,Chaotic stabilization analysis for neutral-type memristive neural networks via reliable and sampled-data controller,08ccf07e211f7bba8c7808a417ee3f9e6738b69f$$@$$220e2ed6968d183af81001e428609fdc859b5ede
965908742fc5dde77aca76c3dd51382fd1b0bb30,A Fractional-Order Meminductor Emulator Using OTA and CDBA with Application in Adaptive Learning Circuit,7b2b45f28f953093a7f9672acc52c7f2abe1993c$$@$$0cf365e12ff39b82aeaaeabfb1b9bbc01d620eca$$@$$2bd2298f991e628c8fb97e1e18343033938b900b$$@$$381e333aaabee2bc9303c542ccc01b197bfd6587$$@$$c800d04c39b7dcf37eabcd0ee9e8f56241761b00$$@$$08ccf07e211f7bba8c7808a417ee3f9e6738b69f$$@$$220e2ed6968d183af81001e428609fdc859b5ede
53ef5f23dc61a1fee61d7d1dec60effae611733f,Stability Criteria of Delayed Memristor-Based Neural Networks via Continuous-Time Model and Interval Matrix Approach,08ccf07e211f7bba8c7808a417ee3f9e6738b69f$$@$$220e2ed6968d183af81001e428609fdc859b5ede
ff5079367c9b78655e4869ec85a19ac1bd6707e0,Electromechanical memcapacitive neurons for energy-efficient spiking neural networks,7b2b45f28f953093a7f9672acc52c7f2abe1993c$$@$$2bd2298f991e628c8fb97e1e18343033938b900b$$@$$0cf365e12ff39b82aeaaeabfb1b9bbc01d620eca
980e3e1ccae688c39353d357e1961702e74f262b,Memristor-Based Architectures for PFSCL Circuit Realizations,08ccf07e211f7bba8c7808a417ee3f9e6738b69f
e614484cb33bb494f871e84266253c0c77449175,Periodically Intermittent Control of Memristor-Based Hyper-Chaotic Bao-like System,08ccf07e211f7bba8c7808a417ee3f9e6738b69f$$@$$2bd2298f991e628c8fb97e1e18343033938b900b$$@$$220e2ed6968d183af81001e428609fdc859b5ede
cc88b738396bbc7bff5591d68756224148a9c9db,A MOS-DTMOS Implementation of Floating Memristor Emulator for High-Frequency Applications,08ccf07e211f7bba8c7808a417ee3f9e6738b69f$$@$$220e2ed6968d183af81001e428609fdc859b5ede$$@$$91684011ce1f18ad6774cac7e21f9a87197d07da
