citationID,citationName,citedReferences
164d6a9f498b0d1662cb723796ed7fa8583576ca,Study of ideal and optimum cascades using Co-evolutionary Particle Swarm Optimization algorithm,b7919bcfa38aa97514187501a23c983e8eb5482b
1e4d7d468d275f65f044f1b8d7e0ad39d053a2c1,An improved hybrid whale optimization algorithm for global optimization and engineering design problems,0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$b7919bcfa38aa97514187501a23c983e8eb5482b$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1
449a1c3a54d33a936fb2919161354d548ce705c0,Quasi opposite-based learning and double evolutionary QPSO with its application in optimization problems,0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$516628e899df80c4c6e3aea57a837d1f90cd1241$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1$$@$$ae0d6d0c3471dda63904347a40d4ba12824c755f
bd162fbdaee07c1eb877f2f1c4bca26d02fd119d,Snow avalanches algorithm (SAA): A new optimization algorithm for engineering applications,0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1
37fefc04a625a3ccf8f756a6b8dd724695c07ca5,Lévy Arithmetic Algorithm: An enhanced metaheuristic algorithm and its application to engineering optimization,0c2fe34981ed24f224e63e03fb9322068bf4f3e3
d6c6fa3aa73bd3632871260f326fbb0dba06f196,Improved Dual-Population Genetic Algorithm: A Straightforward Optimizer Applied to Engineering Optimization,0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1
49e03f23b7934f5cdbbe99442cd3f392edcea718,Modified LAB Algorithm with Clustering-based Search Space Reduction Method for solving Engineering Design Problems,0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1
499ce3d9a82989d470680a4a542c0baf15fdaff6,Enhanced marine predator algorithm for global optimization and engineering design problems,0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$b7919bcfa38aa97514187501a23c983e8eb5482b
08f4c60787b78dda2ff6c6587a2966fc13ccf95e,Boosting salp swarm algorithm by opposition-based learning concept and sine cosine algorithm for engineering design problems,5df60fc32e253354e7341d6e7bd846d90b4409ec$$@$$bcd15786bb7b6ea8430fb790985d475d0df5b488$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1$$@$$8ea0d42452124e65d534070c1747d1219bd703de
3c89b7284feeab154098a374c02fb191eec11a39,An improved rough set strategy-based sine cosine algorithm for engineering optimization problems,b7919bcfa38aa97514187501a23c983e8eb5482b$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1$$@$$0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$07aae93238381c54b21f851184a6bebeca2652e0$$@$$ae0d6d0c3471dda63904347a40d4ba12824c755f
260899ef8179c1db051e405f2693d35dcc58f66f,Point cloud registration based on the dark forest algorithm and its application in coal industry,b7919bcfa38aa97514187501a23c983e8eb5482b$$@$$ae0d6d0c3471dda63904347a40d4ba12824c755f
e52cc859130a28aeab02f2a7e50d306d4fe2dfae,Opposition-based Laplacian distribution with Prairie Dog Optimization method for industrial engineering design problems,0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$b7919bcfa38aa97514187501a23c983e8eb5482b$$@$$8ea0d42452124e65d534070c1747d1219bd703de$$@$$ae0d6d0c3471dda63904347a40d4ba12824c755f
8e0624703a02123292a436aecccdbfde3289fd86,Improved Teaching Learning Algorithm with Laplacian operator for solving nonlinear engineering optimization problems,b7919bcfa38aa97514187501a23c983e8eb5482b$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1$$@$$0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$07aae93238381c54b21f851184a6bebeca2652e0$$@$$5df60fc32e253354e7341d6e7bd846d90b4409ec
9b30866f7e408ded01b9795444374b5147206f39,Well placement optimization with a novel swarm intelligence optimization algorithm: Sparrow Search Algorithm,232fd0ff4c568edf8ad1a1220b362f492dd725a7$$@$$b7919bcfa38aa97514187501a23c983e8eb5482b$$@$$18a228e29a7e8ee08c1cf50a7f27c96271bea708$$@$$827e3d01e52438e29aac1f6c4c8a2ed972a87c75
88e78a77b6d505cf945941c80aea09a2d717f375,An Enhanced Hunger Games Search Optimization with Application to Constrained Engineering Optimization Problems,b7919bcfa38aa97514187501a23c983e8eb5482b$$@$$5df60fc32e253354e7341d6e7bd846d90b4409ec
afd06fe97a566371f19a2bca318960262bfca18d,Triangulation Topology Aggregation Optimizer: A novel mathematics-based meta-heuristic algorithm for engineering applications,c6e9abf60aacc0242f50fbd27be81de05a2ca8e1
e8ba1e7090e9ae310a7019eba537047998128bf7,Teaching–learning guided salp swarm algorithm for global optimization tasks and feature selection,07aae93238381c54b21f851184a6bebeca2652e0$$@$$b7919bcfa38aa97514187501a23c983e8eb5482b
390000d154237a469d7d6a46ba1bf2a6ff956fe3,Enhanced Monarch Butterfly Optimization Algorithm with Rank-Based Selection and Random Jump Strategy for Constrained Engineering Problems,07aae93238381c54b21f851184a6bebeca2652e0
6a9e2807f700d74e5501c04190d6c609fc5f704c,Red-tailed hawk algorithm for numerical optimization and real-world problems,b7919bcfa38aa97514187501a23c983e8eb5482b$$@$$bcd15786bb7b6ea8430fb790985d475d0df5b488
f3b8cb2e9ae90eb963a75960cfaaae515f8509fe,A new metaphor-less simple algorithm based on Rao algorithms: a Fully Informed Search Algorithm (FISA),0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$b7919bcfa38aa97514187501a23c983e8eb5482b$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1
