citationID,citationName,citedReferences
d76444125b76794ed9ab4a23bb3d96fbf3d43e04,An adaptive consensus model in large-scale group decision making with noncooperative and compromising behaviors,048ee743c1ff23787b1df6d112b87c075b8232ea
c795d265f56a38a963a5bca946fd6b0664ebae03,An extended combined compromise solution framework based on novel intuitionistic fuzzy distance measure and score function with applications in sustainable biomass crop selection,048ee743c1ff23787b1df6d112b87c075b8232ea
15f4cf8efd9bdb31779a503acb658488ad3c18d7,Ranking Intuitionistic Fuzzy Sets with Hypervolume-Based Approach: An Application for Multi-Criteria Assessment of Energy Alternatives,048ee743c1ff23787b1df6d112b87c075b8232ea
ad14e4b1242cb7bf0e23f0aff9012c036430715f,Intuitionistic fuzzy geometric aggregation operators based on Yager’s triangular norms and its application in multi-criteria decision making,048ee743c1ff23787b1df6d112b87c075b8232ea
7a3cd6fa87fd29ba69caeb642ac9ed6897c0bb0e,An Emotionally Intuitive Fuzzy TODIM Methodology for Decision Making Based on Online Reviews: Insights from Movie Rankings,048ee743c1ff23787b1df6d112b87c075b8232ea
89fa13d9c51ac59344a8e4032428e3273ae347d4,An ExpTODIM-GRA based multiple attribute group decision-making method for development level evaluation of digital inclusive finance under intuitionistic fuzzy circumstances,048ee743c1ff23787b1df6d112b87c075b8232ea
38096b43ad7b476e5bd9148fd7c3a825d9a326aa,Risk Analysis in the Food Cold Chain Using Decomposed Fuzzy Set-Based FMEA Approach,048ee743c1ff23787b1df6d112b87c075b8232ea
051fbcf26726ec424d5256227934be5cff2eef5c,Intuitionistic fuzzy normalized weighted geometric Bonferroni means with reducibility and boundedness and application in decision making1,048ee743c1ff23787b1df6d112b87c075b8232ea
375e166a2bbc4b81c4b7121c4654c9bf2cfa8865,Multi-attribute group decision-making based on intuitionistic fuzzy aggregation operators defined by weighted geometric means,048ee743c1ff23787b1df6d112b87c075b8232ea
4af5bbcb9f52859f1e04e8be78da74f5067711d3,Representing complex vague soft set by quaternion numbers,af2abc7fc0a974342fc77935858087441ed7443d
8d79baa85d9313c0022c8d2763c16a9fbb4249c4,Pythagorean fuzzy information processing based on centroid distance measure and its applications,048ee743c1ff23787b1df6d112b87c075b8232ea
134f9dbeaf2e7f357108279dafaafa31e1e2d329,Is E-Trust a Driver of Sustainability? An Assessment of Turkish E-Commerce Sector with an Extended Intuitionistic Fuzzy ORESTE Approach,4b5e889135b0f52d02089be7e3251fa397b83829
6a62c076e97329ccac93e3d625a4a0ee6ec68e4e,Orderings over Intuitionistic Fuzzy Pairs Generated by the Power Mean and the Weighted Power Mean,048ee743c1ff23787b1df6d112b87c075b8232ea
2d9eceb398f7927ad5f7a2d48057dc8e4b5ae789,Intuitionistic fuzzy three-way ranking-based TOPSIS approach with a novel entropy measure and its application to medical treatment selection,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$4b5e889135b0f52d02089be7e3251fa397b83829
50a53914bf127f850e4605e96f98b6a574ff7fe1,Innovative intuitionistic fuzzy fairly aggregation operators with linear programming based decision-making approach,048ee743c1ff23787b1df6d112b87c075b8232ea
9989b2b59e4776573d4754979b49c62e8e71300e,Assessing the environmental impact of industrial pollution using the complex intuitionistic fuzzy ELECTREE method: a case study of pollution control measures,af2abc7fc0a974342fc77935858087441ed7443d$$@$$048ee743c1ff23787b1df6d112b87c075b8232ea
73079f3390af02c874676e0ce072989aad0b23b9,TOPSIS approach for MCGDM based on intuitionistic fuzzy rough Dombi aggregation operations,048ee743c1ff23787b1df6d112b87c075b8232ea
dea3ceb20ac0ff4e35a624339e87bbec944b2083,Geometric score function of Pythagorean fuzzy numbers determined by the reliable information region and its application to group decision-making,048ee743c1ff23787b1df6d112b87c075b8232ea
142f7256d82c106769c2fbf4251f787e63cdaf75,Statistical Fuzzy Reliability Assessment of a Blended System,048ee743c1ff23787b1df6d112b87c075b8232ea
0894cd582a5cf19e98c42a7d240ce5ecfdf7d8fe,Circular Intuitionistic Fuzzy Decision Making and Its Application,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$4b5e889135b0f52d02089be7e3251fa397b83829
5ca6faf49b33d59f56167d0202ebad1b532ef7ea,Ranking approach based on compression transformation and distance factor in Pythagorean fuzzy environment with its application in multi-attribute group decision-making,048ee743c1ff23787b1df6d112b87c075b8232ea
541f21abb426a2c5a2f19de6f63c862615045249,Analysis of distance measures in intuitionistic fuzzy set theory: A line integral perspective,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$4b5e889135b0f52d02089be7e3251fa397b83829
de8b64be9847da77e89f232bbf013572ae5ee77b,Intuitionistic fuzzy power Aczel-Alsina model for prioritization of sustainable transportation sharing practices,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$4b5e889135b0f52d02089be7e3251fa397b83829
78b9f58e51971c6907caf66324593a4e5e6d877f,Double-Level Multi-attribute Group Decision-making Method Based on Intuitionistic Fuzzy Theory and Evidence Reasoning,048ee743c1ff23787b1df6d112b87c075b8232ea
402336ac1e9a5d7d6bf419960530d12a14c1866e,"A new approach to the comparison of real, interval and fuzzy-valued intuitionistic fuzzy and Belief-Plausibility numbers",048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$4b5e889135b0f52d02089be7e3251fa397b83829
3ce46903d8a79d704e12eb30396d8a8ea622e2ae,New Energy-Driven Construction Industry: Digital Green Innovation Investment Project Selection of Photovoltaic Building Materials Enterprises Using an Integrated Fuzzy Decision Approach,048ee743c1ff23787b1df6d112b87c075b8232ea
e74e13349787587ec3acc7b87602e4acabb668bd,A Novel Approach on Decision Support System Based on the Aczel-Alsina Aggregation Operators and Their Applications to Supplier Selection Problems,6398f2a25cb985ee48e985314510b9f16b708397
c5cd2321a9b90fc958d4bac864ca8949827fd2b8,Multiple attribute decision making based on probabilistic generalized orthopair fuzzy sets,048ee743c1ff23787b1df6d112b87c075b8232ea
53499a1e40fa9566a90b628e3d11a510fe01167f,Complex Linear Diophantine Fuzzy Sets over AG-Groupoids with Applications in Civil Engineering,048ee743c1ff23787b1df6d112b87c075b8232ea
ba89261e9140f3dfc0f462ab842aacf77634c36d,A Hypervolume Based Approach to Rank Intuitionistic Fuzzy Sets and Its Extension to Multi-criteria Decision Making Under Uncertainty,048ee743c1ff23787b1df6d112b87c075b8232ea
976b198b25662db2ea61baf1bafa9e0231f6562c,A unified ranking method of intuitionistic fuzzy numbers and Pythagorean fuzzy numbers based on geometric area characterization,048ee743c1ff23787b1df6d112b87c075b8232ea
9b06ac8b30887b8cfb9dcfb7936624d611bf03ae,Incomplete intuitionistic fuzzy behavioral group decision-making based on multigranulation probabilistic rough sets and MULTIMOORA for water quality inspection,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$4b5e889135b0f52d02089be7e3251fa397b83829
d1c215601e7cc66a438f3bc5bb5aa1b6131634ac,Intuitionistic fuzzy multi-attribute decision-making method based on improved score function,048ee743c1ff23787b1df6d112b87c075b8232ea
d4dad6d67945535c6b3b875824b206d756898864,Calculating the interaction index of a fuzzy measure: A polynomial approach based on sampling,4b5e889135b0f52d02089be7e3251fa397b83829
efc9d33fe9d2282d70a8c25f8f4c26710dbb1540,Process evaluation of soil treatment effect in Mu Us sandy land of Daji Khan in northern Shaanxi province based on fuzzy set,af2abc7fc0a974342fc77935858087441ed7443d$$@$$048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$450642b8ab60f741c27d4cdcba04743348fb6390
359f297f4c40840b56c3c4a96410438e6eeb264f,TOPSIS Method Based on Hesitant Factor and Priority Weighted Operator in Pythagorean Fuzzy Environment,048ee743c1ff23787b1df6d112b87c075b8232ea
4083a2dea6106496cdda131ab451774c975113f4,A complete ranking of trapezoidal-valued intuitionistic fuzzy number: an application in evaluating social sustainability,048ee743c1ff23787b1df6d112b87c075b8232ea
dfacc1ef7d2371f9069927e2d64c16c7e749524a,Topological structures on cubic bipolar fuzzy sets with linear assignment model and SIR method for healthcare,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$4b5e889135b0f52d02089be7e3251fa397b83829
5ffa8d09e2f30e2bf5d0f0f2e3e137ba312a6d65,Distance measure and intuitionistic fuzzy TOPSIS method based on the centroid coordinate representation*,048ee743c1ff23787b1df6d112b87c075b8232ea
45123807213961fd5d71e09a5eccaecef51ab87f,Intuitionistic fuzzy geometric aggregation operators in the framework of Aczel-Alsina triangular norms and their application to multiple attribute decision making,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$4b5e889135b0f52d02089be7e3251fa397b83829
763bc7298a1e61afc3f571811ee00de270dc0b30,Geometric Ranking of Pythagorean Fuzzy Numbers Based on Upper Curved Trapezoidal Area Characterization Score Function,048ee743c1ff23787b1df6d112b87c075b8232ea
5b5753bc994d6dd12f5aca5bb6d5d30eaf65e857,Ordinal and joint feedback mechanisms to support group consensus based on interval-valued number with self-confidence,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$6398f2a25cb985ee48e985314510b9f16b708397
14928a060dca7551313c63b1547adbb6e1dcc5b9,Intuitionistic fuzzy rule-base evidential reasoning with application to the currency trading system on the Forex market,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$4b5e889135b0f52d02089be7e3251fa397b83829
5ae42b1507599e0f407acbd50e7e642505dec6e7,Ranking of Alternatives Described by Atanassov’s Intuitionistic Fuzzy Sets – A Critical Review,af2abc7fc0a974342fc77935858087441ed7443d$$@$$048ee743c1ff23787b1df6d112b87c075b8232ea
823fad0977525350014182aafe0dc9ebb979a94c,Risk Assessment Method on Haze Networks Public Opinion Based on Intuitionistic Fuzzy Choquet Integral,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$6398f2a25cb985ee48e985314510b9f16b708397
ad5946ca75d01d7fad7d952057c2f2d27c2b25a4,Algorithms for multiple attribute group decision making with intuitionistic 2-tuple linguistic information and its application,048ee743c1ff23787b1df6d112b87c075b8232ea
21542ca8a59ba2062151c289fd610d9bc0f6b8c6,A Monotonous Intuitionistic Fuzzy TOPSIS Method Under General Linear Orders via Admissible Distance Measures,048ee743c1ff23787b1df6d112b87c075b8232ea
409331a2b553e6ecc64ef295348850785b158107,Synthesis of strategies in post-COVID-19 public sector supply chains under an intuitionistic fuzzy environment,048ee743c1ff23787b1df6d112b87c075b8232ea$$@$$4b5e889135b0f52d02089be7e3251fa397b83829
