citationID,citationName,citedReferences
00100f1be60734c14a4045d36412f4d1e9ff8b14,Differences in the proliferation trend of 'Microsporidium' sp. PL03 in Culex pipiens and C. torrentium larvae,070eb63031af260d840534b33fd8385b7152fda6
241cc9be80f36fb3b8a1c017692d4bd798b25468,Polyubiquitin protein of Aedes aegypti as an interacting partner of dengue virus envelope protein.,070eb63031af260d840534b33fd8385b7152fda6
8a722e8ecc26d98c480ee8bd94ad8e1ae77438ba,"First report and genetic characterization of the highly pathogenic avian influenza A(H5N1) virus in Cabot's tern (Thalasseus acuflavidus), Brazil",070eb63031af260d840534b33fd8385b7152fda6
2c2af50bf71ff6d6655b0e8a43f00f2e0dddaf9f,"New insights into immune genes and other expanded gene families of the house fly, Musca domestica, from an improved whole genome sequence.",02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
1b976862210751a0415f7af2cdf2eae37a73fed8,Linguatula serrata (Pentastomida: Linguatulidae) infection in a paucisymptomatic greyhound imported from Romania to Italy: A case report and literature overview,070eb63031af260d840534b33fd8385b7152fda6
4efd886a231363ca3ff94fb6cb9fb41d057eb0b9,LoCoLotive: In silico mining for low‐copy nuclear loci based on target capture probe sets and arbitrary reference genomes,070eb63031af260d840534b33fd8385b7152fda6
87876e9d0829b0adde38aaa566b49597cdf63e33,Characterising a genetic stronghold amidst pervasive admixture: Morelet’s crocodiles (Crocodylus moreletii) in central Yucatan,070eb63031af260d840534b33fd8385b7152fda6
b91874ad8e3babb88e4a6f1f0118025f5e849cdf,"Identification of fungal associates of the swamp helmet orchid (Corybas carsei), a threatened (nationally critical) species",070eb63031af260d840534b33fd8385b7152fda6
7850b8e8fcb4008a54ede854dd7864448390ae44,"Crown gall development on cannabis (Cannabis sativa L., marijuana) plants caused by Agrobacterium tumefaciens species-complex",070eb63031af260d840534b33fd8385b7152fda6
ebaa474bb7bdfe759cec030ca545ab21a90e8353,iORandLigandDB: A Website for Three-Dimensional Structure Prediction of Insect Odorant Receptors and Docking with Odorants,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf$$@$$070eb63031af260d840534b33fd8385b7152fda6
