citationID,citationName,citedReferences
5219c455e145235e206def75b43bf30e8523663f,Adversarial Examples Might be Avoidable: The Role of Data Concentration in Adversarial Robustness,f4106ee9cde073f89263aa417434bea09c094e71
937a5183afa3c404c7b295291a8d588e00ff6d6e,Double Constrained Discriminative Least Squares Regression for Image Classification,f4106ee9cde073f89263aa417434bea09c094e71
2af5a39989b8dc9474e1a15aae625bd07f060d4d,A robust adaptive linear regression method for severe noise,f4106ee9cde073f89263aa417434bea09c094e71
d6e779df0a0d090ee1854670f9fe1cd719a6c381,Adaptive affinity matrix learning for dimensionality reduction,18c72175ddbb7d5956d180b65a96005c100f6014$$@$$a6f1dfcc44277d4cfd8507284d994c9283dc3a2f$$@$$be86da00efdd8c2a7fdeb2334605796c24b370f0
b4b2c68f4eba74d9a642ccf77cba711118e9576d,Partial Face Identification using Local Feature Extraction Algorithm on Different Classifiers,f4106ee9cde073f89263aa417434bea09c094e71$$@$$294adb9b8dca839832836bee0f06e15be550aaaa$$@$$6d96f946aaabc734af7fe3fc4454cf8547fcd5ed
5ae31cb14e486efeedf679977e0ccbb903c64d39,"Novel £2,1-Norm Based Least Square Regression Method for Classification",f4106ee9cde073f89263aa417434bea09c094e71
77a0f665ee5cfb1f94edf39ff65e71bc6c0ef0d2,"Smoothing Group <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si3.svg""><mml:msub><mml:mi>L</mml:mi><mml:mrow><mml:mn>1</mml:mn><mml:mo>/</mml:mo><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:math> Regularized Discriminative Broad Learning System for Classification and Regression",f4106ee9cde073f89263aa417434bea09c094e71
52e6cbc75fb9c18e2a71cec50de259b4d803c514,Probabilistic quaternion collaborative representation and its application to robust color face identification,f4106ee9cde073f89263aa417434bea09c094e71$$@$$6d96f946aaabc734af7fe3fc4454cf8547fcd5ed
f755d1290430b8b00900ac89bcb7901a70dbe60e,Discriminative sparse least square regression for semi-supervised learning,18c72175ddbb7d5956d180b65a96005c100f6014$$@$$6d96f946aaabc734af7fe3fc4454cf8547fcd5ed
070a38a859fec1895147763ec4b181ed95344bd6,Adaptive reweighted quaternion sparse learning for data recovery and classification,f4106ee9cde073f89263aa417434bea09c094e71
a8ce2b9b26a6579075fb372d0666f5f416488613,Sample Reduction-Based Pairwise Linear Regression Classification for IoT Monitoring Systems,f4106ee9cde073f89263aa417434bea09c094e71$$@$$be86da00efdd8c2a7fdeb2334605796c24b370f0
9ee54a5d2b8adc812897aa4891fc37c5ff1f51cc,Designing face resemblance technique using near set theory under varying facial features,94559c249d204110296c39ed4af2042cc4468e68$$@$$be86da00efdd8c2a7fdeb2334605796c24b370f0$$@$$6bd39d2d06a7b4bf0fe9784e02db45b4d40ccee1
79e05a5e29ebdc6e8027183efbacd71e4fa8d24f,Regularized denoising latent subspace based linear regression for image classification,f4106ee9cde073f89263aa417434bea09c094e71$$@$$6d96f946aaabc734af7fe3fc4454cf8547fcd5ed
f346da5e53372b368ab6183dbd829948a1cf5c59,Robust Low Rank and Sparse Representation for Multiple Kernel Dimensionality Reduction,f4106ee9cde073f89263aa417434bea09c094e71$$@$$be86da00efdd8c2a7fdeb2334605796c24b370f0
1f069795a3168f4ee37ee6e4e37af7466fa07be7,Classification by Principal Component Regression in the Real and Hypercomplex Domains,6bd39d2d06a7b4bf0fe9784e02db45b4d40ccee1$$@$$dc8b25e35a3acb812beb499844734081722319b4
66ece9bc61f8df2c2c2c79ad205cb707980affe2,Low-rank constraint based dual projections learning for dimensionality reduction,f4106ee9cde073f89263aa417434bea09c094e71
8bd0034206d6cfc9c4dc35b80cbfa3a1049bce91,Orthogonal autoencoder regression for image classification,18c72175ddbb7d5956d180b65a96005c100f6014$$@$$f4106ee9cde073f89263aa417434bea09c094e71
cc5310082453b45e886a1140da986fba3782a326,Face security authentication based on specific expression action mode,f4106ee9cde073f89263aa417434bea09c094e71
cd6af5d16bc1bc6351f10191c8936665383b4a8f,Robust double relaxed regression for image classification,f4106ee9cde073f89263aa417434bea09c094e71$$@$$94559c249d204110296c39ed4af2042cc4468e68$$@$$6d96f946aaabc734af7fe3fc4454cf8547fcd5ed
4d1f8dd115b4bf00e3f0a049981742caf340924e,Face Recognition by Principal Component Regression using Hypercomplex Numbers,dc8b25e35a3acb812beb499844734081722319b4
30afe9b1f0b6c859f5f744ebd8e7885606b70458,Subspace cross representation measure for robust face recognition with few samples,f4106ee9cde073f89263aa417434bea09c094e71
dba4afc4af01d1f581716835ea118ff1b33b68f5,Margin embedding net for robust margin collaborative representation-based classification,f4106ee9cde073f89263aa417434bea09c094e71$$@$$7f5b5e5b70ef61b90a030dfc26815deb6846b57e
7d1824deda9dd2b8e0b59166e7c28541ecc9a05e,Class-specific representation based distance metric learning for image set classification,f4106ee9cde073f89263aa417434bea09c094e71$$@$$be86da00efdd8c2a7fdeb2334605796c24b370f0
2dea939acf4a7811982fb83032cbaac45dcd71c3,Joint Discriminative Latent Subspace Learning for Image Classification,18c72175ddbb7d5956d180b65a96005c100f6014$$@$$f4106ee9cde073f89263aa417434bea09c094e71$$@$$6d96f946aaabc734af7fe3fc4454cf8547fcd5ed
7215ec99a69b559f21398d5d924188d1997731af,Twin relaxed least squares regression with classwise mean constraint for image classification,18c72175ddbb7d5956d180b65a96005c100f6014$$@$$f4106ee9cde073f89263aa417434bea09c094e71
a4b2ffab1999ca049121bfba20bd0e9022c1192e,Collaborative Representation Based Graph Embedding Discriminant Analysis for Face Recognition,7f5b5e5b70ef61b90a030dfc26815deb6846b57e$$@$$f4106ee9cde073f89263aa417434bea09c094e71$$@$$294adb9b8dca839832836bee0f06e15be550aaaa$$@$$be86da00efdd8c2a7fdeb2334605796c24b370f0
f9eb6a62ce926e6b2fb02ca131cdaf5edd683c7c,A Robust Illumination and Intensity invariant Face Recognition System,7f5b5e5b70ef61b90a030dfc26815deb6846b57e$$@$$e899536958afad32226bb325470696388f884ad5
