citationID,citationName,citedReferences
e267e5068a61ade6753bd35499102a49b3a92226,"Genetic diversity, genetic differentiation and demographic history of Cryptomeria (Cupressaceae), a tertiary relict plant in East Asia based on RAD sequencing",4cf4429f11acb8a51a362cbcf3713c06bba5aec7$$@$$cddf9c625a33f86ad6d7b728a0b03392f896f744
9de566c63aba593220faa0075bde6c74c16a1a1b,Genetic signatures of lineage fusion closely resemble population decline,4b4e713a270efe29f24f6eff1409b682c2e0b375
f8cc5b868794c7039a5fdbb7b95fbb764317e0ed,Disentangling the causes of high polymorphism sharing in sympatric Petunia species from subtropical highland grasslands: insights from nuclear diversity,cddf9c625a33f86ad6d7b728a0b03392f896f744
07652fc3e30c3f6a269c3ba8622d27e9559ebeb8,Genomic and environmental insights and conservation challenges for two hybridizing iconic crocodile species across Mexico: Crocodylus acutus and C. moreletii,0a0eed0b5eab80fe69d29c4046bcadf16786dc75$$@$$4cf4429f11acb8a51a362cbcf3713c06bba5aec7
b1d3c934341d25253b7bff35f1e9a1d65ab52258,Molecular evidence and environmental niche evolution at the origin of the disjunct distribution in three mountain endemic Tephroseris (Asteraceae) of the Mediterranean basin,b329cd78191b3f0aa72ba733d1e5f26214713756$$@$$bfaf9c0733d739fd20859f299c15ac5b7bb3540a$$@$$cddf9c625a33f86ad6d7b728a0b03392f896f744
3ba43c04103f072b0b377674539bdfcb35130407,Multiple introductions and human-aided dispersal of the UK’s most widespread non-native amphibian,4cf4429f11acb8a51a362cbcf3713c06bba5aec7$$@$$b329cd78191b3f0aa72ba733d1e5f26214713756$$@$$bfaf9c0733d739fd20859f299c15ac5b7bb3540a$$@$$cddf9c625a33f86ad6d7b728a0b03392f896f744
d04f8db095eb755d0d991b08ae59bf41a32712fc,Phylogeography of the Cow Knob Salamander (Plethodon punctatus Highton): populations on isolated Appalachian mountaintops are disjunct but not divergent,0a0eed0b5eab80fe69d29c4046bcadf16786dc75$$@$$4cf4429f11acb8a51a362cbcf3713c06bba5aec7
ad8f8eea2ee6d3dcceaf0411633fe734e7100a5b,"Temporal matches between monarch butterfly and milkweed population changes over the past 25,000 years",4cf4429f11acb8a51a362cbcf3713c06bba5aec7
b3f32529c4872439e4ae90b225e93f7dbc3e5b4c,Integrating Pool‐seq uncertainties into demographic inference,4cf4429f11acb8a51a362cbcf3713c06bba5aec7
76c8284dc80210dd672330b0808e2d4474acaae6,Urban colonization of invasive species on islands: Mus musculus and Rattus rattus genetics of establishment on Cozumel island,0a0eed0b5eab80fe69d29c4046bcadf16786dc75$$@$$4b4e713a270efe29f24f6eff1409b682c2e0b375
d647ec653359c1f2934b234fb6077f06a77a72d8,Subtle Introgression Footprints at the End of the Speciation Continuum in a Clade of Heliconius Butterflies,c654498e77b46862a5eca337fb486f5fc60a73ab
abcea6b0f967252e8d12725a8f41ee828049d6f4,"Speciation in Coastal Basins Driven by Staggered Headwater Captures: Dispersal of a Species Complex, Leporinus bahiensis, as Revealed by Genome-wide SNP Data",b329cd78191b3f0aa72ba733d1e5f26214713756
c53a7e92b48d17a03fbaa23454e8f97460ce15be,Nuclear genetic diversity of head lice sheds light on human dispersal around the world,4cf4429f11acb8a51a362cbcf3713c06bba5aec7$$@$$b329cd78191b3f0aa72ba733d1e5f26214713756$$@$$cddf9c625a33f86ad6d7b728a0b03392f896f744$$@$$4b4e713a270efe29f24f6eff1409b682c2e0b375
45e2e3f504e1148cf0c7a7a83e8e9ce8d8850f2e,Invasion history of Lycium ferocissimum in Australia: The impact of admixture on genetic diversity and differentiation,b329cd78191b3f0aa72ba733d1e5f26214713756
3ec8dab37e5c8ce65fa3b2a9c6000b481e391642,Widespread mitochondrial DNA haplotypes of Pteroptyx spp. across present–day river systems in Southeast Asia and their historical dispersal through ancient river networks,cddf9c625a33f86ad6d7b728a0b03392f896f744
52d2fdcb0f722b5064443d95ba11edf634b70970,The role of niche breadth in oak phylogeography: Quercus glaucoides as a study case,4cf4429f11acb8a51a362cbcf3713c06bba5aec7
3de9fd6694b64b2f8eab1c0389825e905845d5d7,A range‐wide postglacial history of Swiss stone pine based on molecular markers and palaeoecological evidence,4cf4429f11acb8a51a362cbcf3713c06bba5aec7
2bdcabf31585a6c8e8668aa33df3e386d55fb18b,Climatic oscillation promoted diversification of spinous assassin bugs during Pleistocene glaciation,0a0eed0b5eab80fe69d29c4046bcadf16786dc75$$@$$bfaf9c0733d739fd20859f299c15ac5b7bb3540a$$@$$4cf4429f11acb8a51a362cbcf3713c06bba5aec7
52e819ea4cb5eff7a9b1bf3a400c5e90ee4048ac,"Neogene–Quaternary tectonic, eustatic and climatic events shaped the evolution of a South American treefrog",9869df823c3bb68a0164a67d60475981dba17cfd
