citationID,citationName,citedReferences
c9bba378e09e8575054293ba123c601f256959bc,Failure mode and effect analysis using VIKOR method based on interval-valued linguistic Z-numbers,74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
295ca80bd9ec67526ff952d5e9c9f17ba4411644,An integrated method for complex heterogeneous multi-attribute group decision-making and application to photovoltaic power station site selection,74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
cd6422607c85df41ac3103ddcb71af297b3347de,A group consensus model with prospect theory under probabilistic linguistic term sets,20a579236b1c00a47ad70ba415a2eb95759ac1a0$$@$$74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
e8f1c10af989b82a2f02215087998d2231e23f90,A general model of ambiguous sets to a single-valued ambiguous numbers with aggregation operators,26f15d696dc84cb3377568aaf4423c1c1928dfc5$$@$$72e3c051f4159a82dfb66c56338a1790afdf49f8$$@$$ce583eca7b4ec66a141d9573046da224ca33a7f3$$@$$e0f0471bcab5f05948c6f53fbe3770b311fd97f5$$@$$20a579236b1c00a47ad70ba415a2eb95759ac1a0$$@$$f56e8ad503cc122a91b84b7e9f4b05507a5fdf80$$@$$118d636731bc100eeeb7f81dca59919895cd01aa$$@$$6398f2a25cb985ee48e985314510b9f16b708397
9b21acc978c654d593d8c143e7ea4ada19d7731e,A generalized linguistic gained and lost dominance score method for landslide hazard treatment,58a1de70b53147a977e0745840efe12c87938a40$$@$$20a579236b1c00a47ad70ba415a2eb95759ac1a0$$@$$ce538378a9f9fb1b8ded834b4745c7f15c19cd40$$@$$74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
69a9fdc62dea85e1c2260e7cf0dd6ee482c5f37a,A MAGDM model based on 2-tuple linguistic variables and power Hamacher aggregation operators for optimal selection of digital marketing strategies,20a579236b1c00a47ad70ba415a2eb95759ac1a0$$@$$74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
7de0fb342139c716b818a74810269b3339a61bb4,Group decision-making method based on expert credibility with multi-granularity probabilistic linguistic Z-number preference relation,74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
27b2bf267d77808faf5d75a90e11da0200bbb546,A fuzzy parametric model for decision making involving F-OWA operator with unknown weights environment,6398f2a25cb985ee48e985314510b9f16b708397
495130ca339d97841d4947e1dc833257bf5f7e35,A Linguistic Cloud-Based Consensus Framework with Three Behavior Classifications Under Trust-Interest Relations,4145e178692a5d690d43ad0fcf0fb3cae2ddd207
ad856dcf94fe9191cbcf3df4de5f113e56489053,Group decision making approach based on linguistic q-rung orthopair fuzzy generalized shapley bi-direction Choquet-copula operators,4145e178692a5d690d43ad0fcf0fb3cae2ddd207$$@$$74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
