citationID,citationName,citedReferences
729db5723798dcaa5d34ea539490f96a40a7823a,On the Local Quadratic Stability of T-S Fuzzy Systems in the Vicinity of the Origin,331ace8e416d66e4187b4158456515a7add3f0b7
806903f2b0bdc556f5bec77d6ffb286c023af2bb,An Improved Fuzzy Controller Design via Higher Order Derivatives of Lyapunov Function for Takagi-Sugeno Fuzzy System,233b79c15588c8b35c17d26515a93c19a5ee092c
82f5995350f3af7d21b9ade12c04fedb46a3a0cd,Stability analysis for delayed T-S fuzzy systems: A compensation Lyapunov-Krasovskii functional method combined with free-weighting matrices,c36139efa46c31c4867cffbcc907c6e5ea45a643$$@$$d79eeb61bc8960242550234e7a801d6863c58aec
770f4b291839c2cacd3f7b9d6dcf7771b04eca92,Robust observer design for T-S fuzzy singular systems with unmeasurable premise variables and partially decoupled disturbances,d79eeb61bc8960242550234e7a801d6863c58aec
a1c7fbf6bd3623c7d34088e19e691301048e2bc6,A Discrete Integral Sliding Manifold for a Nonlinear System with Time Delay: An Event-Triggered Scheme,d79eeb61bc8960242550234e7a801d6863c58aec
96b081bae71b656fba36b4a57ee65c2b50831ca8,A novel Lyapunov-stability-based recurrent-fuzzy system for the Identification and adaptive control of nonlinear systems,d79eeb61bc8960242550234e7a801d6863c58aec
b91261a8e266c08a302df5a24245adac94aa036a,Membership Function Independent Global Stability Condition for Takagi-Sugeno Fuzzy Systems,db983bb9f985c46b4efff23bcf5f20b04933be6d
d2e7e6759e138a1cea3c11c6c1f3e7f96c90bcd9,an Interval Multiple Models Approach for Uncertain Nonlinear Systems Estimation,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
329010f2b088371ac27ec295c3e39bd9c498dfa9,Stabilization Criteria for T–S Fuzzy Systems With Multiplicative Sampled-Data Control Gain Uncertainties,331ace8e416d66e4187b4158456515a7add3f0b7
8c9cee0545686f2d11f74da3df02b60a5d6da0d0,Advanced Stability Conditions for TS Fuzzy Systems via Minimum-Type Multiple Switching Lyapunov Function,331ace8e416d66e4187b4158456515a7add3f0b7
caacbd14114d4a6165d6aacb11ad582647e58a6a,Local H∞ Control for Continuous-Time T-S Fuzzy Systems via Generalized Non-Quadratic Lyapunov Functions,d79eeb61bc8960242550234e7a801d6863c58aec
34d3f0ba6eba5bebc2a9792af6c1491c6fac7c2f,Fuzzy Controller Design via Higher Order Derivatives of Lyapunov Function for Takagi-Sugeno Fuzzy System,d79eeb61bc8960242550234e7a801d6863c58aec
13b04e801301a31e85aad37e5a7aed4874d4b4ec,Admissibility Analysis and Controller Design for T-S Fuzzy Singular Systems with Distinct Derivative Matrices,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$233b79c15588c8b35c17d26515a93c19a5ee092c
2dec05976be9a1be7a7743824b396d4709dc806c,Observer-based sliding mode control for discrete-time nonlinear system with time-varying delay,d79eeb61bc8960242550234e7a801d6863c58aec
b7673ea9843bfca282d8304c676e81349365db1f,A Cyber-Security Contribution to Estimation and Event-Based Control Scheduling Co-design for Polytopic and T-S Fuzzy Models Using a Lyapunov Approach,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
2ba9efca170cc42e77256e78970c876cffda5d15,Zonotopic interval estimation for discrete-time Takagi-Sugeno fuzzy systems with a delayed nonquadratic framework,d79eeb61bc8960242550234e7a801d6863c58aec
4ba2487ad72ec164f53ff148d5f1b749c5e4ec3b,Robust Attitude Stabilization of Quadrotor Subject to Stealthy Actuator Attacks,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
05c6491d81ea7fc347895e10316e0bfa344cb0af,Filter for Positive Stochastic Nonlinear Switching Systems With Phase-Type Semi-Markov Parameters and Application,d79eeb61bc8960242550234e7a801d6863c58aec
ec8a2cf28dedcd38fe1bd28afbb54e651196b8b6,Membership Function-Dependent Local Controller Design for T–S Fuzzy Systems,d79eeb61bc8960242550234e7a801d6863c58aec
afadb9dcaeec02bdb42686d5c17b8648bdecef9a,Polynomial fault detection filter design under adaptive event-triggered scheme via line-integral Lyapunov functions,d79eeb61bc8960242550234e7a801d6863c58aec
523df87ae98bd9630e0c487c25276e4c15e8aea9,Continuous Stability TS Fuzzy Systems Novel Frame Controlled by a Discrete Approach and Based on SOS Methodology,233b79c15588c8b35c17d26515a93c19a5ee092c$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
6c6a00c452e111ef9dbd4ed063c0ed88f4004d2f,Polytopic LPV approaches for intelligent automotive systems: State of the art and future challenges,233b79c15588c8b35c17d26515a93c19a5ee092c$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
609b8a400cd4d8fb69d6f81f837da3f39c1b4196,Membership-Function-Dependent Stability Analysis for Polynomial-Fuzzy-Model-Based Control Systems via Chebyshev Membership Functions,233b79c15588c8b35c17d26515a93c19a5ee092c
eda336bcc96eaffa153443eecbfc575902c16a23,A new T–S fuzzy model based robust output-feedback stabilizing controller for fractional-order systems,d79eeb61bc8960242550234e7a801d6863c58aec
ff7d6460bea6d10ad7353fe2f962ce531abfb866,Stability Analysis and Robust Stabilization of Uncertain Fuzzy Time-Delay Systems,d79eeb61bc8960242550234e7a801d6863c58aec
19db43b4cd62ab377f879ed2d3490a53f44f7ce7,Admissibility Analysis and Control Synthesis for Polynomial Fuzzy Singular Systems via Line Integral Fuzzy Lyapunov Function,331ace8e416d66e4187b4158456515a7add3f0b7
d783327ecfc9e3cfc6136e4f57d04cd52b9b6e98,Novel Delay-Dependent Stabilization for Fuzzy Stochastic Systems with Multiplicative Noise Subject to Passivity Constraint,233b79c15588c8b35c17d26515a93c19a5ee092c
6370070c0d434d83d1559f41a2b512e9a5c84ee2,Finite-Time Admissibility and Controller Design for T-S Fuzzy Stochastic Singular Systems with Distinct Differential Term Matrices,233b79c15588c8b35c17d26515a93c19a5ee092c$$@$$d79eeb61bc8960242550234e7a801d6863c58aec
91726ce80c7b81569400624eff25aa60744b090d,Fuzzy-Set Theoretic Control Design for Aircraft Engine Hardware-in-the-Loop Testing: Mismatched Uncertainty and Optimality,d79eeb61bc8960242550234e7a801d6863c58aec
c5dbc58b486125acfd4fd31311c72a547be04fe5,Relaxed Sum-of-squares Approach to Stabilization of Polynomial Fuzzy Systems,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
2c0f40531d530db1478c12353711820fe82389e6,Exponential stabilization of sampled-data fuzzy systems via a parameterized fuzzy Lyapunov-Krasovskii functional approach,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
28a42585a766ed98a7613debbe4849b155e9bc0f,Advanced controller synthesis for fuzzy parameter varying systems,331ace8e416d66e4187b4158456515a7add3f0b7
9d6f381825dfe091942007699301ae02d3e25313,Improvements on stability conditions and control design of Takagi-Sugeno fuzzy descriptor systems.,d79eeb61bc8960242550234e7a801d6863c58aec
2bbe39b43dfac9bee2cda3e0ad4ef419131c2068,Actuator Fault Detection for Discrete-Time Descriptor Systems via a Convex Unknown Input Observer with Unknown Scheduling Variables,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
5249799128c97aff47c1e8eca286387c89c9dc8d,Fuzzy Fault Tolerant Control of a Bacterial Growth Process Using a Multiple Lyapunov Function,331ace8e416d66e4187b4158456515a7add3f0b7
2a2b1c8152c397989ba36f7756398c4c4994c7e5,Robust controllers design for constrained nonlinear parameter varying descriptor systems,331ace8e416d66e4187b4158456515a7add3f0b7
f0de409a8b81acf694e72d5856bcbdf7f8cc2609,A Fuzzy Lyapunov Function Approach to Positive Ll Observer Design for Positive Fuzzy Semi-Markovian Switching Systems With Its Application,d79eeb61bc8960242550234e7a801d6863c58aec
3a223ae6068c9c748feb5cf88bba3d8b76a62116,Actuator fault estimation based on a proportional-integral observer with nonquadratic Lyapunov functions,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
b67cbc83e4b763134d32b499c3005e228f934f1f,Relaxed Stabilization Conditions for Interconnected Nonlinear Systems,d79eeb61bc8960242550234e7a801d6863c58aec
6695721693d5805d82fffb5ba23247a527745f62,Control Synthesis for Discrete-Time T–S Fuzzy Systems Based on Membership Function-Dependent $H_{\infty }$ Performance,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
6af0e87f078b643056f29266ce97f5b0ad2bd379,Stability and Stabilization Condition for T-S Fuzzy Systems with Time-Delay under Imperfect Premise Matching via an Integral Inequality,d79eeb61bc8960242550234e7a801d6863c58aec
c0d241793ffe45d1e36181f1c1f0e5eb2c35fd01,Further Study on Observer Design for Continuous-Time Takagi–Sugeno Fuzzy Model With Unknown Premise Variables via Average Dwell Time,331ace8e416d66e4187b4158456515a7add3f0b7
7dfe83bba3a50b8938cc572ee59ff2f2306b5bc4,New Conditions for Admissibility and Control Design of Takagi-Sugeno Fuzzy Descriptor Systems,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
6d14a42473a56c83937657dbbe796f1bbb27dc03,Fuzzy Observer-Based Repetitive Tracking Control for Nonlinear Systems,d79eeb61bc8960242550234e7a801d6863c58aec
a8f03c1a09aa0a40515ee1bf6665b9996355e017,Extended Dissipativity and Control Synthesis of Interval Type-2 Fuzzy Systems via Line-Integral Lyapunov Function,d79eeb61bc8960242550234e7a801d6863c58aec
c7b3c2daf4f2686831275dd5a41cea6789fbc2c8,Functional observer–controller method for unmeasured premise variables Takagi-Sugeno systems with external disturbance,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
a9e5523a0c087c2e66a6f9f5b3fb3af27a62d0ce,Design of multiobserver for nonlinear systems represented by fuzzy T–S models with sensor faults,c36139efa46c31c4867cffbcc907c6e5ea45a643$$@$$d79eeb61bc8960242550234e7a801d6863c58aec
f6bf50a13bba5aa1cd154dcc32501f7e88b64d38,Fuzzy Descriptor Sliding Mode Observer Design: A Canonical Form-Based Method,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
