citationID,citationName,citedReferences
3e115e088e321185caf16359f4e67615fa7e4b3b,Morphological diagnosis of hematologic malignancy using feature fusion-based deep convolutional neural network,f15a6caf0d6062fc6e100c3ed64e2634e5f9949f
d069034d2995cb4cc53bdb56ee53c716f020fca2,Applying Deep Learning to Medical Imaging: A Review,ccdc50de7a0602d3df5ed9bd9782565bbff2a8eb$$@$$2e9d221c206e9503ceb452302d68d10e293f2a10$$@$$03aca587f27fda3cbdad708aa69c07fc71b691d7
5d97c5d83b84cd343badbfedc9362c6d184fd9da,Unveiling the frontiers of deep learning: innovations shaping diverse domains,420f3f1078a6d8e0696572c032877079286051c6$$@$$4f8d648c52edf74e41b0996128aa536e13cc7e82
fb28dcbde5ea8d4d6311d612702d920c3115d39b,Automated Optimization-Based Deep Learning Models for Image Classification Tasks,2c03df8b48bf3fa39054345bafabfeff15bfd11d
2429e9d827e1ec0196ba11d1b03b64916215d482,Learning with limited target data to detect cells in cross-modality images,7256088eece603df2e5675025e8bed90c0f21171
f93e556657aab254ebc77303be4ebde61b966c33,"An Efficient, Lightweight, Tiny 2D-CNN Ensemble Model to Detect Cardiomegaly in Heart CT Images",f876d2b733ed1e307c81df3008d10ffa60675f0b
ae2feda6e4fb8cf8c68850932faa081c04a2da7a,Medical Image Segmentation Using Automatic Optimized U-Net Architecture Based on Genetic Algorithm,2c03df8b48bf3fa39054345bafabfeff15bfd11d
6ed171d686a812fb09c79581f73dfbdd5a9e7e30,COPDNet: An Explainable ResNet50 Model for the Diagnosis of COPD from CXR Images,a29b7a000e6e1a2907ce6ae24a03aba5d9ef873f
e6f0215bc55bf0fdf93d106e36e860395196483b,SkullGAN: Synthetic Skull CT Generation with Generative Adversarial Networks,050e5260a3328c89ed86e96ed1822631d7668dbd
0dcd950cac11ea8d55f1876020e13ee2c873b27d,Explainable Automated TI-RADS Evaluation of Thyroid Nodules,2c03df8b48bf3fa39054345bafabfeff15bfd11d
2ce6df7f7d8aaa589243e39a29f04b0f69c62beb,Online diagnosis of COVID-19 from chest radiography images by using deep learning algorithms,2c03df8b48bf3fa39054345bafabfeff15bfd11d
a1e52477b02886b89c1b746d2032f68c86912a6c,Full-resolution Lung Nodule Segmentation from Chest X-ray Images using Residual Encoder-Decoder Networks,2c03df8b48bf3fa39054345bafabfeff15bfd11d
f163f849691e3f2aeca6e0d423cbd9dcd7d2e03c,Deep Learning for Medical Image-Based Cancer Diagnosis,8978cf7574ceb35f4c3096be768c7547b28a35d0$$@$$ccdc50de7a0602d3df5ed9bd9782565bbff2a8eb$$@$$2e9d221c206e9503ceb452302d68d10e293f2a10
b88d72fc434ff0cf1f453a452dbfd8d8644262ee,Fast black box attack of face recognition system based on metaheuristic simulated annealing,2c03df8b48bf3fa39054345bafabfeff15bfd11d
893aff7a376aeee6fe2dd6a609d581d976a42831,Modern multimodal methods in brain MRI,4f8d648c52edf74e41b0996128aa536e13cc7e82
4d5d2f498649c5ac13ff5da6b05c79d965964180,Exploring the Influence of Input Feature Space on CNN‐Based Geomorphic Feature Extraction From Digital Terrain Data,2c03df8b48bf3fa39054345bafabfeff15bfd11d
82c9159a92fe42f52700ef1b34b4a6d56260f102,Soft Manipulator for Soft Robotic Applications: a Review,2c03df8b48bf3fa39054345bafabfeff15bfd11d
4283021777631cbdc0e9a84218d37d2fe0e9f828,Vision-knowledge fusion model for multi-domain medical report generation,2e9d221c206e9503ceb452302d68d10e293f2a10
304a525108845da1316a73820b0a51d460d532fe,AI Model for Detection of Abdominal Hemorrhage Lesions in Abdominal CT Images,2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$a29b7a000e6e1a2907ce6ae24a03aba5d9ef873f
212e74fa713fa1035ca4266cf6340e2edfabb1da,Automatic Diagnosis of Stage of COVID-19 Patients using an Ensemble of Transfer Learning with Convolutional Neural Networks Based on Computed Tomography Images,ccdc50de7a0602d3df5ed9bd9782565bbff2a8eb$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d
8ecffebd6089ae9b85414165cccf2d2dd42d1827,Recognizing breast tumors based on mammograms combined with pre-trained neural networks,ccdc50de7a0602d3df5ed9bd9782565bbff2a8eb
87c94d71e4fa266f232f1fda3eb3dd9a33ebb295,SARAF: Searching for Adversarial Robust Activation Functions,2c03df8b48bf3fa39054345bafabfeff15bfd11d
7389d16dd6763e8cd26dc5e7f4ea7512e1232d12,Medical Image Classification using Deep Learning Techniques: A Review,03aca587f27fda3cbdad708aa69c07fc71b691d7
010fa29b136536a9652febe9adc47aacdbc824a7,"Computational Cartographic Recognition: Identifying Maps, Geographic Regions, and Projections from Images Using Machine Learning",4f8d648c52edf74e41b0996128aa536e13cc7e82
e7bb9a466ce3119a17bf3443a4d12cfec42dcfe4,Convolutional Neural Network in Medical Image Analysis: A Review,0d21449cba8735032af2f6dfc46e18641e6fa3d3
1c322e50baf29c7b7c65e188cdb63244d71c29a1,An Effective Deep CNN Model for Multiclass Brain Tumor Detection Using MRI Images and SHAP Explainability,2c03df8b48bf3fa39054345bafabfeff15bfd11d
08846a61b7fb330641d5cc8d75b127291de3967d,Pre-training in Medical Data: A Survey,2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$a29b7a000e6e1a2907ce6ae24a03aba5d9ef873f
27387572208cf777fb2c55db8880dd5407d0e779,Personalized and privacy-preserving federated heterogeneous medical image analysis with PPPML-HMI,4f8d648c52edf74e41b0996128aa536e13cc7e82
236108c7627732eb2dd227f24e41c51843c93625,A Bibliography of Multiple Sclerosis Lesions Detection Methods using Brain MRIs,2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$420f3f1078a6d8e0696572c032877079286051c6$$@$$0d21449cba8735032af2f6dfc46e18641e6fa3d3$$@$$03aca587f27fda3cbdad708aa69c07fc71b691d7$$@$$050e5260a3328c89ed86e96ed1822631d7668dbd$$@$$7256088eece603df2e5675025e8bed90c0f21171$$@$$4f8d648c52edf74e41b0996128aa536e13cc7e82$$@$$a29b7a000e6e1a2907ce6ae24a03aba5d9ef873f
