citationID,citationName,citedReferences
bd05bd99fc89d323a1edfc5c2df6a569c767c04f,Fully automated annotation of mitochondrial genomes using a cluster-based approach with de Bruijn graphs,f1852e23a96bb49800543d686d97f64df07d5d2b$$@$$af80e696dfbb83d072e15f16e053735ebf74e64d
bb7d34115cb1f6ede8f43fbfb36668ad776bb4b9,Chromosome-scale genome assembly provides insights into flower coloration mechanisms of Canna indica.,7b472238215ac399e119ef152c0ff93f2df1c8e6
73f54f0f3af0cc65ff56b49a03d9bfe99fcc1957,Chromosome-level genome assembly and population genomic analysis reveal evolution and local adaptation in common hairfin anchovy (Setipinna tenuifilis).,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
2051f758c4532ac6e131c2115c6765548b82b968,Genome Sequence and Evaluation of Safety and Probiotic Potential of Lactiplantibacillus plantarum LPJZ-658,7b472238215ac399e119ef152c0ff93f2df1c8e6
8e2075ecdfbb6ddf15a9919deeedd0f9db79557e,Allele-aware chromosome-level genome assembly of the autohexaploid Diospyros kaki Thunb,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
b11bcf8fd38abb665db3488845e2f6e6abbb4c84,"The genome sequence and demographic history of Przewalskia tangutica (Solanaceae), an endangered alpine plant on the Qinghai–Tibet Plateau",02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
d2dab1005143637c5b9c9629e2fd3dc4962f202c,Revealing evolution of tropane alkaloid biosynthesis by analyzing two genomes in the Solanaceae family,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
4f49f46a6322bca2b8f9bc7f7419811b751f00e7,The first chromosome-level Fallopia multiflora genome assembly provides insights into stilbene biosynthesis,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
b46cfeed921693886358b626d1299fffde75949b,Non-coding RNAs in human health and disease: potential function as biomarkers and therapeutic targets,215ff8d36913ab851f60862f2b9ad7c545706a00
0dadaaa8e19e17cae43e2a33609802dc01c51687,"Phenotypic analysis and genome sequence of Rhizopus oryzae strain Y5, the causal agent of tobacco pole rot",7b472238215ac399e119ef152c0ff93f2df1c8e6
7812c723b593787e17ca904c7a27b97b4b68ff31,"Genome Sequence Resource of Fusarium proliferatum f. sp. malus domestica MR5, the Causative Agent of Apple Replant Disease.",7b472238215ac399e119ef152c0ff93f2df1c8e6
538dc39529ac4975eaf1860d983752a2abbcbb69,Whole‐genome assembly and annotation for the little yellow croaker (Larimichthys polyactis) provide insights into the evolution of hermaphroditism and gonochorism,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
26597f4c5c5e231b489cca88a4a06f63b67ceb9c,Genomic and transcriptomic-based analysis of agronomic traits in sugar beet (Beta vulgaris L.) pure line IMA1,7b472238215ac399e119ef152c0ff93f2df1c8e6
ea6ebcc97d8a40908ed62d1cb1b124acae8b124c,Whole-genome sequencing and comparative genomic analysis of a pathogenic Enterocytozoon hepatopenaei strain isolated from Litopenaeus vannamei,7b472238215ac399e119ef152c0ff93f2df1c8e6
ca7016edd592cb4fa51340db5825d635b25649f9,Population genomics of emerging Elizabethkingia anophelis pathogens reveals potential outbreak and rapid global dissemination,7b472238215ac399e119ef152c0ff93f2df1c8e6
c30d248352c929b57ee8d75b78eb9b2d473c2ff7,Isolation of a Novel Thermophilic Methanogen and the Evolutionary History of the Class Methanobacteria,7b472238215ac399e119ef152c0ff93f2df1c8e6
c8a0f529251509f2188d397e312af54591411ae3,Genomic and Transcriptional Characteristics of Strain Rum-meliibacillus sp. TYF-LIM-RU47 with an Aptitude of Directly Producing Acetoin from Lignocellulose,7b472238215ac399e119ef152c0ff93f2df1c8e6
25bbc08e687238c41bf1498f90ba307f60d240c9,A reference-grade genome assembly for Gossypium bickii and insights into its genome evolution and formation of pigment glands and gossypol,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
35141a0cb60bd247778607453d61dd06a1275581,Inverse folding based pre-training for the reliable identification of intrinsic transcription terminators,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
4ec99ec5968f4fc66d7b28dc328834904b2135f2,Chromosome-Level Genome Assembly and Transcriptome Comparison Analysis of Cephalopholis sonnerati and Its Related Grouper Species,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
cfa171146f0082d94eee42a038f1ea0e8f88244b,Genome sequencing reveals chromosome fusion and extensive expansion of genes related to secondary metabolism in Artemisia argyi,7b472238215ac399e119ef152c0ff93f2df1c8e6
3f43a0a9e2947be4941614c1fdea5924f4511689,Complete Genome Analysis of Highly Pathogenic Non-O1/O139 Vibrio cholerae Isolated From Macrobrachium rosenbergii Reveals Pathogenicity and Antibiotic Resistance-Related Genes,7b472238215ac399e119ef152c0ff93f2df1c8e6
9c8c604f657e6c1662c5d769016045bfcda8050b,A high-quality assembled genome and its comparative analysis decode the adaptive molecular mechanism of the number one Chinese cotton variety CRI-12,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
3a668cb2605dc5f883834d3aff8704ffb7ae9d6e,Refining Mitochondrial Intron Classification With ERPIN: Identification Based on Conservation of Sequence Plus Secondary Structure Motifs,215ff8d36913ab851f60862f2b9ad7c545706a00
6ca2ae406891f817479726281f7013835537ff5e,Whole genome sequence of pan drug-resistant clinical isolate of Acinetobacter baumannii ST1890,7b472238215ac399e119ef152c0ff93f2df1c8e6
8eb3c8ed6dcad744a1c5d7341d0f116b80378505,The First Whole Genome Sequence Discovery of the Devastating Fungus Arthrinium rasikravindrae,7b472238215ac399e119ef152c0ff93f2df1c8e6
25e5d14bd5f0275c491095852e6f0ff2e07c4ac4,Haplotype-Resolved Genome Analyses Reveal Genetically Distinct Nuclei within a Commercial Cultivar of Lentinula edodes,02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
404216821d5227ebdf59ceaaf19f874178469692,Discovering functional motifs in long noncoding RNAs,f1852e23a96bb49800543d686d97f64df07d5d2b
6bd09696ed3454f85f15d69ecb320941391a254e,Influence of environmental factors on the tropical peatlands diazotrophic communities from the Southern Brazilian Atlantic Rain Forest,c07eca9862e0144aa4c0c29c7978caa6eff60e2f
a198c78343acfb32bf6a08569675c18225dd55fe,Microbial dynamics inference at ecosystem-scale,c07eca9862e0144aa4c0c29c7978caa6eff60e2f
324b6689affb91459300187e88ad7b9c216e5d64,"The chromosome‐scale genome assembly, annotation and evolution of Rhododendron henanense subsp. lingbaoense",02613d6e3ecf67ed9ae8ce67a35a92f3986bc4cf
