citationID,citationName,citedReferences
f24796fa1a44b1d2e4de25a1a176a358ffd870d7,Beyond Human Detection: A Benchmark for Detecting Common Human Posture,96dca25274d1d89d3b29bc0d08d089d1cdb181fe
d558af10089b451dd28c9c85e00aecd0d383bc3c,Object detection in hospital facilities: A comprehensive dataset and performance evaluation,860a9d55d87663ca88e74b3ca357396cd51733d0
cf9b0a721e9b12d2e30470f945c370896d0243df,Image Data Visualization Using T-SNE for Urban Pavement Disease Recognition,96dca25274d1d89d3b29bc0d08d089d1cdb181fe
386e2c9ef37b28f8f5c28ef0114dda63223eb10f,Acousto-optic Multi-source Information Fusion Algorithm for Outdoor Pedestrian Detection,1854005a7178b2df6afaacdcf91bc35d90616075
210563d999bf85b95caede819f9ca357b2c798ee,Object Activity Tracking for Webcam Using Hog Algorithm Comparing Background Subtraction Algorithm,f9cc6155cd69023a736a7b8f8680bcd6232c840e
20759f62ceec0bd7c1136c373d838531b482bf08,Advances and Applications of Computer Vision Techniques in Vehicle Trajectory Generation and Surrogate Traffic Safety Indicators,8c04f169203f9e55056a6f7f956695babe622a38
6d3000574682bb8b147205f3d81629f85580033d,From Local Binary Patterns to Pixel Difference Networks for Efficient Visual Representation Learning,15885415819f2a9db8eee46ea6b6224c759801fa$$@$$5985014dda6d502469614aae17349b4d08f9f74c
2645d899f502eac6c0f9a5f6822c805ff00c6710,Computer Vision-based Applications in Modern Cars for safety purposes: A Systematic Literature Review,4ebbf3ec461f9b347937e4a5b993f12940558934$$@$$5985014dda6d502469614aae17349b4d08f9f74c$$@$$de1ac0baea1f907388ff5fe9fa22f25f406e2ca6$$@$$f9cc6155cd69023a736a7b8f8680bcd6232c840e$$@$$b09d132046f3b21f98206eb514ebfcbd73f32513$$@$$3e083dc8aeb7983a5cdff146985363d38caf0886$$@$$44f3ac3277c2eb6e5599739eb875888c46e21d4c$$@$$e0b1226910fd8deb67c0b64b37c120e0f0aa967e
2883a68cf1c15ccd03edfbedd6620e907eeb79c0,SafeFac: Video-based smart safety monitoring for preventing industrial work accidents,96dca25274d1d89d3b29bc0d08d089d1cdb181fe$$@$$8c04f169203f9e55056a6f7f956695babe622a38
109c4a5eac0b704c7f8aab1a6860af554aee46e7,Understanding Human Reactions Looking at Facial Microexpressions With an Event Camera,860a9d55d87663ca88e74b3ca357396cd51733d0
bccb51e95ffdda5d062494c3c72f0ffa78d323c5,Variational Learning of Convolutional Neural Networks with Stochastic Deformable Kernels,5985014dda6d502469614aae17349b4d08f9f74c
da752f82c9294942e8bad97bb84c7f4674e821c3,Diverse Video Captioning by Adaptive Spatio-temporal Attention,44f3ac3277c2eb6e5599739eb875888c46e21d4c
03b84cd4ec816c45ab706c0b61ab2c38ca4ec8c9,Human Detection in Surveillance Videos Based on Fine-Tuned MobileNetV2 for Effective Human Classification,de1ac0baea1f907388ff5fe9fa22f25f406e2ca6$$@$$b09d132046f3b21f98206eb514ebfcbd73f32513$$@$$96dca25274d1d89d3b29bc0d08d089d1cdb181fe$$@$$3e6fa6cf1fe2e23fdf7716f89b160333c7a93b26$$@$$cf5feccca7eeed4929a5cd75078cc5fa4936e196$$@$$8c04f169203f9e55056a6f7f956695babe622a38$$@$$e0b1226910fd8deb67c0b64b37c120e0f0aa967e
cafbd9f39fdaf5664b38433cd0e33019837c3f27,An Underwater Saliency Detection Method Based on Grayscale Image Information Fusion,5985014dda6d502469614aae17349b4d08f9f74c
d48b9b0882907668cabd19a1cb896e5ace65d77f,Fast and effective pedestrian detection based on low-level visual features combination,b09ec0b350f8352bce46a2f5bf7ae97c83a7b9ca$$@$$96dca25274d1d89d3b29bc0d08d089d1cdb181fe$$@$$3e6fa6cf1fe2e23fdf7716f89b160333c7a93b26$$@$$a7086378e68dae59975cf749c101c53a0fa90eab$$@$$cf5feccca7eeed4929a5cd75078cc5fa4936e196
4d980ccc4185f76787f6bfa2d00060d6c5a92672,Group-split attention network for crowd counting,96dca25274d1d89d3b29bc0d08d089d1cdb181fe
a91f98098b673bae7ac03a5ab848769d4f3a1d0d,Unsupervised Learning Based on Multiple Descriptors for WSIs Diagnosis,e7c4665ce36a53484f8a7b7dfa821a9f6273eab4$$@$$96dca25274d1d89d3b29bc0d08d089d1cdb181fe
