citationID,citationName,citedReferences
23dc3a8d9ec1cff8770b4bedf9e9a5f23eaf51dd,Asymmetric dual-decoder-U-Net for pavement crack semantic segmentation,6364fdaa0a0eccd823a779fcdd489173f938e91a$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$8da55e685a7bef9c897788ab519a8710c695c419
800cd9d6967ab860042da23102de4a37dfafb87b,Linear Gaussian Bounding Box Representation and Ring-Shaped Rotated Convolution for Oriented Object Detection,71b7178df5d2b112d07e45038cb5637208659ff7$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$Edinburgh Research Explorer The PASCAL Visual Object Classes (VOC) Challenge
8e1bb94e102d739c2dd0999f42bfdfde7edce101,A multi-task deep learning model for EGFR genotyping prediction and GTV segmentation of brain metastasis,6364fdaa0a0eccd823a779fcdd489173f938e91a$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d
a4f36c9431012ca38ac435b088e62479a8cb7491,DBU-Net: Dual branch U-Net for tumor segmentation in breast ultrasound images,6fc6803df5f9ae505cae5b2f178ade4062c768d0$$@$$6364fdaa0a0eccd823a779fcdd489173f938e91a$$@$$abd1c342495432171beb7ca8fd9551ef13cbd0ff
204597da8a75cdcdf5bc63a8c4e06b105377f921,Infrared small target segmentation networks: A survey,2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$cf986bfe13a24d4739f95df3a856a3c6e4ed4c1c$$@$$23ffaa0fe06eae05817f527a47ac3291077f9e58$$@$$cab372bc3824780cce20d9dd1c22d4df39ed081a$$@$$6fc6803df5f9ae505cae5b2f178ade4062c768d0$$@$$6364fdaa0a0eccd823a779fcdd489173f938e91a$$@$$eb42cf88027de515750f230b23b1a057dc782108$$@$$39ad6c911f3351a3b390130a6e4265355b4d593b$$@$$e15cf50aa89fee8535703b9f9512fca5bfc43327
9cce234887d10f74dfcc23469fe04a0de3b89be9,GRA-Net: Global receptive attention network for surface defect detection,995c5f5e62614fcb4d2796ad2faab969da51713e$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$cf986bfe13a24d4739f95df3a856a3c6e4ed4c1c$$@$$23ffaa0fe06eae05817f527a47ac3291077f9e58$$@$$cab372bc3824780cce20d9dd1c22d4df39ed081a$$@$$eb42cf88027de515750f230b23b1a057dc782108$$@$$7f5fc84819c0cf94b771fe15141f65b123f7b8ec
c88010214d4242c5357fb62bfbb6ca7dbbff0b5d,MFANet: Multifaceted Feature Aggregation Network for Oil Stains Detection of High-Speed Trains,2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$cab372bc3824780cce20d9dd1c22d4df39ed081a$$@$$71b7178df5d2b112d07e45038cb5637208659ff7$$@$$eb42cf88027de515750f230b23b1a057dc782108$$@$$c81c20109c809cfc47565a9477c04ee005d424bf
3833972644eb7cddfaf0718d9a3be2cb6e2067d2,MRSNet: Joint consistent optic disc and cup segmentation based on large kernel residual convolutional attention and self-attention,995c5f5e62614fcb4d2796ad2faab969da51713e$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$23ffaa0fe06eae05817f527a47ac3291077f9e58$$@$$cab372bc3824780cce20d9dd1c22d4df39ed081a$$@$$6364fdaa0a0eccd823a779fcdd489173f938e91a$$@$$e15cf50aa89fee8535703b9f9512fca5bfc43327
66056ce64ab784bbbe6735b3a5096ed87b1af7ee,Assessing and Enhancing Robustness of Deep Learning Models with Corruption Emulation in Digital Pathology,6364fdaa0a0eccd823a779fcdd489173f938e91a$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$eb42cf88027de515750f230b23b1a057dc782108$$@$$abd1c342495432171beb7ca8fd9551ef13cbd0ff
e448523e14cdf021e78ce9ac37434e7933ce13d0,D-FusionNet: road extraction from remote sensing images using dilated convolutional block,cab372bc3824780cce20d9dd1c22d4df39ed081a$$@$$39ad6c911f3351a3b390130a6e4265355b4d593b$$@$$abd1c342495432171beb7ca8fd9551ef13cbd0ff
