citationID,citationName,citedReferences
3b869bf3fa50e7704f52373427b89514f10d66c3,Single image fast dehazing based on haze density classification prior,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$1b7fc36dc56a400f7a7f4c75e53550bbb6a0a4d8$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
e29fdb064718ec1fcb963b07495de76f926602e0,Frequency-guidance Collaborative Triple-branch Network for single image dehazing,c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
998fcb19e3cecc7686005622b66a06fb72f08850,A Method of Image Dehazing Based on Atmospheric Veil Prediction by ResNet,c1a665a0fd386d5653c0d4f7c1fff686f8d87912$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$9a5636eb2cf8d4f8fd281dbf4ddf23c0651994d0$$@$$e2b99083f3b88691af5553b2a715c1fe43e59246
a339c4125eec7dd117c69df56176645a8f9d40d2,LHNet: A Low-cost Hybrid Network for Single Image Dehazing,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$7098bce6979dc00502f738746c7a6927a3c763d4
28f9039e41a167937e584160cfa305ce9f9824c6,Learning Non-Uniform-Sampling for Ultra-High-Definition Image Enhancement,c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$e2b99083f3b88691af5553b2a715c1fe43e59246$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
1a39a8525694c883b69a40f25c61692224f57bb4,End-to-end image dehazing by joint atmospheric scattering and WGAN model,1deb84164223a3468a80b376befc7e0b7261a36b$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$c1994ba5946456fc70948c549daf62363f13fa2d
aa911c3281cceaff46e06fac58f7871894364ad3,Deep Variational Bayesian Modeling of Haze Degradation Process,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$c1994ba5946456fc70948c549daf62363f13fa2d$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966$$@$$e2b99083f3b88691af5553b2a715c1fe43e59246
336b952827bb06b1226eafcd8d6fd4312f80e0db,Neural Degradation Representation Learning for All-In-One Image Restoration,fb7621c9bf7acdca786ea4619dd0f296994196c9
359cd156f21f402f73bfc66348b00769f31e06a4,Image Dehazing Guided by Low-Pass Reinforced Airlight,e2b99083f3b88691af5553b2a715c1fe43e59246$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$9a5636eb2cf8d4f8fd281dbf4ddf23c0651994d0
00ba678872859191c77445ad301521b485fa17d2,Multi-level perception fusion dehazing network,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$7098bce6979dc00502f738746c7a6927a3c763d4
2c958e320a60636b860ba85b2f229febccc7fa82,Neural Architecture Search for Image Dehazing,1deb84164223a3468a80b376befc7e0b7261a36b$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9
3004a2c39606cbdf8a93e17a5af21c813d463441,USCFormer: Unified Transformer With Semantically Contrastive Learning for Image Dehazing,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$600613a2a3a8a56c9070d427272cbde8fad0d7e9$$@$$e2b99083f3b88691af5553b2a715c1fe43e59246
31ca23ee55c97540a57601ded9a95e8aa810d87d,Real-World Non-Homogeneous Haze Removal by Sliding Self-Attention Wavelet Network,c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9
ca0bed0b081ce27ff3f7a6033bc6d128b84485c4,Prompt-based test-time real image dehazing: a novel pipeline,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
ab7d589ed671e1b13826c51c9a2ccb6ac2b642b3,Accurate and lightweight dehazing via multi-receptive-field non-local network and novel contrastive regularization,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
fe2fac520cb0586bb57f8bcea6deb9b83d4b54ac,Multi-Scale Attention Feature Enhancement Network for Single Image Dehazing,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966
714bb04e5a145a87f37a201435be2c5696dcad74,Remote Sensing Image Haze Removal Based on Superpixel,f285616c9093679b68f9b5914d7b8b448633b9c3$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$1b7fc36dc56a400f7a7f4c75e53550bbb6a0a4d8$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
c141a72d71fd5b81124bd86ec59bce212f157ad4,Deep guided transformer dehazing network,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$da8a5b3e01ed2a65c0ae5664c1c96e4cee22b843$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$1b7fc36dc56a400f7a7f4c75e53550bbb6a0a4d8$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966$$@$$1f59f40be27ea17b40d5d54367624e89fc3b6659$$@$$e2b99083f3b88691af5553b2a715c1fe43e59246
9c1fc0056b32d18116753e5efd2b8f4804259d97,Gradient-Based Metrics for the Evaluation of Image Defogging,f285616c9093679b68f9b5914d7b8b448633b9c3$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$273f7ea6405102e10cde42075b3aed33991d43dd$$@$$e2b99083f3b88691af5553b2a715c1fe43e59246
c2bfe40e34f80428258dab72471ddac792b77917,Frequency and content dual stream network for image dehazing,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
beb9185b443507863ef0f321fcde73bea7bc79de,Efficient Dehazing with Recursive Gated Convolution in U-Net: A Novel Approach for Image Dehazing,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$7098bce6979dc00502f738746c7a6927a3c763d4$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
2579d8b45e51513c58c311adfbb7face54db12e0,MB-TaylorFormer: Multi-branch Efficient Transformer Expanded by Taylor Formula for Image Dehazing,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
f5129149a74715afde31591bb22323294b9ba399,High-quality Image Dehazing with Diffusion Model,c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28
85b5833e177c0d8cb8d73d246d30f6a9d452773e,A high-resolution image dehazing GAN model in icing meteorological environment,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
1e08bac0be006183efd104693af5011e080672da,Multi-Feature Fusion-Guided Low-Visibility Image Enhancement for Maritime Surveillance,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
9733287771b1bb764248f813706b10b8e685def2,A Lightweight Image Dehazing Algorithm Based on Deep Learning,c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9
a717d2f2ee0693260fe8069ea7c8eee67b941d8d,Block-based multi-scale image enhancement method for industrial inspection system,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$f285616c9093679b68f9b5914d7b8b448633b9c3$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$1b7fc36dc56a400f7a7f4c75e53550bbb6a0a4d8$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$e2b99083f3b88691af5553b2a715c1fe43e59246$$@$$02e8164ef3e0e6a75a9d0afa8e08120e12bd5aa4
ccd8933c0f8c0c375636880e0ecdb5f820fd35bc,Single image defogging and evaluation with deep neural networks without the need of ground truth,e2b99083f3b88691af5553b2a715c1fe43e59246$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$f285616c9093679b68f9b5914d7b8b448633b9c3
54ea1905599aab80b3ce0058420cbd4ed1ad8fab,Enhancing Visibility in Nighttime Haze Images Using Guided APSF and Gradient Adaptive Convolution,ff62b041e26705dcaab686d98ef09e6102805f11$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$78e580a35600d07c5f38695aff78fe6529046c6a$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966$$@$$010185391b4511c369ce7b4caef82423c2c195ff$$@$$01b1f15426cf0b4574504a8aeafbc3a3cfe43cb5$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$e2b99083f3b88691af5553b2a715c1fe43e59246
8d7b69951b9abcab81e1e28f6cf90d545c3d7951,Single image dehazing using extended local dark channel prior,f285616c9093679b68f9b5914d7b8b448633b9c3$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$c1994ba5946456fc70948c549daf62363f13fa2d$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$e2b99083f3b88691af5553b2a715c1fe43e59246$$@$$7098bce6979dc00502f738746c7a6927a3c763d4
9e9dfae49bae39fb7648fc432dc685f83204c029,Research on smoke removal of industrial scene image based on an improved dark channel prior,e2b99083f3b88691af5553b2a715c1fe43e59246$$@$$1b7fc36dc56a400f7a7f4c75e53550bbb6a0a4d8$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9
865c904370d1c7493e837391373523847e50f3c4,Visual-quality-driven unsupervised image dehazing.,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$8a87450a0a27f487dc17b3e99a4e6ec109cd78f8$$@$$7098bce6979dc00502f738746c7a6927a3c763d4
26f0506b610e75f5a6bafe0d58bc69c729b8f964,Towards compact single image dehazing via task-related Contrastive Network,c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
90c6a6d2582f1d76da6768943d150addb2ba7559,Strip Attention for Image Restoration,fb7621c9bf7acdca786ea4619dd0f296994196c9
365c09aa688e1c5e929c430cb62df061d6180f11,DFR-Net: Density Feature Refinement Network for Image Dehazing Utilizing Haze Density Difference,c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
32e1007aa2c98fe57920b989ca340675f0538a1e,An end-to-end multi-resolution feature fusion defogging network,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$2566f3905ab398694a1f40603192f50712a85769$$@$$c1994ba5946456fc70948c549daf62363f13fa2d
9f72a962f9d008f596b6175b9f1a7d27863bbb84,Uni-Removal: A Semi-Supervised Framework for Simultaneously Addressing Multiple Degradations in Real-World Images,c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9
4aedce826ecf3b7e34e6422c3176c1cd65bd9a3c,Latent Graph Attention for Enhanced Spatial Context,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
e0176299f2fafbf59a2fef6522cce2824149a49d,Industrial x-ray image enhancement network based on a ray scattering model.,e2b99083f3b88691af5553b2a715c1fe43e59246
053cbb718cf723c4ee958917f159caa9c474832c,VLSI Design of Saturation-Based Image Dehazing Algorithm,1deb84164223a3468a80b376befc7e0b7261a36b$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
93a6266ddc7978ab6a1ec5e8d848c625ecf63e87,Scale-progressive Multi-patch Network for image dehazing,fb7621c9bf7acdca786ea4619dd0f296994196c9
94406269752f0f8f2eecf0d028dd78ec2b9c74e5,Underwater image restoration based on second-order statistical characteristics,fb7621c9bf7acdca786ea4619dd0f296994196c9
0976bd89107c22d673a7403b163b1a3a37727c68,Learning an ensemble dehazing network for visible remote sensing images,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
c17f50017272c908cebdf2181675b7c6406b7218,PromptIR: Prompting for All-in-One Blind Image Restoration,85ed33334c6c3bf7e75d5c3f12e07abd4aa50fa9$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9
e3e1e55ec756a92f6bfb6db45e558f2901f7e883,Residual Hybrid Attention Network for Single Image Dehazing,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
7be80376c3bcf6d8f3f4e11679190b4e50d7ffd7,FDDN: frequency-guided network for single image dehazing,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$78e580a35600d07c5f38695aff78fe6529046c6a$$@$$85ed33334c6c3bf7e75d5c3f12e07abd4aa50fa9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$7098bce6979dc00502f738746c7a6927a3c763d4
58008d61a3d16137eaacf77a413f50b6dec9b230,A Novel U-Shaped Hybrid Network for Single Image Dehazing,fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7
55e8b16c89825c4a2b8370e0f4e575eee1d67425,Image haze removal using block-based multiscale enhancement method,c1a665a0fd386d5653c0d4f7c1fff686f8d87912$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$1b7fc36dc56a400f7a7f4c75e53550bbb6a0a4d8$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$e2b99083f3b88691af5553b2a715c1fe43e59246
98f33bb7102c5c5cc9fac3335e97a0b1b6cfbb1a,Exploring the Application of Large-scale Pre-trained Models on Adverse Weather Removal,fb7621c9bf7acdca786ea4619dd0f296994196c9
308f44333aace50859f53325918f834ec01cd1f3,Aprogressive Image Dehazing Framework with inter and Intra Contrastive Learning,fb7621c9bf7acdca786ea4619dd0f296994196c9
25ac8b26688c0a2349c72337737e0252a0f8051e,Learning Weather-General and Weather-Specific Features for Image Restoration Under Multiple Adverse Weather Conditions,1deb84164223a3468a80b376befc7e0b7261a36b$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9
5968f468c147babd646427d85c0c871a407a60bb,RB-Dust - A Reference-based Dataset for Vision-based Dust Removal,f285616c9093679b68f9b5914d7b8b448633b9c3$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$c1994ba5946456fc70948c549daf62363f13fa2d$$@$$c3d2534780e502d672f82c898f4fcedae3c78c8d$$@$$042e12e44ad99e55f509b2128d9a5bea2212e0c7$$@$$273f7ea6405102e10cde42075b3aed33991d43dd$$@$$9a5636eb2cf8d4f8fd281dbf4ddf23c0651994d0$$@$$2566f3905ab398694a1f40603192f50712a85769$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
