citationID,citationName,citedReferences
7701c8f57f187f087c33d2053620a1893f54479e,A Hybrid Vision-Based Method of Encountered Wave Field Measurement for Navigating Surface Vehicles,a61de626cd5c949baa47f06ac1a864cfaca67ad5
53886b2e1cecf88748cf410387604f50e560a673,PMIndoor: Pose Rectified Network and Multiple Loss Functions for Self-Supervised Monocular Indoor Depth Estimation,5f985b914756155c92ebf474409be176bc1a84b4
299b63f28f9853a589d316e5514d4d923200f8e0,ADU-Depth: Attention-based Distillation with Uncertainty Modeling for Depth Estimation,cddd92203c8deb022a29b512b11050da531c5f3b
266c6dacaeee8c86b6a364bd34635f8384c2c200,Depth Estimation from a Single Optical Encoded Image using a Learned Colored-Coded Aperture,4a965ee6dcfc1ab12170af762e1d08e11b60ddb8
94ef2e2d9033cd09e7513d5aa01d7971386eb5a7,A Dual Encoder–Decoder Network for Self-Supervised Monocular Depth Estimation,cddd92203c8deb022a29b512b11050da531c5f3b$$@$$d2f78c2b2b325d72f359d4c797c9aab6a8e60942
2d87ad25d0ad74c40bd9ad90e5e61b1764f592cf,SQLdepth: Generalizable Self-Supervised Fine-Structured Monocular Depth Estimation,d2f78c2b2b325d72f359d4c797c9aab6a8e60942
4f66cdc5d329ca7aca1fa59fdd67ccebea607597,Uncertainty Guided Self-Supervised Monocular Depth Estimation Based on Monte Carlo Method,cddd92203c8deb022a29b512b11050da531c5f3b
cb88b7d30a71605fdf4fce9fdbf135c8023691a7,Digging into Depth Priors for Outdoor Neural Radiance Fields,d2f78c2b2b325d72f359d4c797c9aab6a8e60942
44314b3277b55ea65495d6c502e28a63748061dc,InfraNet: Accurate forehead temperature measurement framework for people in the wild with monocular thermal infrared camera,cddd92203c8deb022a29b512b11050da531c5f3b
ab1ec9a5455eef09ff6c7f38676120f2157c29c2,MAMo: Leveraging Memory and Attention for Monocular Video Depth Estimation,49531103099c8d17ea34eb09433688e84de4f35f$$@$$cddd92203c8deb022a29b512b11050da531c5f3b$$@$$0200679f3219066be7c54a5bd7df17c33f3f2224$$@$$421e6c7247f41c419a46212477d7b29540cbf7b1
ebf8f76341f07b947d86550bd6f3313183ad6a68,SimCol3D - 3D Reconstruction during Colonoscopy Challenge,cddd92203c8deb022a29b512b11050da531c5f3b
46ff2f74a6e9fcab0bb75cf13a5943d050ef5ac6,Probabilistic multi-modal depth estimation based on camera–LiDAR sensor fusion,cddd92203c8deb022a29b512b11050da531c5f3b$$@$$86d21c2d53ce6a193ceb688bacbbb4ffec09a6cb
842182174ebd9e070101c85aa16c0818e5363c42,The Surprising Effectiveness of Diffusion Models for Optical Flow and Monocular Depth Estimation,cddd92203c8deb022a29b512b11050da531c5f3b
82321364c74ba03154b300af5aadfaa68eaec12e,Trap Attention: Monocular Depth Estimation with Manual Traps,cddd92203c8deb022a29b512b11050da531c5f3b$$@$$0200679f3219066be7c54a5bd7df17c33f3f2224$$@$$421e6c7247f41c419a46212477d7b29540cbf7b1
c0e6a2858578281ff44d1e14b5b45fae61e687c4,ARephotography: Revisiting Historical Photographs using Augmented Reality,d77d5c4c55a223512460793669f3016a4efb37db
8c727a7d2c93c99991c246277c622c454ac528ee,Depth Estimation Based on Monocular Camera Sensors in Autonomous Vehicles: A Self-supervised Learning Approach,cddd92203c8deb022a29b512b11050da531c5f3b
b36668a69eae938addf43e7c5681993e78d17d5f,GINA-3D: Learning to Generate Implicit Neural Assets in the Wild,86d21c2d53ce6a193ceb688bacbbb4ffec09a6cb
4d0e0cceb00f7a52346e8fc385b3d17213175d02,Single Image Depth Prediction Made Better: A Multivariate Gaussian Take,cddd92203c8deb022a29b512b11050da531c5f3b$$@$$4a965ee6dcfc1ab12170af762e1d08e11b60ddb8
e90a3a087736afadeaa5c8ff6d02723623bb9da8,URNet: An UNet-Based Model with Residual Mechanism for Monocular Depth Estimation,acf0b6745708457a53d5327eea345c0bcf466e97$$@$$d2f78c2b2b325d72f359d4c797c9aab6a8e60942
8ec5909aaedcfff93f85a0b8032cd6da5c24e12a,Unified Perception: Efficient Depth-Aware Video Panoptic Segmentation with Minimal Annotation Costs,ae89592317675c9c7642a3976c3a064cef736f92
f9516f2b0e1816e87fd70aeedcbfb12cff341eb2,Monocular Depth Estimation using Diffusion Models,cddd92203c8deb022a29b512b11050da531c5f3b
2198e134f1f61fdc685816ddaf8656876ab00c2e,Monocular metasurface camera for passive single-shot 4D imaging,4a965ee6dcfc1ab12170af762e1d08e11b60ddb8
6505eeb75083e233d88e3616a1ae624cbcb63dd6,Self-Supervised Monocular Depth Estimation with Self-Reference Distillation and Disparity Offset Refinement,cddd92203c8deb022a29b512b11050da531c5f3b
4983b3555f3abf02c2bb00808f2b0d48881eaf32,VA-DepthNet: A Variational Approach to Single Image Depth Prediction,4a965ee6dcfc1ab12170af762e1d08e11b60ddb8
ebaa8b0896fe714524b4af1cf44ac837531a6735,High level structure recognition in single urban images using a CNN and SuperPixels,ae89592317675c9c7642a3976c3a064cef736f92$$@$$cddd92203c8deb022a29b512b11050da531c5f3b
79d755f43a691926014249a1f7d80541173cff2c,Depth estimation of supervised monocular images based on semantic segmentation,86d21c2d53ce6a193ceb688bacbbb4ffec09a6cb$$@$$d2f78c2b2b325d72f359d4c797c9aab6a8e60942
9f7971b6d710c52c60683ed65bb9a4bd0380aa8d,FG-Depth: Flow-Guided Unsupervised Monocular Depth Estimation,421e6c7247f41c419a46212477d7b29540cbf7b1
85917316be4805ab909d4f73bd6cd3dcd778a400,In Search of Basement Indicators from Street View Imagery Data: An Investigation of Data Sources and Analysis Strategies,cddd92203c8deb022a29b512b11050da531c5f3b
b8e0f0cb386b54c512f9e87092664e5e6dae3cd5,Joint learning of frequency and spatial domains for dense image prediction,3635881d5632816df7762f2c588138c0baa339ef
959c50155d0b32ef4d472cb6e5aefa9f83b03fe6,GOOD: Exploring Geometric Cues for Detecting Objects in an Open World,ae89592317675c9c7642a3976c3a064cef736f92$$@$$4081e007d7eced95cc618164e976a80d44ff5f4e$$@$$cddd92203c8deb022a29b512b11050da531c5f3b$$@$$3635881d5632816df7762f2c588138c0baa339ef
d6c477aea7c4aa89f9cab1025ac20926fea31601,City-scale distance estimation via near-infrared trispectral light extinction in bad weather,86d21c2d53ce6a193ceb688bacbbb4ffec09a6cb
605ae33386e3c19bc8b3c0d846cffe6a8c380e47,SfM-TTR: Using Structure from Motion for Test-Time Refinement of Single-View Depth Networks,ae89592317675c9c7642a3976c3a064cef736f92
417ae18a1a2d60c07f15c408b804a70f3a6717e3,Hybrid Transformer Based Feature Fusion for Self-Supervised Monocular Depth Estimation,cddd92203c8deb022a29b512b11050da531c5f3b
a8fb91618ceb52ab5d8985dde7e4185e69b6d51f,Application of Convolutional Neural Networks for Three-Dimensional Reconstruction of the Geometry of Objects in the Image,d2f78c2b2b325d72f359d4c797c9aab6a8e60942
a635b54f9bfe6e777fe2348a64e28ae2a048ffc6,3D Scene Inference from Transient Histograms,cddd92203c8deb022a29b512b11050da531c5f3b
dd913cda160b22ce230aa79c2e37b188025ead1f,Depth completion of a single RGB-D image for integral imaging,cddd92203c8deb022a29b512b11050da531c5f3b
ea740e22ee958ad6fc4b7d0b7e408c39a4992b7d,Variational Depth Estimation on Hypersphere for Panorama,4a965ee6dcfc1ab12170af762e1d08e11b60ddb8
8b25da23901c93426a2ac8c3f1324a962a17f52f,Three-dimensional Monocular Image Reconstruction of Indoor Scene Based on Neural Network,4a965ee6dcfc1ab12170af762e1d08e11b60ddb8
9e97cfc0c7791aad9d1ff95b3ea51dc3176e1c35,Semantic Segmentation under Adverse Conditions: A Weather and Nighttime-aware Synthetic Data-based Approach,cddd92203c8deb022a29b512b11050da531c5f3b
2e2431e35a418cddc81447b2e6f4fdfc0cf123a3,Monocular Accumulated Depth Estimation with Recursive Feature Fusion,cddd92203c8deb022a29b512b11050da531c5f3b$$@$$d77d5c4c55a223512460793669f3016a4efb37db
02f0afe1f456811c4b59ca90e211a6c320e9cc8a,DELTAR: Depth Estimation from a Light-weight ToF Sensor and RGB Image,cddd92203c8deb022a29b512b11050da531c5f3b
37782456b662daca8b66e7ed27cf58db4fa9cb87,Semi-Supervised Depth Estimation by Multi-Task Learning,d2f78c2b2b325d72f359d4c797c9aab6a8e60942
28227bc2f709616b606e10f72748a03cfc47cdbd,HoW-3D: Holistic 3D Wireframe Perception from a Single Image,88da9026bbedf408aec54b158b456627818cacf9
3e8eb241d5c8e4ee9f599919db4b730e71691e63,Globally Consistent Video Depth and Pose Estimation with Efficient Test-Time Training,a61de626cd5c949baa47f06ac1a864cfaca67ad5
444f5c010576d753dd99f7d270b314ede8be758e,A New Dynamic Routing Network for Monocular Depth Estimation,cddd92203c8deb022a29b512b11050da531c5f3b
c45347944bf4ed90db315f71a8f95fb274d6868b,Monocular Depth Estimation Using Deep Learning: A Review,fdcde62b781ab7bd60aa76d4ec7328fbf9ab7c71$$@$$d2f78c2b2b325d72f359d4c797c9aab6a8e60942
ca091fe0a6869a5168c6713bd7c81872d1e13394,PanopticDepth: A Unified Framework for Depth-aware Panoptic Segmentation,ae89592317675c9c7642a3976c3a064cef736f92
db730f4be0d5d05c7f5dbcfd2978c1bf498c4b8d,Single-Stage 3D Geometry-Preserving Depth Estimation Model Training on Dataset Mixtures with Uncalibrated Stereo Data,ae89592317675c9c7642a3976c3a064cef736f92
c6c518ccd441bae6fdc788a58b6d39db1f33f1a4,MonoSDF: Exploring Monocular Geometric Cues for Neural Implicit Surface Reconstruction,ae89592317675c9c7642a3976c3a064cef736f92$$@$$4081e007d7eced95cc618164e976a80d44ff5f4e$$@$$cddd92203c8deb022a29b512b11050da531c5f3b$$@$$3635881d5632816df7762f2c588138c0baa339ef
37fc280c372b264d975441fd9fcd5435b0a4c943,PhoneDepth: A Dataset for Monocular Depth Estimation on Mobile Devices,4a965ee6dcfc1ab12170af762e1d08e11b60ddb8
fb57a98b39488c1f6c1e2a5575c5e82cc7e28a6d,Share With Thy Neighbors: Single-View Reconstruction by Cross-Instance Consistency,ae89592317675c9c7642a3976c3a064cef736f92$$@$$4081e007d7eced95cc618164e976a80d44ff5f4e
7d1763539498a2e2ea70514664b8f320193f7b45,P3Depth: Monocular Depth Estimation with a Piecewise Planarity Prior,4a965ee6dcfc1ab12170af762e1d08e11b60ddb8
