citationID,citationName,citedReferences
9593398c2546d725212b86c55fddadea8e508521,An evolutionary multi-algorithm based framework for the parametric estimation of proton exchange membrane fuel cell,aa67babb7362000237e7e4dd0068b0d80b36cdf6$$@$$8fba8f7209e18be93e225fb95e6422b8bd5522d8$$@$$695bd9bb89df717227357a4ee8d15843a11f3609$$@$$26afab5607f4bfaf2fb9f786e4ed4f2d93c88e84
416276e6235300d9cfeb71351b2ede0b523f940a,Hybrid binary grey wolf naked mole-rat algorithm for fragment-type UWB antenna optimization using time-varying transfer functions,695bd9bb89df717227357a4ee8d15843a11f3609
2cc0ca958b0f3f64988e83efbc8b3eddabcf45ef,Hierarchical learning particle swarm optimization using fuzzy logic,478716ddc597df56c30e092a6a6402d6fdf91959$$@$$0bc18291199c5e7b9cdf9f2e6e4a518b3ba994b5$$@$$41495d55d3d6ff08616512bf3fedf5ed11feb1ff$$@$$dd5061631a4d11fa394f4421700ebf7e78dcbc59$$@$$4ab51909a0649d0a9f6eb7bdf70f31660fd2101a
26bf9f4b2efc4bec5e31043001cebbfdca43a2b3,Multiscale medalist learning algorithm and its application in engineering,e78cc06481b15962d0c81d88e8bfc6ca5ccf7aed$$@$$dc907f6cad84606d14019eccc6fada1733a08b4b$$@$$dd5061631a4d11fa394f4421700ebf7e78dcbc59$$@$$41495d55d3d6ff08616512bf3fedf5ed11feb1ff$$@$$695bd9bb89df717227357a4ee8d15843a11f3609$$@$$2096fc288ef32942b52602fc671a8fc1bca5c001$$@$$908bc29d1a5c9718dd29edef2ca84d6c93699a90$$@$$034b2b97e6b23061f6f71a5e19c1b03bf4c19ec8
9aef47e4a94ca99f3f8c0b6770adacc98c4deb43,A novel heuristic algorithm for solving engineering optimization and real-world problems: People identity attributes-based information-learning search optimization,0bc18291199c5e7b9cdf9f2e6e4a518b3ba994b5$$@$$dd5061631a4d11fa394f4421700ebf7e78dcbc59$$@$$695bd9bb89df717227357a4ee8d15843a11f3609$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6$$@$$d437d9222472afc281145254dbb17a45f6786719$$@$$034b2b97e6b23061f6f71a5e19c1b03bf4c19ec8
f7546db060d09c324cb5c23e5c481144b5e4e394,A multi-objective bi-level task planning strategy for UUV target visitation in ocean environment,695bd9bb89df717227357a4ee8d15843a11f3609
bd162fbdaee07c1eb877f2f1c4bca26d02fd119d,Snow avalanches algorithm (SAA): A new optimization algorithm for engineering applications,307dbe82f332c3509e76dcc51cf29dadeaa0871d$$@$$7aaead0b87023d54df709862ad6403ec645dc48c$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1$$@$$0c2fe34981ed24f224e63e03fb9322068bf4f3e3$$@$$c7655b97bd84b6379428e995473eb8292f4efa99$$@$$c7f6de5f9e21c8acfb4b05e0e9f4608f95187f46$$@$$695bd9bb89df717227357a4ee8d15843a11f3609$$@$$908bc29d1a5c9718dd29edef2ca84d6c93699a90$$@$$034b2b97e6b23061f6f71a5e19c1b03bf4c19ec8$$@$$3b3e68f6d49869e5cec656b37f867244a0887d5f$$@$$91def80765d761d1e8a8db14ba09f07ebbab7da7$$@$$0bc18291199c5e7b9cdf9f2e6e4a518b3ba994b5$$@$$41495d55d3d6ff08616512bf3fedf5ed11feb1ff$$@$$60fd6d0c50a3065c8082c94d075e4a169f492019$$@$$91de962e115bcf65eaf8579471a818ba8c5b0ea6$$@$$cd7e6c1d74ec6a8f9cb1e491771db3dcb1bc273c$$@$$2f8022792bcbc9f15f81e0140ce0f98840720864$$@$$e0805765cd81e9fdcc428543fc7f86f108f7e4a5$$@$$478716ddc597df56c30e092a6a6402d6fdf91959$$@$$a213a02732112f64953cf5287d0140f568be5fec$$@$$4ab51909a0649d0a9f6eb7bdf70f31660fd2101a
1b91c46c3fd949babe97d3c6abeb561a4c7525a6,Fitness-Distance Balance-Based Artificial Rabbits Optimization Algorithm to Solve Optimal Power Flow Problem,695bd9bb89df717227357a4ee8d15843a11f3609
85534f4e64920496c64433a68a3019de99910980,Intelligent optimization: Literature review and state-of-the-art algorithms (1965–2022),e78cc06481b15962d0c81d88e8bfc6ca5ccf7aed$$@$$dc907f6cad84606d14019eccc6fada1733a08b4b$$@$$0bc18291199c5e7b9cdf9f2e6e4a518b3ba994b5$$@$$41495d55d3d6ff08616512bf3fedf5ed11feb1ff$$@$$dd5061631a4d11fa394f4421700ebf7e78dcbc59$$@$$695bd9bb89df717227357a4ee8d15843a11f3609$$@$$4ee0f997c890558d108f10add64134030979120d$$@$$2096fc288ef32942b52602fc671a8fc1bca5c001$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6$$@$$c14976e9afb69a78e682c32f900b96b019878df8$$@$$034b2b97e6b23061f6f71a5e19c1b03bf4c19ec8
d6e613ef09e681d4a8e901325b63807a977e56a3,Comparative study of recent metaheuristics for solving a multiobjective transonic aeroelastic optimization of a composite wing,695bd9bb89df717227357a4ee8d15843a11f3609
47b261948323075c655ea30fe62041aec4426010,Hybrid regression models: predicting of the capillary water absorption properties of construction stones,695bd9bb89df717227357a4ee8d15843a11f3609
125ca1e62fd0bbe29c3103956d54b3724e3f2805,The Golf Sport Inspired Search metaheuristic algorithm and the game theoretic analysis of its operators’ effectiveness,2096fc288ef32942b52602fc671a8fc1bca5c001$$@$$695bd9bb89df717227357a4ee8d15843a11f3609$$@$$cb6a80de012ceaa8c5ec8915468fa0db1a41cd38
59de5760fcaa04b6bfcdb423fb7aed6f060db300,Optimization of MLVA loci combination using metaheuristic methods,aa67babb7362000237e7e4dd0068b0d80b36cdf6
5beb357d4f88699e863205ed192418538d2cc8d4,Optimized sizing of a hybrid renewable water pumping system based on recent metaheuristic algorithms : A case study in Algeria,695bd9bb89df717227357a4ee8d15843a11f3609
76c89af90524917d4cc44008a0cf5ca00af07067,A novel reinforcement learning-based reptile search algorithm for solving optimization problems,e78cc06481b15962d0c81d88e8bfc6ca5ccf7aed$$@$$3b3e68f6d49869e5cec656b37f867244a0887d5f$$@$$478716ddc597df56c30e092a6a6402d6fdf91959$$@$$695bd9bb89df717227357a4ee8d15843a11f3609$$@$$26afab5607f4bfaf2fb9f786e4ed4f2d93c88e84$$@$$2096fc288ef32942b52602fc671a8fc1bca5c001$$@$$034b2b97e6b23061f6f71a5e19c1b03bf4c19ec8
12f56181d6dec0745a5c979b07b6031a280abea7,Mantis Search Algorithm: A novel bio-inspired algorithm for global optimization and engineering design problems,e78cc06481b15962d0c81d88e8bfc6ca5ccf7aed$$@$$dc907f6cad84606d14019eccc6fada1733a08b4b$$@$$0bc18291199c5e7b9cdf9f2e6e4a518b3ba994b5$$@$$dd5061631a4d11fa394f4421700ebf7e78dcbc59$$@$$695bd9bb89df717227357a4ee8d15843a11f3609$$@$$2096fc288ef32942b52602fc671a8fc1bca5c001$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6$$@$$d437d9222472afc281145254dbb17a45f6786719$$@$$91de962e115bcf65eaf8579471a818ba8c5b0ea6$$@$$034b2b97e6b23061f6f71a5e19c1b03bf4c19ec8$$@$$c6e9abf60aacc0242f50fbd27be81de05a2ca8e1
