citationID,citationName,citedReferences
0be67ba50da4cd65451d7aa343c90835ceae926b,Acceleration-to-displacement conversion as a single time-domain convolution operation,37b0dcf6dbb57074e7e7f0f81ca684be0fe9533c
6cd4f6610d233d89116b03796524199a61412ce0,Ship dynamics model identification based on Semblance least square support vector machine,4c75b748911ddcd888c5122f7672f69caa5d661f$$@$$ccce1cf96f641b3581fba6f4ce2545f4135a15e3
bfd4b15990dcfbbfdfc1765ad68a6aea90cc158b,Non-destructive detection of protein content in mulberry leaves by using hyperspectral imaging,ccce1cf96f641b3581fba6f4ce2545f4135a15e3
01b077e71ebba36ba561e844531852c4809b6ff5,Life-Cycle Gradient-Based Production Optimization Including Well-Shutoff Option with Least-Squares Support Vector Regression,ccce1cf96f641b3581fba6f4ce2545f4135a15e3
a40f2a7cad7df5b34846916db55b996d8a78b3f4,Predicting uniaxial compressive strength from drilling variables aided by hybrid machine learning,8213dbed4db44e113af3ed17d6dad57471a0c048
96464493c93f19640eaf789e076d43c9c879c5e8,Research on robust inversion model of soil moisture content based on GF-1 satellite remote sensing,ccce1cf96f641b3581fba6f4ce2545f4135a15e3
beb25719d84e5e4e3037e48111ad8edc4fb4b500,"A machine-learning-accelerated distributed LBFGS method for field development optimization: algorithm, validation, and applications",ccce1cf96f641b3581fba6f4ce2545f4135a15e3
dd6cd79e27c9c679764b40133de65679ab3e4526,Combined machine-learning and optimization models for predicting carbon dioxide trapping indexes in deep geological formations,ccce1cf96f641b3581fba6f4ce2545f4135a15e3
ef1c760ad21cc6f32908c50c3fb19203551a3ea5,Global-local least-squares support vector machine (GLocal-LS-SVM),d27c7569fdbcbb57ff511f5293e32b547acca7b3$$@$$513069c21142e76ba07a122df4119900368b1fed$$@$$ccce1cf96f641b3581fba6f4ce2545f4135a15e3
c6c6ee114058966bfbb6da3fa1e528324d93d000,Robust and optimal epsilon-insensitive Kernel-based regression for general noise models,ccce1cf96f641b3581fba6f4ce2545f4135a15e3
