citationID,citationName,citedReferences
3af5cd839d71c00ab418f6666c470ab76d6a3c94,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs).,df0f6559e5c4c3a5eb0049af299e701418b4fe40$$@$$01d3783777389fe51f938bcead1386f90ecc3bb3$$@$$83683004ff1ea7093a8db71e48d317bfefecac36$$@$$de97265c2425bf2e32c0e81c62fa6a25c711c423
ee6186e21ee82a5405bded6fa2fce33d52b4b6c0,The application of epiphenotyping approaches to DNA methylation array studies of the human placenta,df0f6559e5c4c3a5eb0049af299e701418b4fe40$$@$$83683004ff1ea7093a8db71e48d317bfefecac36
59dfdcc5e30cc93ab65743d6642f2695984f8f4e,Characterization of baseline and longitudinal DNA Methylation in patients with sporadic Parkinsons disease,f1bcbe5845406cf32742e8d2219498c23337f9a5
d82a9eabd0c8cfa8b6050943d945507e5fa63aa9,DNA Methylation Profile of CD14+ Monocytes Changes in Primary Progressive Multiple Sclerosis,de97265c2425bf2e32c0e81c62fa6a25c711c423
b1e362e7d5465462e159305753956ed9e48918dc,Evaluating Stacked Methylation Markers for Blood-Based Multicancer Detection,0feb0833012e0e542e050c156fa0c8a408db08f0
85e926fe5ca83cad1b17c6ed7f219440c8a83aed,Maternal prenatal social experiences and offspring epigenetic aging from birth to mid-childhood.,a415b8c00b8c681707256e4fd0636bf0021e8657
4e5ee8335a6411fc966f0d48846a8b30b1520a55,Epigenetic age acceleration as a biomarker for impaired cognitive abilities in adulthood following early life adversity and psychiatric disorders,83683004ff1ea7093a8db71e48d317bfefecac36
11c8eb532f64d913a7ef8b9378e1d7b2324e29fc,The prognostic value of whole-genome DNA methylation in response to Leflunomide in patients with Rheumatoid Arthritis,ff48858ce717b18a950ea6c4749c4382e661c21f
52a6127b800ade281a0c292f72bf0dae450349a9,eoPred: predicting the placental phenotype of early-onset preeclampsia using public DNA methylation data,b86d7c1cdc1533182fd76eb45af1e0dc5d081dac$$@$$df0f6559e5c4c3a5eb0049af299e701418b4fe40
f00c176fa1b549d07add685dfc418dbcb7a3ea98,Lifetime Postnatal Exposure to Perfluoroalkyl Substance Mixture and DNA Methylation at Twelve Years of Age,f1bcbe5845406cf32742e8d2219498c23337f9a5
