citationID,citationName,citedReferences
1e4d7d468d275f65f044f1b8d7e0ad39d053a2c1,An improved hybrid whale optimization algorithm for global optimization and engineering design problems,4b7595bc5e1b8b04c249c3272b0566d4432faf2c$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6$$@$$5a4c3b779dd63f4c81fc52fd75645113cdcca299
4375e7e4cb2795d65a42dba2120787175759f03a,HPDE: A dynamic Hierarchical Population based Differential Evolution with novel diversity metric,1c340a2f4030137cc393990b0146034ca616f656$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6$$@$$4b7595bc5e1b8b04c249c3272b0566d4432faf2c
997b2fd1b09965da5824a5e6b8d20a1d178295c6,A Chebyshev polynomial approach to approximate solution of differential equations using differential evolution,aa67babb7362000237e7e4dd0068b0d80b36cdf6
0ef33738901dc55db5ac9f7afb8965fd5634b890,A differential evolution algorithm for solving mixed-integer nonlinear programming problems,1c340a2f4030137cc393990b0146034ca616f656$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6
ed15edcf9f09e85c1838ffd8c14d0e36eba7c556,Indoor Environmental Quality Optimisation Model for Institutional Care Rooms of Elderly People,aa67babb7362000237e7e4dd0068b0d80b36cdf6$$@$$5a4c3b779dd63f4c81fc52fd75645113cdcca299
5634acd01dfe975dede5e99c84c383b33d114ece,Differential evolution-based neural architecture search for brain vessel segmentation,1c340a2f4030137cc393990b0146034ca616f656$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6
7d4a42f50ea2961cc662d510ed9e5caba677ba8e,Differential Evolution With Domain Transform,55238adbd3d78dc83cf906240727be02f6560470$$@$$1c340a2f4030137cc393990b0146034ca616f656$$@$$5a4c3b779dd63f4c81fc52fd75645113cdcca299$$@$$4b7595bc5e1b8b04c249c3272b0566d4432faf2c
ff648877a68a2d28f00d109d23ce5500ba0a6bf5,Differential evolution ensemble designer,1c340a2f4030137cc393990b0146034ca616f656$$@$$4b7595bc5e1b8b04c249c3272b0566d4432faf2c$$@$$85694d78476eba4312fc95d028bfd55556610316$$@$$5a4c3b779dd63f4c81fc52fd75645113cdcca299$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6
9676cf7f993ef35f3dd0a7d673b6e0bd7c56340a,A Robust Method Based on Reinforcement Learning and Differential Evolution for the Optimal Photovoltaic Parameter Extraction,4b7595bc5e1b8b04c249c3272b0566d4432faf2c$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6$$@$$5a4c3b779dd63f4c81fc52fd75645113cdcca299
448cd03e5053a50b0b1c4d1628821c24332fe95e,A differential evolution with autonomous strategy selection and its application in remote sensing image denoising,55238adbd3d78dc83cf906240727be02f6560470$$@$$1c340a2f4030137cc393990b0146034ca616f656$$@$$ca7605b6625b973f6ac626147ed2923d7c1ec534$$@$$6eb6a1e543c874271217911f0cb0786090d462ae$$@$$4b7595bc5e1b8b04c249c3272b0566d4432faf2c$$@$$5a4c3b779dd63f4c81fc52fd75645113cdcca299$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6
bd85ae6d00054ff212348a05440c756ad0420ea1,Differential evolution with migration mechanism and information reutilization for global optimization,55238adbd3d78dc83cf906240727be02f6560470$$@$$1c340a2f4030137cc393990b0146034ca616f656$$@$$4b7595bc5e1b8b04c249c3272b0566d4432faf2c$$@$$5a4c3b779dd63f4c81fc52fd75645113cdcca299$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6
60975c0b64a3ec9920f9f3790e05e98ed093e4a4,SaMDE: A Self Adaptive Choice of DNDE and SPIDE Algorithms with MRLDE,55238adbd3d78dc83cf906240727be02f6560470$$@$$1c340a2f4030137cc393990b0146034ca616f656$$@$$bb06c6c9c8fa02ff8b424b57ce7c742a18c3c0ac$$@$$4b7595bc5e1b8b04c249c3272b0566d4432faf2c$$@$$5a4c3b779dd63f4c81fc52fd75645113cdcca299$$@$$aa67babb7362000237e7e4dd0068b0d80b36cdf6
2f150e5f5bb5c6dd5af337e146d62359c2f8179a,Self-adaptive Artificial Bee Colony with a Candidate Strategy Pool,1c340a2f4030137cc393990b0146034ca616f656
