citationID,citationName,citedReferences
de6ed8470435c97edb57a7d327c0a1259fa7c9e0,Forest tree extracts induce resistance to Pseudomonas syringae pv. tomato in Arabidopsis,42b70d8c3c9a282a43665d4a0a01d5f1b2e62eb1
6bdf7fc1363595899d455de4b497b4e585e0b13f,A novel metric to improve mismatched primer selection and quantification accuracy in amplifying DNA repeats for quantitative polymerase chain reactions,6991a352bd9e409391da24bfbf4092f43166fbbb$$@$$6bf0ba6c75e57a24fb12ff40057cd441d1dd995d$$@$$66858dbe86b64cb027f665d948fc7c621749ae8c$$@$$0d21d385fe0a0192ec6a454aa0b7099d0c2240d5$$@$$f0c17fd829d0c3c5a540f4f578ce45f4170ffab0
e67aa67f2abf24e51ef9ff5fb09ca5ac9e8911c6,Polarity reversal of canine intestinal organoids reduces proliferation and increases cell death.,dea08357457ed59f599e5bf2ff3e24f5bdd42005
85481ac2bc7b33217a94bd97af9c31dcbeb1251d,Identification of multidrug chemoresistant genes in head and neck squamous cell carcinoma cells,42b70d8c3c9a282a43665d4a0a01d5f1b2e62eb1
e7bf25b7862410d8497c68f0f4a41a253244eed9,Diverse effects of prostacyclin on angiogenesis-related processes in the porcine endometrium,e7c8aa2cb2223f17615c1b1ae3b33095466e95cc
682e9f66c91ca457fa4bba8530564e61f222cdfe,Reducing Bias and Quantifying Uncertainty in Fluorescence Produced by PCR,f0c17fd829d0c3c5a540f4f578ce45f4170ffab0$$@$$6bf0ba6c75e57a24fb12ff40057cd441d1dd995d$$@$$0d21d385fe0a0192ec6a454aa0b7099d0c2240d5
195e6464f7044ead7ad3e13467f5be918a239ae4,Differential expression of genes potentially related to the callogenesis and in situ hybridization of SERK gene in macaw palm (Acrocomia aculeata Jacq.) Lodd. ex Mart.,dea08357457ed59f599e5bf2ff3e24f5bdd42005
e6432031e73c0aaa3967ce421c7b4947d21ed9ca,Insight into metabolic sensors of nitrosative stress protection in Phytophthora infestans,dea08357457ed59f599e5bf2ff3e24f5bdd42005
55d13c23cddf5a47b717fd97f4f4a91a6f7bd5a7,Mutations in NAKED-ENDOSPERM IDD genes reveal functional interactions with SCARECROW during leaf patterning in C4 grasses,e7c8aa2cb2223f17615c1b1ae3b33095466e95cc
598d8a83f8bbe75084bcf2af40da30c37cb3de97,Robust and Precise Quantitative Real-Time Polymerase Chain Reaction with an Amplification Efficiency-Aware Reaction Kinetics Model.,6991a352bd9e409391da24bfbf4092f43166fbbb$$@$$6bf0ba6c75e57a24fb12ff40057cd441d1dd995d$$@$$dea08357457ed59f599e5bf2ff3e24f5bdd42005$$@$$c46e6f6bbfe2f0298cbc27e54f5ba7184d9cd018$$@$$81c6771927fd989cd79aa00b0c9de22b057d8dd5$$@$$e7c8aa2cb2223f17615c1b1ae3b33095466e95cc$$@$$871155d86e817b47b8eec6bd8fbb87d3397e9d79$$@$$f0c17fd829d0c3c5a540f4f578ce45f4170ffab0
7e95431041e4d34597da8305d6839fd483c5a148,Effect of Pochonia chlamydosporia Endophytism and Meloidogyne incognita Parasitism on WRKYs and Defense Gene Expression in Tomato Roots,e7c8aa2cb2223f17615c1b1ae3b33095466e95cc
261737cbdfecc56bbfa8d7303334992509991d9e,Extremely low-frequency electromagnetic field (ELF-EMF) induces alterations in epigenetic regulation in the myometrium - An in vitro study.,e7c8aa2cb2223f17615c1b1ae3b33095466e95cc
279e02b38284ec8d32a88a8f3c735b571d7bebce,Selection and Validation of Reference Genes for RT-qPCR Analysis of Gene Expression in Nicotiana benthamiana upon Single Infections by 11 Positive-Sense Single-Stranded RNA Viruses from Four Genera,c46e6f6bbfe2f0298cbc27e54f5ba7184d9cd018$$@$$42b70d8c3c9a282a43665d4a0a01d5f1b2e62eb1
aa8149ea9b1c7ea615f9c8c63e20efe06dc2dbec,"Effect of Vicia sativa L. on Motility, Mortality and Expression Levels of hsp Genes in J2 Stage of Meloidogyne hapla",e7c8aa2cb2223f17615c1b1ae3b33095466e95cc
f3b7aaaf690d6ec25db81233bac7222ea67d7048,Identification of extremely GC-rich micro RNAs for RT-qPCR data normalization in human plasma,42b70d8c3c9a282a43665d4a0a01d5f1b2e62eb1
e9e95572484c222547002278de47ef4ddebdad7f,Discovery of endogenous nitroxyl as a new redox player in Arabidopsis thaliana,dea08357457ed59f599e5bf2ff3e24f5bdd42005
94dbf3c63e756f789dc6901618569ce060980815,Insights into the expression of DNA (de)methylation genes responsive to nitric oxide signaling in potato resistance to late blight disease,dea08357457ed59f599e5bf2ff3e24f5bdd42005$$@$$44bbb475d1ca9ff36ec34896a4ca43fb25ec1093
ad1670893ad630803693f754374069ec887d05c1,Comparative genomic analysis of the aldehyde dehydrogenase gene superfamily in Arabidopsis thaliana – searching for the functional key to hypoxia tolerance,dea08357457ed59f599e5bf2ff3e24f5bdd42005
14367ca730870d88c3d60e272cd3e506c5f39d43,Mechanisms involved in drought stress tolerance triggered by rhizobia strains in wheat,fc9bb5390a275a6882cbd1be3826e1f2a3cb2632$$@$$e7c8aa2cb2223f17615c1b1ae3b33095466e95cc
707d87ffad062a0f844c18160b0830af9caa4a9c,Mutations in NAKED-ENDOSPERM IDD genes reveal functional interactions with SCARECROW and a maternal influence on leaf patterning in C4 grasses,fc9bb5390a275a6882cbd1be3826e1f2a3cb2632
6c16ea318ce451076c9bc91d6cf5bc787f78e707,Heavy metal ATPase 3 expression controls zinc homeostasis in natural accessions of Arabidopsis thaliana,e7c8aa2cb2223f17615c1b1ae3b33095466e95cc
bda62c8025c6c4528f02f2316e8abb3981dd2741,qPCRtools: An R package for qPCR data processing and visualization,e7c8aa2cb2223f17615c1b1ae3b33095466e95cc$$@$$dea08357457ed59f599e5bf2ff3e24f5bdd42005
aae79d556969f8f509f6872173c86cbe91fe917e,"A Point-of-Care Device for Fully Automated, Fast and Sensitive Protein Quantification via qPCR",6991a352bd9e409391da24bfbf4092f43166fbbb$$@$$871155d86e817b47b8eec6bd8fbb87d3397e9d79
6039dbe185e4eaf9c6d1fcbc3ec563c6d96dcd88,Nitric Oxide Implication in Potato Immunity to Phytophthora infestans via Modifications of Histone H3/H4 Methylation Patterns on Defense Genes,dea08357457ed59f599e5bf2ff3e24f5bdd42005$$@$$44bbb475d1ca9ff36ec34896a4ca43fb25ec1093
5eb1dcfa241a4def336de23c6b606b6345ef4b6b,Exploring interactions between Beauveria and Metarhizium strains through co-inoculation and responses of perennial ryegrass in a one-year trial,fc9bb5390a275a6882cbd1be3826e1f2a3cb2632$$@$$e7c8aa2cb2223f17615c1b1ae3b33095466e95cc
a5d345918502def4921e98c7a2f6fe2c268ccda2,Molecular Signatures of Tumour and Its Microenvironment for Precise Quantitative Diagnosis of Oral Squamous Cell Carcinoma: An International Multi-Cohort Diagnostic Validation Study,42b70d8c3c9a282a43665d4a0a01d5f1b2e62eb1
a998a1f6653a87ea29df5050c5559515e6613c19,MqsR toxin as a biotechnological tool for plant pathogen bacterial control,e7c8aa2cb2223f17615c1b1ae3b33095466e95cc
dd524b1fdf378bd0f6ee48185abaec34bc4d942d,Transcriptome Analysis of Pacific White Shrimp (Litopenaeus vannamei) Under Prolonged High-Salinity Stress,fc9bb5390a275a6882cbd1be3826e1f2a3cb2632$$@$$e7c8aa2cb2223f17615c1b1ae3b33095466e95cc$$@$$42b70d8c3c9a282a43665d4a0a01d5f1b2e62eb1
93577de16e7bee99e344a108cfa555398dac2732,Evaluation of the molecular and physiological response to dehydration of two accessions of the model plant Setaria viridis.,dea08357457ed59f599e5bf2ff3e24f5bdd42005
34e6dd038c09cf43d9b23fc8a63f9a7da89939eb,Cq values do not reflect nucleic acid quantity in biological samples.,e7c8aa2cb2223f17615c1b1ae3b33095466e95cc$$@$$dea08357457ed59f599e5bf2ff3e24f5bdd42005
