citationID,citationName,citedReferences
a339c4125eec7dd117c69df56176645a8f9d40d2,LHNet: A Low-cost Hybrid Network for Single Image Dehazing,912b5d15a6a9fcb14919dbc1885dd42bab0687b1$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966
28f9039e41a167937e584160cfa305ce9f9824c6,Learning Non-Uniform-Sampling for Ultra-High-Definition Image Enhancement,912b5d15a6a9fcb14919dbc1885dd42bab0687b1$$@$$0cae508c7df5b20c8009dde793f956af032fa76d
aa911c3281cceaff46e06fac58f7871894364ad3,Deep Variational Bayesian Modeling of Haze Degradation Process,0cae508c7df5b20c8009dde793f956af032fa76d$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966
c6bdb5450ffc6400c1a222c7bc62690e339ac3be,Surveillance-image-based outdoor air quality monitoring,912b5d15a6a9fcb14919dbc1885dd42bab0687b1
2e4256d047e56f08ec3fe32e60933a6eb67db1b5,Uncovering local aggregated air quality index with smartphone captured images leveraging efficient deep convolutional neural network,912b5d15a6a9fcb14919dbc1885dd42bab0687b1
8d7b69951b9abcab81e1e28f6cf90d545c3d7951,Single image dehazing using extended local dark channel prior,207993506ef1dd9c84fbda2cba93f8e3e9e49966
78e4bce05b8a7d0054e13c2fd5c35573bc89c2e6,Decomposition Ascribed Synergistic Learning for Unified Image Restoration,912b5d15a6a9fcb14919dbc1885dd42bab0687b1
07bdabc9fc320314fbe15c63536c6a2355d563cb,Multi-Scale Enhancement and Sharpening Method for Visible Light Images in Underground Coal Mines,d8e64b01b2c819f4a95c6dc86df584cd2cae2d31$$@$$207993506ef1dd9c84fbda2cba93f8e3e9e49966
508025975a5d45de30d24dc1b9e32c1045e3d7ba,Fog Images Generation About Unmanned Surface Vessels with Improved Generative Adversarial Network,912b5d15a6a9fcb14919dbc1885dd42bab0687b1$$@$$0cae508c7df5b20c8009dde793f956af032fa76d
469015df6f633b53ba510ecec102254f21ca3383,GTMNet: a vision transformer with guided transmission map for single remote sensing image dehazing,912b5d15a6a9fcb14919dbc1885dd42bab0687b1$$@$$0cae508c7df5b20c8009dde793f956af032fa76d
308f44333aace50859f53325918f834ec01cd1f3,Aprogressive Image Dehazing Framework with inter and Intra Contrastive Learning,912b5d15a6a9fcb14919dbc1885dd42bab0687b1$$@$$0cae508c7df5b20c8009dde793f956af032fa76d
a9b67f0fbf4299b91d41dde696249582a2c0242f,Adaptive Image Dehazing and Object Tracking in UAV Videos Based on the Template Updating Siamese Network,207993506ef1dd9c84fbda2cba93f8e3e9e49966
