citationID,citationName,citedReferences
c7347b5899bf1c27d0cc7fdba38a2f9c4b30dbe3,Artificial-Neural-Network-Driven Innovations in Time-Varying Process Diagnosis of Low-K Oxide Deposition,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$17f4a82822309d4ba0e9b2840afc5dfaa499be97
b7dec3812d05f571cd2f937323edcb4a8d25030b,Development of compressive strength prediction platform for concrete materials based on machine learning techniques,17f4a82822309d4ba0e9b2840afc5dfaa499be97
d96fd59203d44a601efedc40db277a9772ddf1f6,Minimization of overbreak in different tunnel sections through predictive modeling and optimization of blasting parameters,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
36c1ee45d436e9c2fd1d94a52272a405fe8b75c9,GRSR - a guideline for reporting studies results for machine learning applied to Electroencephalogram data,17f4a82822309d4ba0e9b2840afc5dfaa499be97
00203b7d5afefaf4011b1ab281562c28dcddb0fd,"Rainfall forecasting in the Barak river basin, India using a LSTM network based on various climate indices",7b28610d2d681a11398eb614de0d70d7de41c20c
8ec5ff07c7ae39c8802b6bab23da8db6a54489c8,Pruning of Dendritic Neuron Model with Significance Constraints for Classification,7e640729cca5a82c205bf95f346867097446838c
f865bebf0c6fbdcf993c094196960d099fcac157,Pruning method for dendritic neuron model based on dendrite layer significance constraints,7e640729cca5a82c205bf95f346867097446838c
7141c34c70c6ef1a693c309a148a9e4447d0f038,Application Research on Risk Assessment of Municipal Pipeline Network Based on Random Forest Machine Learning Algorithm,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
80e68b876d3321f57559f80b9207cb9ee3d1d703,Block-regularized 5×2 Cross-validated McNemar's Test for Comparing Two Classification Algorithms,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$17f4a82822309d4ba0e9b2840afc5dfaa499be97
0dcbc11d240d37ce5529aeb52a052bdd163e0c61,An advanced prediction model of shale oil production profile based on source-reservoir assemblages and artificial neural networks,7b28610d2d681a11398eb614de0d70d7de41c20c
8aaba418d4820f59850748105445190e6270f74d,Large-scale quantification of groundwater recharge threshold conditions using machine learning classifications: An attempt over the Australian continent,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
966061afb6a8cd4052431f6edd2d482c428dee2f,A Comparative Study of the Use of Stratified Cross-Validation and Distribution-Balanced Stratified Cross-Validation in Imbalanced Learning,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$7e640729cca5a82c205bf95f346867097446838c
77d539cfd1b2fa2a5c941be73d2b3ca43e09f61e,Predicting the chloride diffusion coefficient and surface electrical resistivity of concrete using statistical regression-based models and its application in chloride-induced corrosion service life prediction of RC structures,17f4a82822309d4ba0e9b2840afc5dfaa499be97
61ea9b686ddcdf610a8bcfd17c4adbf97f0348ad,Using Machine Learning to Explore the Crucial Factors of Assistive Technology Assessments: Cases of Wheelchairs,17f4a82822309d4ba0e9b2840afc5dfaa499be97
411e5e9e64fd7f94135f5cd7ac537c09092a7150,A novel intelligent displacement prediction model of karst tunnels,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
f81f0f2f06513830ff27e68308078eb0b63488c7,"""When the Code becomes a Crime Scene"" Towards Dark Web Threat Intelligence with Software Quality Metrics",17f4a82822309d4ba0e9b2840afc5dfaa499be97
e6887b1a4c21cc3d870dad9949d3578104cbee15,An Artificial Intelligence Based Data-Driven Method for Forecasting Unconfined Compressive Strength of Cement Stabilized Soil by Deep Mixing Technique,7b28610d2d681a11398eb614de0d70d7de41c20c$$@$$17f4a82822309d4ba0e9b2840afc5dfaa499be97
a87104337953bab3d2e65cee1b8bc0c9c2cda44f,A Course Level Analysis of Academic Performance on Adult Learners,f38a69c657bbb7927ef032049c9ea9ba17322b15
85f0529979f7b2860781ee7dcec39a0bfb2eee33,The leave-worst-k-out criterion for cross validation,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
ef007b3dab5c2d2371c129f44bdd858bfc86c000,Machine Learning and rs-fMRI to Identify Potential Brain Regions Associated with Autism Severity,17f4a82822309d4ba0e9b2840afc5dfaa499be97
592967646d7c859d8100bd4749a8a3ba34c05b15,Device Re-identification in LoRaWAN through Messages Linkage,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
474a8024f0334fb6563dee0051366651f5622856,Numerical Method for Predicting and Evaluating the Stability of Section Coal Pillars in Underground Longwall Mining,bc8ac963dc909d019a0c6df6484aafca7dd613e7
7dd859a24a212ede0109ebf27005d70501766b66,Auto machine learning-based modelling and prediction of excavation-induced tunnel displacement,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$7b28610d2d681a11398eb614de0d70d7de41c20c
75c786c0dff7abaf4ec3d3d359e9736fea70f9e0,Empirical comparison of supervised learning techniques for missing value imputation,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$7e640729cca5a82c205bf95f346867097446838c
59db9fae62caedf66378c9e725436bfcf9ea013a,Accurate Modeling of Antenna Structures by Means of Domain Confinement and Pyramidal Deep Neural Networks,17f4a82822309d4ba0e9b2840afc5dfaa499be97$$@$$668b1277fbece28c4841eeab1c97e4ebd0079700
32d2cdbe28c51132066865fdb49c3a9b5b4ad8f7,"Geoid undulation prediction using ANNs (RBFNN and GRNN), multiple linear regression (MLR), and interpolation methods: A comparative study",8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$7b28610d2d681a11398eb614de0d70d7de41c20c
e4ee6a816aa01424f16402887cddd2bf5a2d66fb,A Novel Algorithm to Estimate the Significance Level of a Feature Interaction Using the Extreme Gradient Boosting Machine,7b28610d2d681a11398eb614de0d70d7de41c20c
45a79f1405011459943530a3e00e538cc48d35e0,Prediction and recommendation by machine learning through repetitive internal validation for hepatic veno-occlusive disease/sinusoidal obstruction syndrome and early death after allogeneic hematopoietic cell transplantation,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
e63c8dba86b8c31d28e7fa9b0112a9569f1d3123,Assessing the perception of overall indoor environmental quality: Model validation and interpretation,7b28610d2d681a11398eb614de0d70d7de41c20c
cdf475404ca943be71c52b63fb600b941e7a6c3d,A Machine Learning Framework for Olive Farms Profit Prediction,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
7bb52ab3f817e8b633d9964b32a42bd290c7e771,Finite Mixture Modeling for Program Evaluation: Resampling and Pre-processing Approaches,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
7cff59716f7a674bd7d655e77d4931ac52c1844b,Treatment selection using prototyping in latent-space with application to depression treatment,7e640729cca5a82c205bf95f346867097446838c
483d4dc8dec118add2e71cc6898b3e9cecdce194,Profile electoral college cross-validation,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$17f4a82822309d4ba0e9b2840afc5dfaa499be97
b8a406f9b94f47e8fb341f77996ac97fb339db0e,Influence of Spatial Scale Selection of Environmental Factors on the Prediction of Distribution of Coilia nasus in Changjiang River Estuary,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
20a3e6bab89e33e46ad010a1ec1dc2eeee8cd905,A Neural Networks Approach to Determine Factors Associated With Self-Reported Discomfort in Picking Tasks.,15252afe259894bd3d0f306f29eca5e90ab05eac
d23f474bdb3f485b4393b93191ce24b8094353ec,Nonlinear Uncertainty Modeling between Bridge Frequencies and Multiple Environmental Factors Based on Monitoring Data,17f4a82822309d4ba0e9b2840afc5dfaa499be97
7977effb93a71c58d77f1bdb9d9d60ec8f509d9a,CSGBBNet: An Explainable Deep Learning Framework for COVID-19 Detection,17f4a82822309d4ba0e9b2840afc5dfaa499be97
7a88906e3ad4c4ed504bea3978d86df1fd746962,Honest leave‐one‐out cross‐validation for estimating post‐tuning generalization error,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$75f8a4d7ed6a0f32fa098cac967de247938d9ce5$$@$$7b28610d2d681a11398eb614de0d70d7de41c20c$$@$$17f4a82822309d4ba0e9b2840afc5dfaa499be97
21da55355da9621876a17ee61d03ff3b12621fd0,Multi–Joint Angles Estimation of Forearm Motion Using a Regression Model,7b28610d2d681a11398eb614de0d70d7de41c20c
0d822942dbe8fc5ac7988686c5f4bce32a60e51f,Deep learning for predictions of hydrolysis rates and conditional molecular design of esters,17f4a82822309d4ba0e9b2840afc5dfaa499be97
9907b3177d7e8dffcbb9d10e5b514dfa9bdf817c,CLONE: Collaborative Learning on the Edges,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
3d930f5764a61cce1e4c6e61f3d5ce62dcd06696,"National-scale electricity peak load forecasting: Traditional, machine learning, or hybrid model?",17f4a82822309d4ba0e9b2840afc5dfaa499be97
8d8ae709fc02ca8e66be4225226f4570ff370f80,Normalized unitary synaptic signaling of the hippocampus and entorhinal cortex predicted by deep learning of experimental recordings,17f4a82822309d4ba0e9b2840afc5dfaa499be97
f4c2b133647d5e086d930b26b1fe12631e342f11,"Diagnosis of Diabetes Mellitus in Women of Reproductive Age using the Prediction Methods of Naive Bayes, Discriminant Analysis, and Logistic Regression",17f4a82822309d4ba0e9b2840afc5dfaa499be97
1a3699b868c4f4981f6604d320851c2831326983,The Evaluation of the Corrosion Rates of Alloys Applied to the Heating Tower Heat Pump (HTHP) by Machine Learning,17f4a82822309d4ba0e9b2840afc5dfaa499be97
2d5cd7f86ea2b3106c466898fdce5e25e2b81292,Sequential Motion Primitives Recognition of Robotic Arm Task via Human Demonstration Using Hierarchical BiLSTM Classifier,17f4a82822309d4ba0e9b2840afc5dfaa499be97
de5505e4f0579ff9afce493679146b79b203778d,Applications of Artificial Intelligence on the Modeling and Optimization for Analog and Mixed-Signal Circuits: A Review,668b1277fbece28c4841eeab1c97e4ebd0079700
e5ff928cdb498e6eae623c2c4209956588000ef4,Decision-Tree-Initialized Dendritic Neuron Model for Fast and Accurate Data Classification,7e640729cca5a82c205bf95f346867097446838c
ed05a43f6111f53bd222e0bcaad391beb17e5def,Has the Flood Entered the Basement? A Systematic Literature Review about Machine Learning in Laboratory Medicine,17f4a82822309d4ba0e9b2840afc5dfaa499be97
a8657670940741c5db215c0aefa50d6b1a4132da,Mechanistically Informed Machine Learning and Artificial Intelligence in Fire Engineering and Sciences,668b1277fbece28c4841eeab1c97e4ebd0079700
57d319bdd416199f10948f20ef14d94be448d8d1,Validating model-based data interpretation methods for quantification of reserve capacity,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$17f4a82822309d4ba0e9b2840afc5dfaa499be97
dfeb67880b4da0e5973ed1cb215cf7dc8f242c3f,Machine learning and natural language processing (NLP) approach to predict early progression to first-line treatment in real-world hormone receptor-positive (HR+)/HER2-negative advanced breast cancer patients.,7e640729cca5a82c205bf95f346867097446838c
daba79ac8eec95eb560320c1f5d9f71cd4cfbdf1,Leave Zero Out: Towards a No-Cross-Validation Approach for Model Selection,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$7e640729cca5a82c205bf95f346867097446838c$$@$$7b28610d2d681a11398eb614de0d70d7de41c20c
1c0e30e1780a26edb3cded5e8cf271f163596859,Machine Learning Feature Extraction Based on Binary Pixel Quantification Using Low-Resolution Images for Application of Unmanned Ground Vehicles in Apple Orchards,17f4a82822309d4ba0e9b2840afc5dfaa499be97
1f096ac6c91d23a8c703e59af55bcc3d8210d9e3,"Machine learning, waveform preprocessing and feature extraction methods for classification of acoustic startle waveforms",8c70a0a39a686bf80b76cb1b77f9eef156f6432d
8f4ab8fd013ec000ef4c092ad80673543ace5aec,Software defect prediction using K-PCA and various kernel-based extreme learning machine: an empirical study,17f4a82822309d4ba0e9b2840afc5dfaa499be97
f939c2131b14168d7915225c60313d29c6efcff8,Identification of Electromagnetic Pre-Earthquake Perturbations from the DEMETER Data by Machine Learning,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
98e51a3302200c73c6405a119d94fd80ad296d29,Classification of young healthy individuals with different exercise levels based on multiple musculoskeletal ultrasound images,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
96b2abdd5ee5c83749df5ccfa59ec74110a4bf9b,Political Skill Improves the Effectiveness of Emotional Intelligence: Bayesian Network Analysis in the Construction Industry,f38a69c657bbb7927ef032049c9ea9ba17322b15
11232332e786c98e56c8d475a743a55400e54e9c,Impact of COVID-19 on city-scale transportation and safety: An early experience from Detroit,8c70a0a39a686bf80b76cb1b77f9eef156f6432d
bd9a698efc195e82ed2a2bce408ae6fd0c8ebf56,Reliable Accuracy Estimates from k-Fold Cross Validation,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$7e640729cca5a82c205bf95f346867097446838c$$@$$17f4a82822309d4ba0e9b2840afc5dfaa499be97
269399efa7010e7a3ebfe3d9bf6f3dde527a83db,A Framework for the Cross‐Validation of Categorical Geostatistical Simulations,8c70a0a39a686bf80b76cb1b77f9eef156f6432d$$@$$7b28610d2d681a11398eb614de0d70d7de41c20c
edc8b62d8af67815c7ffd89492bccb96ae7cebbd,The Classification Performance and Mechanism of Machine Learning Algorithms in Winter Wheat Mapping Using Sentinel-2 10 m Resolution Imagery,17f4a82822309d4ba0e9b2840afc5dfaa499be97
eca30c3f3a6cbcf9a7dd0b24c96220e01f48927b,Epileptic EEG Signal Classification Using Convolutional Neural Networks Based on Optimum Window Length and FFT's Length,668b1277fbece28c4841eeab1c97e4ebd0079700
