citationID,citationName,citedReferences
aa8919eeac69eb02d48f66a5d8864a6a54d5f3cc,A lightweight RGB superposition effect adjustment network for low-light image enhancement and denoising,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$52bf39e5b3f98e4dceed4180125861126c32a8cb$$@$$51d267b782e7caf2b6bc7240b1a5f48044ffe115$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$39ea5cdda15e571acb86b9e7144bd8dbabb3f1db$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
eff4cd3189ebbe0e5ef48c5616056ee50afcff37,A systematic approach for enhancement of homogeneous background images using structural information,57632f82553f34bce21cc8419bc5381d50096592$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
44572ecd0b7dc88da5c96ca857ab809dacaed77e,"LEES-Net: Fast, lightweight unsupervised curve estimation network for low-light image enhancement and exposure suppression",e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$c8f3bd1e3a95d5af250489ecb1cf162b20d10415$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$39ea5cdda15e571acb86b9e7144bd8dbabb3f1db$$@$$7349347b74af738b0bde62d11f582e5aaaea9548
ef189445cd5b1aa7b531f81a6366b854a8192d98,A depth iterative illumination estimation network for low-light image enhancement based on retinex theory,114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$f7eecdeb5cf4352111060754871e8f9843364c36
880d40b79419663485f7f3a154b0d51013147418,Dynamic Association Learning of Self-Attention and Convolution in Image Restoration,f7eecdeb5cf4352111060754871e8f9843364c36$$@$$5c90d7d1287eff26464225f77da814f479a0beac$$@$$1c5749e68ff8f9e75bb5e655a1b49287ce076ce0
6667597ad1c3310fbbb0afd501fa94103b153e08,A Roadheader Positioning Method Based on Multi-Sensor Fusion,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9
df9fa85d1674879e648e62126743cd8dc1e19841,Zero-Shot Enhancement of Low-Light Image Based on Retinex Decomposition,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$c5af6ecd188058eee9d0594ff90e4ed47e27c283$$@$$bb2f018cb48c3d5b78fe0c264e285107fd979f6c$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
2406e49e300430c5b2aa8166235bcbd564ba97d2,Multi-exposure image fusion via perception enhanced structural patch decomposition,741333428f79185d9aa33701cebaf1b0bc33127d
02924022444302f980da9c15564e145f2c455299,Global-and-local aware network for low-light image enhancement,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$57632f82553f34bce21cc8419bc5381d50096592$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2$$@$$1c5749e68ff8f9e75bb5e655a1b49287ce076ce0
38d72d1c03f81e0a78802bde3d675e7909f39132,A Semi-Supervised Network Framework for low-light image enhancement,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$1c5749e68ff8f9e75bb5e655a1b49287ce076ce0$$@$$52bf39e5b3f98e4dceed4180125861126c32a8cb$$@$$51d267b782e7caf2b6bc7240b1a5f48044ffe115$$@$$39ea5cdda15e571acb86b9e7144bd8dbabb3f1db$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
176a31e61a636165362322cc1d070b100f16e8d3,BOLD-net: Brightness enhancement for old images using deep curve estimation and attention modules,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$57632f82553f34bce21cc8419bc5381d50096592$$@$$52bf39e5b3f98e4dceed4180125861126c32a8cb$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
1628a1c841261f1d8eed837e0c7d1da8483a4098,Unsupervised Lighting Reflectance Estimation for Robot Monitoring Under Poor Illuminance,114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2$$@$$52bf39e5b3f98e4dceed4180125861126c32a8cb
a1e8a799b8784bb688ff7a823baeaf3a55bea0d9,Multi-scale dynamic fusion for correcting uneven illumination images,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$776063114234992a774abd6f8d34632acd72ae36$$@$$c5af6ecd188058eee9d0594ff90e4ed47e27c283$$@$$900d8546e441094acbc09e90cb4c27e106e5cac9$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449
7aaf9d1ef4891f70aa25aaa073857ac699c4f48f,MWA-MNN: Multi-patch Wavelet Attention Memristive Neural Network for image restoration,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2
612dc31fb673fa283cd127eae152f1cd3acac68b,Unsupervised image enhancement under non-uniform illumination based on paired CNNs,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2
635a9bb245de225347800d9a97c01df12f49af5c,Enhancement of various images using coefficients obtained from a class of Sakaguchi type functions,741333428f79185d9aa33701cebaf1b0bc33127d
fac7ba46d80476f50524127899ff7490784f6595,Self-Supervised Non-Uniform Low-Light Image Enhancement Combining Image Inversion and Exposure Fusion,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$39ea5cdda15e571acb86b9e7144bd8dbabb3f1db$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
6380a9fda081a1d74a157ea83f73a63bcc719284,Global Structure-Aware Diffusion Process for Low-Light Image Enhancement,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$c5af6ecd188058eee9d0594ff90e4ed47e27c283$$@$$e50173ada60f99581fc0b253f046a959b69d088e
af2ab9bb59357a22dd4557b4fd089b08b5cd3504,Cross-Illumination Video Anomaly Detection Benchmark,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2
30411cb14413a6b8b781b918e359495b398a9708,A Reference-free Self-supervised Domain Adaptation Framework for Low-quality Fundus Image Enhancement,fb7621c9bf7acdca786ea4619dd0f296994196c9
89c88a3adbdb46c2fe45adc7832be43f87a819b6,LDRM: Degradation Rectify Model for Low-light Imaging via Color-Monochrome Cameras,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$1c5749e68ff8f9e75bb5e655a1b49287ce076ce0
5ca72851d88b58ae39bda8ea8a41aadcaf1ccac1,Enhancement of Low-Light Images Using Illumination Estimate and Local Steering Kernel,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
f5a5d6de997dfd06a1eea9c226e6c9741460c7ea,A deep Retinex network for underwater low-light image enhancement,fb7621c9bf7acdca786ea4619dd0f296994196c9
0483fbc965b58c73e22323e9cc182161805fd9a6,Low-light image enhancement combining dehazing and auxiliary channels,900d8546e441094acbc09e90cb4c27e106e5cac9
87058adfce9fc42e4fce1c526db264fdc673c3fc,ITRE: Low-light Image Enhancement Based on Illumination Transmission Ratio Estimation,86a8925bce624b8abdab2380e7c22292ed978d13$$@$$e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$3d22552235f5c51d33b657fb816050820c6e055e$$@$$57632f82553f34bce21cc8419bc5381d50096592$$@$$c5af6ecd188058eee9d0594ff90e4ed47e27c283$$@$$bb2f018cb48c3d5b78fe0c264e285107fd979f6c$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$39ea5cdda15e571acb86b9e7144bd8dbabb3f1db$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
82b4f7d972a6e75aca67178e37d285744c83cc0d,Llieformer: A Low-Light Image Enhancement Transformer Network with a Degraded Restoration Model,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$51d267b782e7caf2b6bc7240b1a5f48044ffe115
742ca31aca8676e33650feb4026809edfdaa504c,ELEGAN: An Efficient Low Light Enhancement GAN for Unpaired Supervision,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2$$@$$1c5749e68ff8f9e75bb5e655a1b49287ce076ce0
292d77bcbccaa82ea2053f424c497f4f3335a63e,Subjective Quality Assessment of Enhanced Retinal Images,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
940134448d1bc596b2e79a7a1e4ff0653ac2a3ea,DLEN: Deep Laplacian Enhancement Networks for Low-Light Images,f048dce88f1de442a4f7aede4f5724dcf75965e2
a7c741d66be2dca8d62cc8a21a53d01137a2662f,Progressive convolutional transformer for image restoration,51d267b782e7caf2b6bc7240b1a5f48044ffe115$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9
88b1ce12014530392019a8e98c3b6a06312502d5,Ship detection in haze and low-light remote sensing images via colour balance and DCNN,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$c8f3bd1e3a95d5af250489ecb1cf162b20d10415$$@$$18e89ca5648149bb89d7943e5554bc709b40dc36
99ec5e7429752d0697c1c7a75cb403166b452028,Perceptual Quality Assessment of Enhanced Colonoscopy Images: A Benchmark Dataset and an Objective Method,741333428f79185d9aa33701cebaf1b0bc33127d
5d94b49569d6a1e5997b4edb7cefa5317720964d,Weighted Side-window based Gradient Guided Image Filtering,bb2f018cb48c3d5b78fe0c264e285107fd979f6c
27d5ceb264260bef6ad58871de257b1ed72d3879,N-LoLiGan: Unsupervised Low-Light Enhancement GAN with an N-Net for Low-Light Tunnel Images,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$52bf39e5b3f98e4dceed4180125861126c32a8cb
db79931458fc4ea5361cc7e64f3063b1a1b3210e,Image Restoration via Low-Illumination to Normal-Illumination Networks Based on Retinex Theory,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$52bf39e5b3f98e4dceed4180125861126c32a8cb$$@$$c5af6ecd188058eee9d0594ff90e4ed47e27c283$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$39ea5cdda15e571acb86b9e7144bd8dbabb3f1db
2df78f6d431fb40703b9d8e9cfe465e758cb1e92,SAGAN: Deep semantic-aware generative adversarial network for unsupervised image enhancement,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$57632f82553f34bce21cc8419bc5381d50096592$$@$$c5af6ecd188058eee9d0594ff90e4ed47e27c283$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$39ea5cdda15e571acb86b9e7144bd8dbabb3f1db$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
363919fac167e1cb270651a64bba1a926ba12655,A non-regularization self-supervised Retinex approach to low-light image enhancement with parameterized illumination estimation,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$57632f82553f34bce21cc8419bc5381d50096592$$@$$52bf39e5b3f98e4dceed4180125861126c32a8cb$$@$$c5af6ecd188058eee9d0594ff90e4ed47e27c283$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
1b137a0e5699c2e27eefd17009ddd2b8df4c347c,ULBPNet: Low-light image enhancement using U-shaped lightening back-projection,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$fb7621c9bf7acdca786ea4619dd0f296994196c9$$@$$52bf39e5b3f98e4dceed4180125861126c32a8cb$$@$$c5af6ecd188058eee9d0594ff90e4ed47e27c283$$@$$114ef0ee39bfe835f7df778f36a8ad60571f5449
fc2dca6575b25f4aff077fdd04f2aa93f7391253,Target Search for Joint Local and High-Level Semantic Information Based on Image Preprocessing Enhancement in Indoor Low-Light Environments,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$900d8546e441094acbc09e90cb4c27e106e5cac9$$@$$741333428f79185d9aa33701cebaf1b0bc33127d
05a53f5861ba79e01897c7779917dbfb752e5df0,Joint Correcting and Refinement for Balanced Low-Light Image Enhancement,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2$$@$$1c5749e68ff8f9e75bb5e655a1b49287ce076ce0
b713965f94374b2b89eaacd86c22701646f14815,Yeast cell detection using fuzzy automatic contrast enhancement (FACE) and you only look once (YOLO),f7eecdeb5cf4352111060754871e8f9843364c36$$@$$5c90d7d1287eff26464225f77da814f479a0beac$$@$$39ea5cdda15e571acb86b9e7144bd8dbabb3f1db
a6c5179a3498ffeccf656d4282fd4d007558a377,Bootstrap Diffusion Model Curve Estimation for High Resolution Low-Light Image Enhancement,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$39ea5cdda15e571acb86b9e7144bd8dbabb3f1db$$@$$f048dce88f1de442a4f7aede4f5724dcf75965e2
c3d9e9aeddfc887c01fcf504d70db15255b23a35,DBENet: Dual-Branch Brightness Enhancement Fusion Network for Low-Light Image Enhancement,114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$51d267b782e7caf2b6bc7240b1a5f48044ffe115$$@$$f7eecdeb5cf4352111060754871e8f9843364c36
a8a230fa18d904176af58ad40aad971543adb0f0,Double Domain Guided Real-Time Low-Light Image Enhancement for Ultra-High-Definition Transportation Surveillance,e6887e7b20007c88aa0e9c48626f165d05eee273$$@$$900d8546e441094acbc09e90cb4c27e106e5cac9$$@$$52bf39e5b3f98e4dceed4180125861126c32a8cb
f39ee8247bbc85c345f28fda15401e488f70b829,Low-Light Image Enhancement Algorithm Based on Deep Learning and Retinex Theory,114ef0ee39bfe835f7df778f36a8ad60571f5449$$@$$f7eecdeb5cf4352111060754871e8f9843364c36$$@$$52bf39e5b3f98e4dceed4180125861126c32a8cb
