citationID,citationName,citedReferences
54d9997441935db5d4d485b2ad0fa8db6c8807f3,Optimization Design for Sparse Planar Array in Satellite Communications,f8d5bb474876a84585f4bce837e7a94df992636c
05306122f3bc333d28290b1380b0910dee798243,Conic optimization: A survey with special focus on copositive optimization and binary quadratic problems,e309a155425162cf3b363b9393291b4f568416a0
fa8ece9f91b2f4d1acae4a8dfa0d0fe63cb3d82a,KDE distributionally robust portfolio optimization with higher moment coherent risk,6d07eec4d28ba277cfca3949157c0bcd3587e813
441d8246cf31ab6c6a1505c992e3d4e171d9d355,Robust optimization approaches for portfolio selection: a comparative analysis,6d07eec4d28ba277cfca3949157c0bcd3587e813
7a19a1949270a701e92aedbe6d1a851c74d920af,Optimal design for manipulation of random consensus over discrete information in networked systems,e309a155425162cf3b363b9393291b4f568416a0
6aa0db14e8929ee6abc9b63568d31b2c9d91afc8,Logarithmic barrier methods and linear connections on manifolds,e309a155425162cf3b363b9393291b4f568416a0
49ac00d0124261bb0e7c4c45eff1d10c0f90a2cf,Robust Optimization for Models with Uncertain Second-Order Cone and Semidefinite Programming Constraints,613ea17fb9c1a06aacc8084042725d5830005129$$@$$6d07eec4d28ba277cfca3949157c0bcd3587e813$$@$$e0a0a3172e08f26cd78eb8aeba041592c709b16d
ec0c0b4f8a2ea17f2a4011c02cb68b1c502cb00b,A pseudo-equilibrium finite element for limit analysis of Reissner-Mindlin plates,3bfb016acdf1ca78cadbd91600acb3a8b256f8f7
97b2118121de5732ece056fedd2a47e790e06df6,A robust least square approach for forecasting models: an application to Brazil’s natural gas demand,e0a0a3172e08f26cd78eb8aeba041592c709b16d$$@$$e334d5d905c81a1b7766aaae4f9500b918fe1431
9662d65589e4aacd522b0cf89e2c04d6d9145554,An Inexact Augmented Lagrangian Method for Second-Order Cone Programming with Applications,acd6dbb9b562422c3107f93c7719c52ede46bfac
3e348ea279c0f01d546c4a0a57717dfb6b5acb1c,Risk Return Trade-Off in Relaxed Risk Parity Portfolio Optimization,6d07eec4d28ba277cfca3949157c0bcd3587e813
2aad7baea7da2fc91a7cbbb290de1f7fbd7011df,Global optimality in minimum compliance topology optimization of frames and shells by moment-sum-of-squares hierarchy,0b86adf2a8cc849c2d4a77a3c87cf0db69edadd4$$@$$e309a155425162cf3b363b9393291b4f568416a0
b30735dc72f94126c0bd5b9739e24bea4d17d6a3,Hedging crash risk in optimal portfolio selection,e309a155425162cf3b363b9393291b4f568416a0
8c414c461341b1f5f65967b9dcc6ed794acfe1f3,Absolute value equations with uncertain data,6d07eec4d28ba277cfca3949157c0bcd3587e813
ce6edce4917603b688032d205f0d38e7b3d022ea,A robust least squares based approach to min‐max model predictive control,e0a0a3172e08f26cd78eb8aeba041592c709b16d
9d49c0424b621548a41ca4806fe232c60bce4f05,A Proximal Multiplier Method for Convex Separable Symmetric Cone Optimization,e309a155425162cf3b363b9393291b4f568416a0
762e0fb5b387ef229924ef15be6a0896f95f10a9,"Maximizing products of linear forms, and the permanent of positive semidefinite matrices",97c47de1aae432f90554f3de8f58e90096c54876
7161bb4f8b43d7c3654b55b55573cca364563317,Return-mapping algorithms for associative isotropic hardening plasticity using conic optimization,24ae650ff1a45636073fe594bfd3e5c936455d73
d3a7cbd478f02b6b79561c9b925c33ec6af58011,Robust trade-off portfolio selection,97c47de1aae432f90554f3de8f58e90096c54876
8deebab6ce6988e4775f066ecb91471bf1f91abb,The decompositions with respect to two core non-symmetric cones,e309a155425162cf3b363b9393291b4f568416a0
a803c04d48d0e0011f1e99847c3da604322c0487,Sharp upper and lower bounds for maximum likelihood solutions to random Gaussian bilateral inequality systems,705f548415b5ed2a4821464f82c188344102a5c0
7e96b8a1a659c79ffd19fd0e499b40cc901002ae,An Inexact Modified Newton Method for Viscc and Application in Grasping Force,8c908cb888ca77c4a31cfe45ef5fb43d437ed53b$$@$$23aeaa3e0321dd812a7209d07a10d9a1556de6f3
c3777c1a8ce1001deab542ddc2f92e46c2f0ad68,One-shot entanglement distillation beyond local operations and classical communication,e309a155425162cf3b363b9393291b4f568416a0
2f5562af7ef9c08bfc84215f078d388dbae18cb8,Theorems of the alternative for conic integer programming,e309a155425162cf3b363b9393291b4f568416a0
d56c58c2c47951112f44950b9b236303f6e52a3e,Fail-safe truss topology optimization,0b86adf2a8cc849c2d4a77a3c87cf0db69edadd4
5a90b877b50a7aba2adbe26c26caafe665323f27,Grasping Force Optimization for Multi-fingered Robotic Hands Using Projection and Contraction Methods,918512f5b5240234fc13ba6cf4a29a6e6a64f5fc
bfa2ca1e55f71883613ffefdd5acca8c04752dde,A new collaborate neuro-dynamic framework for solving convex second order cone programming problems with an application in multi-fingered robotic hands,da1b74ef95d8280a5487ddc305b5a4d2a48ae15e
1de3dade00cf55ebc416b4b239aeaf2fcabd2ad2,Complex portfolio selection via convex mixed-integer quadratic programming: a survey,613ea17fb9c1a06aacc8084042725d5830005129$$@$$6d07eec4d28ba277cfca3949157c0bcd3587e813$$@$$e0a0a3172e08f26cd78eb8aeba041592c709b16d
abda0632c3be56f3577bd2662cca7a6b7922325a,"Approximate and exact optimal designs for 
$$2^k$$
2
k
 factorial experiments for generalized linear models via second order cone programming",e309a155425162cf3b363b9393291b4f568416a0
df0cddebe5c19bedc5830eae0d11e7ca400058ff,Statistical Inference of Second-Order Cone Programming,e0a0a3172e08f26cd78eb8aeba041592c709b16d
0ccec8eaca289ab7baca50f15f0f69a18613f731,Efficient Solutions of Interval Programming Problems with Inexact Parameters and Second Order Cone Constraints,24ae650ff1a45636073fe594bfd3e5c936455d73
1b34ed84ff1b5496502dd51f07da723076431303,Primal interior-point decomposition algorithms for two-stage stochastic extended second-order cone programming,a80a1953b4382401c1e48491931067c403553fcd$$@$$73c82f0630015c181d7ae6a7ff1d186dc26e29af
815e041499a47721b083a7067dcb14005eacb26c,Quadratic convergence to the optimal solution of second-order conic optimization without strict complementarity,73c5e7c1d8362e26c2aed7440c975fca0a4869b2$$@$$24ae650ff1a45636073fe594bfd3e5c936455d73
ea975d51bdb3032439796798aa9263d4c9e60386,Optimum and Suboptimum Transmit Beamforming,e309a155425162cf3b363b9393291b4f568416a0
900217cb6a0fce6e0a07123491d8ab57fe0dbda7,A guide to conic optimisation and its applications,e309a155425162cf3b363b9393291b4f568416a0
6d50560b2cd5c5d9243a052d72068326e91bebbd,Resource Allocation Techniques forNon-Orthogonal Multiple AccessScheme for 5G and Beyond WirelessNetworks,e309a155425162cf3b363b9393291b4f568416a0
c87b265eb26de40f1f1b414fa76319a65ddfd385,The relaxation modulus-based matrix splitting iteration methods for circular cone nonlinear complementarity problems,e309a155425162cf3b363b9393291b4f568416a0
941d394e562f7caee7a1efaca9612700c24f6250,Optimization Methods in Finance,613ea17fb9c1a06aacc8084042725d5830005129$$@$$6d07eec4d28ba277cfca3949157c0bcd3587e813$$@$$e0a0a3172e08f26cd78eb8aeba041592c709b16d$$@$$24ae650ff1a45636073fe594bfd3e5c936455d73
d2de22378d7b276bbcf3efaca01ed5adb6bfe2ce,Lower bound multiscale element for in situ cast joints in triaxial stress,e309a155425162cf3b363b9393291b4f568416a0
9c938b393bc2119628372da406a8444f395d6b75,Numerical shape-from-shading revisited,73c82f0630015c181d7ae6a7ff1d186dc26e29af
71c121c438da62f0d9bf1e3099f6ea518c7d94bf,Primal Dual Interior Point Methods for Type-2 Second Order Cone Optimization,24ae650ff1a45636073fe594bfd3e5c936455d73
d4864a5989590fabaec4f0e35531c45d83829f43,On optimizations with magnitude constraints on frequency or angular responses,f8d5bb474876a84585f4bce837e7a94df992636c
3c800446efe9a2bf759b6ee8afe66085f39a6090,Pattern synthesis of a practical conformal hydrophone array via second-order cone programming,f8d5bb474876a84585f4bce837e7a94df992636c
7eda1421f022fe91ee77dbb666a19c561022ec81,Optimal Risk Transfer: A Numerical Optimization Approach,73c5e7c1d8362e26c2aed7440c975fca0a4869b2$$@$$24ae650ff1a45636073fe594bfd3e5c936455d73
