citationID,citationName,citedReferences
998fcb19e3cecc7686005622b66a06fb72f08850,A Method of Image Dehazing Based on Atmospheric Veil Prediction by ResNet,ed4683971a9a8adc18282ce47bd593b896cb5c28
28f9039e41a167937e584160cfa305ce9f9824c6,Learning Non-Uniform-Sampling for Ultra-High-Definition Image Enhancement,ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37
aa911c3281cceaff46e06fac58f7871894364ad3,Deep Variational Bayesian Modeling of Haze Degradation Process,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37
ea10b833b6082013ff12c014c2a25b4bc3fabd76,A FPGA-based System Implementation of Single Image Haze Removal using Improved Dark Channel Prior,7098bce6979dc00502f738746c7a6927a3c763d4
3004a2c39606cbdf8a93e17a5af21c813d463441,USCFormer: Unified Transformer With Semantically Contrastive Learning for Image Dehazing,1deb84164223a3468a80b376befc7e0b7261a36b
d7c18a1c62a7b945f6d2dbf0039b95f018776a15,Digital image processing realized by memristor-based technologies,1deb84164223a3468a80b376befc7e0b7261a36b
8c68dbf92234f6816cc25b4d4e193bc4cfe76c44,A multi-stage feature fusion defogging network based on the attention mechanism,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
c141a72d71fd5b81124bd86ec59bce212f157ad4,Deep guided transformer dehazing network,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$1f59f40be27ea17b40d5d54367624e89fc3b6659$$@$$da8a5b3e01ed2a65c0ae5664c1c96e4cee22b843
9c1fc0056b32d18116753e5efd2b8f4804259d97,Gradient-Based Metrics for the Evaluation of Image Defogging,273f7ea6405102e10cde42075b3aed33991d43dd
21638db787615663252f73f19494f0bac8582cb2,Design and implementation of hardware-efficient architecture for saturation-based image dehazing algorithm,1deb84164223a3468a80b376befc7e0b7261a36b
37775e38b9ea0c2d0a0d10f93bd0ab4415a76a16,Image Defogging Based on Regional Gradient Constrained Prior,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
02ca0a121cc33753b4546693acb281df663f9c1d,Rapid Fog-Removal Strategies for Traffic Environments,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e
a717d2f2ee0693260fe8069ea7c8eee67b941d8d,Block-based multi-scale image enhancement method for industrial inspection system,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
54ea1905599aab80b3ce0058420cbd4ed1ad8fab,Enhancing Visibility in Nighttime Haze Images Using Guided APSF and Gradient Adaptive Convolution,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
8d7b69951b9abcab81e1e28f6cf90d545c3d7951,Single image dehazing using extended local dark channel prior,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37$$@$$7098bce6979dc00502f738746c7a6927a3c763d4$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
1598771edf5990d9badbb9e081cf8275c41f0cc0,Prioritized air light and transmittance extraction (PATE) using dual weighted deep channel and spatial attention based model for image dehazing,ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$273f7ea6405102e10cde42075b3aed33991d43dd$$@$$8a87450a0a27f487dc17b3e99a4e6ec109cd78f8$$@$$da8a5b3e01ed2a65c0ae5664c1c96e4cee22b843$$@$$e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$85ed33334c6c3bf7e75d5c3f12e07abd4aa50fa9
07bbbb13d34a77e2e4a001044e5c4fd03dfd7b35,Single Image Dehazing Using Saturation Line Prior,ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37$$@$$da8a5b3e01ed2a65c0ae5664c1c96e4cee22b843$$@$$e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$85ed33334c6c3bf7e75d5c3f12e07abd4aa50fa9
9eaeef2911923695b4cb8881c95f4b126aa8cf81,Image fusion dehazing algorithm based on multi-logarithmic transform,7098bce6979dc00502f738746c7a6927a3c763d4$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
330edfc61b3e58534ddb67332a05f3c84ad63060,Bright-Dark Channel Defogging Algorithm Based on SLIC Super-pixel Segmentation,7098bce6979dc00502f738746c7a6927a3c763d4
d39239608dcf61a1db47457811b18d1b8efd2b58,Detection of Targets in Road Scene Images Enhanced Using Conditional GAN-Based Dehazing Model,cc1df05421605eddff9be800af763014b2ceeba5
51441e63d3fb7bd9683d575738806e62b9993ff5,Removing Scattered Light in Biomedical Images,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$7098bce6979dc00502f738746c7a6927a3c763d4$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
29a5b82d4fc061746f31951edc071751e4c45f2b,Multi-Purpose Oriented Single Nighttime Image Haze Removal Based on Unified Variational Retinex Model,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$85ed33334c6c3bf7e75d5c3f12e07abd4aa50fa9$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
d35f6cacf0944e45682c99fb91af1a92d1401372,A new Gaussian curvature of the image surface based variational model for haze or fog removal,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$7098bce6979dc00502f738746c7a6927a3c763d4$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
55361fec60bcfb5b22100673f09b383f95761852,Boundary-constrained robust regularization for single image dehazing,54900a7eaedf27db2ae351df0016d1ffbcf2a068$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
fa7839783c0267ee2abcdbc55973e215d578f6fd,Novel parametric based time efficient portable real-time dehazing system,e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$1f59f40be27ea17b40d5d54367624e89fc3b6659$$@$$da8a5b3e01ed2a65c0ae5664c1c96e4cee22b843
003080d0688cf50fe8e76394bb61f11c34321a94,Deep multi-scale network for single image dehazing with self-guided maps,ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
d913fe225d6666cfd72c7df0a1fcf3253fdf5eed,Dataset for Face-mask Recognition in Poor Visibility Conditions based upon IoT enabled Robotics,da8a5b3e01ed2a65c0ae5664c1c96e4cee22b843
82786fae57e34e0f2f36feaf68e2304e31d060cc,A New Robust Scale-Aware Weighting-Based Effective Edge-Preserving Gradient Domain Guided Image Filter for Single Image Dehazing,8a87450a0a27f487dc17b3e99a4e6ec109cd78f8$$@$$da8a5b3e01ed2a65c0ae5664c1c96e4cee22b843$$@$$cc1df05421605eddff9be800af763014b2ceeba5$$@$$e978d5da4e9b6fb9ba6c079e077af7a92e38dc1e$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$54900a7eaedf27db2ae351df0016d1ffbcf2a068$$@$$1deb84164223a3468a80b376befc7e0b7261a36b$$@$$7098bce6979dc00502f738746c7a6927a3c763d4
503614571e1bc7c6f577beff9f2c059540dbef68,Wavelet-based method for enhancing the visibility of hazy images using Color Attenuation Prior,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$da8a5b3e01ed2a65c0ae5664c1c96e4cee22b843$$@$$7098bce6979dc00502f738746c7a6927a3c763d4
25094ac214562a262de096f3ba5d4b58e15d51ee,WMCP-EM: An integrated dehazing framework for visibility restoration in single image,5b044e6b60978e7acaa992425e105a53374c7fbb$$@$$ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37
9ac31bb4c36a751158b8c891f45f07b1fd11e6d0,Sparse Depth-Guided Image Enhancement Using Incremental GP with Informative Point Selection,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37$$@$$7098bce6979dc00502f738746c7a6927a3c763d4
6a23b2b79e67b5fb3ab0b52fc38b18f9ed0599a6,Dynamic Multi-Attention Dehazing Network with Adaptive Feature Fusion,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37$$@$$7098bce6979dc00502f738746c7a6927a3c763d4$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
dc5cb6cf6a62ef88cfe25569a885535d1cee7f28,Single-Image Dehazing Based on Improved Bright Channel Prior and Dark Channel Prior,ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37
ce10e8d7004b7b4b7d89dc2c5e3908d6a0628489,Study on the enhancement method of online monitoring image of dense fog environment with power lines in smart city,1f59f40be27ea17b40d5d54367624e89fc3b6659$$@$$da8a5b3e01ed2a65c0ae5664c1c96e4cee22b843$$@$$ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$7098bce6979dc00502f738746c7a6927a3c763d4$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
a4c1350b94fd3588b9451d6e0e6015d949e636fb,Unpaired Overwater Image Defogging Using Prior Map Guided CycleGAN,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$7098bce6979dc00502f738746c7a6927a3c763d4$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
83caee7c41f85b0c6b2cfa41a05911399544aab3,Prior-combined dehazing network based on mutual learning,ce63b2f855e43ff7d0d3e814bcc5309c7ee4ac37
1250bdd5b6f5ffe3c76bbc02e513c8cafd4a4d2c,Weakly Supervised Image Dehazing Using Generative Adversarial Networks,ed4683971a9a8adc18282ce47bd593b896cb5c28$$@$$7098bce6979dc00502f738746c7a6927a3c763d4$$@$$1deb84164223a3468a80b376befc7e0b7261a36b
33d5c190b8d1ead2465d3a2b5a81ca158f4ff094,Mutually Guided Image Dehazing,1deb84164223a3468a80b376befc7e0b7261a36b
