citationID,citationName,citedReferences
26457db35f1198b29e13c620f354766c32f8e514,"Taking stock of research on hybrid organizations: Enriching theoretical perspectives, extending empirical contexts, and expanding practical relevance",f2aa465b85522a53ae573025f31946f86af047ce
0dae4ff2f38476f0e462726e43f1eac13e0eb9ad,Frontiers of Energy Storage Technologies,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$20e41a217b49b827b04258d096eda1cfba1d6a36$$@$$68300052245f0f3aed1a4d65943e436cf1227242
17f7e22f344e9bdb23629242e39ee15931ffb524,A Large-Scale Mixed-Methods Analysis of Blind and Low-vision Research in ACM and IEEE,e110a774cac9f49a0c5125d5b8e04d7739390376$$@$$68300052245f0f3aed1a4d65943e436cf1227242
43b6f7081eac15bf05906a6de8af5f2f4c03f1a5,Utilising a Large Language Model to Annotate Subject Metadata: A Case Study in an Australian National Research Data Catalogue,3f62763f42085520ad2e7dc3f85aefacd91dc78c
37e6b75269ad067402f54929d917debe704f1bfb,An assessment of blockchain academia and news developments: a bibliometric and text-mining analysis,e110a774cac9f49a0c5125d5b8e04d7739390376
8e5f5609c38c4219bfd0a9bfb6e2be103f9f316b,ENERGY EFFICIENCY AND COVID-19: A SYSTEMATIC LITERATURE REVIEW AND BIBLIOMETRIC ANALYSIS ON ECONOMIC EFFECTS,da30b84925764b550b55c7d00596f8f1b9608fe2
6b26ad34b582e48850ff5765578154f528b6a72a,Bibliometric study and critical individual literature review of driving behavior analysis methods based on brain imaging from 1993 to 2022,da30b84925764b550b55c7d00596f8f1b9608fe2
d2333bcbb213b094a0500fccad90fff8a95c8305,Defining human-AI teaming the human-centered way: a scoping review and network analysis,d189e47b78520f2145062bf7505f4f73c32b6a38
3dfc618b9339587b386770937082bf5a3cd238d6,Knowledge inheritance in disciplines: Quantifying the successive and distant reuse of references,2267d89118866548dd2beca2b7b0cb0ed693e30a$$@$$e110a774cac9f49a0c5125d5b8e04d7739390376$$@$$68300052245f0f3aed1a4d65943e436cf1227242
fbef803ef59f64a4855217dae05cb75b42f5b11c,Normalization of direct citations in publication-level networks: Evaluation of six approaches,7de525fedf99b563ec7eb89ad4e14c8470c49bdf$$@$$47c6cac68d034066e1f05e909863f5cce62fcb2b
0ea6c1e1290865a3c5e0b7dc3016aa7c9e5285bb,Discovering the evolution of online reviews: A bibliometric review,da30b84925764b550b55c7d00596f8f1b9608fe2
c48ed3698bab4dab305afb8d1cf4a9c3fe8a3272,Mobile advertising research: a comprehensive domain mapping analysis of 22 years (2001 – 2022),68300052245f0f3aed1a4d65943e436cf1227242
514add1797f73dfffc95e6adb7dfd50849dd99d6,Entrepreneurial intention studies: A hybrid bibliometric method to identify new directions for theory and research,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$47c6cac68d034066e1f05e909863f5cce62fcb2b
476d230de67aff92404bb3f5a219ec6a3d294f34,Keyword occurrences and journal specialization,d30f61125deb6b0ffe0216dde29319b798a8d8be
cbad7dd7423933253252bdcba6c6b6382183126f,Neuropsychiatric Disturbances in Mild Cognitive Impairment: A Scientometric Analysis,da30b84925764b550b55c7d00596f8f1b9608fe2
aed3ca589c46ca0af0727a14145b27e9cb87f89a,"FinTech credit: uncovering knowledge base, intellectual structure and research front",da30b84925764b550b55c7d00596f8f1b9608fe2
d3812e38827f3ba906040139f9e051f965227e39,Reshaping Tourist Experience with AI-Enabled Technologies: A Comprehensive Review and Future Research Agenda,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242
a3602641782a485931a545687c72d68f5202d0b0,Universities Patent Quality Indicators (UPQI): A Bibliometric and Systematic Review,68300052245f0f3aed1a4d65943e436cf1227242
8598cc97aaefd5546b71786f2bebaccde19fbc20,Inventor bibliographic-patent-coupling analysis and inventor-patent-classification-coupling analysis: a comparative analysis based on NPE,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242
b4685a8f9b7db1d44c56ce8676811f555b9295dc,Research frontier detection and analysis based on research grants information: A case study on health informatics in the US,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$20e41a217b49b827b04258d096eda1cfba1d6a36$$@$$68300052245f0f3aed1a4d65943e436cf1227242
7b02574bfb115fe8b072055275d917d599e0b366,Social companionship with artificial intelligence: Recent trends and future avenues,68300052245f0f3aed1a4d65943e436cf1227242
dd0bf7a639fd42682319c98a2070f0e610d03a49,"Neuroscience in business-to-business marketing research: A literature review, co-citation analysis and research agenda",da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$47c6cac68d034066e1f05e909863f5cce62fcb2b
2c83bcfefbcabd1e89e810211b6b169eea335479,Unleashing the potential of chatbots in business: A bibliometric analysis,da30b84925764b550b55c7d00596f8f1b9608fe2
6bae182cc5273f1e877839cdbe36dbfcd0106922,To be or not to be digital? A bibliometric analysis of adoption of eHealth services,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$d30f61125deb6b0ffe0216dde29319b798a8d8be$$@$$f2aa465b85522a53ae573025f31946f86af047ce
ebb5a7f1212e5fdf03d08df1a7bcca96017ff26f,Soft computing in business: exploring current research and outlining future research directions,da30b84925764b550b55c7d00596f8f1b9608fe2
e0e5689a0ca6065859ebf80c55dfd58184b9b037,Patent Statistics and Analysis of Development Trends of Technology-Assisted Instruction,fbdb6fb7a1028a4bf7ca607d8b6b39bb324f6fd7
edd67da5b603ee80bf2a9e62bb61fcbfd4a1bf85,"Unpacking business, management, and entrepreneurship education online: Insights from a hybrid literature review",68300052245f0f3aed1a4d65943e436cf1227242
32cdf323c2a8a2541d80c1b58d3b38c34e59313d,The circular economy and consumer behaviour: Literature review and research directions,68300052245f0f3aed1a4d65943e436cf1227242
9459202264cc79123f768a04f8fccd84cd8c1f1c,The Applications of Big Data in the Insurance Industry: A Bibliometric and Systematic Review of Relevant Literature,da30b84925764b550b55c7d00596f8f1b9608fe2
2ae68243c8d26428e9a02310ead145a952314544,Evaluación bibliométrica de la investigación en Comunicación en Colombia a partir de Scopus (2011-2021),da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$d189e47b78520f2145062bf7505f4f73c32b6a38$$@$$68300052245f0f3aed1a4d65943e436cf1227242
321591868d64a58d47bc8823b7d833a80754ef11,Italian accounting history studies in international journals: Insights and possible future directions,68300052245f0f3aed1a4d65943e436cf1227242
73bb8253beab85cca6aec4848a80d1e23a568d80,Mapping the Themes Underlying the Literature on Cross-Listing of Shares—A Contemporary Corporate Strategy of Sustainable Growth,d189e47b78520f2145062bf7505f4f73c32b6a38
9b175994363ed9daa73a316032ec4718529b58ed,Revisiting the idea of knowledge-based dynamic capabilities for digital transformation,68300052245f0f3aed1a4d65943e436cf1227242
5c50d6b395382f20bacd0601da3311a5763073a0,The knowledge structure of corporate social responsibility in sport management: a retrospective bibliometric analysis,da30b84925764b550b55c7d00596f8f1b9608fe2
08d1f927ba4e2945db8419048e290b26193ff114,A contemplative overview of smart communities: a hybrid analytical approach,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242
acb21a1e9adb97dc38e072381183755ba7185506,Technological innovation-enabling industry 4.0 paradigm: A systematic literature review,e110a774cac9f49a0c5125d5b8e04d7739390376$$@$$68300052245f0f3aed1a4d65943e436cf1227242
a7be61eb264d703f3151378ace4c4803fc65cdaf,The secret ingredient? Uncovering the effect of organizational culture on quality management: a literature review,68300052245f0f3aed1a4d65943e436cf1227242
550aa11f3f0542460f3ba6ed25605faa6e26640b,Platform ecosystem research in the technology and innovation management discipline: a multi-method literature review,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242
7f9f340b1ab64335ee0a7c2fa97de0cc17a0e3ea,COVID-19 associated coagulopathy: A bibliometric investigation,e110a774cac9f49a0c5125d5b8e04d7739390376
e383180bf25becab8f8e5884deec886c1ae3c290,Comparison of text-based and linked-based metrics in terms of estimating the similarity of articles,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$7de525fedf99b563ec7eb89ad4e14c8470c49bdf$$@$$2267d89118866548dd2beca2b7b0cb0ed693e30a$$@$$68300052245f0f3aed1a4d65943e436cf1227242
d78ecc5f11467808227ca8722b071135a72f88eb,Fine-grained classification of journal articles by relying on multiple layers of information through similarity network fusion: the case of the Cambridge Journal of Economics,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$2267d89118866548dd2beca2b7b0cb0ed693e30a
c46a15149f91a334f127a207869303b238026994,Innovation intermediaries' types and functions: A computational analysis of the literature,68300052245f0f3aed1a4d65943e436cf1227242
a49b9f63a54d07b2588a525f106d9a4e04105604,Unravelling the truth: A bibliometric analysis of earnings management practices,da30b84925764b550b55c7d00596f8f1b9608fe2
2e4811a48b9fef77535d10050afbee6c881fcc69,What is going on in entrepreneurship research? A bibliometric and SNA analysis,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$e110a774cac9f49a0c5125d5b8e04d7739390376$$@$$64f7a67108571a0353091ecb01eea775ae949c60$$@$$68300052245f0f3aed1a4d65943e436cf1227242
0caa93e6c2677847c1260f7b34fac1a37c499196,"Mapping, evolution, and application trends in co-citation analysis: a scientometric approach",da30b84925764b550b55c7d00596f8f1b9608fe2
5f3c67eec7c780c878b4c306494590219a2979c8,Industry-research fronts – Private sector collaboration with research institutions in Latin America and the Caribbean,68300052245f0f3aed1a4d65943e436cf1227242
7606c5529e5302bc3d490b72c5199f5f86e8a242,Knowledge Mapping Analysis of Intelligent Ports: Research Facing Global Value Chain Challenges,e110a774cac9f49a0c5125d5b8e04d7739390376
e7f27090c605b117bcc2bd21ee03da27bb421bbe,Business management perspectives on the circular economy: Present state and future directions,68300052245f0f3aed1a4d65943e436cf1227242
32ea7eb4f270a5ec46cbefaf80f22b18d204603b,"Job embeddedness in hospitality and tourism scholarship: Past, present, and future research agenda",da30b84925764b550b55c7d00596f8f1b9608fe2
1a160425b26c6462186fc8137e5a7087c33168be,Topic and influence analysis on technological patents related to security vulnerabilities,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242
2a670210a3e09b5315b6105094666944140f6fb0,The family business brand: cross-fertilization between fields,68300052245f0f3aed1a4d65943e436cf1227242
036cc6888bbd712611c0a46833a9af4af982c20f,Trends in knowledge management research in small businesses,68300052245f0f3aed1a4d65943e436cf1227242
bbf252992b6b30a4cbd150da26dc26aa06e85ad3,Evolution of Green Finance: A Bibliometric Analysis through Complex Networks and Machine Learning,20e41a217b49b827b04258d096eda1cfba1d6a36$$@$$68300052245f0f3aed1a4d65943e436cf1227242
f323a63ecd8bb867282ca82d8b1fc57693bde25e,"Bibliometric study on environmental, social, and governance research using CiteSpace",da30b84925764b550b55c7d00596f8f1b9608fe2
d1067ccbfb135461a9b007d7ab416487ba8f3a74,Blue economy and aquaculture before and during the pandemic era: a systematic literature review,68300052245f0f3aed1a4d65943e436cf1227242
1c8b221cce923ab7c6e19d0eb40f049a43a8c5d8,Sustainable Marketing Management: Using Bibliographic Coupling to Review the State-Of-The-Art and Identify Future Research Prospects,68300052245f0f3aed1a4d65943e436cf1227242
5e578331215a1aff33a264db03a8ea64a87c55e5,Community in Organizational Research: A Review and an Institutional Logics Perspective,68300052245f0f3aed1a4d65943e436cf1227242
f31f9415b335f3c0b36f04f2b90a67d04f048630,A Bibliometric Review of Ethical Leadership Research: Shifting Focuses and Theoretical Insights,da30b84925764b550b55c7d00596f8f1b9608fe2
dd4e2e389264aa5d2051b327e29010373239c931,Sustainable strategic management: A bibliometric analysis,da30b84925764b550b55c7d00596f8f1b9608fe2
5f48098116a6796a8166a47d549b2570c60718a3,Impact investment for sustainable development: A bibliometric analysis,68300052245f0f3aed1a4d65943e436cf1227242
b1930cbf140bc824479a1bdadceaad19c623352a,Editorial: The Journal of Hospitality and Tourism Technology (JHTT): a retrospective review using bibliometric analysis,68300052245f0f3aed1a4d65943e436cf1227242
aa4a6cf732f0ce2ebf16875bebb197059b1c65be,Exploring the knowledge structure of entrepreneurship education and entrepreneurial intention,68300052245f0f3aed1a4d65943e436cf1227242
2dd0a00325bc99139135d66e9fbe36164f1f6f84,Online Terrorism Studies: Analysis of the Literature,68300052245f0f3aed1a4d65943e436cf1227242
161d783e6128fc4aa74832f271d5e0351d6dc5f4,Bibliometrics of social entrepreneurship research: Cocitation and bibliographic coupling analyses,da30b84925764b550b55c7d00596f8f1b9608fe2
fa920dd49b8f8f8e2c53b454955fb47629afae53,Vosviewer as a complementary tool to analyze the state of the art applied to electricity markets.,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242
00fdcb34d5f42f34d1ea6ae0f8743c4f990e63d1,Relational bibliometrics for hospitality and tourism research: A best practice guide,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$d189e47b78520f2145062bf7505f4f73c32b6a38$$@$$68300052245f0f3aed1a4d65943e436cf1227242
80cc11068a105046ec5b1df4e1dba6096428542a,On the application of machine learning in astronomy and astrophysics: A text‐mining‐based scientometric analysis,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242
21e71effdf726a119dd829324960e74778f767bc,Strategic differences between regional investments into graphene technology and how corporations and universities manage patent portfolios,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242$$@$$3f62763f42085520ad2e7dc3f85aefacd91dc78c$$@$$fbdb6fb7a1028a4bf7ca607d8b6b39bb324f6fd7
d249b963d78c172cfbcd6ee1824d03c9d5d7dc58,Female entrepreneurial leadership factors,68300052245f0f3aed1a4d65943e436cf1227242
0a1d0612d859c25fb9a0e13e9e042ec525f632a8,Bibliometric analysis of global research trends on post-stroke pneumonia: Current development status and research Frontiers,da30b84925764b550b55c7d00596f8f1b9608fe2
c75099884ab15c85900f923a14e68413b7adf91e,Extracting the interdisciplinary specialty structures in social media data-based research: A clustering-based network approach,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242$$@$$47c6cac68d034066e1f05e909863f5cce62fcb2b
3dac4dfb196e5f79625291d11831fcfd2a4b940d,Bibliographic coupling networks reveal the advantage of diversification in scientific projects,68300052245f0f3aed1a4d65943e436cf1227242
3baa8ce84b47896791d9010260a1340bcca51ca9,Knowledge generation from Big Data for new product development: a structured literature review,68300052245f0f3aed1a4d65943e436cf1227242
b7412509e6b09278ea8bf888ffe05ddf512a460d,Mapping and performance evaluation of mathematics education research in Turkey: A bibliometric analysis from 2005 to 2021,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$d189e47b78520f2145062bf7505f4f73c32b6a38$$@$$68300052245f0f3aed1a4d65943e436cf1227242
24528a0c6b9d8691ab289ca50bcdc6e74c0edbc6,Rural tourism experience research: a bibliometric visualization review (1996-2021),da30b84925764b550b55c7d00596f8f1b9608fe2
25c805ad1fb2579357ef4955b00a72474d529adc,Women Entrepreneurship and Sustainable Development: Bibliometric Analysis and Emerging Research Trends,68300052245f0f3aed1a4d65943e436cf1227242
16acbe65dc6ab72e10569d4d8caf5c425629c4d5,Big data and artificial intelligence in the fields of accounting and auditing: a bibliometric analysis,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$e110a774cac9f49a0c5125d5b8e04d7739390376$$@$$68300052245f0f3aed1a4d65943e436cf1227242
2e870ac4e924eadaf8b5bfd4e98642bb50cdb2b7,Emotions in service research: evolutionary analysis and empirical review,68300052245f0f3aed1a4d65943e436cf1227242
816bddb4640feda2547d2104b3e7b490d6198d5c,An analysis of publishing studies journals: An insight into the structure of the field based on publications,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242
fd452251261f9fdd856a1ce6e9494cfb5693ba5d,Online mathematics education as bio-eco-techno process: bibliometric analysis using co-authorship and bibliographic coupling,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242
d44db3bf9ce545c157f350a94b484b56fa926208,Foundations and research clusters in investor attention: Evidence from bibliometric and topic modelling analysis,da30b84925764b550b55c7d00596f8f1b9608fe2
e9e7865ad40f0dca5c90a5385a9a791944a75707,The global pattern and development trends & directions on the drought monitoring research from 1983 to 2020 by using bibliometric analysis,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$2d871489eb7288dd1bec4be99bc363efd4933d48
e349479b4d55af0aeff3dc51a1d95d13a0ab5906,"Corporate social responsibility, accounting, and auditing: A retrospective review",da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242
dfc46e037227bb02b333fe5247313e093db4153d,Towards a new generic framework for citation network generation and analysis in the humanities,da30b84925764b550b55c7d00596f8f1b9608fe2
459d6877942aeeec86b5db02d24a5fabdab0f9b2,Trajectories of Brand Personality Research since the New Millennium: A Bibliometric Analysis,68300052245f0f3aed1a4d65943e436cf1227242
03aaf4b6aaf73ab7b54d6205c5d8d0deddfeb9a0,Exploring user needs in relation to algorithmically constructed classifications of publications,2267d89118866548dd2beca2b7b0cb0ed693e30a
0b7043ce87b41c00bfaf53b2a4b6419df2aed262,"Exploring the Ranking, Classifications and Evolution Mechanisms of Research Fronts: A Method Based on Multiattribute Decision Making and Clustering",e110a774cac9f49a0c5125d5b8e04d7739390376$$@$$d189e47b78520f2145062bf7505f4f73c32b6a38$$@$$20e41a217b49b827b04258d096eda1cfba1d6a36
52dea931dbb4fb3082237a1abd22f151d878bb68,A BIBLIOMETRIC AND CONTENT ANALYSIS OF CRITICAL THINKING IN PRIMARY EDUCATION,68300052245f0f3aed1a4d65943e436cf1227242
8c39b2a8486e8bedd75b4922ca27ff2b8de3d078,Twenty Years of Entrepreneurship and Innovation Research: A Bibliometric Analysis,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$e110a774cac9f49a0c5125d5b8e04d7739390376
e1bbb7dfa1cf699673a1e372db0b444c4a1a1d12,Tackling uncertain future scenarios with real options: A review and research framework,da30b84925764b550b55c7d00596f8f1b9608fe2$$@$$68300052245f0f3aed1a4d65943e436cf1227242$$@$$47c6cac68d034066e1f05e909863f5cce62fcb2b
01f7736e7ecbada7b29e6b2cbc6d83888a6b4998,The Colombian scientific elite—Science mapping and a comparison with Nobel Prize laureates using a composite citation indicator,68300052245f0f3aed1a4d65943e436cf1227242
