citationID,citationName,citedReferences
0eafd8ca1bf21494566333f0088c5d2a93837bd4,An extended TODIM method under a hyperbolic fuzzy environment,887da64c4932ab97ccee750614e48647b408db7c$$@$$c923691950113088dd79a7ecae85c91b833e0bd5$$@$$37f6d15b5ea59be019f218f50549f07d6fdcce05
7070942ac187dc0bbc9ad980f1ee34025a1ef726,An industrial disaster emergency decision-making based on China's Tianjin city port explosion under complex probabilistic hesitant fuzzy soft environment,b5fae57e917ecd1a19104e9d3bbe215c8dc02dc6$$@$$547e8e11860d113e04a25b0ec508906c09bf8e6f$$@$$2daaf5c34d456a3ba739cfb16293f97561d3a301$$@$$a9bcd0e9e824b82c974124d6f6e3542ec4b17a00
288efdf2e6e7d9ca47999ee14efb4ece96670bd4,Time-varying multi-period emergency decision-making based on dissimilarity measure and definite integral in the picture fuzzy context,2daaf5c34d456a3ba739cfb16293f97561d3a301$$@$$bf2040cc7de3fc01a19108d8615a6588bbbec959
a1890ab169ff794306d113cd5cf304165d58e04a,A large-group dynamic decision-making method for assessing storm surge emergency plans under hybrid information,d973c763ac10e09d688a7522d9dff50f334e28d9
8060d618a5b840bcc98afc5a409e27954ee236df,An integrated interval type-2 fuzzy rough technique for emergency decision making,887da64c4932ab97ccee750614e48647b408db7c$$@$$547e8e11860d113e04a25b0ec508906c09bf8e6f$$@$$519a13e69cfd0074ba1e02fd78ed88ce181e57c9$$@$$2daaf5c34d456a3ba739cfb16293f97561d3a301
dcdf5ca0593e98544ea12f5808b40a1e30550eb1,Selection of plastic solid waste treatment technology based on cumulative prospect theory and fuzzy DEMATEL,581b065e8854b95e0c50dd62e7745fdfc3f43cb0
bc77f8383505b955b2159d465430324380ff4044,A Model for the Assignment of Emergency Rescuers Considering Collaborative Information,4cd8374f4aadfe696912541c7e615f7dce12ef32$$@$$581b065e8854b95e0c50dd62e7745fdfc3f43cb0
7ac1838b4f1f0cb7041842a36aac40ad5167bc66,Numerical risk analysis of gas freeing process in oil/chemical tanker ships,37f6d15b5ea59be019f218f50549f07d6fdcce05$$@$$c97a1647959be3a4783ec1ce14da64abab9a03f0
79551cbac0b0cef22c3540f01e189b51de4a66ab,A Large Group Emergency Decision-Making Method Based on Uncertain Linguistic Cloud Similarity Method,581b065e8854b95e0c50dd62e7745fdfc3f43cb0
b75e0d624fb87296b910f26d1ddd5245bae23215,A Hesitant Fuzzy Method for Evaluating Risky Cold Chain Suppliers Based on an Improved TODIM,37f6d15b5ea59be019f218f50549f07d6fdcce05$$@$$2daaf5c34d456a3ba739cfb16293f97561d3a301
