citationID,citationName,citedReferences
9840c1fee0977c306213334b1d115d5bcaf6060b,A Comprehensive Review of Deep-Learning Applications to Power Quality Analysis,2e9d221c206e9503ceb452302d68d10e293f2a10
0a41e5f23d6efb253c38d48a2167f2dcc237a05b,LSTM-based Evaluation Algorithm for the Adequacy of Frequency Regulation Resources in Renewables-Penetrated Power Systems,2e9d221c206e9503ceb452302d68d10e293f2a10
07b02fbb97c2bf84a31aaa7ba13d6850c197dab0,Deep Learning for Variable Renewable Energy: A Systematic Review,483c85d517ed7a7aa9553c54dae4c58b2ca304d4
feff57c46a31ad6e8064ce78cdbdcf65ee516276,Attack Detection in Automatic Generation Control Systems using LSTM-Based Stacked Autoencoders,2e9d221c206e9503ceb452302d68d10e293f2a10
a5e8894b66811864932ed4a3a7ea4fd5d05f494b,Control of a Three-Phase Grid-Connected Voltage-Sourced Converter Using Long Short-Term Memory Networks,2e9d221c206e9503ceb452302d68d10e293f2a10$$@$$a7976c2bacfbb194ddbe7fd10c2e50a545cf4081$$@$$11540131eae85b2e11d53df7f1360eeb6476e7f4
be98748425a83e77fccae6478efe983c294bcccc,Deep Learning Model Comparison Study on Temperature Control in Electric Facilities,a6cb366736791bcccc5c8639de5a8f9636bf87e8
caf3dca15cda0edecdc10d702af7c495a5bb8048,Discrete Sequencing for Demand Forecasting: A novel data sampling technique for time series forecasting,2e9d221c206e9503ceb452302d68d10e293f2a10
ae40170cf2f2c8a8f310d334b75e404c2922a015,Power fluctuation mitigation strategy for microgrids based on an LSTM-based power forecasting method,2e9d221c206e9503ceb452302d68d10e293f2a10$$@$$a7976c2bacfbb194ddbe7fd10c2e50a545cf4081
9691c0ae3cc8fdfc3e918d3985c9461e0ae3e1c2,Physics-Informed LSTM Network for Flexibility Identification in Evaporative Cooling System,2e9d221c206e9503ceb452302d68d10e293f2a10
2e024a30e3092358a50aea138be6816fcb0855af,Performance analysis of a DNN classifier for power system events using an interpretability method,483c85d517ed7a7aa9553c54dae4c58b2ca304d4$$@$$2e9d221c206e9503ceb452302d68d10e293f2a10
3f3959d9ad4d87f2ab42bd4aeb2ec83507045f8c,Mode-decomposition memory reinforcement network strategy for smart generation control in multi-area power systems containing renewable energy,11540131eae85b2e11d53df7f1360eeb6476e7f4
c8b5533ebb0f1da2f9f8872e46c832ce964c6571,The optimal design and application of LSTM neural network based on the hybrid coding PSO algorithm,2e9d221c206e9503ceb452302d68d10e293f2a10$$@$$a7976c2bacfbb194ddbe7fd10c2e50a545cf4081
aa07d2d091ca0cce6ac2fd948e3d49527d1b48a8,Distributed control of thermostatically controlled load aggregators in multi‐area power systems,45843167e23863d84d8aaa5603c5cb260e682fcd
f3ffe18bd9b3cb1bd0cde29c4e2f2a0d392bcee4,Deep Learning-Based Forecasting Approach in Smart Grids With Microclustering and Bidirectional LSTM Network,a6cb366736791bcccc5c8639de5a8f9636bf87e8$$@$$483c85d517ed7a7aa9553c54dae4c58b2ca304d4
95a8a15ac1ebd54612250144dce406edfb6e80da,Feature Space Transformation for Fault Diagnosis of Rotating Machinery under Different Working Conditions,2e9d221c206e9503ceb452302d68d10e293f2a10
dcbdd930311f264275bac1bb6b7ae88ed5d90648,The IES dynamic time-scale scheduling strategy based on multiple load forecasting errors,483c85d517ed7a7aa9553c54dae4c58b2ca304d4
2ddd2c1bd57fa23c9654c4477f03f93673d15962,Online Rolling Evolutionary Decoder-Dispatch Framework for the Secondary Frequency Regulation of Time-Varying Electrical-Grid-Electric-Vehicle System,a6cb366736791bcccc5c8639de5a8f9636bf87e8$$@$$483c85d517ed7a7aa9553c54dae4c58b2ca304d4$$@$$2e9d221c206e9503ceb452302d68d10e293f2a10
bf0ef3a9eda33fe7f71566215b182b1074806091,Big Data Driven Marine Environment Information Forecasting: A Time Series Prediction Network,a7976c2bacfbb194ddbe7fd10c2e50a545cf4081
3014fd3b6a7c0575ad055892a303dcdc67c54dd9,Toward the Prediction Level of Situation Awareness for Electric Power Systems Using CNN-LSTM Network,a6cb366736791bcccc5c8639de5a8f9636bf87e8$$@$$a7976c2bacfbb194ddbe7fd10c2e50a545cf4081
afc688a8525a5867ca37dc4c46568f6a17e6b57d,"Artificial intelligence techniques for stability analysis and control in smart grids: Methodologies, applications, challenges and future directions",7b60f5ff3793fcf526972e377bc1b2edfe4830c3$$@$$2e9d221c206e9503ceb452302d68d10e293f2a10
5c243953c7618597b3bb1161b6c8884c6ff66c37,A Single Scalable LSTM Model for Short-Term Forecasting of Massive Electricity Time Series,483c85d517ed7a7aa9553c54dae4c58b2ca304d4$$@$$2e9d221c206e9503ceb452302d68d10e293f2a10
16cb4f7bf02545ced9d2e3941637bc01dbcd7688,Optimal dispatch based on prediction of distributed electric heating storages in combined electricity and heat networks,483c85d517ed7a7aa9553c54dae4c58b2ca304d4
da1fb181be84364a44ebbb0dc6c8a4063d79a473,Achieving Predictive and Proactive Maintenance for High-Speed Railway Power Equipment With LSTM-RNN,a6cb366736791bcccc5c8639de5a8f9636bf87e8$$@$$a7976c2bacfbb194ddbe7fd10c2e50a545cf4081$$@$$483c85d517ed7a7aa9553c54dae4c58b2ca304d4$$@$$2e9d221c206e9503ceb452302d68d10e293f2a10
4c02e12eae2a2c4ee94ad96f5c2a661b9bf2331c,One-Shot Bipedal Robot Dynamics Identification With a Reservoir-Based RNN,2e9d221c206e9503ceb452302d68d10e293f2a10$$@$$11540131eae85b2e11d53df7f1360eeb6476e7f4
f0e551d0a2d10331598f3c34b34ed85ec26b6715,An Optimal Dispatch Framework of Electric and Heating Networks Based on Controllable Electric and Thermostatically Controlled Loads,483c85d517ed7a7aa9553c54dae4c58b2ca304d4
31f0e96c201adcc5ae1e9a5ff2c4a6248d9e7803,Frequency prediction model combining ISFR model and LSTM network,7b60f5ff3793fcf526972e377bc1b2edfe4830c3$$@$$a7976c2bacfbb194ddbe7fd10c2e50a545cf4081
2b9ce700ce4059384c25088d50d398e75d42c30d,Mitigation of false data injection attacks on automatic generation control considering nonlinearities,2e9d221c206e9503ceb452302d68d10e293f2a10$$@$$a7976c2bacfbb194ddbe7fd10c2e50a545cf4081
477e78a406dff157e8bf839fad4a41f54ebf053b,Adaptation of a Real-Time Deep Learning Approach With an Analog Fault Detection Technique for Reliability Forecasting of Capacitor Banks Used in Mobile Vehicles,483c85d517ed7a7aa9553c54dae4c58b2ca304d4$$@$$2e9d221c206e9503ceb452302d68d10e293f2a10
95adde3b4721eb2f0a86c728bf225eb975014805,Intelligent Modeling and Design of a Novel Temperature Control System for a Cantilever-Based Gas-Sensitive Material Analyzer,a6cb366736791bcccc5c8639de5a8f9636bf87e8
8411fffe0adc489dfe9f8cbb71dd63d33617b2a0,On Control of Energy Storage Systems in Microgrids,45843167e23863d84d8aaa5603c5cb260e682fcd
