citationID,citationName,citedReferences
1955ddf35b7bf581083deb8f222a19aa85d53388,An Efficient Cloudlet Deployment Method Based on Approximate Graph Cut in Large-scale WMANs,7a543d5970cdd8e7a574c42cf7ab4c7811784b68$$@$$1b76c259fdf9150cc72b5be0db0d255c984e2fc9$$@$$ad6cf2177524f6f78c7e81ce1442b1bfabd0bd2a
915198ca2e1b0e4477d97ac6dd061bd6491b5e7c,Service Provisioning in Edge-Cloud Continuum: Emerging Applications for Mobile Devices,8c5293da3ad1a463cb9694edfbf1bf19b8cbd698$$@$$4c07cbb2df71cba417edd740465a31c0d54b91e0$$@$$0742fa40bf9be455fc6338e3a40ed6f0113d4a61
abf819f4fb180ec1bbab01836a6c2380bc3b95e2,Server Placement for Edge Computing: A Robust Submodular Maximization Approach,0228af71f1b6c2d8e3f09fa9ac4ee53224d8f0d4$$@$$f9e76bf13439c820afe6f39cd0aa094e6741bf19$$@$$afd9dadac8d3354615e26b2038887ecdbc9e33e5$$@$$f5affe02d2492ade9cf117331f3d386cea224b15$$@$$71b18b8bd37b0dcc7f732206a1bbffe0862f6f06$$@$$a25b8b0db0a95d82e708dd1069f93555d43a8adf$$@$$8c5293da3ad1a463cb9694edfbf1bf19b8cbd698$$@$$1b76c259fdf9150cc72b5be0db0d255c984e2fc9
a7cde389779be701472877999a11146ccbdf0d60,AI Service Placement for Multi-Access Edge Intelligence Systems in 6G,e7f84b1d7f8378ffaadbf85c33bacc8bcd9e28dd
391b8d3034748afed3d803a7b727bce897412938,Energy-efficient cooperative resource allocation and task scheduling for Internet of Things environments,c1f9496f5a73fa602bb621cec6262f4b54029ed2
9f9d0860d7d5d8f006bb4bae8b45ad419737e0d5,Cost-Minimized Computation Offloading of Online Multifunction Services in Collaborative Edge-Cloud Networks,8c5293da3ad1a463cb9694edfbf1bf19b8cbd698$$@$$afd9dadac8d3354615e26b2038887ecdbc9e33e5
70ec7ac4bc10c6654027c524e02dbdf6bca1b698,Joint Optimization Across Timescales: Resource Placement and Task Dispatching in Edge Clouds,8c5293da3ad1a463cb9694edfbf1bf19b8cbd698$$@$$a25b8b0db0a95d82e708dd1069f93555d43a8adf
7082ce56bc8a583bb7838f024b6171d8f0015d6b,"Task offloading paradigm in mobile edge computing-current issues, adopted approaches, and future directions",e1e634c486ec59ba0f01a4e8136b0e76888b7edc$$@$$557c7ad038ddc44d9c2d745f01c5a4f29cbe45d6$$@$$c1f9496f5a73fa602bb621cec6262f4b54029ed2
9c5eef4b4ba7f0aeb35267a753c385056a52d853,In-network placement of delay-constrained computing tasks in a softwarized intelligent edge,8c5293da3ad1a463cb9694edfbf1bf19b8cbd698$$@$$1e1615632cf71d6d0016039d7544c5c8557c5ce8
6221d0824da4211e49b27f2b0a81ad79a55ee4f9,ROGI: Partial Computation Offloading and Resource Allocation in the Fog-Based IoT Network Towards Optimizing Latency and Power Consumption,ccde6c760c2c1c51b94b783609ca7bc09a60e8c9$$@$$4c3f5edf92dfdaf796addc96009c62e83b7b5480$$@$$cac3e57087ecb679b4349e674b8d4f2d0efc5d7e$$@$$e1e634c486ec59ba0f01a4e8136b0e76888b7edc$$@$$4dd0e44539ed149b78bb02ffb66dcfcc0cc77891$$@$$8c5293da3ad1a463cb9694edfbf1bf19b8cbd698$$@$$c1f9496f5a73fa602bb621cec6262f4b54029ed2$$@$$6fbbb3b44ffde1a65371eceefbeb40194e3afc91
e181e526151fa52c760edb40f5effaaa31df1b55,LOCUS: User-Perceived Delay-Aware Service Placement and User Allocation in MEC Environment,8c5293da3ad1a463cb9694edfbf1bf19b8cbd698
5ffbe3a173f161eb252f1c45d6bc9d522af29e3d,An Online Adjustment Based Node Placement Mechanism for the NFV-enabled MEC Network,afd9dadac8d3354615e26b2038887ecdbc9e33e5$$@$$71b18b8bd37b0dcc7f732206a1bbffe0862f6f06$$@$$a25b8b0db0a95d82e708dd1069f93555d43a8adf$$@$$1b76c259fdf9150cc72b5be0db0d255c984e2fc9
e1953a269c1ce8d4aaea20970e322a6a5a8ec061,Heterogenous Server Placement for Delay Sensitive Applications in Green Mobile Edge Computing,0228af71f1b6c2d8e3f09fa9ac4ee53224d8f0d4$$@$$f5affe02d2492ade9cf117331f3d386cea224b15$$@$$a25b8b0db0a95d82e708dd1069f93555d43a8adf$$@$$6fbbb3b44ffde1a65371eceefbeb40194e3afc91$$@$$1b76c259fdf9150cc72b5be0db0d255c984e2fc9
9793080f4f29007f6c5cfb1cbe57e486c4587a1c,Mobile Edge Server Deployment towards Task Offloading in Mobile Edge Computing: A Clustering Approach,7a543d5970cdd8e7a574c42cf7ab4c7811784b68$$@$$f9e76bf13439c820afe6f39cd0aa094e6741bf19$$@$$f5affe02d2492ade9cf117331f3d386cea224b15$$@$$1b76c259fdf9150cc72b5be0db0d255c984e2fc9
a1e6a504de2700489af3f385b75f8442e4284fb4,On Cost-Aware Heterogeneous Cloudlet Deployment for Mobile Edge Computing,557c7ad038ddc44d9c2d745f01c5a4f29cbe45d6$$@$$a25b8b0db0a95d82e708dd1069f93555d43a8adf
