citationID,citationName,citedReferences
c1d90f024a8d48363c109eee2c1473f6fccb600c,PPDF-FedTMI: A Federated Learning-based Transport Mode Inference Model with Privacy-Preserving Data Fusion,07cca2bdd0dc2fee02889e17789748eba9d06ffa$$@$$ccfef606b58af279018d5f40bb38f623422c1536$$@$$0e2b4e953991c4d15c10d3c58296a0ce6b0bc0e4
fd13bad4febe46968b78c0b094e83298cee049a3,A multi-stage fusion network for transportation mode identification with varied scale representation of GPS trajectories,0e2b4e953991c4d15c10d3c58296a0ce6b0bc0e4$$@$$07cca2bdd0dc2fee02889e17789748eba9d06ffa$$@$$ccfef606b58af279018d5f40bb38f623422c1536$$@$$19da5eedc984b7259c2be3f25b601aa72b7e02f6
acddf246dcdd8d25cf6889425996c367fffdd1b6,TraClets: Harnessing the power of computer vision for trajectory classification,07cca2bdd0dc2fee02889e17789748eba9d06ffa$$@$$ccfef606b58af279018d5f40bb38f623422c1536$$@$$0e2b4e953991c4d15c10d3c58296a0ce6b0bc0e4
af6aa7eda82c0b96da86ac5d01fc14dda3118dea,Applying Semi-Supervised learning on Human Activity Recognition Data,95ab737cc9d496fa2ac544169465c10b962d4cd4
14ffadb24ab3c7f895c03238bdeafae2ccf77943,T-Detector: A Trajectory based Pre-trained Model for Game Bot Detection in MMORPGs,ccfef606b58af279018d5f40bb38f623422c1536$$@$$0e2b4e953991c4d15c10d3c58296a0ce6b0bc0e4
9abcf8401a63be271a453aaa4c85b13b7331cf84,GeoSDVA: A Semi-Supervised Dirichlet Variational Autoencoder Model for Transportation Mode Identification,07cca2bdd0dc2fee02889e17789748eba9d06ffa$$@$$02bbf2251eb9b5a0eb29abd92813e42770bd7191$$@$$0e2b4e953991c4d15c10d3c58296a0ce6b0bc0e4
278fb59cb65479a7e39abf0ca59af144659a6a0f,Dense Convolutional Network and Its Application in Medical Image Analysis,aa46c05868d6ccb404f4f6378cc11ae77f702d45$$@$$2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$d7ddad7bbda29de7676c21bfeac6be2ce0a07d6f$$@$$5694e46284460a648fe29117cbc55f6c9be3fa3c
ee6df6b5e0c6ab157f6360cdfb685d594aa78ba4,A semi-supervised deep learning approach for vessel trajectory classification based on AIS data,a4cec122a08216fe8a3bc19b22e78fbaea096256
b3d8e834729e30f57a98e9b9a76412f5fbefe2fa,The Devil is in the Details: An Efficient Convolutional Neural Network for Transport Mode Detection,2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$19da5eedc984b7259c2be3f25b601aa72b7e02f6$$@$$b2fa408eaced1fa8f4735ffa504981b30b469891$$@$$ccfef606b58af279018d5f40bb38f623422c1536$$@$$0e2b4e953991c4d15c10d3c58296a0ce6b0bc0e4$$@$$5694e46284460a648fe29117cbc55f6c9be3fa3c
23924139d4b56e896ca7f24924abe1531b353339,Multi-scale detection and interpretation of spatio-temporal anomalies of human activities represented by time-series,0f7ef24660d2524fbda2a3822d070f38dcc239ef
24d1c6cd132cee81586f144aa51eff2a6717b276,Identifying intercity freight trip ends of heavy trucks from GPS data,0e2b4e953991c4d15c10d3c58296a0ce6b0bc0e4
b40d7a8c86fcfc13c22de33c96aa6f15039263d6,Capturing Uncertainty in Unsupervised GPS Trajectory Segmentation Using Bayesian Deep Learning,19da5eedc984b7259c2be3f25b601aa72b7e02f6$$@$$0e2b4e953991c4d15c10d3c58296a0ce6b0bc0e4$$@$$ccfef606b58af279018d5f40bb38f623422c1536$$@$$fb37561499573109fc2cebb6a7b08f44917267dd$$@$$07cca2bdd0dc2fee02889e17789748eba9d06ffa
9505195260896e6373fb1275adfb53b35c533c3e,A Deep Learning Streaming Methodology for Trajectory Classification,2c03df8b48bf3fa39054345bafabfeff15bfd11d$$@$$5694e46284460a648fe29117cbc55f6c9be3fa3c
ba3cee4c3886b19dca9d537fa6fccf54e5597ccf,Extortion and Cooperation in Rating Protocol Design for Competitive Crowdsourcing,165a4a173171068bed131067eae888c9518e74ad
b42ee0cef1a974ed8bf485757b4e68c224e97286,A ship movement classification based on Automatic Identification System (AIS) data using Convolutional Neural Network,0e2b4e953991c4d15c10d3c58296a0ce6b0bc0e4$$@$$02bbf2251eb9b5a0eb29abd92813e42770bd7191
7e5e2f254e60a7ff67be76dc8bf658f132a36279,A Multiscale Approach to Detect the Semantics of Locomotion without Positioning Information,b2fa408eaced1fa8f4735ffa504981b30b469891$$@$$02bbf2251eb9b5a0eb29abd92813e42770bd7191$$@$$cd00709127675ab51bcdffc2b9b0010c282309d8
73bed242ee6d2bf036645ddbe46518408e99b12c,Anomaly detection in bitcoin information networks with multi-constrained meta path,ae96fea1c3e2ab3aabde8b4961bc1094d9e28e5f$$@$$165a4a173171068bed131067eae888c9518e74ad
cbfa522931affa67a1342f1e8772d2380bdc53d9,Dual Supervised Autoencoder Based Trajectory Classification Using Enhanced Spatio-Temporal Information,19da5eedc984b7259c2be3f25b601aa72b7e02f6$$@$$b2fa408eaced1fa8f4735ffa504981b30b469891$$@$$0e2b4e953991c4d15c10d3c58296a0ce6b0bc0e4$$@$$ccfef606b58af279018d5f40bb38f623422c1536$$@$$02bbf2251eb9b5a0eb29abd92813e42770bd7191$$@$$07cca2bdd0dc2fee02889e17789748eba9d06ffa
1247737fea09bc649a09d9824a58efb89a4d6788,Unsupervised Deep Learning for GPS-Based Transportation Mode Identification,ccfef606b58af279018d5f40bb38f623422c1536$$@$$19da5eedc984b7259c2be3f25b601aa72b7e02f6
326db7503cc18e8138c594f45bcbb840fd96c44a,African buffalo algorithm: Training the probabilistic neural network to solve classification problems,95ab737cc9d496fa2ac544169465c10b962d4cd4
