citationID,citationName,citedReferences
434575c54d75d82c47bb8d2b88ba1da88c9a6701,Recent Advances in Machine Learning for Network Automation in the O-RAN,cc15349419490a90fa29d549478ddd4747970c52
3f45e5a77e6f2add26c06c9c17a09587bb0ed670,Delay Fairness in 5G Networks with SD-RAN,4af67db7cb510052f9219f23c3d4d309f222ef20$$@$$cc15349419490a90fa29d549478ddd4747970c52
96789599f08b868be7761ad331e8e75c5a19af63,Proportionally Fair Resource Allocation in SD-RAN,4af67db7cb510052f9219f23c3d4d309f222ef20$$@$$cc15349419490a90fa29d549478ddd4747970c52
26d6e365f6650b37ca4bcc7c4e4ccbf975916871,Max-min Fair Resource Allocation in SD-RAN,4af67db7cb510052f9219f23c3d4d309f222ef20$$@$$cc15349419490a90fa29d549478ddd4747970c52
c916e464e238bc5672f5432b0e64a904a5b635d0,Toward Radio Access Network Slicing Enforcement in Multi-cell 5G System,7233d3bd82ade69235873870f929f2ffc46a1327$$@$$d18c4e8ea961f92092c4f930e45359e46e8e9a8c$$@$$5934c9cd3751cbf01cf01dcc2f8e517e18694722$$@$$0d6663184fbb70ef606eeab8f9767e57e4740cb5
6b532c521cb59d2a0e41a5a85e8f0546e476ed91,Tutti: coupling 5G RAN and mobile edge computing for latency-critical video analytics,310444e13e4a96cdcd6033bf3b998e5c06bcdec5$$@$$d18c4e8ea961f92092c4f930e45359e46e8e9a8c
05eff991f5047a7bdea38357589b8b9ce59af9a9,Using Software-Defined Networking for Data Traffic Control in Smart Cities with WiFi Coverage,0742fa40bf9be455fc6338e3a40ed6f0113d4a61
5d4a1bfa8a0ac96e39ce6cf200078e5c57ed7cd8,Softwarization and virtualization of VoIP networks,0742fa40bf9be455fc6338e3a40ed6f0113d4a61
525a07b9885591fc3f6c8ed5af926ee0a63d9664,FlexRIC: an SDK for next-generation SD-RANs,0742fa40bf9be455fc6338e3a40ed6f0113d4a61$$@$$05f66ed2940454c397a279bcb80732f641e94d96$$@$$cc15349419490a90fa29d549478ddd4747970c52$$@$$d18c4e8ea961f92092c4f930e45359e46e8e9a8c
6d29c32c0a6d4bd701d2571b8fb1b841195c01d1,FlexRIC,0742fa40bf9be455fc6338e3a40ed6f0113d4a61
