citationID,citationName,citedReferences
af6f021b369d0187c162f5bdd8a7e1327549a954,Characteristic boundary condition for multispeed lattice Boltzmann model in acoustic problems,20381a1e7de345c7d6d7a05cc59a3d38fcee7fcb$$@$$deb1829e73704202aa6a1837b722fcf9d783aaba$$@$$e8a82919e5af9af98bf102ca8753233f3bb314e7$$@$$e4eecc0873ede7c781a7b57200f23bdef1c8594f$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf
de389a24362908490dabca9e984ba69c849c59a2,Lattice Boltzmann methods for combustion applications,6d1378c50871928ea9ce5fa88fd13ec6b7253745$$@$$fd8fc9f780e090aa8b3bb4a8626293386b919e93$$@$$33045b3f1c1c57f8b7b248f801982884a181980a$$@$$bb205a8acf7e003616d006e421e740d2d23d4847$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$de1be91902972424493bcfa87cac2a0ce6f261c0$$@$$e8a82919e5af9af98bf102ca8753233f3bb314e7$$@$$639500e6c3450b4cfee6d6ede57efc8bfa69f1c6$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf$$@$$aa221f03cca0d39b81d76b489feeba6d6adc3890$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f$$@$$e2b11a2eddf55ad2e171b9c5878f5f2b64ea1a93$$@$$a6828aba0b5877d37a2e468c975693fbb2ca9e0a
1331ee4fcd5c2f018f8270879634fd374aa841cd,Hybrid Lattice Boltzmann Approach for Simulation of High-Speed Flows,503b502af1fe6d86372b89c5a82bc280cc90d091
d04642e89fc672154ed84b2d78923c67a5cc73e9,A hybrid lattice Boltzmann method for gaseous detonations,345b92eb875f6cf326010f2fff04a40ef2035179$$@$$20381a1e7de345c7d6d7a05cc59a3d38fcee7fcb$$@$$639500e6c3450b4cfee6d6ede57efc8bfa69f1c6$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f
ff9cb7c663760a2f25957fc493dd8ac4aa7d04cd,Analysis of the immersed boundary method for turbulent fluid-structure interaction with Lattice Boltzmann method,345b92eb875f6cf326010f2fff04a40ef2035179
bc30e0ae837e3ba5f4ace53231f639ae45272a6e,Analysis of Discrete Velocity Models for Lattice Boltzmann Simulations of Compressible Flows at Arbitrary Specific Heat Ratio,639500e6c3450b4cfee6d6ede57efc8bfa69f1c6$$@$$33045b3f1c1c57f8b7b248f801982884a181980a$$@$$e4eecc0873ede7c781a7b57200f23bdef1c8594f
091dcf3c0115b274a607ebd745b432f380614e22,A hybrid lattice Boltzmann - Navier-Stokes method on overset grids,630ddd4741ba659b53d3ab2bfe16279c7ff702bf
bf36b5006432c62a1ab64857af6afdc6f3b7287a,Lattice-Boltzmann modelling of the quiet and unstable PRECCINSTA burner modes,630ddd4741ba659b53d3ab2bfe16279c7ff702bf$$@$$fd8fc9f780e090aa8b3bb4a8626293386b919e93
2582bbefb2fa11701e1deba9065387d30a85c330,Compressible lattice Boltzmann method with rotating overset grids.,395d745ce3c73d29572c0ca106c5c5a940fa6e9f$$@$$345b92eb875f6cf326010f2fff04a40ef2035179
0336d6840eb8b623c4164135c7b97f5a9bd97c60,Analysis of Hierarchical Grid Refinement Techniques for the Lattice Boltzmann Method by Numerical Experiments,33045b3f1c1c57f8b7b248f801982884a181980a$$@$$bb205a8acf7e003616d006e421e740d2d23d4847$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$e4eecc0873ede7c781a7b57200f23bdef1c8594f$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f$$@$$e2b11a2eddf55ad2e171b9c5878f5f2b64ea1a93
a75a11eee307c08b225dc1e3d6c535c0ccea09e9,Critical assessment of wall model numerical implementation in LBM,11f7a0dc78ccc20658ea2b620b28c4106438d87d$$@$$33045b3f1c1c57f8b7b248f801982884a181980a$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$de1be91902972424493bcfa87cac2a0ce6f261c0$$@$$e4eecc0873ede7c781a7b57200f23bdef1c8594f
37efe2eb67b91457b3399cc896cf1ea5b21e4e3a,Comprehensive comparison between the lattice Boltzmann and Navier–Stokes methods for aerodynamic and aeroacoustic applications,33045b3f1c1c57f8b7b248f801982884a181980a$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$deb1829e73704202aa6a1837b722fcf9d783aaba$$@$$e4eecc0873ede7c781a7b57200f23bdef1c8594f$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf$$@$$e2b11a2eddf55ad2e171b9c5878f5f2b64ea1a93
8f49148fdd0e64df13683536cc23ccbb92411cc9,A hybrid lattice Boltzmann - Navier-Stokes method for unsteady aerodynamic and aeroacoustic computations,345b92eb875f6cf326010f2fff04a40ef2035179$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf$$@$$4ef9a5a6b03d29778764f536b620e479d0b449e1$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f$$@$$e2b11a2eddf55ad2e171b9c5878f5f2b64ea1a93
6cb69b4c73d7480a258db6a510b4ec9bb1331ea3,"Particles on Demand method: theoretical analysis, simplification techniques and model extensions",639500e6c3450b4cfee6d6ede57efc8bfa69f1c6$$@$$e4eecc0873ede7c781a7b57200f23bdef1c8594f
5f15da1d20c56618f437a9f6521a50097d5c7222,Discrete unified gas kinetic scheme for continuum compressible flows.,fd8fc9f780e090aa8b3bb4a8626293386b919e93$$@$$bb205a8acf7e003616d006e421e740d2d23d4847$$@$$562c790ac035c1c528d57980027f4abe92791f46$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f$$@$$e2b11a2eddf55ad2e171b9c5878f5f2b64ea1a93
76e1124d5506c88b2e67b3634f79b2112425b871,HPC performance study of different collision models using the Lattice Boltzmann solver Musubi,d750ee5dc324285e9e3866e6408a7978cb431562$$@$$33045b3f1c1c57f8b7b248f801982884a181980a$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$55a480c31a11eea04fb149678585cfaf4487c7e7$$@$$e2b11a2eddf55ad2e171b9c5878f5f2b64ea1a93
ea822e4532ae45474af2f2be20d4030f95c5cd71,Lattice Boltzmann for non-ideal fluids: Fundamentals and Practice,6d1378c50871928ea9ce5fa88fd13ec6b7253745$$@$$f459eae7d45831aea40db56e01d7fa364b485c11$$@$$fd8fc9f780e090aa8b3bb4a8626293386b919e93$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$0dbcfe347064efd098b0059bf7813f7a96da03e6$$@$$e4eecc0873ede7c781a7b57200f23bdef1c8594f$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f$$@$$b0e03344c71fcd87830857dfbe78f4d77cc63266$$@$$61956a8cbd520552fd93d786b04cd2b11937773f
67823e61f57719828deffc357d8ec2a9c374057d,Low Dissipative Entropic Lattice Boltzmann Method,d750ee5dc324285e9e3866e6408a7978cb431562$$@$$bb205a8acf7e003616d006e421e740d2d23d4847$$@$$de1be91902972424493bcfa87cac2a0ce6f261c0$$@$$0dbcfe347064efd098b0059bf7813f7a96da03e6$$@$$20381a1e7de345c7d6d7a05cc59a3d38fcee7fcb$$@$$e4eecc0873ede7c781a7b57200f23bdef1c8594f$$@$$a6828aba0b5877d37a2e468c975693fbb2ca9e0a
4368dc434b5d49e21caaddd2e3015e927420ed94,Development and validation of Navier–Stokes characteristic boundary conditions applied to turbomachinery simulations using the lattice Boltzmann method,fd8fc9f780e090aa8b3bb4a8626293386b919e93$$@$$68c22a0858d0b2e3fc4a50cad495b9fa75ce2459$$@$$bb205a8acf7e003616d006e421e740d2d23d4847$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$bc1d0f89d9c58f5084aa65057ada644c755b4e45$$@$$0dbcfe347064efd098b0059bf7813f7a96da03e6$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f$$@$$1267c674da2c1ba3ea763d1d87ff69ab1b3b7e82$$@$$e4eecc0873ede7c781a7b57200f23bdef1c8594f$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf$$@$$55a480c31a11eea04fb149678585cfaf4487c7e7$$@$$7e27d248cdc66204468238a25177f48ed6605073$$@$$3458e798412485684024f7b78415ec5234608955$$@$$a6828aba0b5877d37a2e468c975693fbb2ca9e0a
8d8732ab67d6c05c6824b1d34ac0ee7eed75cabd,Thermal Lattice Boltzmann Flux Solver for Natural Convection of Nanofluid in a Square Enclosure,503b502af1fe6d86372b89c5a82bc280cc90d091
783cd72b638c18b0f390207ff7086d8a7827b1b1,Comparative Assessment of Local Accuracy of High-Order Spatial Schemes for Rotorcraft Aeroacoustics,deb1829e73704202aa6a1837b722fcf9d783aaba$$@$$44152e34351ae41ea3c99f215f853d71b5e7b200$$@$$75859114e8ee96048270288d6727d4d9e6a5f4e4
ec9f0021ae60cea8437004e5422ab0cd9e0a3e9a,Simulation of high-Mach-number inviscid flows using a third-order Runge-Kutta and fifth-order WENO-based finite-difference lattice Boltzmann method.,bb205a8acf7e003616d006e421e740d2d23d4847
d9b66ddc40f9266796b3bf7ab389835b537fa708,A theoretical analysis of mass leakage at boundaries within the lattice Boltzmann method,11f7a0dc78ccc20658ea2b620b28c4106438d87d$$@$$33045b3f1c1c57f8b7b248f801982884a181980a$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f
85733651b0f0c53b539108f2f3b65fbce0d16fd3,Lattice Boltzmann model for the low-Mach number variable-density flow,e8a82919e5af9af98bf102ca8753233f3bb314e7
e7feb32d061f0bd6bcfe33938eeba3f005bd021c,Recent progress of lattice Boltzmann method and its applications in fluid-structure interaction,d750ee5dc324285e9e3866e6408a7978cb431562$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$639500e6c3450b4cfee6d6ede57efc8bfa69f1c6$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f$$@$$e2b11a2eddf55ad2e171b9c5878f5f2b64ea1a93
88c31b4a9d5a90f897fa5a78760fc23ba80d8c10,Large eddy simulation of a thermal impinging jet using the lattice Boltzmann method,345b92eb875f6cf326010f2fff04a40ef2035179
dc8ff3df635fb8a5a979e3d7f5d96a57d478c987,Restoring the conservativity of characteristic-based segregated models: Application to the hybrid lattice Boltzmann method,345b92eb875f6cf326010f2fff04a40ef2035179$$@$$20381a1e7de345c7d6d7a05cc59a3d38fcee7fcb$$@$$639500e6c3450b4cfee6d6ede57efc8bfa69f1c6$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f$$@$$e2b11a2eddf55ad2e171b9c5878f5f2b64ea1a93
0b378f1b498eb91f99e7dd02a9133803db3db7ea,Comparison of a finite volume and two Lattice Boltzmann solvers for swirled confined flows,395d745ce3c73d29572c0ca106c5c5a940fa6e9f$$@$$33045b3f1c1c57f8b7b248f801982884a181980a$$@$$345b92eb875f6cf326010f2fff04a40ef2035179
837b2748981c37eab890361965e47abfca274a6f,Large-eddy lattice-Boltzmann modeling of transonic flows,fd8fc9f780e090aa8b3bb4a8626293386b919e93$$@$$11f7a0dc78ccc20658ea2b620b28c4106438d87d$$@$$bb205a8acf7e003616d006e421e740d2d23d4847$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$639500e6c3450b4cfee6d6ede57efc8bfa69f1c6$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f
cb5e405c8bd67957ba30ecd5e2cdd25a17a9fe92,Theoretical investigations on lattice Boltzmann method: an amended MBD and improved LBM,68c22a0858d0b2e3fc4a50cad495b9fa75ce2459$$@$$33045b3f1c1c57f8b7b248f801982884a181980a$$@$$bb205a8acf7e003616d006e421e740d2d23d4847$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$7e27d248cdc66204468238a25177f48ed6605073
7fb54a9c994c28c29a1302b9f811e9f41e28367e,Immersed boundary conditions for moving objects in turbulent flows with the lattice-Boltzmann method,11f7a0dc78ccc20658ea2b620b28c4106438d87d$$@$$de1be91902972424493bcfa87cac2a0ce6f261c0$$@$$345b92eb875f6cf326010f2fff04a40ef2035179
0a3f3cd0327663fced1cb40e0ce62ed21fd05e8f,"A unified hybrid lattice-Boltzmann method for compressible flows: Bridging
 between pressure-based and density-based methods",75859114e8ee96048270288d6727d4d9e6a5f4e4$$@$$bb205a8acf7e003616d006e421e740d2d23d4847$$@$$de1be91902972424493bcfa87cac2a0ce6f261c0$$@$$345b92eb875f6cf326010f2fff04a40ef2035179$$@$$33045b3f1c1c57f8b7b248f801982884a181980a$$@$$e4eecc0873ede7c781a7b57200f23bdef1c8594f$$@$$395d745ce3c73d29572c0ca106c5c5a940fa6e9f
5f045548daa5e8568e7ea1065799b641d275b264,Benchmarking a lattice-Boltzmann solver for reactive flows: Is the method worth the effort for combustion?,e8a82919e5af9af98bf102ca8753233f3bb314e7$$@$$630ddd4741ba659b53d3ab2bfe16279c7ff702bf
