citationID,citationName,citedReferences
cfaabc4b4ef5254a2f05acb3971ac26706479865,"Multi-Step Optimal Tracking Control of Unknown Nonzero-Sum Games based on Least Squares and Linear Programming: An Application to a Fully-Automated, Dual-Hormone Artificial Pancreas",e90f7770526409ee7d5464eac740e72df4a2e133
5167807250f0874e2e149b0b7640edc267151d31,Data-Based Optimal Microgrid Management for Energy Trading With Integral Q-Learning Scheme,03b7e51c52084ac1db5118342a00b5fbcfc587aa$$@$$3c856045d02cc8b77ecabb4b1bf72aa9800aa10c$$@$$a66b0a309d9b27310442df2ac34e4f34a7f19a48$$@$$ecc297a7439b7a11677c4fc4b24e847d98517f5a
5b7a0799212065d890890ed60e83bebf27687e44,Fully cooperative games with state and input constraints using reinforcement learning based on control barrier functions,66d9de49635c8db4931a903228caa744b972d871$$@$$a347c8ee70c2a184c8f6cd7816e90a1ac235bf11
6bc68244e01724242e34a0833beca76706cbc079,H∞output feedback fault-tolerant control of industrial processes based on zero-sum games and off-policy Q-learning,d0390315b5ed16af53416b32f0d603eaaf0a9983$$@$$0312bdcd4855c566409782b241e2d20ec41e2c95
d08534dc473042a355160013769900ea5d4198b9,Robust control for affine nonlinear system with unknown time‐varying uncertainty under reinforcement learning framework,efed7c026ed54d75539c013ceb6cc5c08d43a045$$@$$d0390315b5ed16af53416b32f0d603eaaf0a9983$$@$$0f75c3f88263402432826b02587dbc0be5b1d479$$@$$c5ae4b018e24701651c66d320c7b9a20864eafc9
47323d20442e6cee0a5f6956b6c1e3e4e69e3385,Reinforcement learning for optimal tracking of large-scale systems with multitime scales,efed7c026ed54d75539c013ceb6cc5c08d43a045$$@$$c9437662d90cec184b9634230dbee224e1423d20$$@$$d4f7edfe6c2796873f68ec26fda771fe5f4e4da0$$@$$f43c0c1a36e9659b39a2ba1f311476fc82fbed77$$@$$5a039c0ca6407c3fe375090e36ef0a18364b912e
00c8718282bd3c3327e71246c6d5875bc15fede8,Discrete-Time Optimal Control for Partially Unknown Nonlinear Systems with Asymmetry Input Constraints,d0390315b5ed16af53416b32f0d603eaaf0a9983
91fd39eae946eff67df9e6448a013cc8cfdf8a90,Data-Driven Tracking Control for Multi-Agent Systems With Unknown Dynamics via Multithreading Iterative Q-Learning,b54b9580635a4d9e189b11648d8e84ea523e0128
cb2c8c06e0280b4c272bbe0b3fc7e7e7c3529285,Supplemented with reinforcement learning to improve the detection of passive remote sensing devices,Approximate dynamic programming for real-time control and neural modeling$$@$$66d9de49635c8db4931a903228caa744b972d871$$@$$3c856045d02cc8b77ecabb4b1bf72aa9800aa10c$$@$$a347c8ee70c2a184c8f6cd7816e90a1ac235bf11
52288057b90fc7b4d65459f73d51ce5986613f9e,Safe reinforcement learning for discrete-time fully cooperative games with partial state and control constraints using control barrier functions,66d9de49635c8db4931a903228caa744b972d871$$@$$d0390315b5ed16af53416b32f0d603eaaf0a9983$$@$$a347c8ee70c2a184c8f6cd7816e90a1ac235bf11
66bffa8b9ca59acdb70b6260d5e34332befd7424,Safe reinforcement learning for affine nonlinear systems with state constraints and input saturation using control barrier functions,66d9de49635c8db4931a903228caa744b972d871$$@$$d0390315b5ed16af53416b32f0d603eaaf0a9983$$@$$a347c8ee70c2a184c8f6cd7816e90a1ac235bf11
69c5514362d3506fc7c4a00db983251f481dbfe8,Kernel-based multiagent reinforcement learning for near-optimal formation control of mobile robots,b54b9580635a4d9e189b11648d8e84ea523e0128
3000c513f4a36c165f67d9cafe93beab893732b7,Novel two-dimensional off-policy Q-learning method for output feedback optimal tracking control of batch process with unknown dynamics,2d3d295a0c70931bd5ce6ed0e62a6c5e6f2acf63$$@$$0312bdcd4855c566409782b241e2d20ec41e2c95$$@$$b54b9580635a4d9e189b11648d8e84ea523e0128$$@$$0f75c3f88263402432826b02587dbc0be5b1d479
