citationID,citationName,citedReferences
4756cf8e62be7a1e93e7557ce61c703c8f00624a,Multi-scale time series analysis using TT-ConvLSTM technique for bearing remaining useful life prediction,dae85fed5fab9bb37f2a1713dd7f8933f4f6fe06
2168027fc23d7a6549be071edf4fff774b22ed0f,Remaining useful life prediction for complex systems with multiple indicators of stochastic correlation considering random shocks,f0959b291381e15ecc31502af6bad4f22cdd41f5$$@$$026d286e149b17995d0f8c0abb4f060eb8e5d809$$@$$52b7cb1705f0815c3e66b785b3a4432b1af6d47a
dbe9ce70c7dbf59c7489fba8e2858d071f5c7c8a,Overview of fault prognosis for traction systems in high-speed trains: A deep learning perspective,639aa42e83d9b716c1751d2ddba840b77a3dd105$$@$$f0959b291381e15ecc31502af6bad4f22cdd41f5$$@$$dae85fed5fab9bb37f2a1713dd7f8933f4f6fe06
0568c417b4e15de803706898c34d2e02b1851062,A deep learning based health index construction method with contrastive learning,026d286e149b17995d0f8c0abb4f060eb8e5d809
010558a5ab696ddcd35db0f521f4d96103819281,A novel dual attention mechanism combined with knowledge for remaining useful life prediction based on gated recurrent units,f0959b291381e15ecc31502af6bad4f22cdd41f5$$@$$026d286e149b17995d0f8c0abb4f060eb8e5d809$$@$$52b7cb1705f0815c3e66b785b3a4432b1af6d47a
7d99366ef3c5c522f9e29d47f8d240037bba8901,A piecewise method for bearing remaining useful life estimation using temporal convolutional networks,f0959b291381e15ecc31502af6bad4f22cdd41f5$$@$$811551ca0c9e74fb673ff5698a5c34380394eaa1$$@$$52b7cb1705f0815c3e66b785b3a4432b1af6d47a
0afe44ac000b43f41107a8447d3c8f7a398d0959,Multiform Informed Machine Learning Based on Piecewise and Weibull for Engine Remaining Useful Life Prediction,f0959b291381e15ecc31502af6bad4f22cdd41f5
8c70a4333377ca589cec51e28c94888592527577,Multitask learning of health state assessment and remaining useful life prediction for sensor-equipped machines,026d286e149b17995d0f8c0abb4f060eb8e5d809$$@$$dae85fed5fab9bb37f2a1713dd7f8933f4f6fe06
04534496bd6dc1d3f2773f4b01ae58204652b9e1,A prognostic driven predictive maintenance framework based on Bayesian deep learning,f0959b291381e15ecc31502af6bad4f22cdd41f5$$@$$dae85fed5fab9bb37f2a1713dd7f8933f4f6fe06
3d428208ded2d25d63bcd47b10efc75071a98b1d,A two-stage Gaussian process regression model for remaining useful prediction of bearings,dae85fed5fab9bb37f2a1713dd7f8933f4f6fe06
be8a3b654e063c74d1e19bec0ff0d27dbe68bc9b,Intelligent health indicator construction for prognostics of composite structures utilizing a semi-supervised deep neural network and SHM data,7320ad73703153164ee5e52a7a206492524b3fb7$$@$$dae85fed5fab9bb37f2a1713dd7f8933f4f6fe06
68bfd85c68cdb0de1ca4b3174b82ade768f51309,A novel health indicator for intelligent prediction of rolling bearing remaining useful life based on unsupervised learning model,dae85fed5fab9bb37f2a1713dd7f8933f4f6fe06
