citationID,citationName,citedReferences
5b26ecbc4f341f40de3fbf9ad907eff9cde260f4,Downlink resource allocation for NOMA-based hybrid spectrum access in cognitive network,ecb1fad89435126c9a3cdd8717a6c2aaa3947132
89d7b5835a52b140ef4eca4467e10ecd22791633,Towards Enabling Haptic Communications over 6G: Issues and Challenges,cee877f88883a100dd99eb0f4bad0f52aaf174c7
f69800485be0ec61d42024f4ae0757b742caac39,A Look at NOMA-Based Solutions with 5G’s TI for Smart Communities,44c20cbfa98a71255700b9a74c5e4dae4df96174
20a2e3d0b8a9f7e45e7bb56eaac402637cac93ce,Toward immersive communications in 6G,8f058a8abba1d2f1f4b884528cf2a9addf2e8bc9$$@$$cee877f88883a100dd99eb0f4bad0f52aaf174c7
af3e59774b372fa908342bb30acd079ccde16a21,Intelligent authentication of 5G healthcare devices: A survey,8f058a8abba1d2f1f4b884528cf2a9addf2e8bc9
83b529da4e582db5adec4caf0bdc39f1e52eed44,Analysis of NOMA based UAV assisted short-packet communication system and blocklength minimization for IoT applications,8d44bf5ebb2db29d1195afab269a4f573744d3e9
ad465f6288faaf1d0897a0c6e6d2f827aecc8184,NOMA-based UAV system under finite blocklength regime with analysis in Rician fading channel,8d44bf5ebb2db29d1195afab269a4f573744d3e9
951d9caf9702ad2c82a8686dd6fd67039a7c0224,"A Survey of the Tactile Internet: Design Issues and Challenges, Applications, and Future Directions",ecb1fad89435126c9a3cdd8717a6c2aaa3947132$$@$$7da446d2b14209866a412913d0a6446077bd54c0$$@$$f4754c41d06d2897bd69f19306e33aeb3d662692$$@$$cee877f88883a100dd99eb0f4bad0f52aaf174c7
56b2cb398fc7498194f4fce16aaeb4cf6dca433d,ETVO: Effectively Measuring Tactile Internet with Experimental Validation,7da446d2b14209866a412913d0a6446077bd54c0$$@$$f4754c41d06d2897bd69f19306e33aeb3d662692
4454e304312e992e397f866256d6137e3c57b7d2,Throughput Prediction Using Machine Learning in LTE and 5G Networks,ecb1fad89435126c9a3cdd8717a6c2aaa3947132
64f38b9d9c90f97e911e25293b55c50464046ef6,User Clustering and Power Allocation for Energy Efficiency Maximization in Downlink Non-Orthogonal Multiple Access Systems,53e703550cda2c9515827a0c2eef27bf9ff8f532
e3e5e4b0960a7ecb914df2c4a387fd8b2b9f7751,Designing the Tactile Support Engine to assist time-critical applications at the edge of a 5G network,7da446d2b14209866a412913d0a6446077bd54c0
ec1c10c87af4766daabf70b94ffc94785b902c52,Nonorthogonal Multiple Access for Next-Generation Mobile Networks: A Technical Aspect for Research Direction,53e703550cda2c9515827a0c2eef27bf9ff8f532
af4c01ae273d8447631f500aae44aa0d650a4854,A Comprehensive Survey of the Tactile Internet: State-of-the-Art and Research Directions,8f058a8abba1d2f1f4b884528cf2a9addf2e8bc9$$@$$f4754c41d06d2897bd69f19306e33aeb3d662692$$@$$cee877f88883a100dd99eb0f4bad0f52aaf174c7$$@$$7da446d2b14209866a412913d0a6446077bd54c0
009a307ec783009da06be8c0de95bc94e8f520a1,A New Green Prospective of Non-orthogonal Multiple Access (NOMA) for 5G,7da446d2b14209866a412913d0a6446077bd54c0
97b7bb77b349628f36ba016a664c202a38754a5d,RAN Slicing for Massive IoT and Bursty URLLC Service Multiplexing: Analysis and Optimization,ecb1fad89435126c9a3cdd8717a6c2aaa3947132
