citationID,citationName,citedReferences
6f477db253ec26624d9ca6de2418c05197fa35fa,"Complex-valued neural networks with time delays in the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si13.svg"" display=""inline"" id=""d1e631""><mml:msup><mml:mrow><mml:mi>L</mml:mi></mml:mrow><mml:mrow><mml:mi>p</mml:mi></mml:mrow></mml:msup></mml:math> sense: Numerical simulations a",d1a7f3c9d1c5b8707aeff9daaf217f423bea0676
a26133a37b1e1944946ffe4763df660649593a4a,New Approach to Quasi-Synchronization of Fractional-Order Delayed Neural Networks,9ed9c7ddbefce2a2af34d6d529a017ba6369f818$$@$$790aab9b5e8a9c416cd8cb6429947dbcbbe3ee88$$@$$6fff08113b5eb02bcee1e6b9f5509ce8ebe8b627$$@$$86a24fa015f82b959f0f3e6834ed3320a40c3d98$$@$$7df2307683705aa9806e2f50abf0f069d36abbb0$$@$$cbb88aec915558abf3b5f475600d2241b5bafec7$$@$$d39dead972015d1dfc5071ae320a6e78534313d6
46d0510317dcfe406c35828c9e10332473e4626f,Quasi-projective synchronization of memristor-based complex valued recurrent neural network with time-varying delay and mismatched parameters,b7a0825e6972c1597ac8dec4b36c1b05f7811037$$@$$fb8714605451418f604d0694b0bb5fb60c5f1e26
40c3549367857b318b54498e8cbf750249a74383,Adaptive Control Design and Fractional Differential Inequality Approach to Complete Synchronization Analysis on Caputo Delayed Quaternion-valued Network Systems,f3500a65c16e7126d592bfb909c367fc6ff2742f$$@$$0ca84ee22c77fc2d8e20ff71b31af2f283523c25$$@$$6fff08113b5eb02bcee1e6b9f5509ce8ebe8b627
eb74c3665c0aa9866b1ad8b7ff6d8ac0f956641a,Almost periodic quasi-projective synchronization of delayed fractional-order quaternion-valued neural networks.,d1a7f3c9d1c5b8707aeff9daaf217f423bea0676$$@$$f35b89e80f3126cdc21f4f118c6136cf5febe8c4
a80b08901bd0c4987c1d2fd7a9e51bfd37b33173,Synchronization analysis of nabla fractional-order fuzzy neural networks with time delays via nonlinear feedback control,51f107fd2c757927fb2842dbe4febce79aaf0526$$@$$ac9d35e602111aad6be2141978813b66675a53f8$$@$$ec50cad89e076a8b856f16c1261f00c2cb60aa3c
9b0466f5e500a20a572a1b1e6b70d8dafac07042,Adaptive control-based synchronization of discrete-time fractional-order fuzzy neural networks with time-varying delays,51f107fd2c757927fb2842dbe4febce79aaf0526$$@$$86a24fa015f82b959f0f3e6834ed3320a40c3d98$$@$$ec50cad89e076a8b856f16c1261f00c2cb60aa3c
c6de39fefb11c61c476ba94d84533f6c490b9876,Quasi-synchronization of fractional-order complex-value neural networks with discontinuous activations,46a788ece2e735f926c086a0f85ee36d4bdc4466$$@$$9ed9c7ddbefce2a2af34d6d529a017ba6369f818
9f1fa7aac4613a0a851e252df9362500258a0bcf,Stability and hopf bifurcation of fractional complex-valued BAM neural networks with multiple time delays,b9d81fae48e5def5351453e14c68977f571a1276
17e4dadc8bad8f745bf96465782fef7b97fd4808,Function matrix projective synchronization for unknown and delayed fractional-order neural network,b9d81fae48e5def5351453e14c68977f571a1276$$@$$fb8714605451418f604d0694b0bb5fb60c5f1e26
