citationID,citationName,citedReferences
5dd490c88a4417305188bff345edda09df4d51e0,"A comprehensive study on (α,β)\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$(\alpha , \beta )$$\end{document}-bipola",897411ac820f1dedf9925f516168902e7543ed98
2b4cbb9f2d80cdca4b64e5d56aca8297c26d1311,Economic Decision-Making Using Rough Topological Structures,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd$$@$$bec240846a03fe9d5185ba0bb15016b338fa9612
f63867741d75db0dbd494fa37871690308455d69,Optimal scale generation in two-class dominance decision tables with sequential three-way decision,78e3b2fbc569404cc1cb628786e153b31e1b887d$$@$$897411ac820f1dedf9925f516168902e7543ed98
a24f16318741df01548a17fdee4b82dad8fe43f7,A topological approach to rough sets from a granular computing perspective,897411ac820f1dedf9925f516168902e7543ed98
21aa373393c6b3374e218ae71b0a717d9bd50d76,"Axiomatic characterizations of (𝔾, 𝕆)-fuzzy rough approximation operators via overlap and grouping functions on a complete lattice",bec240846a03fe9d5185ba0bb15016b338fa9612
513a0415d34c958c7be8d774f7a34ab289bccee2,"Hesitant fuzzy β-covering (T, I) rough set models: An application to multi-attribute decision-making",897411ac820f1dedf9925f516168902e7543ed98
f562041cd1c818c5b73d435921ceaffc88ec5099,Novel approaches of generalized rough approximation spaces inspired by maximal neighbourhoods and ideals,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
26003b57934f93a257314ec58fd18acc13043c44,On three types of L-fuzzy β-covering-based rough sets,4867c932cc6b87a69d14b81bd9c607bb236431eb
0580721aa18f2c6a781a9102f458f92d7798c72e,Topological reduction approaches for relation decision systems,bec240846a03fe9d5185ba0bb15016b338fa9612$$@$$c6848b6fc69a8588ab53eefb5d6c7eca2044a2bc
8893b6e3ef213082946c3e4d0eadc8ebd5fa679e,Novel classes of fuzzy β-covering-based rough set over two distinct universes,4867c932cc6b87a69d14b81bd9c607bb236431eb
d73d3272047bd114ed0e751aa09ccc44fc6e4847,Covering soft rough sets and its topological properties with application,4867c932cc6b87a69d14b81bd9c607bb236431eb
56c88c5b2367c820939a405f9ac1c4af7b9f81ae,Two new fuzzy covering-based rough approximation operators via inclusion degree,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd$$@$$897411ac820f1dedf9925f516168902e7543ed98
b356a3781f451f18720aa6ca849a5eb885826e0e,Rough Pythagorean fuzzy approximations with neighborhood systems and information granulation,17c27939d0917032cc78bc43d6f64b1e756e86db$$@$$bec240846a03fe9d5185ba0bb15016b338fa9612
4e45e122e62ff68551cf60e544bc73802c8065bc,Rough sets models inspired by supra-topology structures,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
8e8756eb0ea26006045ce365fec223e141a320ca,Approximation operators and accuracy measures of rough sets from an infra-topology view,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
954131485a6e51a048c4d871fe8a197ffd6d8e64,Soft ordered double quantitative approximations based three-way decisions and their applications,bec240846a03fe9d5185ba0bb15016b338fa9612
fa17f01911ef2aeb8b3341ad5b49340bc6e032ec,Upper rough approximation operators of quantale-valued similarities related to fuzzy orderings,d7e9b2e7efeb053c9e329236f07ea2538964cd6e$$@$$5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd$$@$$9f0cbe12d403d27838288ce5da77d2dab4e5b971
d7cca70814e22f3bf6446b388b3770e9a0d49d0c,Rough set approximations based on a matroidal structure over three sets,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
1fd1d54f1fb33cf72c1abe54e3df2266ba9d7e5e,Rough Approximation Spaces via Maximal Union Neighborhoods and Ideals with a Medical Application,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
fa42843acd5b017c8da236ebf7826c07a52f0840,Approximation operators via TD-matroids on two sets,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
f895f5a243d3f6f9489bd5f2c73ca964ffbe4133,Energy Saving via a Minimal Structure,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
da72162dd034f70cfec5773703a6ad2ffb633cf9,Covering-based generalized variable precision fuzzy rough set,897411ac820f1dedf9925f516168902e7543ed98
c97ca8440a8a868b84d8c8d6be4d87e0a0e45042,Granular Generalized Variable Precision Rough Sets and Rational Approximations,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd$$@$$78e3b2fbc569404cc1cb628786e153b31e1b887d
e85e5bc35a7727d6a2c0b0565d5f0ec382b443a8,Some neighborhood-related fuzzy covering-based rough set models and their applications for decision making,897411ac820f1dedf9925f516168902e7543ed98$$@$$4867c932cc6b87a69d14b81bd9c607bb236431eb
82342b46b2d4673d1aff5059f60a207a3119fe34,On three types of $L$-fuzzy $\beta$-covering-based rough sets,4867c932cc6b87a69d14b81bd9c607bb236431eb
73bd2defb9519f66f1082d1378ec95c70834cd61,Relationships between two pairs of covering approximation operators and belief structures,897411ac820f1dedf9925f516168902e7543ed98
4b692119566133bf50b18a09aa9ff676b192973b,Maximal rough neighborhoods with a medical application,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
005b16e1c8e30c08254bda86cc9c1fa851c42885,Topological approach to generate new rough set models,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
901b2c2bcb618683cb5ecdeebdbee44f50c00899,Enhanced Feature Selection Based on Integration Containment Neighborhoods Rough Set Approximations and Binary Honey Badger Optimization,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
1756ab553985f407e416f9023322513b75724352,Cq-ROFRS: covering q-rung orthopair fuzzy rough sets and its application to multi-attribute decision-making process,4867c932cc6b87a69d14b81bd9c607bb236431eb
3bc7b763f919a4e8421e2de23e9adb7ec3410593,"On (O, G)-fuzzy rough sets based on overlap and grouping functions over complete lattices",5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
df18f8c3809ad84874c1d55abb9964789e9b40ee,Idealization of rough sets and medical applications in decision-making the impact factors of COVID-19 infections and heart attacks,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
ac31f8dd7891dfc23ff56d50de731eec64e97053,Axiomatic characterizations of L-fuzzy rough sets by L-fuzzy unions and L-fuzzy intersections,78e3b2fbc569404cc1cb628786e153b31e1b887d
b94964af8df0794ce599facf0334e566076e5d06,The cost-sensitive approximation of neighborhood rough sets and granular layer selection,a26015f9b82559c3e4493d767a31db29c18893cf
82c226254f44ca8309bc5b6eaae2abb67409e93f,Subset neighborhood rough sets,5202cc09d1b3d3e7f9f39ddfb34e6b1768247cdd
8400e4a399c6f93d20d2ff297bc89004e328ee5c,Characteristic numbers and approximation operators in generalized rough approximation system,897411ac820f1dedf9925f516168902e7543ed98
cfcc37dff36c2a6eea7954746c18aa9879ea211f,"On Some Types of Covering-Based 
                     
                        
                           ℐ
                           ,
                           T
                        
                     
                  -Fuzzy Rough Sets and Their Applications",4867c932cc6b87a69d14b81bd9c607bb236431eb
135b0341ef0b3d2bdb0498e96056b286e099ccc5,Covering rough set-based incremental feature selection for mixed decision system,897411ac820f1dedf9925f516168902e7543ed98
