citationID,citationName,citedReferences
a5a9a52080b5b73729f0d4f89c5a35ba24eea239,Deep learning for accelerating Radon inversion in single-cells tomographic phase imaging flow cytometry,6364fdaa0a0eccd823a779fcdd489173f938e91a$$@$$603bb905322c80725dab75b4343a78325c662d66$$@$$11a8dcaec7a7751a9e240440267c5773fc7faefa
be87a01fb2712505445c130b887082700fbe7348,GOMPS: Global Attention-based Ophthalmic Image Measurement and Postoperative Appearance Prediction System,6364fdaa0a0eccd823a779fcdd489173f938e91a
f05b8d4ddca731ae8a970cea2f13ff0d5250d815,Enhancing Low-dose CT Image Reconstruction by Integrating Supervised and Unsupervised Learning,11a8dcaec7a7751a9e240440267c5773fc7faefa$$@$$d2493cc3887afb1e49d5bd9c494345db0ee6b8f5$$@$$6f3f320b1cccf0b80216ae62b3ca9efe484767ca
4653679e48b0dd1a5519b029dae26021df703d17,Vector Quantized Convolutional Autoencoder Network for LDCT Image Reconstruction with Hybrid Loss,5bc52b33c3a0555025c9bc1a71eb533cd2702bbc$$@$$603bb905322c80725dab75b4343a78325c662d66$$@$$915c4bb289b3642489e904c65a47fa56efb60658$$@$$d2493cc3887afb1e49d5bd9c494345db0ee6b8f5$$@$$11a8dcaec7a7751a9e240440267c5773fc7faefa
c42a42f78b54697d2eae003f960eb54d07e2765d,Feature-oriented Deep Learning Framework for Pulmonary Cone-beam CT (CBCT) Enhancement with Multi-task Customized Perceptual Loss,6364fdaa0a0eccd823a779fcdd489173f938e91a$$@$$ef6abdcbd0871cb356e8669b6cdb31ed8b013cc2$$@$$915c4bb289b3642489e904c65a47fa56efb60658$$@$$d2c733e34d48784a37d717fe43d9e93277a8c53e
b96cfc9431562b44f267f3995c31b78ab4935817,MVCT image enhancement using reference-based encoder–decoder convolutional neural network,5bc52b33c3a0555025c9bc1a71eb533cd2702bbc$$@$$603bb905322c80725dab75b4343a78325c662d66
620f88c7d7534f4fefcdbbf6d45f333905ea86b6,APNet: Adaptive projection network for medical image denoising.,6364fdaa0a0eccd823a779fcdd489173f938e91a$$@$$603bb905322c80725dab75b4343a78325c662d66$$@$$f5def96246b83e4bdfb3f21668f0038715732a02$$@$$d2493cc3887afb1e49d5bd9c494345db0ee6b8f5$$@$$054ac52756fa157d909460cc1dcb0451c097cea5
a2c42db7d8822a9e12a5cfce36249e9da007b4b6,Privacy-Preserving Encrypted Low-Dose CT Denoising,603bb905322c80725dab75b4343a78325c662d66$$@$$a6cb366736791bcccc5c8639de5a8f9636bf87e8$$@$$ba99b10cb9559f1e1194f572e5586c22902fb4b6$$@$$d2493cc3887afb1e49d5bd9c494345db0ee6b8f5$$@$$9ba83ac7450fcf2a3c59af0349e95a517a9f07e7
15c14c0f964bd0f87dc1ecd21216dca8463394b3,Diffusion Prior Regularized Iterative Reconstruction for Low-dose CT,5bc52b33c3a0555025c9bc1a71eb533cd2702bbc$$@$$603bb905322c80725dab75b4343a78325c662d66$$@$$915c4bb289b3642489e904c65a47fa56efb60658$$@$$63be611dc8cf09ed081b4ad2b1756420b782b0be$$@$$d2493cc3887afb1e49d5bd9c494345db0ee6b8f5$$@$$edf73ab12595c6709f646f542a0d2b33eb20a3f4
744f749f80539b3a54cebb8fadb6272883dffd2a,Latent Diffusion Model for Medical Image Standardization and Enhancement,8acbe90d5b852dadea7810345451a99608ee54c7
