citationID,citationName,citedReferences
b0dcc88988b1f6381a9a8edb162c2b7ac5937a70,Temperature dependence of generalized stacking fault free energy profiles and dissociation mechanisms of slip systems in Mg,60714c0f4d1cadedc4cad17c25623a2fc9aa5d50$$@$$7a253c839a797588065b4f843adffd4a7fa29b5f
1f79daa380f9180be25c6da001b3dcec74573df1,Molecular dynamics simulation of deposition of amorphous carbon films on sapphire surfaces,7a253c839a797588065b4f843adffd4a7fa29b5f
6b1775215caa35601ad340dcc8ce649bb7cf57ea,Transformation- and twinning-induced plasticity in phase-separated bcc Nb-Zr alloys: an atomistic study,7a253c839a797588065b4f843adffd4a7fa29b5f
b0751ec97d4d106b4abf4ff0a822fd12e7a665ed,Overcoming the Size Limit of First Principles Molecular Dynamics Simulations with an In-Distribution Substructure Embedding Active Learner,bad1be638b556812f6a08b277c0fa2d2e92d5e96
4e171edcc1cd8c06163b5a6c245e914d92b870cf,Cluster Expansion by Transfer Learning from Empirical Potentials,7a253c839a797588065b4f843adffd4a7fa29b5f$$@$$c5b1324b388e12d6c856460b955b3124d075e386
d60b9b19865a4d22386261af2aa79f28b4836462,Plastic Deformation in Aluminum Columnar Nanograins,7a253c839a797588065b4f843adffd4a7fa29b5f
d15bf0add81e0e992f1e04d923f136712fd3fe40,Novel green chemical mechanical polishing for an aluminum alloy and mechanisms interpreted by molecular dynamics simulations and measurements,7a253c839a797588065b4f843adffd4a7fa29b5f
9ff5749420eb7e2c1ac3b5c910764004646d6fde,Insights into the influence of Ni4Ti3 precipitates and martensite transformation on the glide of a[100] dislocation in austenitic NiTi alloys: an atomistic simulation study,7a253c839a797588065b4f843adffd4a7fa29b5f
95e97c78ffc22df9e6727ef978e7e8a719239bbc,Shock response of single crystal rhenium: Effect of crystallographic orientation,7a253c839a797588065b4f843adffd4a7fa29b5f
28e533683366ef3f51aaf513bc6c33c70a487d32,Atomic mixing mechanisms in nanocrystalline Cu/Ni composites under continuous shear deformation and thermal annealing,7a253c839a797588065b4f843adffd4a7fa29b5f
81a914b9f939e1cc02fcd0cb8b722e3a78b5ceec,Micro Defects Evolution of Nickel-Based Single Crystal Superalloys during Shear Deformation: A Molecular Dynamics Study,7a253c839a797588065b4f843adffd4a7fa29b5f
fe24fac556ae199f542465c537091ac663ce07b7,Modeling the effects of varying Ti concentration on the mechanical properties of Cu-Ti alloys,bad1be638b556812f6a08b277c0fa2d2e92d5e96$$@$$c572e58b9dd4abf559046fc4ce42a7c42df4ba34
c696592efd6ac6f56520c3f7252bf25f8a844ffa,Going against the Grain: Atomistic Modeling of Grain Boundaries in Solid Electrolytes for Solid-State Batteries,bad1be638b556812f6a08b277c0fa2d2e92d5e96
671ee2daab976d53ac2dfd3cdded9ba69e818de0,Revealing the toughening mechanisms in graphene/tungsten nanocomposites with hierarchical nacre-like structures,7a253c839a797588065b4f843adffd4a7fa29b5f
e6d45724c27effbcf64ba3dc30a00847c454f6fd,"Investigation of Li2O/Na2O effect on the atomic structure and mechanical properties of aluminosilicate glasses using molecular dynamics simulation, Raman and NMR spectroscopy",7a253c839a797588065b4f843adffd4a7fa29b5f
798250f7c453e41def34f1614c9662e13a41fd50,Atomistic simulation of hardening in bcc iron-based alloys caused by nanoprecipitates,7a253c839a797588065b4f843adffd4a7fa29b5f
b443159fb49c36688006ed22fb72ab5a145f73bc,Wetting and spreading behavior of AgCuTi on Ti substrate: A molecular dynamics study,7a253c839a797588065b4f843adffd4a7fa29b5f
64dd2645c7d4807a86b740e6b498f0cd2baa1a1d,First-Principles Study of Adsorption of Pb Atoms on 3C-SiC,c5b1324b388e12d6c856460b955b3124d075e386
113243f8e09fd590d9b3956822c355e944a71da6,Anisotropic plasticity mechanisms in a newly synthesised High Entropy Alloy investigated using atomic simulations and nanoindentation experiments,7a253c839a797588065b4f843adffd4a7fa29b5f
0ced126250e7e859b53fd66b0b1c2424945324fd,Extra strengthening and Bauschinger effect in gradient high-entropy alloy: A molecular dynamics study,7a253c839a797588065b4f843adffd4a7fa29b5f
c1ca0c101e1223b412934b730673edf35d1044fc,"Interaction of displacement cascades with {10 <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.svg""><mml:mrow><mml:mover accent=""true""><mml:mn mathvariant=""bold"">1</mml:mn><mml:mo>¯</mml:mo></mml:mover></mml:mrow></mml:math> 2} and {10<mml:math xmlns:mml=""http://www.w3.org/1998/M",7a253c839a797588065b4f843adffd4a7fa29b5f
0e5edb07101f5bff583ed47fb2c878468cf1e795,Unveiling Mechanisms of Self-Healing in CoCrFeMnNi/HfNbTaTiZr Dual-Phase High-Entropy Alloys: A Molecular Dynamics Simulation Study,7a253c839a797588065b4f843adffd4a7fa29b5f
71aaa3c6c772a3967b0ea34b6b07b02aa4a0bf3c,Development of a Velocity Measurement Method for a Microparticle Projectile and High-Speed Impact Testing of Metallic Materials for Grain Refinement,7a253c839a797588065b4f843adffd4a7fa29b5f
