citationID,citationName,citedReferences
16431d00d47c4a3430623a0e17eedda1a3401d69,Gradient descent decomposition of force-field motor primitives optogenetically elicited for motor mapping of the murine lumbosacral spinal cord,7965544d2245a4c9c99976a04a972cba079222fd$$@$$4fbe7d8a7a267e42684d312074378f7efa7f800f
909f2b6cc37f483fdbb0888f5956b1b2467e3947,Approaches to Revealing the Neural Basis of Muscle Synergies: A Review and A Critique.,4fbe7d8a7a267e42684d312074378f7efa7f800f
6a57c7ab33228f9b73e5fe10034ae08a1925e8ae,Tutorial Review of Bio-Inspired Approaches to Robotic Manipulation for Space Debris Salvage,3faab32d0ea6fffe85cc578fa55d254905bcfdec
ecad74edb66e883a00a9dbe01e2ecc0a55365a51,Historical Perspective of Humanoid Robot Research in the Americas,584358bd2a56be949940cb0461275f6b8c62792f
327011da361759ecd0aab04989c9c70c48fe30ca,The minority report: some common assumptions to reconsider in the modelling of the brain and behaviour,fb2cca58ac24c45210079378e3085a55401b9c81
d3077f5dfdd040fad885913df8143dc037edee20,Motor primitives—new data and future questions,312aa8b7e5f992ed88b87b7d38e4c550b2d327a3$$@$$4fbe7d8a7a267e42684d312074378f7efa7f800f$$@$$7965544d2245a4c9c99976a04a972cba079222fd$$@$$584358bd2a56be949940cb0461275f6b8c62792f
917009b950191c2a8c8d47e6cd09bf3d439b96e9,A computational framework to quantify neuromechanical constraints in selecting functional muscle activation patterns,d0576fb0cd10ee65948e0d6a1cab13453771920d$$@$$1349d920e8bf0c630a61a400cdd013509bd521e6$$@$$584358bd2a56be949940cb0461275f6b8c62792f
ca964b5a29fb7f2ade6b4ef93bbeb7be4817d6f0,Spinal primitives and intra-spinal micro-stimulation (ISMS) based prostheses: a neurobiological perspective on the “known unknowns” in ISMS and future prospects,312aa8b7e5f992ed88b87b7d38e4c550b2d327a3$$@$$4fbe7d8a7a267e42684d312074378f7efa7f800f$$@$$7965544d2245a4c9c99976a04a972cba079222fd
74e9d0cca66a8e11ec3711fb7532e1609473b8c0,Enhanced assessment of limb neuro-mechanics via a haptic display,7965544d2245a4c9c99976a04a972cba079222fd
157246c4007d075c1142f8f33ff2d992c4bb635e,Neural learning of vector fields for encoding stable dynamical systems,7965544d2245a4c9c99976a04a972cba079222fd
40cc0ec999cbcd533c5c861e2743d5e082a61eb1,Distinguishing synchronous and time-varying synergies using point process interval statistics: motor primitives in frog and rat,0e91a56d754544ffd40b15d680055416651caac9$$@$$4fbe7d8a7a267e42684d312074378f7efa7f800f$$@$$7965544d2245a4c9c99976a04a972cba079222fd$$@$$584358bd2a56be949940cb0461275f6b8c62792f
7e9920f4ddd3106de7143cc26defaf9fb976cd48,Motor primitives and synergies in the spinal cord and after injury—the current state of play,7965544d2245a4c9c99976a04a972cba079222fd$$@$$4fbe7d8a7a267e42684d312074378f7efa7f800f$$@$$584358bd2a56be949940cb0461275f6b8c62792f
8b55a3318d67b7d6eeddc8f51f328bcc244c73a3,Accessing the Neural Drive to Muscle and Translation to Neurorehabilitation Technologies,7965544d2245a4c9c99976a04a972cba079222fd
f9b1ff9c695ae36937ad66b9c051832c45718e3e,Biomimetic control for redundant and high degree of freedom limb systems: neurobiological modularity,4fbe7d8a7a267e42684d312074378f7efa7f800f$$@$$312aa8b7e5f992ed88b87b7d38e4c550b2d327a3$$@$$7965544d2245a4c9c99976a04a972cba079222fd$$@$$4625700a9f47c6d8ef7c13fbd34f5e0b158c672d$$@$$584358bd2a56be949940cb0461275f6b8c62792f
e64060f1cef73323acf0255f36ed14fa0025fab7,Identifying representative synergy matrices for describing muscular activation patterns during multidirectional reaching in the horizontal plane.,7965544d2245a4c9c99976a04a972cba079222fd$$@$$4fbe7d8a7a267e42684d312074378f7efa7f800f
9a29c860e0743d8256770ed57b7d7fa8ed2806e4,Generalisation in Human Motor Learning: Experimental and Modelling Studies,0e91a56d754544ffd40b15d680055416651caac9$$@$$d0576fb0cd10ee65948e0d6a1cab13453771920d$$@$$4abd4e51705e74f1739bd3a1e47ac10e45f6468b$$@$$1349d920e8bf0c630a61a400cdd013509bd521e6$$@$$584358bd2a56be949940cb0461275f6b8c62792f
6e93a9a35606c3aed9a86a9a9b86d9a101f499a1,"Individual Premotor Drive Pulses, Not Time-Varying Synergies, Are the Units of Adjustment for Limb Trajectories Constructed in Spinal Cord",7965544d2245a4c9c99976a04a972cba079222fd$$@$$4fbe7d8a7a267e42684d312074378f7efa7f800f$$@$$584358bd2a56be949940cb0461275f6b8c62792f
9bd279aa91b2431aa6eae2f42e1f6119dfcc32a5,Spatial symmetries in vestibular projections to the uvula-nodulus,4fbe7d8a7a267e42684d312074378f7efa7f800f
a9db0db072d56a1ca16cd5c6fa110447cab25c1b,Automated cross-modal mapping in robotic eye/hand systems using plastic radial basis function networks,fb2cca58ac24c45210079378e3085a55401b9c81$$@$$089a76dbc62a06ad30ae1925530e8733e850268e
d28e8b9c35adc5feba285949e2aaeebda5e94486,Sequential activation of muscle synergies during locomotion in the intact cat as revealed by cluster analysis and direct decomposition.,4fbe7d8a7a267e42684d312074378f7efa7f800f
