citationID,citationName,citedReferences
4ab9ceaac1e6ae764404a166ddff7a35e223c332,On n-polygonal interval-valued fuzzy numbers and application in e-commerce risk assessment,5ab4717a3550bc76d0710040084da5abeaaf8312
8382476f5d3a44e365755386ddc801aa49d2a3fc,"Multiattribute decision making based on nonlinear programming methodology, the Euclidean distance between IVIFVs, and new score function of IVIFVs",4b5e889135b0f52d02089be7e3251fa397b83829$$@$$5ab4717a3550bc76d0710040084da5abeaaf8312
dd3ba411b93d9dc1e5aead1eb515c2020ce08d1b,Multicriteria group decision making for COVID-19 testing facility based on picture cubic fuzzy aggregation information,5ab4717a3550bc76d0710040084da5abeaaf8312
6b07dac63e0e7b5cd04f3c49e9e05c164f0e08e3,A new group decision-making framework based on 2-tuple linguistic complex q-rung picture fuzzy sets.,74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
1d462bc7f96c3c17e4b2ccfcd55bf0d28b15e068,Dynamic customer segmentation: a case study using the modified dynamic fuzzy c-means clustering algorithm,5ab4717a3550bc76d0710040084da5abeaaf8312
628df0d14999dcea4f6fd787092f101474fbd4e0,Extended MULTIMOORA method based on 2-tuple linguistic Pythagorean fuzzy sets for multi-attribute group decision-making,5ab4717a3550bc76d0710040084da5abeaaf8312$$@$$74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
2a069adcae15f2d5b54e1c0b5f5400a872b8af04,Multiple attribute group decision-making based on generalized interval-valued Pythagorean fuzzy Einstein geometric aggregation operators,5ab4717a3550bc76d0710040084da5abeaaf8312
268e4f4b07f2e925b7d31b43168da93a0daca496,Interval neutrosophic matrix game-based approach to counter cybersecurity issue,5ab4717a3550bc76d0710040084da5abeaaf8312
529f013d3f4fc2e023fbf31bbaf1cbd605e1a2c1,Multi-criteria decision making based on novel fuzzy knowledge measures,5ab4717a3550bc76d0710040084da5abeaaf8312
20d9a211811f9fc3506fce8d6b31da2f176d2b10,"An improved 
 
 
 
 $$A^*$$
 
 
 A
 ∗
 
 
 search algorithm for the shortest path under interval-valued Pythagorean fuzzy environment",3aae9194bc31dc6826b05f6ad610f71af9995bdf$$@$$5ab4717a3550bc76d0710040084da5abeaaf8312
18e4ecf7372214c3ef973d991d08e3f824d44da1,Group decision making based on improved linguistic interval-valued Atanassov intuitionistic fuzzy weighted averaging aggregation operator of linguistic interval-valued Atanassov intuitionistic fuzzy numbers,4b5e889135b0f52d02089be7e3251fa397b83829$$@$$5ab4717a3550bc76d0710040084da5abeaaf8312$$@$$74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
106e2c63cec1d880ef700393e19079018c9a3b00,Multiattribute decision making based on novel score function and the power operator of interval-valued intuitionistic fuzzy values,5ab4717a3550bc76d0710040084da5abeaaf8312
acbbaa212d28fd9fe86d6a791b1a237d74cbf08c,Knowledge and accuracy measure based on dual-hesitant fuzzy sets with application to pattern recognition and site selection for solar power plant,5ab4717a3550bc76d0710040084da5abeaaf8312
46755f88f27dbc87c95e73d8a494e09f8c975199,Multicriteria group decision making based on projection measures on complex Pythagorean fuzzy sets,5ab4717a3550bc76d0710040084da5abeaaf8312
93244ac11bd3294d74c76ceaa836b8b2eff9c491,Multiple attribute group decision-making based on novel probabilistic ordered weighted cosine similarity operators with Pythagorean fuzzy information,3aae9194bc31dc6826b05f6ad610f71af9995bdf$$@$$5ab4717a3550bc76d0710040084da5abeaaf8312
2980198f2e6f9f5d709369fee188ce826856d8bf,Multicriteria decision-making based on the confidence level Q-rung orthopair normal fuzzy aggregation operator,5ab4717a3550bc76d0710040084da5abeaaf8312
a50ccdd055d888a6248efd98efc63282e46e7c7c,Multicriteria decision-making based on distance measures and knowledge measures of Fermatean fuzzy sets,5ab4717a3550bc76d0710040084da5abeaaf8312
549892d3551ec20e1b10391cc45bc89df16bd450,Aggregation operators of Pythagorean fuzzy bi-polar soft sets with application in multiple attribute decision making,5ab4717a3550bc76d0710040084da5abeaaf8312
ba49f008295bdf0e075ab2093b7452abca03f0fd,"Multiple attribute decision-making based on 3,4-quasirung fuzzy sets",5ab4717a3550bc76d0710040084da5abeaaf8312
0d150c76fde7fcf483f4e54572211382a54e8084,An efficient method for solving neutrosophic Fredholm integral equations of second kind,5ab4717a3550bc76d0710040084da5abeaaf8312$$@$$74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
94443aad6defddd9b92ed7975ecec097c70089bf,Pythagorean fuzzy entropy measure-based complex proportional assessment technique for solving multi-criteria healthcare waste treatment problem,5ab4717a3550bc76d0710040084da5abeaaf8312
ca28130871f4401361b4e799b8ee4432721984a3,Multiattribute decision-making by logarithmic operational laws in interval neutrosophic environments,5ab4717a3550bc76d0710040084da5abeaaf8312
12ebd86f57096fba662033a90b308abbe572e855,Signed distance-based closeness coefficients approach for solving inverse non-linear programming models for multiple criteria group decision-making using interval Type-2 pythagorean fuzzy numbers,5ab4717a3550bc76d0710040084da5abeaaf8312$$@$$74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
9160003e5cafd584fd23ccac1735458a478105a8,Fully fuzzy multi-item two-stage fixed charge four-dimensional transportation problems with flexible constraints,5ab4717a3550bc76d0710040084da5abeaaf8312
acbf31a55f809baaadb7a3bff2c5dad7065bc802,Mehar approach for solving matrix games with triangular dual hesitant fuzzy payoffs,4b5e889135b0f52d02089be7e3251fa397b83829$$@$$5ab4717a3550bc76d0710040084da5abeaaf8312
f1ffdcb6789d1264d418c9dabe9bab3329c93f60,Mehar approach for solving matrix games with triangular dual hesitant fuzzy payoffs,5ab4717a3550bc76d0710040084da5abeaaf8312
91a9b310e9df54803158e5dd1b26af091560650a,Q-rung orthopair fuzzy Frank aggregation operators and its application in multiple attribute decision-making with unknown attribute weights,5ab4717a3550bc76d0710040084da5abeaaf8312
c1539530dd0c97f21389916ea5758a3e917eb13d,Q-rung orthopair fuzzy Frank aggregation operators and its application in multiple attribute decision-making with unknown attribute weights,5ab4717a3550bc76d0710040084da5abeaaf8312
5111cb7aabcc27cb49dfabc902e63247ef261924,Threshold graphs under picture Dombi fuzzy information,4b5e889135b0f52d02089be7e3251fa397b83829$$@$$5ab4717a3550bc76d0710040084da5abeaaf8312
10d30372336b24ba963cecb89e8fcf3cbcf35b79,Threshold graphs under picture Dombi fuzzy information,5ab4717a3550bc76d0710040084da5abeaaf8312
7898e90079f0eb786c8bd678c210bbcd81d9a1f3,Solution of a pollution sensitive EOQ model under fuzzy lock leadership game approach,4b5e889135b0f52d02089be7e3251fa397b83829$$@$$5ab4717a3550bc76d0710040084da5abeaaf8312
b4aebd0efa52bde06b375feb1c78c92d039e14e9,Solution of a pollution sensitive EOQ model under fuzzy lock leadership game approach,5ab4717a3550bc76d0710040084da5abeaaf8312
87b314fc4d9e6d020658b1539ef56b4048d5ba09,New concepts of inverse fuzzy mixed graphs and its application,4b5e889135b0f52d02089be7e3251fa397b83829$$@$$5ab4717a3550bc76d0710040084da5abeaaf8312
354df6ac012c4e79c7102686e73182af491b0ea3,The solution techniques for linear and quadratic equations with coefficients as Cauchy neutrosphic numbers,4b5e889135b0f52d02089be7e3251fa397b83829$$@$$5ab4717a3550bc76d0710040084da5abeaaf8312
d4a826f77899894fe9613174626ea8c163f38066,Fuzzy risk analysis using a new technique of ranking of generalized trapezoidal fuzzy numbers,4b5e889135b0f52d02089be7e3251fa397b83829
0806aaa69094224dea2ca4a964413127b9d1de2d,A method for solving linear difference equation in Gaussian fuzzy environments,4b5e889135b0f52d02089be7e3251fa397b83829$$@$$3aae9194bc31dc6826b05f6ad610f71af9995bdf
0efdcb275af234c4a87e2c598c3c83cbc8ae28f7,A method for solving linear difference equation in Gaussian fuzzy environments,3aae9194bc31dc6826b05f6ad610f71af9995bdf
6d506052cd18a1eb31b64e213c25af967ae59454,Projected decision background based on q-rung orthopair triangular fuzzy aggregation operators,4b5e889135b0f52d02089be7e3251fa397b83829$$@$$74d5e9445c8154c8a77cc71487a4c5cfd9a9588c
