citationID,citationName,citedReferences
0ccfdc2b533a29ef3dc4b97ccaeb2fcfcbf0f27c,Social-aware D2MD user grouping based on game theory and deep Q-learning,a16af30c39782efcb907615619aab767c02bf409$$@$$7361cbbed62eea4db19ea314fe9d6657f391edc1
77a2fa2bcdccb6c2250668c7d2008e2d2a6edb4a,Node Attitude Aware Information Dissemination Model Based on Evolutionary Game in Social Networks,a16af30c39782efcb907615619aab767c02bf409
f015970f0fbee83e56fb7c5df842c175e9e4c933,CMU: Towards Cooperative Content Caching with User Device in Mobile Edge Networks,7361cbbed62eea4db19ea314fe9d6657f391edc1
e9f5ce728fd9449c6f4a215cccdc3da212380441,Cooperative caching game based on social trust for D2D communication networks,896dd48ef517f94cfd9ec823fe395ecc1fe613ec
ee4a9f0edc4dc9047c8e947effb206ef92670b37,Distributed privacy protection strategy for MEC enhanced wireless body area networks,a16af30c39782efcb907615619aab767c02bf409
1e8abc2a0a5c786aa912613ca220e9a022031af1,Network Coding for Efficient Video Multicast in Device-to-Device Communications,a16af30c39782efcb907615619aab767c02bf409
fb50172704276fd0d66aa3badfceeafb7b938315,Security Enhanced Content Sharing in Social IoT: A Directed Hypergraph-Based Learning Scheme,57773e90d03a2ae412278b2a248295ec2afb0ae1
6ffa94873304b5cb3619e3f3129cbb278ebc3cd5,Dueling Deep-Q-Network Based Delay-Aware Cache Update Policy for Mobile Users in Fog Radio Access Networks,2f4114bc9f6bd85572c024a2f79b6d983b0fb764
1f764adee3191a2056bb9aa3a45ce334f9336f87,Coverage Performance Analysis of Wireless Caching Networks With Non-Orthogonal Multiple Access-Based Multicasting,a16af30c39782efcb907615619aab767c02bf409
5938fb9817cc807ded0df8c6daf5dd29e3702e02,Device-Enhanced MEC: Multi-Access Edge Computing (MEC) Aided by End Device Computation and Caching: A Survey,1463087ef4fdd90ab849e2d0bc0118ae1bc8e1a7
54a887d145f2d6fdbd77464348c2c92b42658991,NA-Caching: An Adaptive Content Management Approach Based on Deep Reinforcement Learning,a941a62b00320ca4f6c9f19dd1118262af57a097
4ae7e9c03e885c623d241391b346a2bd583e3ea7,QoE-Aware Video Multicast Mechanism in Fiber-Wireless Access Networks,a16af30c39782efcb907615619aab767c02bf409
ebaee849f9ea7e3d4d6a88e1d71347d5479b0d99,Social-Aware Caching and Resource Sharing Maximized Video Delivery Capacity in 5G Ultra-Dense Networks,4557e455219b62a3953ce2e8fe064a208dfc8f8d$$@$$7361cbbed62eea4db19ea314fe9d6657f391edc1
945f1a3a44cbff62b372702cd0e7c2e09fd3ed3f,Socially Aware Caching in D2D Enabled Fog Radio Access Networks,a16af30c39782efcb907615619aab767c02bf409
429ec87eb33d93085b0fb190c5c4e3a2d887cf80,Chain Modeling of Molecular Communications for Body Area Network,a16af30c39782efcb907615619aab767c02bf409
4a5b9d0e7b33043f56414aefbcc293e05090a9a8,Efficient Algorithms for Cache-Throughput Analysis in Cellular-D2D 5G Networks,1463087ef4fdd90ab849e2d0bc0118ae1bc8e1a7$$@$$eb47c416701aa19e08656fbd77f2b9cb5de67a5e
552e37f7bc86b45f259e554849f7e41644a5dac3,Community-Oriented Multimedia Content Maximization Mechanism in Social Internet of Things,a16af30c39782efcb907615619aab767c02bf409
7bb34b91e3ba3974f86483b4f9e0f427239186a0,"Web Services – ICWS 2020: 27th International Conference, Held as Part of the Services Conference Federation, SCF 2020, Honolulu, HI, USA, September 18–20, 2020, Proceedings",a941a62b00320ca4f6c9f19dd1118262af57a097$$@$$7361cbbed62eea4db19ea314fe9d6657f391edc1
7325a034e40f745d4b98ca4943ffba439f827b0f,Rate Coverage Analysis of Cache-Enabled Cellular Networks With Content Based Cell Association,a16af30c39782efcb907615619aab767c02bf409
1d971e7dcda4e0cc18455c1ceadbfbf67691fb25,Resource Allocation for D2D Video Multicast Using Multi-Leader Multi-Follower Stackelberg Game With Personalized Incentives,a16af30c39782efcb907615619aab767c02bf409$$@$$3fb560e355134de292c9826486077013f8c6f41d
5dbb0abd4e62e58e17c28e49cb0672acb951fa16,Calcium Signaling in Mobile Molecular Communication Networks: From a Multimedia View,a16af30c39782efcb907615619aab767c02bf409
93779f07988ae5c201480b9b3cddedbb5919cd98,D2D Relay Communication Scheme Incorporating Multi-Dimensional Information in Multimedia Transmission,a16af30c39782efcb907615619aab767c02bf409
382d574b5ae8053993f1ba283bc2d8deda2b8cad,Deep Reinforcement Learning-Based Video Quality Selection and Radio Bearer Control for Mobile Edge Computing Supported Short Video Applications,a16af30c39782efcb907615619aab767c02bf409$$@$$f5efd9d093e235d290f6e44c08531e11a27d945d$$@$$2f4114bc9f6bd85572c024a2f79b6d983b0fb764
