citationID,citationName,citedReferences
3e60b9763359722fd38f709acb23d3a410d2971c,Conceptual difficulties in the use of statistical inference in citation analysis,be6dc49a2cbfdc57b143d840937f0693beb4d2c1
8ee25b6db4b80ffc81a1adaaede3e6107251158c,Citation success index - An intuitive pair-wise journal comparison metric,e8556def981f064bfafafa98f3bd36a9aa32b044
33407d64949caa00e6d79e98f841c04bf77e80bc,Validity of Basing Authors' Publication Strategy on Journal Impact Factors,e8556def981f064bfafafa98f3bd36a9aa32b044
f84f88d8ff78fc7a03522a155ef6e5385624e2df,Citation benefit - A journal comparison metric based on full citation distributions,e8556def981f064bfafafa98f3bd36a9aa32b044
98a3e86452c36bc97bc389d1756c260d6fa64b20,Using Google Scholar for journal impact factors and the h‐index in nationwide publishing assessments in academia – siren songs and air‐raid sirens,e8556def981f064bfafafa98f3bd36a9aa32b044
8f0892db8ad6196254abe452ecac14667ba39248,Impact factor: outdated artefact or stepping-stone to journal certification?,e8556def981f064bfafafa98f3bd36a9aa32b044
822e052a635a5c3b8387d9470124f80964e7bbf0,The multi-dimensionality of journal impact,f99b83bcdbfaec749acd878078aed3079f7760b3$$@$$d54a95ac276afa20a245f6a4d665078684ebd314$$@$$e8556def981f064bfafafa98f3bd36a9aa32b044
970373c1189740f32bcdb54a82c00e21aea77cc3,Citation counts for research evaluation: standards of good practice for analyzing bibliometric data and presenting and interpreting results,e8556def981f064bfafafa98f3bd36a9aa32b044
d543f20e114edbb4a370a20fbdaf6f97caadd5cd,Statistical properties of bibliometric indicators: Research group indicator distributions and correlations,5de756784c25564a626edbd0548db9282aa04279$$@$$ba985d940a56601c5f5103beda17e9fca274372b
efd830b168a43f02fdf1ed4be2a874811c63f518,For Your Citations Only? Hot Topics in Bibliometric Analysis,5de756784c25564a626edbd0548db9282aa04279$$@$$3f86863cf0b217a9eab3426375fa19210e4df44b
6b838be3e302116d4aff3eec95284c05c89ae1ff,Identification of mainstream journals of science speciality: A method using the discipline-contribution score,40244f42861e727e1253d4eb3cf853a9681d4d5c$$@$$a4a13c788073f4c181fbd47c5fea8fe6e4c605ca$$@$$667436da497128edc2051acc06e5a2f7038cac33
cf0292475cedf3656f5a6990a94227fbe40ab008,A bibliometric study of the publications of the French National Institute for Health and Medical Research (INSERM),e8556def981f064bfafafa98f3bd36a9aa32b044
c9385c4c96650f219cd836c86ca55f5839bea4f2,Relative indicators and relational charts for comparative assessment of publication output and citation impact,e8556def981f064bfafafa98f3bd36a9aa32b044
6457dd8dd6781a379d22427410927e89ff8a8670,Measuring Science: Basic Principles and Application of Advanced Bibliometrics,5de756784c25564a626edbd0548db9282aa04279$$@$$3f86863cf0b217a9eab3426375fa19210e4df44b$$@$$e8556def981f064bfafafa98f3bd36a9aa32b044
85521259db5ed7604d143d873fa1edef9dfe2971,itation success index − An intuitive pairwise journal omparison metric,e8556def981f064bfafafa98f3bd36a9aa32b044
b65dfd41c81773ade3e57897e5c17cb1a306919a,Journal Management Issues Based on Citation Metrics,d5116dff94122d524709fb9ab8fa61c5245383a9
0bcb7978d989ba90b5b84966ac2dbd49742c4af3,KTH RAE 2008 BIBLIOMETRIC STUDY,d54a95ac276afa20a245f6a4d665078684ebd314
680091da0946c710d45d8e8fe321ffaaf60056f8,MAIN FINDINGS OF THE BIBLIOMETRIC STUDY,be6dc49a2cbfdc57b143d840937f0693beb4d2c1
e3521e8b5bdd0c5419628c2efcedea225c1af837,Citation counts for research evaluation : standards of good practice for analyzing bibliometric data and presenting and interpreting results,e8556def981f064bfafafa98f3bd36a9aa32b044
67f4a7ff023d373d8055170cdd484476206e5411,The multidimensional space of Scientometrics; The Derek John de Solla Price awards 1984–1993,866d84005c18d862076f368d242d585ca3273fe4$$@$$e8556def981f064bfafafa98f3bd36a9aa32b044
1da77d9d765bee296ae1f8acb23e7584c7a8e294,A quick and easy method to estimate the random effect on citation measures,40244f42861e727e1253d4eb3cf853a9681d4d5c$$@$$d54a95ac276afa20a245f6a4d665078684ebd314$$@$$e8556def981f064bfafafa98f3bd36a9aa32b044
3d0e49d85bcff03d639f6385222621ccb2d267d7,Journal impact measures in bibliometric research,e8556def981f064bfafafa98f3bd36a9aa32b044$$@$$a4a13c788073f4c181fbd47c5fea8fe6e4c605ca$$@$$d54a95ac276afa20a245f6a4d665078684ebd314$$@$$d5116dff94122d524709fb9ab8fa61c5245383a9
979633c162662f00a01e8bb75ef8636935fb1324,Measuring Science: Capita Selecta of Current Main Issues,5de756784c25564a626edbd0548db9282aa04279$$@$$ba985d940a56601c5f5103beda17e9fca274372b
6cbb88c61e2e45495738d8d25482bf4eb7be52ef,Current Theory in Library and Information Science,a4a13c788073f4c181fbd47c5fea8fe6e4c605ca
