citationID,citationName,citedReferences
d6a1cb0abd8f082498634e5e7ee5e5fa5bf8170a,To Transmit or Predict: An Efficient Industrial Data Transmission Scheme With Deep Learning and Cloud-Edge Collaboration,2e9d221c206e9503ceb452302d68d10e293f2a10
ac77081b22bb551172e64f29412b8c139b9c46d7,Robust spatial temporal imputation based on spatio-temporal generative adversarial nets,d21f137c0b26f13daa91319a5e23f430fec68ae9
b264961d18873a048ec02c6657ebc57b41ba901f,A multistage deep imputation framework for missing values large segment imputation with statistical metrics,8ebeade389cb9508c60f71a3945b906b4db77a59$$@$$4ab970a8bf8cdd165988513cf252b4d8ce7f2c48$$@$$0f655f0e1937ad19b038952e2df69e30d447aac8
64db081e77f77bd7def012c3d23c00cbbe1695e6,"Value and limitations of machine learning in high-frequency nutrient data for gap-filling, forecasting, and transport process interpretation",3793eddc3a8b6a3b2b992c9c649d928885406481
416a24d51ac210824278932b48d64f899b0bc577,Multi-head attention-based model for reconstructing continuous missing time series data,2e9d221c206e9503ceb452302d68d10e293f2a10$$@$$8ebeade389cb9508c60f71a3945b906b4db77a59$$@$$811880c385c1e28d52ea3848f84a497011b56f23
daa3e5b54f9eb7c32734655e4999e92bb3619443,Multivariate time series imputation for energy data using attention modeling,cd102c70beedaac5b088bde9538f70cd9c5a3ee6$$@$$048e5d35f7de00cfb7ee3ad996266b518f86dda6
a1564f1f9f9c977adc078e87c5bf96cd44774a8b,Experience: Differentiating Between Isolated and Sequence Missing Data,59813bfb77cda27c2c510c2d5b3bbf23f105a293
92f7dcc20f0abc0d2bb8e5d694c3b884f917766d,Attention-Based Sequence-to-Sequence Model for Time Series Imputation,93499a7c7f699b6630a86fad964536f9423bb6d0$$@$$fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5$$@$$0b544dfe355a5070b60986319a3f51fb45d1348e
16e46d20f02c268100a83c675069c97833976bfa,Limitations and Perspectives of Short-Term Renewable Energy Generation Forecasting Methods,27b825defa2c6dd4a400ce0879040ec1e77e1a72
89e60a104cdd429206fbb29d5176e2ce706a3e74,A Novel Spatiotemporal Data Low-Rank Imputation Approach for Traffic Sensor Network,2e9d221c206e9503ceb452302d68d10e293f2a10
9a2b54f6dde023cd9d843aa9f62060d7640ed0ff,Multistage Large Segment Imputation Framework Based on Deep Learning and Statistic Metrics,8ebeade389cb9508c60f71a3945b906b4db77a59$$@$$4ab970a8bf8cdd165988513cf252b4d8ce7f2c48$$@$$0f655f0e1937ad19b038952e2df69e30d447aac8
ec2f0547dcb6810af36e7e142fa2a1a059d6a6f6,Cyclic Gate Recurrent Neural Networks for Time Series Data with Missing Values,59813bfb77cda27c2c510c2d5b3bbf23f105a293$$@$$2e9d221c206e9503ceb452302d68d10e293f2a10$$@$$0b544dfe355a5070b60986319a3f51fb45d1348e$$@$$0f655f0e1937ad19b038952e2df69e30d447aac8
f6362ea5cafe6eacbce58b8028e28d7ae047b406,A Novel BeiDou Satellite Transmission Framework With Missing Package Imputation Applied to Smart Ships,d21f137c0b26f13daa91319a5e23f430fec68ae9
c37ab0a1b89e5daae7cb13075a78baf3fea659f5,A Comprehensive Survey on Imputation of Missing Data in Internet of Things,8dcaf96f66340c453e775ab217a1b1bd9ba63449$$@$$76882ef94f2d485c7a4c87e4d2bc15acca64ffcf$$@$$27b825defa2c6dd4a400ce0879040ec1e77e1a72$$@$$8ebeade389cb9508c60f71a3945b906b4db77a59
f4b51bee5f0be6a0f2c3e2dec2152235f773086b,Estimation of missing air pollutant data using a spatiotemporal convolutional autoencoder,76882ef94f2d485c7a4c87e4d2bc15acca64ffcf
895592b503a89f722ae9e264a2021f9dc36fb765,A Higher-Order Motif-Based Spatiotemporal Graph Imputation Approach for Transportation Networks,c6b3b0b73a0fa4d9ac281c6342a07bff73340fe5
97f3a8cd99fc5f4bdc471e9eda1705dad92ae926,A transfer Learning-Based LSTM strategy for imputing Large-Scale consecutive missing data and its application in a water quality prediction system,2e9d221c206e9503ceb452302d68d10e293f2a10
9e60e7d2ba1a859fbd0b4e3d4aca776e6099f51b,A Framework for Data Prediction and Forecasting in WSN with Auto ARIMA,837240f183e0e915a1bce12ef1944a1ebe719ba0$$@$$7adc6c841b7a3a11bfd8da1878085f51d2a82393$$@$$c6b3b0b73a0fa4d9ac281c6342a07bff73340fe5$$@$$048e5d35f7de00cfb7ee3ad996266b518f86dda6$$@$$8dcaf96f66340c453e775ab217a1b1bd9ba63449$$@$$76882ef94f2d485c7a4c87e4d2bc15acca64ffcf$$@$$27b825defa2c6dd4a400ce0879040ec1e77e1a72
a7ed681fcb55d5df26047114580874285e2befdd,Missing Data Imputation in Internet of Things Gateways,27b825defa2c6dd4a400ce0879040ec1e77e1a72
a435385df20a6c79016ba668370f251c7a086786,Evaluation of Imputation Models Based on the Enhancement to Yield Forecasting*,2e9d221c206e9503ceb452302d68d10e293f2a10
df6f792e9b2e4222f8d3ef12053a685c454b5ccd,Handling missing data in near real-time environmental monitoring: A system and a review of selected methods,cd102c70beedaac5b088bde9538f70cd9c5a3ee6$$@$$d21f137c0b26f13daa91319a5e23f430fec68ae9
a080e22d5b8c1617be8e60e52c8b4cba60a25258,BiLSTM-I: A Deep Learning-Based Long Interval Gap-Filling Method for Meteorological Observation Data,2e9d221c206e9503ceb452302d68d10e293f2a10
166c8b9a46fdee5e21e9409c137fc31c472a9865,Forecasting PM2.5 Concentration Using a Single-Dense Layer BiLSTM Method,2e9d221c206e9503ceb452302d68d10e293f2a10
3c13dd38c3b97b26ae45b23a5b1dccef91048d82,Modality Fusion Network and Personalized Attention in Momentary Stress Detection in the Wild,0b544dfe355a5070b60986319a3f51fb45d1348e$$@$$7adc6c841b7a3a11bfd8da1878085f51d2a82393
f0580e8c07171aaae50122e3daa6b6342af45898,A review of irregular time series data handling with gated recurrent neural networks,2e9d221c206e9503ceb452302d68d10e293f2a10$$@$$fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5$$@$$b3653c6d5d7c77fcd7019045a2e1afb18d9fef48$$@$$59813bfb77cda27c2c510c2d5b3bbf23f105a293$$@$$4ab970a8bf8cdd165988513cf252b4d8ce7f2c48$$@$$0f655f0e1937ad19b038952e2df69e30d447aac8$$@$$048e5d35f7de00cfb7ee3ad996266b518f86dda6$$@$$8dcaf96f66340c453e775ab217a1b1bd9ba63449$$@$$767fa909e06b01f78bf685457ad97a8f3ddc8d4e$$@$$d21f137c0b26f13daa91319a5e23f430fec68ae9$$@$$0b544dfe355a5070b60986319a3f51fb45d1348e
b6e4aa81b9438879b1fb0c16f0f67c66577ffe22,Machine Learning for Advanced Wireless Sensor Networks: A Review,2e9d221c206e9503ceb452302d68d10e293f2a10$$@$$7adc6c841b7a3a11bfd8da1878085f51d2a82393$$@$$837240f183e0e915a1bce12ef1944a1ebe719ba0$$@$$76882ef94f2d485c7a4c87e4d2bc15acca64ffcf$$@$$0b544dfe355a5070b60986319a3f51fb45d1348e
