citationID,citationName,citedReferences
8aa16124ea78b3a89bd9a161d4aea77ffc5ca2d2,Virtual machine migration based algorithmic approach for safeguarding environmental sustainability by renewable energy usage maximization in Cloud data centres,56485ef7ee6eed7681427f434d2d1ccbcdc1de6d
36b2fa1606772b3cc53751fb53767b19d7301be4,An Energy Efficient Particle Swarm Optimization based VM Allocation for Cloud Data Centre: EEVMPSO,b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$0eaca85070e0ea52278927ff3fb7717103ba88d8
9930421edbc5e1893490689dad367e0b37424471,Task scheduling and VM placement to resource allocation in Cloud computing: challenges and opportunities,04ab0c05680d496b99cd7f56125b2ce32a6584ec
0111ac25ca55a2b1b59654a4b5229af246b6edce,An approximation algorithm for virtual machine placement in cloud data centers,04ab0c05680d496b99cd7f56125b2ce32a6584ec
cc1f48397dad429beab7e50512659a2ac31f1deb,Progressive-fidelity computation of the genetic algorithm for energy-efficient virtual machine placement in cloud data centers,d7569bb31d7f402c267d643874c104f20300bb0e$$@$$04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$675a2b49b91c8a5e7433a90f1ef5e397b314fbef$$@$$eb0026cdcbe55ff9935988a454f8347ca3e6add5
de4587e8168be8a8c922771850fa0b69eb8d0463,"Application of Green IoT in Agriculture 4.0 and Beyond: Requirements, Challenges and Research Trends in the Era of 5G, LPWANs and Internet of UAV Things",4996b77eca75c430bea110ea844454de3820e623
d29f61041981924986ce41ed2d576a7fd8fad354,Improved whale optimization variants for SLA-compliant placement of virtual machines in cloud data centers,5727595a1fb638b62ff406e28ac300d432ba53ec$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d$$@$$0eaca85070e0ea52278927ff3fb7717103ba88d8
92a1459e59630fe27090ab7df62d19c1f9db6e8e,An Analytical Review of VM Allocation and Migration Policies in Cloud Computing,4996b77eca75c430bea110ea844454de3820e623$$@$$81179375f3f5b53817688cbcc68b4f143cb929d7$$@$$675a2b49b91c8a5e7433a90f1ef5e397b314fbef$$@$$b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6
b9e438f8f6eedd2739e781384e664e19d009c7db,An energy-efficient load balance strategy based on virtual machine consolidation in cloud environment,04ab0c05680d496b99cd7f56125b2ce32a6584ec
0a3d44e1223970478d243ba277bca42dde44cae0,GMPR: A Two-Phase Heuristic Algorithm for Virtual Machine Placement in Large-Scale Cloud Data Centers,04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$675a2b49b91c8a5e7433a90f1ef5e397b314fbef$$@$$b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$d7569bb31d7f402c267d643874c104f20300bb0e$$@$$63826b7681bb1ff8195612ef75428812b6126a77
15b92e0335f04574682c84fc1a3e3fbc8960b793,Seagull optimization algorithm based multi-objective VM placement in edge-cloud data centers,56485ef7ee6eed7681427f434d2d1ccbcdc1de6d
bca46b78b7be7e2d80c0176268e776770d38b6a1,A multi-objective cloud energy optimizer algorithm for federated environments,4996b77eca75c430bea110ea844454de3820e623$$@$$42f594993d8a7b3d4743862a73d3745e7704a018$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d
9671fa6f5353796bac66e385ce8960295f381d3a,Adaptive Computational Solutions to Energy Efficiency in Cloud Computing Environment Using VM Consolidation,04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$4996b77eca75c430bea110ea844454de3820e623$$@$$675a2b49b91c8a5e7433a90f1ef5e397b314fbef$$@$$5727595a1fb638b62ff406e28ac300d432ba53ec$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d$$@$$1669b95097226da0879bf19ae380a63422b84a39
c7c1a91bf7ca5eadc86703dc459297efe29048e4,Energy-Efficient and Load-Aware VM Placement in Cloud Data Centers,56485ef7ee6eed7681427f434d2d1ccbcdc1de6d$$@$$04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$63826b7681bb1ff8195612ef75428812b6126a77$$@$$0eaca85070e0ea52278927ff3fb7717103ba88d8
d7a47997b4749caaa5a89152b6ce354eac797085,Accelerated computation of the genetic algorithm for energy-efficient virtual machine placement in data centers,d7569bb31d7f402c267d643874c104f20300bb0e$$@$$04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$eb0026cdcbe55ff9935988a454f8347ca3e6add5
98032ba1f158c8c957c7d238c7ed6f7113ccce09,Is Ant Colony System better than FFD for VM placement in a heterogeneous cluster?,cb4368eab957ded0ce8c587c4fda165a26bc5a22$$@$$b2370d7405f65552a13b01273c35881ade3fe348
67d4e1ef604689e97acfaf3bb116ef76d25632ad,Energy-efficient virtual machine placement in data centres via an accelerated Genetic Algorithm with improved fitness computation,04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$675a2b49b91c8a5e7433a90f1ef5e397b314fbef$$@$$eb0026cdcbe55ff9935988a454f8347ca3e6add5$$@$$ace6db02714abd5772f5ed66ffb78028f40a8050$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d$$@$$1669b95097226da0879bf19ae380a63422b84a39
33347c86c655b7d88f6ff662584b959ca5dd921a,Nature‐inspired virtual machine placement mechanisms: A systematic review,4996b77eca75c430bea110ea844454de3820e623$$@$$b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$5564aee3c3aae89f4cb2b647866a17091c56271e$$@$$1669b95097226da0879bf19ae380a63422b84a39
2405e9e9db4ae1bcd1a7ccf59f409ff34c155963,Power aware virtual machine placement in IaaS cloud using discrete firefly algorithm,04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d
c548c0097736e2786439e5f188c20459e810d616,A multi-objective algorithm for virtual machine placement in cloud environments using a hybrid of particle swarm optimization and flower pollination optimization,5564aee3c3aae89f4cb2b647866a17091c56271e
7c5f7719bc117824fd1f968aa7d2d91684828eaf,Multi-resource collaborative optimization for adaptive virtual machine placement,04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$63826b7681bb1ff8195612ef75428812b6126a77$$@$$0eaca85070e0ea52278927ff3fb7717103ba88d8$$@$$b2370d7405f65552a13b01273c35881ade3fe348
ee789ee7fc10c4a82ca434a8725777e3502cf11f,Resource-Efficient VM Placement in the Cloud Environment Using Improved Particle Swarm Optimization,04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$4996b77eca75c430bea110ea844454de3820e623$$@$$675a2b49b91c8a5e7433a90f1ef5e397b314fbef$$@$$b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$1669b95097226da0879bf19ae380a63422b84a39
f7c90110f89ca178166253daf8c1db15694b2f82,PACO-VMP: Parallel Ant Colony Optimization for Virtual Machine Placement,b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d$$@$$b2370d7405f65552a13b01273c35881ade3fe348
59a6848003e80548d6812a945ffcb0f6608f46ba,An ACO for energy-efficient and traffic-aware virtual machine placement in cloud computing,b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$42f594993d8a7b3d4743862a73d3745e7704a018
4c03e384b88d9bac65a4f7f3bc3576c5173ae307,An efficient ant colony optimization framework for HPC environments,42f594993d8a7b3d4743862a73d3745e7704a018
d4934cc133004638656db2c8b18ed0a545599f35,The role of an ant colony optimisation algorithm in solving the major issues of the cloud computing,b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$5727595a1fb638b62ff406e28ac300d432ba53ec$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d
0ccc41fd8ab2dea6e19878b78fab1c5e5361c8b7,Energy-efficient enhanced Particle Swarm Optimization for virtual machine consolidation in cloud environment,0eaca85070e0ea52278927ff3fb7717103ba88d8
3963e0e7cb5a314f8da2a424d3805b3ddfd827cc,Energy-Efficient and Interference-Aware VNF Placement with Deep Reinforcement Learning,ace6db02714abd5772f5ed66ffb78028f40a8050$$@$$04ab0c05680d496b99cd7f56125b2ce32a6584ec
134ed3548c51aaaaaa87be8811201968aa3eaa1e,GRVMP: A Greedy Randomized Algorithm for Virtual Machine Placement in Cloud Data Centers,b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$5564aee3c3aae89f4cb2b647866a17091c56271e$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d
8907b371bd8d4e2f6559e667ef3aa062e9061cf1,EAMA: Efficient Adaptive Migration Algorithm for Cloud Data Centers (CDCs),ace6db02714abd5772f5ed66ffb78028f40a8050$$@$$04ab0c05680d496b99cd7f56125b2ce32a6584ec
046174e98711f052fbc075f43e570a9ad3049bd3,An autonomous model for self‐optimizing virtual machine selection by learning automata in cloud environment,04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$63826b7681bb1ff8195612ef75428812b6126a77
ae6471bdfcee6ab83147c3bf5a22b753306b60a7,Energy efficient virtual machine migration approach with SLA conservation in cloud computing,04ab0c05680d496b99cd7f56125b2ce32a6584ec
56fa24d280279769098c172d98314ade879b5b7b,A Reinforcement Learning-Based Virtual Machine Placement Strategy in Cloud Data Centers,b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6
133e3fb5b19e8275bf600d5e7085c7d11d21e8cb,A discrete chaotic multi-objective SCA-ALO optimization algorithm for an optimal virtual machine placement in cloud data center,b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$e036901beee3b734d1270a0f403a29c5c1bfd816$$@$$04ab0c05680d496b99cd7f56125b2ce32a6584ec
84f85ea26bd4df36e07a7c950c3f4d6b9d2e8d12,Virtual machine placement in cloud data centers using a hybrid multi-verse optimization algorithm,b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$42f594993d8a7b3d4743862a73d3745e7704a018$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d$$@$$04ab0c05680d496b99cd7f56125b2ce32a6584ec
d22d7ab6570091a51e1e22c29e44bf1df158d8ae,Simultaneous application assignment and virtual machine placement via ant colony optimization for energy-efficient enterprise data centers,cb4368eab957ded0ce8c587c4fda165a26bc5a22$$@$$eb0026cdcbe55ff9935988a454f8347ca3e6add5$$@$$ace6db02714abd5772f5ed66ffb78028f40a8050
224b4084222ae3ba073f92fe8980d48ab3dff72f,Evidence-Efficient Affinity Propagation Scheme for Virtual Machine Placement in Data Center,04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$e036901beee3b734d1270a0f403a29c5c1bfd816$$@$$0eaca85070e0ea52278927ff3fb7717103ba88d8$$@$$42f594993d8a7b3d4743862a73d3745e7704a018$$@$$63826b7681bb1ff8195612ef75428812b6126a77$$@$$1669b95097226da0879bf19ae380a63422b84a39
360a14f1138d79e6af24f4e58de118026453e7bd,A static VM placement and hybrid job scheduling model for green data centers,b2370d7405f65552a13b01273c35881ade3fe348
23c9da49434e65cc41642f620c7762d0d3d23c42,A hybrid energy-Aware virtual machine placement algorithm for cloud environments,b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$675a2b49b91c8a5e7433a90f1ef5e397b314fbef$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d
74be266663e396320c904497526a455f111f08f4,CPU-Memory Aware VM Consolidation for Cloud Data Centers,04ab0c05680d496b99cd7f56125b2ce32a6584ec
5fd13af8f552ea2555ee23e8a164e3fbd700c937,Cost Efficient Real Time Electricity Management Services for Green Community Using Fog,0eaca85070e0ea52278927ff3fb7717103ba88d8
c8e5083faa810e31975dbcab8507e8e8925dc19c,Exact algorithms for energy-efficient virtual machine placement in data centers,04ab0c05680d496b99cd7f56125b2ce32a6584ec$$@$$4996b77eca75c430bea110ea844454de3820e623$$@$$eb0026cdcbe55ff9935988a454f8347ca3e6add5$$@$$ace6db02714abd5772f5ed66ffb78028f40a8050$$@$$56485ef7ee6eed7681427f434d2d1ccbcdc1de6d
e02a8d3459982c13ca8aa1025ca7258b6ddc6a7d,Resource‐efficient load‐balancing framework for cloud data center networks,56485ef7ee6eed7681427f434d2d1ccbcdc1de6d$$@$$5564aee3c3aae89f4cb2b647866a17091c56271e$$@$$675a2b49b91c8a5e7433a90f1ef5e397b314fbef$$@$$63826b7681bb1ff8195612ef75428812b6126a77
c5dc0bf6238dc400eae50789cd927e9ed728cf9d,An optimal resource allocation scheme for virtual machine placement of deploying enterprise applications into the cloud,b38ee4196f8b1dc7bfdbd30a76879497e95fdbb6$$@$$04ab0c05680d496b99cd7f56125b2ce32a6584ec
