citationID,citationName,citedReferences
5717edcefa4aac804ac6104cd4fe3e753654c7c8,5G supporting digital servitization in manufacturing: An exploratory survey,03a103c72f7e9910c6eccbe31acb47677c8fe46d
0a679d8f323510395c372ee3fd21af42dc3af2ec,A context-aware smart product-service system development approach and application case,0f3c94391795d706e45017adfb21aad83a2d1c9b$$@$$e463ac124c5a293ca2584b39e168b2c93dfdf725
36a1aa790d5491d78629c2244e2b3bd912081c45,Transactional Services for Concurrent Mobile Agents over Edge/Cloud Computing-Assisted Social Internet of Things,e3a442aa24e5df7e6b2a25e21e75c4c325f9eedf
c68a8b52298431b250146c8c1393ead579dedd1c,A design method for edge–cloud collaborative product service system: a dynamic event-state knowledge graph-based approach with real case study,65d5773164c20a566ca17f309e2351ec99a9c02b$$@$$04b4ad093f85cbd87aeeea392e114ad3915bb408
02f0a2608c9941889b61791afdf6007ecb3eeb2e,Edge-cloud cooperation-driven smart and sustainable production for energy-intensive manufacturing industries,4ceb3acc5899746977b44ccd479ceb34b5a798f1$$@$$ae4adcec11d085ac459a2c7f5ede4082af87353b
16ed39c094d8a764a3eff47ef0bf7378da64a2de,Edge intelligence-driven digital twin of CNC system: Architecture and deployment,a60152deae841f9b8f2ad1704347c1b0385507a6$$@$$7a06c6f15ab9ae208a1a5f9a0fbf54c8564dec8c$$@$$30e02b6278fc5d46354dd838cbf63b2eac680c06$$@$$e3a442aa24e5df7e6b2a25e21e75c4c325f9eedf
21b03b775161636cdf88daef34b9c1c36790ef90,Task offloading in cloud-edge collaboration-based cyber physical machine tool,7a06c6f15ab9ae208a1a5f9a0fbf54c8564dec8c$$@$$a60152deae841f9b8f2ad1704347c1b0385507a6
111c4dee097ca62648f20b58653e78a46db2f453,A Mixed Reality-Based Platform towards Human-Cyber-Physical Systems with IoT Wearable Device for Occupational Safety and Health Training,78da12073562af63b2f0e5f22f2503583e485702$$@$$8abf04223c6162d07d3d02be48478aa7e5aa82bb$$@$$04b4ad093f85cbd87aeeea392e114ad3915bb408$$@$$4ceb3acc5899746977b44ccd479ceb34b5a798f1$$@$$8955a195db9b3c3f6487f56c2556fdb34d515fce$$@$$d2dd384dc904c631f4debb8bbc1edb216e85627e
7453876679fc000b00446b93c9d9222fa6508bbb,"Journey from cloud of things to fog of things: Survey, new trends, and research directions",e3a442aa24e5df7e6b2a25e21e75c4c325f9eedf
30a194541afef2a197b5a22974f7ec744274f9da,Implications of data-driven product design: From information age towards intelligence age,5f500d143c38af584a43f19eb963e760942112a5$$@$$0f3c94391795d706e45017adfb21aad83a2d1c9b
