citationID,citationName,citedReferences
4bf6f7bfcc80ab24f7ad63895210efe6e905bc0c,IoT-based supply chain management: A systematic literature review,2e5924dbb26cf9c3b5533bdf1c96885befbb265d
8c80cb7e03c19c40f982ab5003e6f2b791cb4aed,Single-valued neutrosophic dynamic aggregation information with time sequence preference for IoT technology in supply chain management,ea7d63d0f887b9ca3e929e5f05b795ccb3938d5f
afaf8d10e50f70c42cd2772b6e8e6c0a3c89bd21,Impact Pathways of Emerging ITs to Mitigate Supply Chain Vulnerability: A Novel DEMATEL-ISM Approach Based on Grounded Theory,ea7d63d0f887b9ca3e929e5f05b795ccb3938d5f
2882c726b412acafdd33287f129460e9c6771374,The performance of smart supply chain management within Cloud and IoT environment,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
0e551e255674316c70a7de3a20c40738a2adc319,Sustailient supplier selection using neutrosophic best–worst approach: a case study of additively manufactured trinkets,99a1f72367e272c331b054230b813cb6c1e2776d
985a4f9a6c316f14f2ff141595a28f4c1e152acc,Intelligent System of Internet of Things-Oriented BIM in Project Management,1e8a315a3a206d48182e1c6c1c736e36da5a08c3
a1e576479d25948ec55d0a5b570e5eb8cf482727,Sustainable Digitalization in Pharmaceutical Supply Chains Using Theory of Constraints: A Qualitative Study,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
ceab5b98449ca4623de3a3f385792c210f4c4567,Selecting Green Suppliers by Considering the Internet of Things and CMCDM Approach,14b5f33d69018260c697b12a11d80ba374d307bf$$@$$d4c376c05fa92cc1628a59837b1b7495da4c195e$$@$$2e5924dbb26cf9c3b5533bdf1c96885befbb265d$$@$$ea7d63d0f887b9ca3e929e5f05b795ccb3938d5f
57472ee19a8b6aae21b8be21f6844457b1723965,ROLE OF NEW TECHNOLOGIES IN LOGISTICS PROCESSES AND EXPANSION OF LOGISTICS ACTIVITY WITH VIRTUAL COMPONENTS,b3183695a0b4036210b0cfd26c4602d20a72173e
a38ddc36a50e63d1d12f00f6319c6a534a831a37,Employing the Internet of Things to Attain Resilience Across Supply Chain,ea7d63d0f887b9ca3e929e5f05b795ccb3938d5f
9d65a06b59a9ba226b83b31bf911ab9cd57479c9,Application of MADM methods in Industry 4.0: A literature review,d3f0bd047b260ebc210686bd2677cbb168d538b4$$@$$a99896bff9a0bc601840f263108407527129c3f8
67e0a7c0c3db35b9dc19fa646f21851cde5910cf,Developing a weighted synergy network–based model for selecting prefabricated construction services,00aa8d0d16f1059804995cce3b2e8b31fd21865b
df62a27e575646e13e10e2f3b5fd337c892c16ef,Digitalization of Supply Chain Management with Industry 4.0 Enabling Technologies: A Sustainable Perspective,baf508891f1e44f736a3b0f0cb3e0b60807b9fe6
2fa62a9131ea075854273892b6c98834dfa8c285,Intrusion Detection in Internet of Things With MQTT Protocol—An Accurate and Interpretable Genetic-Fuzzy Rule-Based Solution,2e5924dbb26cf9c3b5533bdf1c96885befbb265d
8a4a153402ac4a17faa5a71f704e9b1847717bdb,"Vaccine supply chain management: An intelligent system utilizing blockchain, IoT and machine learning",6cb6ba4450e9bafb67dc99223d38d85cf10cb275
53f340f4544e056db3cbd1b7253bc79b47dbf256,Digital supply chain blueprint via a systematic literature review,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
c56e9877b08baf3bb954ad3e169b92c2f24a9726,"Sustainability related impacts of digitalisation on cooperation in global value chains: An exploratory study comparing companies in China, Brazil and Germany",6c7d97f371515b59fff44f4958080b63231819a1
50f994c0a5ce92de3a855d2fadc7391c243bfec3,Closed loop supply chains 4.0: From risks to benefits through advanced technologies. A literature review and research agenda,01bcf64d94323bc7fc2cde45dfcc48db09bc1b34$$@$$ea7d63d0f887b9ca3e929e5f05b795ccb3938d5f
7eaf8902365d91ba10e306f9d71ea8ea67c7d4ef,Quality process reengineering in industry 4.0: A BPR perspective,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
eafdbb5cf35f78b1f3b6fce0b798493a812bef70,Acting in concert leads to success: how to implement Industry 4.0 effectively across companies,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
f68559c768ebf8303ad2b84ab601cae217202501,"Impact, benefits and challenges of IoT for Logistics and Supply Chain Management",47b2d4e7b1ef30f2a9438928b3dad43d1e3d9170$$@$$0d1fa29721d8236808ede99ab0a0fb433a7c50e3$$@$$8de607342496b9355c07ed994e531a68c225d28e$$@$$0d045182c9e936d1c1693aa6f796f6f078d92d71
d946d6c02c25d4e99e4ef39d3d3b0ab53aeecea4,Impact of Internet of Things (IoT) on Inventory Management: A Literature Survey,240aef523c8cddda693c09a8f3367cd59c72f8d6
866950fd3c08ae83285fa0be99e81e4b9941b20a,"The link between Circular economy, Supply chain and Industry 4.0: mapping the Trends, Challenges and New Perspectives",b3183695a0b4036210b0cfd26c4602d20a72173e
6e43320f00bece56491dc7806966b0abfaed1199,Digital technologies as enablers of supply chain sustainability in an emerging economy,23280321de4885a55a4d840ee9a2bac08596f6fc
34117ccb67880f5bdc04f5b699808aeef8b4a9d2,Evaluation of key factors for industry 4.0 technologies adoption in small and medium enterprises (SMEs): an emerging economy context,23280321de4885a55a4d840ee9a2bac08596f6fc$$@$$b3183695a0b4036210b0cfd26c4602d20a72173e
98d198f56e35a4c56d0af27381cf8e516bac78cb,Readiness and Maturity of Smart and Sustainable Supply Chains: A Model Proposal,933c9c469f084fb3b4c0e3f8ab8bdf997146d03a$$@$$b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
4c140ce41933f092b63589d34b503ebcaa16cef3,Logistics Interoperability as a Boost Factor for Industry 4.0: Case Study of a Motorcycle Manufacturer,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
d6a061e6e1a3ceb260ed2386cadff7a2abde412a,Exploring the factors to promote circular supply chain implementation in the smart logistics ecological chain,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
a3a68d6af830bdfe15651200dfc251e429515e7c,Review of RFID and IoT integration in supply chain management,1160f46a503ffd72914cea9da602a9d261bab40d$$@$$8de607342496b9355c07ed994e531a68c225d28e$$@$$ea7d63d0f887b9ca3e929e5f05b795ccb3938d5f$$@$$65dbe35f1e420deb8fa4d5fa5d5025f67a8bc9d2
82d1e9876407a8b0ccd7bf180272b02069bbc392,Optimization of virtual closed-loop supply chain under uncertainty: application of IoT,01bcf64d94323bc7fc2cde45dfcc48db09bc1b34$$@$$e6d7938962c87be14f5509f83597464adad91526$$@$$c6b987e28fc4bb2f0efe1ee5f55222517b5d66a9$$@$$ea7d63d0f887b9ca3e929e5f05b795ccb3938d5f
0462049d43a08dfdfeb709d4ff04af074191cfb2,Towards Convergence of IoT and Blockchain for Secure Supply Chain Transaction,23280321de4885a55a4d840ee9a2bac08596f6fc
dc684fb69c389b911063c6fe3fa4af3e5fbc93a4,Customer-oriented product design using an integrated neutrosophic AHP & DEMATEL & QFD methodology,99a1f72367e272c331b054230b813cb6c1e2776d$$@$$1cc6f1c8c2254b0b694acbb680cce49e7901a20f
2a53f454517e2584539f3c4bd156be8acdf7a9d8,A Fuzzy Best Worst approach to the determination of the importance level of digital supply chain on sustainability,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
0ece6a78be3597f3c6ba1bbeac0ba9abe94cd554,The Impact of Block Chain and Smart Inventory System on Supply Chain Performance at Retail Industry,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
