citationID,citationName,citedReferences
c1109ab51b6af215ab83c15e0bc5630f7fecf628,Exosome-bearing hydrogels and cardiac tissue regeneration,2310ae7fa8fd9673cc27269e80dc13b60f232f7f
80c8088ab85ffb20b26efe4f3699bc5f498c90f3,Cell Therapy of Severe Ischemia in People with Diabetic Foot Ulcers—Do We Have Enough Evidence?,081e552ad4ef54988b8d5ef24069b09c1ce660e4$$@$$1ec14c00b0df805af3e6f2badbd5f28f6818ca94
5e5733e6f25c8bd368f3d88ba24eeeab0bf02808,Transcriptomic Characterization of Genes Regulating the Stemness in Porcine Atrial Cardiomyocytes during Primary In Vitro Culture,ef642c7fbbd63df88a0466df32eb4b1385f39f36
0b99778872f1f1ef773a5711470da105e70f65a1,Mechanisms of Cardiac Repair in Cell Therapy.,ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$d36a995dab47af6062539c5f77146d278edaeb37
71a7a466501e0e5ecefc0deff7d7fb5e98a71e58,Unlocking the Pragmatic Potential of Regenerative Therapies in Heart Failure with Next-Generation Treatments,081e552ad4ef54988b8d5ef24069b09c1ce660e4
53d1796b0fcacb78d2c83b75d38e6189d7968578,Exosomes and Exosomal Cargos: A Promising World for Ventricular Remodeling Following Myocardial Infarction,04b3a3f9f6ab74dadb3dc1b7facf09bf546b4cce
5892777128e61f9b396e3a6c923d321887ff957a,Myocardial regeneration protocols towards the routine clinical scenario: An unseemly path from bench to bedside,ef642c7fbbd63df88a0466df32eb4b1385f39f36
ae847c7a0a49a5ec67a9ae5758063c3553e0ded4,Dare to dream? Cell-based therapies for heart failure after DREAM-HF: Review and roadmap for future clinical study,8d23e611e6b1a1845c60bdf3372e532c630c9074
50ed54b4be2cd25a5c4ff70dd3499dc2910deb8c,Current Status of Stem Cell Therapy and Nanofibrous Scaffolds in Cardiovascular Tissue Engineering,b93e65e5217c2d611a23c8fafb2b92bcebcdf531$$@$$8845980907aad1e6d99692bd2f6a49fb110371b6
ff03e97191fe1480c8b69760e3a6773845ffaa7a,Stem cell therapies in cardiac diseases: Current status and future possibilities,ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$04b3a3f9f6ab74dadb3dc1b7facf09bf546b4cce$$@$$4110cf9252ba90a6d900b814419b6ae8336614bf
328aae7d707bd1e6e2b0e9cf1a8ffcdc26ecb9e6,Regenerative Medicine for the Treatment of Ischemic Heart Disease; Status and Future Perspectives,4110cf9252ba90a6d900b814419b6ae8336614bf$$@$$8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
d11785aa74de04204d57330593916407ca96be5a,Surfing the clinical trials of mesenchymal stem cell therapy in ischemic cardiomyopathy,b166e8745f6563eb1f3ad03975518705fc9eef77
69fbca92b8124a8517c633fb05364021832aeecb,Effects of Cardiotoxins on Cardiac Stem and Progenitor Cell Populations,ef642c7fbbd63df88a0466df32eb4b1385f39f36
2b5d480049748ccd8beb81a3c72514785fec3ab8,Cardiac Cell Therapy for Heart Repair: Should the Cells Be Left Out?,1bf202ff061bf73047a8e65471a10097c004b4bc$$@$$8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
fb3d72841721097eef5545e2dd04edeab1c3b944,The Potential Properties of Natural Compounds in Cardiac Stem Cell Activation: Their Role in Myocardial Regeneration,8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$04b3a3f9f6ab74dadb3dc1b7facf09bf546b4cce$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
65df313225a8809ef58cc38cbdb4691e7b844341,Robust Cardiac Regeneration: Fulfilling the Promise of Cardiac Cell Therapy.,081e552ad4ef54988b8d5ef24069b09c1ce660e4$$@$$b93e65e5217c2d611a23c8fafb2b92bcebcdf531$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
8760c89646622dbc5ece0107a599207ce34b70e5,"Mesenchymal Stem Cells in Cardiac Repair: effects on Myocytes, Vasculature, and Fibroblasts.",04b3a3f9f6ab74dadb3dc1b7facf09bf546b4cce$$@$$4110cf9252ba90a6d900b814419b6ae8336614bf
e1ad822859cbd1578814178603ecf429a6e6f281,Cardiac stem cell therapy: Does a newborn infant's heart have infinite potential for stem cell therapy?,ef642c7fbbd63df88a0466df32eb4b1385f39f36
e88f0c5e81a5b2a778cc6d168faeb516d90ad74d,"Isolation, growth kinetics, and immunophenotypic characterization of adult human cardiac progenitor cells",ef642c7fbbd63df88a0466df32eb4b1385f39f36
3cd0f824b406ba5405914aaaf079765027f53b33,Cardiac Regeneration After Myocardial Infarction: an Approachable Goal,ef642c7fbbd63df88a0466df32eb4b1385f39f36
bff40532468e8e82d782b549c3b863b8dbc92672,"Heart Regeneration by Endogenous Stem Cells and Cardiomyocyte Proliferation: Controversy, Fallacy, and Progress.",ac2d7402549ea28f42556e2ed4ab1de071f20c0e$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$8d23e611e6b1a1845c60bdf3372e532c630c9074$$@$$4110cf9252ba90a6d900b814419b6ae8336614bf
d7d302e36f0cf83380cdfc91ca94a3215a59e639,Cortical Bone Derived Stem Cells Modulate Cardiac Fibroblast Response via miR-18a in the Heart After Injury,8845980907aad1e6d99692bd2f6a49fb110371b6
58831d41ecd5d58849e1148088e1681735c7848e,Differentiation of Human Cardiac Atrial Appendage Stem Cells into Adult Cardiomyocytes: A Role for the Wnt Pathway?,ef642c7fbbd63df88a0466df32eb4b1385f39f36
1f1eb77fd0b546a8f125dff07d71dda48814611a,Key Success Factors for Regenerative Medicine in Acquired Heart Diseases,081e552ad4ef54988b8d5ef24069b09c1ce660e4$$@$$708ab9d434e0b70dc8838f1fa4966f465bd819db$$@$$b166e8745f6563eb1f3ad03975518705fc9eef77
0ea5373267b5d850657f66fc42d2465f3a05c0db,Heart regeneration in mouse and human: A bioengineering perspective.,8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
e0e6ffc47d1844f59dd6403e6a31866526be43aa,Time to end the war on cell therapy,d36a995dab47af6062539c5f77146d278edaeb37
876b73d6a6a03115de87e9f967aca311d2f9af38,Human CardioChimeras: Creation of a Novel “Next‐Generation” Cardiac Cell,7bedcf801753194bc71379bdba6c80b3eb924001
891015ee657a679c7c4673e59e71691de26e96c6,Cardiac progenitors and paracrine mediators in cardiogenesis and heart regeneration.,ef642c7fbbd63df88a0466df32eb4b1385f39f36
1a124e90999ff007e038d0f7a3e3a2d9bb4b9280,NFATc1+CD31+CD45- circulating multipotent stem cells derived from human endocardium and their therapeutic potential.,ef642c7fbbd63df88a0466df32eb4b1385f39f36
8f73cd71c7207343a4320d2f99173b407a9c0820,Function Follows Form - A Review of Cardiac Cell Therapy.,d36a995dab47af6062539c5f77146d278edaeb37
b59240c4d94769aa43a499aea86e4d96b875ca9c,Resident and progenitor stem cells of the heart: morphology and f unction properties and prospects for practical application,ef642c7fbbd63df88a0466df32eb4b1385f39f36
f0227521cbd9d792b74c5fde16a8c0b817decfb8,Complementary Embryonic and Adult Cell Populations Enhance Myocardial Repair in Rat Myocardial Injury Model,ef642c7fbbd63df88a0466df32eb4b1385f39f36
75cf441524807daea0c44255294ffb8eeff9a03a,Human CardioChimeras: Creation of a Novel ‘Next Generation’ Cardiac Cell,7bedcf801753194bc71379bdba6c80b3eb924001
2439ba2142e9d2e8e604d27c9d8daa6710391dcf,Role of cardiac progenitor cell‐derived exosome‐mediated microRNA‐210 in cardiovascular disease,ef642c7fbbd63df88a0466df32eb4b1385f39f36
02ce0388331c02a59e25df0aded98bf7d3e9b466,Animal‐ and human‐based evidence for the protective effects of stem cell therapy against cardiovascular disorders,708ab9d434e0b70dc8838f1fa4966f465bd819db$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$8d23e611e6b1a1845c60bdf3372e532c630c9074
c547febabfa3b69a5ec9f861c3dfa57290c8bb9d,Innovations in Human Stem Cell Research: A Holy Grail for Regenerative Medicine,ef642c7fbbd63df88a0466df32eb4b1385f39f36
551043c8754a288858de4c75af386c635cea2017,Effect of human thymus adipose tissue-derived mesenchymal stem cells on myocardial infarction in rat model,708ab9d434e0b70dc8838f1fa4966f465bd819db
697b8fcba0bae8add020f5749527425c788bd153,Regenerative therapies in young hearts with structural or congenital heart disease.,ef642c7fbbd63df88a0466df32eb4b1385f39f36
5dc72792428d7f6109ad3d6af40ec0611f2eacbe,Enhanced Immunomodulation in Inflammatory Environments Favors Human Cardiac Mesenchymal Stromal-Like Cells for Allogeneic Cell Therapies,b93e65e5217c2d611a23c8fafb2b92bcebcdf531$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
8b67d9123b18e33955b88c76136b437ae6f1c5be,"Mesenchymal Stem Cell Therapy for Doxorubicin-Induced Cardiomyopathy: Potential Mechanisms, Governing Factors, and Implications of the Heart Stem Cell Debate",78e4a756843bb3dea515055bd8ea07adfd092e5e$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
71e3549297f9f90124551d150fecba5ee39ac129,Cardioprotective microRNAs: Lessons from stem cell-derived exosomal microRNAs to treat cardiovascular disease.,8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$d36a995dab47af6062539c5f77146d278edaeb37
b018a6429034c075568bc1f158b4e3b3670fe9fe,Circulating exosomes derived from transplanted progenitor cells aid the functional recovery of ischemic myocardium,04b3a3f9f6ab74dadb3dc1b7facf09bf546b4cce
241d14a5353d70049b8fc911b27c0a2376d830b6,Extracellular matrix from decellularized mesenchymal stem cells improves cardiac gene expressions and oxidative resistance in cardiac C-kit cells,ef642c7fbbd63df88a0466df32eb4b1385f39f36
cf52657640e4a6cdb81cf7f03832772046cacd2a,Bone-derived Nestin-positive mesenchymal stem cells improve cardiac function via recruiting cardiac endothelial cells after myocardial infarction,8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$04b3a3f9f6ab74dadb3dc1b7facf09bf546b4cce$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
