citationID,citationName,citedReferences
e5ee68cd120bfbeb064911b58928f2a0ba63cb58,Regenerating the field of cardiovascular cell therapy,7bedcf801753194bc71379bdba6c80b3eb924001$$@$$ac2d7402549ea28f42556e2ed4ab1de071f20c0e$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$4110cf9252ba90a6d900b814419b6ae8336614bf$$@$$8d23e611e6b1a1845c60bdf3372e532c630c9074
97bf31cdba1b8d81510fbe17f2706ff98e507ff6,Progress and Challenge of Cardiac Regeneration to Treat Heart Failure.,ef642c7fbbd63df88a0466df32eb4b1385f39f36
e3dd7d85b948db345e7009a1fdf2e12e9b1e30eb,Assessing Stem Cell DNA Integrity for Cardiac Cell Therapy.,7bedcf801753194bc71379bdba6c80b3eb924001
598a1bd395d4c0cdf899166fb4cfcf1666e7d8fc,Cortical Bone Derived Stem Cells for Cardiac Wound Healing,8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$04b3a3f9f6ab74dadb3dc1b7facf09bf546b4cce$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
cc90cf9324e14f4cee5be262ee9e9f02935e6ec9,New Technologies for Treatment of Coronary Artery Disease,ef642c7fbbd63df88a0466df32eb4b1385f39f36
49acbd3fce1248b90bcedd4783b5f7c525fee9b8,"Stem cells as therapy for heart disease: iPSCs, ESCs, CSCs, and skeletal myoblasts.",8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$64dce1b5848c0bc605678d3c6305991626e5cdae
e933a9f75d082be53cc8d9c76ea43a8f2540c0fa,Mesenchymal stem cells facilitate cardiac differentiation in Sox2‐expressing cardiac C‐kit cells in coculture,ef642c7fbbd63df88a0466df32eb4b1385f39f36
554fda453a9cfb8362c95a4cc4b09bd5d56c5845,Effects of transplantation of hypoxia-inducible factor-1α gene-modified cardiac stem cells on cardiac function of heart failure rats after myocardial infarction,ef642c7fbbd63df88a0466df32eb4b1385f39f36
64c3c7e63ae18486cbd76805743d6769b1561b68,Mesenchymal Stromal Cells as a Therapeutic Intervention,b166e8745f6563eb1f3ad03975518705fc9eef77
7c6f4e4bea9f59a2e37a6f0b17d013c9c7def7da,Triggering Endogenous Cardiac Repair and Regeneration via Extracellular Vesicle-Mediated Communication,ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$4110cf9252ba90a6d900b814419b6ae8336614bf
417b9dfa60c68fd168bf11efb8b2c7d4fba49792,Cardiac mesenchymal cells from diabetic mice are ineffective for cell therapy-mediated myocardial repair,b166e8745f6563eb1f3ad03975518705fc9eef77
a195646e331dc7caaf251a36e4b6df68b6e84b25,Cell-Based Therapies for Cardiac Regeneration: A Comprehensive Review of Past and Ongoing Strategies,708ab9d434e0b70dc8838f1fa4966f465bd819db
41ddb5b853a9e08f67a632c7d795c262ff85bb05,Changing Metabolism in Differentiating Cardiac Progenitor Cells—Can Stem Cells Become Metabolically Flexible Cardiomyocytes?,1bf202ff061bf73047a8e65471a10097c004b4bc$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$4110cf9252ba90a6d900b814419b6ae8336614bf
1b8981be920625b82f02c6b044c58b4925154729,Guided evaluation and standardisation of mesenchymal stem cell culture conditions to generate conditioned medium favourable to cardiac c-kit cell growth,ef642c7fbbd63df88a0466df32eb4b1385f39f36
d7513e6aedc995b588566fcceca7fd86bcdf05ce,Concise Review: Heart‐Derived Cell Therapy 2.0: Paracrine Strategies to Increase Therapeutic Repair of Injured Myocardium,8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
6380d1c20297541fdb7d14e4b971d4e664289560,Mechanical Circulatory Support and Stem Cell-Based Heart Treatment in Europe-2018 Clinical Update.,8d23e611e6b1a1845c60bdf3372e532c630c9074
4c017273bac15e8fb9145f6ad112234c935d6c25,Generation of Cardiomyocytes From Vascular Adventitia-Resident Stem Cells,ef642c7fbbd63df88a0466df32eb4b1385f39f36
5e74002d6376585c8abc5e87e860f682bc4de947,Aged‐senescent cells contribute to impaired heart regeneration,ac2d7402549ea28f42556e2ed4ab1de071f20c0e$$@$$4110cf9252ba90a6d900b814419b6ae8336614bf$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$64dce1b5848c0bc605678d3c6305991626e5cdae
1ac2bdc8dc578b70395abf3ea638a8ace82c7465,Bradykinin‐mediated Ca2+ signalling regulates cell growth and mobility in human cardiac c‐Kit+ progenitor cells,8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
dd08fecb285a234e3a911976aa38af75bf08e7a9,The Biological Mechanisms of Action of Cardiac Progenitor Cell Therapy,ac2d7402549ea28f42556e2ed4ab1de071f20c0e$$@$$8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
f83f6a3c0b88f74dd9333ca5175c0103dbe76fdf,Exosomes Derived from miR-214-Enriched Bone Marrow-Derived Mesenchymal Stem Cells Regulate Oxidative Damage in Cardiac Stem Cells by Targeting CaMKII,ef642c7fbbd63df88a0466df32eb4b1385f39f36
cd2979d338703dbb0cc80aa3ebd8343681216392,Gata4-Dependent Differentiation of c-Kit+–Derived Endothelial Cells Underlies Artefactual Cardiomyocyte Regeneration in the Heart,ef642c7fbbd63df88a0466df32eb4b1385f39f36
a7040d0fe7da4ce00da96fb1b18aaf3798fd93ea,Sulfiredoxin‐1 enhances cardiac progenitor cell survival against oxidative stress via the upregulation of the ERK/NRF2 signal pathway,ac2d7402549ea28f42556e2ed4ab1de071f20c0e$$@$$8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$4522e851b28f1ca83fcd0460dd0baa3ff251cde2$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
004e07c953151ee6ed1da0e9da89cd8c588e0206,"Stem Cell Therapy in Heart Diseases – Cell Types, Mechanisms and Improvement Strategies",1bf202ff061bf73047a8e65471a10097c004b4bc$$@$$b93e65e5217c2d611a23c8fafb2b92bcebcdf531$$@$$ac2d7402549ea28f42556e2ed4ab1de071f20c0e$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$081e552ad4ef54988b8d5ef24069b09c1ce660e4$$@$$8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$04b3a3f9f6ab74dadb3dc1b7facf09bf546b4cce
b9bc84e670fc64a923fc6001b3ff0f21bb59373f,The march of pluripotent stem cells in cardiovascular regenerative medicine,32ad6090d285dba5972e5c80b6eb9b4fbdfbc9d9$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
0e573ea1b8989e08ae072273a1e239e9d780ece5,Cardiac ageing: extrinsic and intrinsic factors in cellular renewal and senescence,7bedcf801753194bc71379bdba6c80b3eb924001$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
9a8050f34243070b978b292bedfb7f686dc19cd9,The mechanistic role of oxidative stress in cigarette smoke-induced cardiac stem cell dysfunction and prevention by ascorbic acid,ac2d7402549ea28f42556e2ed4ab1de071f20c0e$$@$$8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36
f344d35e8a543e6ad63c15f97f1c106f9999d695,Clinical Studies of Cell Therapy in Cardiovascular Medicine: Recent Developments and Future Directions,ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$8d23e611e6b1a1845c60bdf3372e532c630c9074
585b1fe835f4463a9d37aa35dfd27b794fe315f8,Kardiale Stammzelltherapie in der ischämischen Kardiomyopathie // Cardiac Stem Cell Therapy in Ischemic Cardiomyopathy,081e552ad4ef54988b8d5ef24069b09c1ce660e4$$@$$2310ae7fa8fd9673cc27269e80dc13b60f232f7f$$@$$8d23e611e6b1a1845c60bdf3372e532c630c9074$$@$$d36a995dab47af6062539c5f77146d278edaeb37
72a02c673a12bed8003461a17f98673c9d46916e,Rationale and Design of the SENECA (StEm cell iNjECtion in cAncer survivors) Trial,d36a995dab47af6062539c5f77146d278edaeb37
9f61b5e3e2c6c6becb9604c9508b261b08252a4b,Exosomes in Myocardial Repair: Advances and Challenges in the Development of Next-Generation Therapeutics.,ef642c7fbbd63df88a0466df32eb4b1385f39f36
d056859acdadfd6faaec091c587519433a49d9f5,C-Kit Cardiac Progenitor Cell Based Cell Sheet Improves Vascularization and Attenuates Cardiac Remodeling following Myocardial Infarction in Rats,ef642c7fbbd63df88a0466df32eb4b1385f39f36
c4b8f186e101c3312ce80e73e9d019a88d77850c,Cardiac c-Kit Biology Revealed by Inducible Transgenesis,ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$4522e851b28f1ca83fcd0460dd0baa3ff251cde2
ecb419282c030d1f0db6d4c542342b247bb14bee,"Reassessment of c-Kit in Cardiac Cells: A Complex Interplay Between Expression, Fate, and Function",ef642c7fbbd63df88a0466df32eb4b1385f39f36
15f45b8229198cc35528b42a3b12f62f51ae9e3b,Regenerative Therapy for Patients with Congenital Heart Disease.,1bf202ff061bf73047a8e65471a10097c004b4bc$$@$$ac2d7402549ea28f42556e2ed4ab1de071f20c0e$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$4110cf9252ba90a6d900b814419b6ae8336614bf$$@$$081e552ad4ef54988b8d5ef24069b09c1ce660e4$$@$$8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$8d23e611e6b1a1845c60bdf3372e532c630c9074
1353b0e297a1370360b1980f4956c4a7ce88bba5,Molecular signature of progenitor cells isolated from young and adult human hearts,ef642c7fbbd63df88a0466df32eb4b1385f39f36
4d22b793c0e8f8ed37678bdca63bc0075c2e1f02,Unique Aspects of the Design of Phase I/II Clinical Trials of Stem Cell Therapy,ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$04b3a3f9f6ab74dadb3dc1b7facf09bf546b4cce$$@$$4110cf9252ba90a6d900b814419b6ae8336614bf
0d29b6543250b7bfdedc8b5cf71d2a926c0e7efe,Therapeutic approaches for cardiac regeneration and repair,ef642c7fbbd63df88a0466df32eb4b1385f39f36
4c6b06b7ff9732da08a7a0313647e4e4dba5b6f5,Calcium‐dependent potassium channels control proliferation of cardiac progenitor cells and bone marrow‐derived mesenchymal stem cells,7bedcf801753194bc71379bdba6c80b3eb924001$$@$$ac2d7402549ea28f42556e2ed4ab1de071f20c0e$$@$$ef642c7fbbd63df88a0466df32eb4b1385f39f36$$@$$4110cf9252ba90a6d900b814419b6ae8336614bf$$@$$8845980907aad1e6d99692bd2f6a49fb110371b6$$@$$64dce1b5848c0bc605678d3c6305991626e5cdae
adeb0c12956d2b4cfe674ccceca22d6fe53a9a83,Myocardial regeneration therapy in heart failure: Current status and future therapeutic implications in clinical practice.,1bf202ff061bf73047a8e65471a10097c004b4bc$$@$$708ab9d434e0b70dc8838f1fa4966f465bd819db
90c6f325f1c6a0e061a1cc9aa386f11f3595c1db,Short Telomeres Induce p53 and Autophagy and Modulate Age‐Associated Changes in Cardiac Progenitor Cell Fate,ef642c7fbbd63df88a0466df32eb4b1385f39f36
1b14be1a7d832112266f2c8b1ac54a2ce574c19e,Potential clinical benefits of cell therapy in coronary heart disease: an update.,ef642c7fbbd63df88a0466df32eb4b1385f39f36
