citationID,citationName,citedReferences
8ce5a68984a9be1814f41f754c0366b09cc06c34,Data Mining Approach for Diagnosing Heart Diseases through Deep Neural Network,0c94aa297ec061bd3e5dd5cc849d3031e5465ed4
a8f024a6d004e6434eadbb6605214e7786134ceb,An active contour model based on adaptively variable exponent combining Legendre polynomial for image segmentation,30beb7e1abbded13202dd74ed545b691eab88679
3c4a6848264be209d643129e12053bf09f385d7a,Big Data Analytics integrated AAC Framework for English language teaching,71c73d8ae7242cd8ec18b16b8169606b135eeecc$$@$$399c7a78bf72ce0120237b72ca2e438d0b1c7595
25409337ae8c66f88149d66ddd4ec7f22995a399,Toward real-time and efficient cardiovascular monitoring for COVID-19 patients by 5G-enabled wearable medical devices: a deep learning approach,0c94aa297ec061bd3e5dd5cc849d3031e5465ed4
d1aaf2ec7635751d875ff61eb229f530258f7e84,An Enhanced Framework To Secure Big Data Based on Hybrid Machine Learning Technique:ANN-PSO,a437972e82f0c48f0256b45df63221a3d7051fa4
5973d95a2851648f2a2b117e99cda63a57602fa2,Coronary heart disease diagnosis using the efficient ANN model,b283a3f5bc728ef4eb3aafa3cb73f003ac540090
c77ac763629ecbbce41b5ccd87a259b7968c35c8,Key Technologies and Development Status of Smart City,f2d90a6c9e8b72795e245a5f825e18a1610e7228
34fcf5b74c168c82df0062c554102363031438aa,An intelligent healthcare monitoring framework using wearable sensors and social networking data,b895d46b20d0e9778e328370e5b1ecc03146fbb9
e6f3584c3074375d8bae39d909cfa10596b0376c,"A systematic literature review of data science, data analytics and machine learning applied to healthcare engineering systems",fd4879e9c17a5d6551dd9f3a0cb9df0fe1d04637
06a7610abc343c5b61d1267cbc57b816895aaffe,A secure remote health monitoring model for early disease diagnosis in cloud-based IoT environment,0c94aa297ec061bd3e5dd5cc849d3031e5465ed4
afeaca1c85f07acce658f7a11f6fcef6bd890cce,Development of Hepatitis Disease Detection System by Exploiting Sparsity in Linear Support Vector Machine to Improve Strength of AdaBoost Ensemble Model,c3fcedd6afda390032334aca38126a2ad1513132
e28cee29cd4b707c23ddec605cd33ed207948e1a,Artificial Intelligence for Internet of Things and Enhanced Medical Systems,0c94aa297ec061bd3e5dd5cc849d3031e5465ed4$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9
afb981be8992d122f547dda95639feb3e86755e2,Fuzzy neural networks and neuro-fuzzy networks: A review the main techniques and applications used in the literature,c3fcedd6afda390032334aca38126a2ad1513132$$@$$70ce3a4b2b146d2d191919450c14a070484f856f
662c34a49b79f0f336be45fec4bd0613fc9c10f3,A smart healthcare monitoring system for heart disease prediction based on ensemble deep learning and feature fusion,0c94aa297ec061bd3e5dd5cc849d3031e5465ed4$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9
4ee98e8bcebbc253f59ec2285b8e6d2ceed1d7d8,An efficient approach for sentiment analysis using machine learning algorithm,1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$850b8699bd6e257942bd332b4e4af7e3ef50ea86$$@$$8da324b3d5537d6db3412aecd952d96d0a51e2e3$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9
3855a2bbcd52b7c65b991610afa9e58127ff01df,An efficient approach for sentiment analysis using machine learning algorithm,1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$850b8699bd6e257942bd332b4e4af7e3ef50ea86$$@$$8da324b3d5537d6db3412aecd952d96d0a51e2e3$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9
753924f35d6f13c071c5706301318ca7132635ac,Representation Learning for Electronic Health Records: A Survey,fd4879e9c17a5d6551dd9f3a0cb9df0fe1d04637
d5e8e3ed108232ba5ffe68827f408cb4c9660f74,Evolving connectionist approaches to compute thermal conductivity of TiO2/water nanofluid,0892ae6e01a994518e480b591abc121a9829314d$$@$$b283a3f5bc728ef4eb3aafa3cb73f003ac540090
e44ee5876b849cb69d91f32b631533115596dfb9,Usage and implementation of neuro-fuzzy systems for classification and prediction in the diagnosis of different types of medical disorders: a decade review,c4bfe71fb668a88c2b995008bd77405f32947b7d$$@$$3d9ce83cafed7afadc7d4b9eadf50ea12bdd525a$$@$$71ade77bed1cc77eab969ef325b898b213b76b8c$$@$$2f56c0116c497ebb82f34f1201da36e50d9c4a97
38b0dc750d2f654ffcc00d5370ae9b34901ec975,An insight into the prediction of TiO2/water nanofluid viscosity through intelligence schemes,0892ae6e01a994518e480b591abc121a9829314d$$@$$b283a3f5bc728ef4eb3aafa3cb73f003ac540090
1ac07a2bfaf9765b554fcfe48bd0dd235dec3523,Fuzzy logic hybridized artificial intelligence for computing and networking on internet of things platform,ebba0b4ad6674d6c0e6e186355d0fda737c37932
0cce81e562e35f9e7df9a432019bdcf5ef6e5056,Fuzzy logic hybridized artificial intelligence for computing and networking on internet of things platform,ebba0b4ad6674d6c0e6e186355d0fda737c37932
d00c4df3e7f2bdc2a0b788ca8c6f21af260c528b,Multi-agent learning technique inspired from software engineering model for permutation coded GA,b895d46b20d0e9778e328370e5b1ecc03146fbb9$$@$$8da324b3d5537d6db3412aecd952d96d0a51e2e3$$@$$30beb7e1abbded13202dd74ed545b691eab88679
7d6f7797969ed1e619e8d8ab54cba8a88bacb1d8,Secure Personal Health Records Sharing Based on Blockchain and IPFS,0fb6360d34ccf92605c731a279ee52be0e030dd9$$@$$399c7a78bf72ce0120237b72ca2e438d0b1c7595
d14ef364237422e51e39811fa1316b1e8e65de1f,A Comparative Review of Recent Data Mining Techniques for Prediction of Cardiovascular Disease from Electronic Health Records,7d8a77ac29c7c26643fe41feb01e66766c75e633
2e8008497e27e19ccafe835bf417a823b81c1472,A practical review and taxonomy of fuzzy expert systems: methods and applications,bb3dcc382c333c82c1d8e1e3c4cc6c283c67ad30$$@$$f33b5a71ce806ab24ed74a19184069b92ce0b552$$@$$9fa1a9bbebc701e2e055529428469d633c5ad181$$@$$2f56c0116c497ebb82f34f1201da36e50d9c4a97$$@$$c3fcedd6afda390032334aca38126a2ad1513132$$@$$71ade77bed1cc77eab969ef325b898b213b76b8c
0b986d27f1980992be5a77805cb5dd3018342685,A medical monitoring scheme and health‐medical service composition model in cloud‐based IoT platform,0c94aa297ec061bd3e5dd5cc849d3031e5465ed4
762182cd3e90179609dd0adcf9d4f1d84db14526,Classifying streaming of Twitter data based on sentiment analysis using hybridization,8da324b3d5537d6db3412aecd952d96d0a51e2e3$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9$$@$$30beb7e1abbded13202dd74ed545b691eab88679$$@$$9815bbad110595d55fe1606e3ff0a7a4c14920dd$$@$$1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$0fb6360d34ccf92605c731a279ee52be0e030dd9$$@$$850b8699bd6e257942bd332b4e4af7e3ef50ea86
f4ab5800d3939aa3172ca0bbe457198039e1adb6,An Automatic Tamil Speech Recognition system by using Bidirectional Recurrent Neural Network with Self-Organizing Map,8da324b3d5537d6db3412aecd952d96d0a51e2e3$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9$$@$$30beb7e1abbded13202dd74ed545b691eab88679$$@$$9815bbad110595d55fe1606e3ff0a7a4c14920dd$$@$$1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$0fb6360d34ccf92605c731a279ee52be0e030dd9$$@$$850b8699bd6e257942bd332b4e4af7e3ef50ea86$$@$$0c94aa297ec061bd3e5dd5cc849d3031e5465ed4
ba97bd8fe5f444d9b2300abe095a87f9e9999505,An efficient Elman neural network classifier with cloud supported internet of things structure for health monitoring system,1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$399c7a78bf72ce0120237b72ca2e438d0b1c7595$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9
7396c22984701f258394c8f84287f30fdf88e000,Twitter sentiment analysis using adaptive neuro-fuzzy inference system with genetic algorithm*,1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$30beb7e1abbded13202dd74ed545b691eab88679
f2a0ab943167fa670214c03f9c283afc6a6d9b2a,An Effective Detection Mechanism for Localizing Macular Region and Grading Maculopathy,1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$399c7a78bf72ce0120237b72ca2e438d0b1c7595$$@$$0c94aa297ec061bd3e5dd5cc849d3031e5465ed4$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9
