citationID,citationName,citedReferences
c8545f54671680080b9b6eb32d81fa570267e99c,Ensemble classification of integrated CT scan datasets in detecting COVID-19 using feature fusion from contourlet transform and CNN,00a407540a8bdd6d7425bd8a561eb21d69682511
920df20a79582c41bd2947b8f1e7b3987994b123,Improve the performance of CT-based pneumonia classification via source data reweighting,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$e5e815a08d8e7af1421db8480aa679fed75abb5d
dfb28bff2dc5fba8f6d7aabf994192b72081f145,Novel Adaptive Histogram Binning-Based Lesion Segmentation for Discerning Severity in COVID-19 Chest CT Scan Images,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901
d42845431a5e7056a687bafa61c51887550133e8,A comprehensive review of COVID-19 detection with machine learning and deep learning techniques,754eef845a1fd33405661e9de4e985f020ea949a$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$e5e815a08d8e7af1421db8480aa679fed75abb5d
c19956241a8086be7ab73d13ef735767d4ea3df1,Diagnosis and detection of COVID-19 infection on X-Ray and CT scans using deep learning based generative adversarial network,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901
9ed438a63729640d1204c249d653703267704e00,Review on chest pathogies detection systems using deep learning techniques,00a407540a8bdd6d7425bd8a561eb21d69682511
2734f05e209832d87cd51313cdba921678b2f0f9,Deep‐CoV: An integrated deep learning model to detect COVID‐19 using chest X‐ray and CT images,754eef845a1fd33405661e9de4e985f020ea949a
d2918c75e14fa28c4ddbd5b78b28ee6963d16f3b,Using fused Contourlet transform and neural features to spot COVID19 infections in CT scan images,00a407540a8bdd6d7425bd8a561eb21d69682511
8ae73a0c54cdb25cbdf571c83985a305778542e0,COVID-19 Detection: A Systematic Review of Machine and Deep Learning-Based Approaches Utilizing Chest X-Rays and CT Scans,c9e6f9830966d35e607b337db8a55bfb59a37901
b4004b977faa8d17e5c0b3eaa6cf719a474672fb,Design of an Efficient Approach for Performance Enhancement of COVID-19 Detection Using Auxiliary GoogLeNet by Using Chest CT Scan Images,754eef845a1fd33405661e9de4e985f020ea949a$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511
50d34a8fc193387a0646bdd7761f9cf1678777e2,D-Cov19Net: A DNN based COVID-19 detection system using lung sound,754eef845a1fd33405661e9de4e985f020ea949a
89bada4d43327d00c7e14509b557367fdb0f7e22,A Transfer Learning Approach for Diagnosis of COVID-19 Cases from Chest Radiography Images,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901
9b2dcc156ac0c97872332628fc252b0fcdac10c1,Improved Residual U-Net for COVID-19 Lung Infection Multi-Class Segmentation in CT Image,00a407540a8bdd6d7425bd8a561eb21d69682511
5c4728127d6b91f24f97448889e098b11d175b72,Enhanced framework for COVID-19 prediction with computed tomography scan images using dense convolutional neural network and novel loss function,00a407540a8bdd6d7425bd8a561eb21d69682511
848254f9427109742b7af8c5a6973722e36a2246,"FirecovNet: A Novel, Lightweight, and Fast Deep Learning-Based Network for Detecting COVID-19 Patients Using Chest X-rays",754eef845a1fd33405661e9de4e985f020ea949a
7d7a90748d977040598c62b0c3ebcb31a3b54e96,Deep Transfer Learning approach for Classification of Chest Infections in Radiographic X-Ray Images,fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1$$@$$754eef845a1fd33405661e9de4e985f020ea949a
30eba6c19ed547b26b183a4c130cd7cdce7efdb1,SUFEMO: A superpixel based fuzzy image segmentation method for COVID-19 radiological image elucidation,754eef845a1fd33405661e9de4e985f020ea949a$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511
41961d16876e8f25275ecbf734d91b56270fbdf9,COVID-19 identification in chest X-ray images using intelligent multi-level classification scenario,754eef845a1fd33405661e9de4e985f020ea949a
942c57269873bb31938eb7c435a41738623e25cd,Dynamic feature learning for COVID-19 segmentation and classification,754eef845a1fd33405661e9de4e985f020ea949a
9bbfb5e1740ea30f686c98fd6b1692a9e54a97aa,Novel Crow Swarm Optimization Algorithm and Selection Approach for Optimal Deep Learning COVID-19 Diagnostic Model,00a407540a8bdd6d7425bd8a561eb21d69682511
06bf72ca7f20289f71f6952c98c7c2a75b2774a3,A Systematic Survey on COVID 19 Detection and Diagnosis by Utilizing Deep Learning Techniques and Modalities of Radiology,754eef845a1fd33405661e9de4e985f020ea949a$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511
de11b9151c8d42c1f198dbbdf6631406eb61a871,An Optimized Ensemble Model for COVID Detection,00a407540a8bdd6d7425bd8a561eb21d69682511
