citationID,citationName,citedReferences
e5897ff2c2dab01d8eac8e7358917de60852040d,Computational intelligence in processing of speech acoustics: a survey,e90f746593e32fda81495c79a165eb0ff5db2aed
4a56a941ccd4c39c7d285fdd5f2ab7e087f21705,Computational intelligence in processing of speech acoustics: a survey,e90f746593e32fda81495c79a165eb0ff5db2aed
ab746eaf05f9f3632e6f8b3e3b77ba830e7782e5,Research on the application of intelligent speech recognition technology in medical big data fog computing system,b895d46b20d0e9778e328370e5b1ecc03146fbb9
5880ae17c0b8a454eddb2df37582a185f3350bef,BiLSTM regression model for face sketch synthesis using sequential patterns,e23c34414e66118ecd9b08cf0cd4d016f59b0b85
71e0b32893f15af43a4bcb09703762109ef9da91,Computationally efficient and secure anonymous authentication scheme for IoT-based mobile pay-TV systems,df04b78e6a804aac580cc920f68795b5b35ca02a
c8231faf14b73b1615d4266145a721b46aa306ff,Efficiency of optimization algorithms on the adjustment of process parameters for geometric accuracy enhancement of denture plate in single point incremental sheet forming,0c94aa297ec061bd3e5dd5cc849d3031e5465ed4$$@$$9815bbad110595d55fe1606e3ff0a7a4c14920dd$$@$$1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9
ba97bd8fe5f444d9b2300abe095a87f9e9999505,An efficient Elman neural network classifier with cloud supported internet of things structure for health monitoring system,d92689401ee861f27950cb7c54b68a2c72e91221$$@$$1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$c69197b570bcf7b08cbd046060f192c986d79acb$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9
afa3bfa0817fefc5502fe99e11209a4cab8c4699,Minimization of test time in system on chip using artificial intelligence-based test scheduling techniques,8da324b3d5537d6db3412aecd952d96d0a51e2e3$$@$$6e3852318c25904e27bb5f3552e94dda40679b4d$$@$$850b8699bd6e257942bd332b4e4af7e3ef50ea86
076776dad385ad29ecd8aa76ffe18e95ecc01399,Modified secure AODV protocol to prevent wormhole attack in MANET,c69197b570bcf7b08cbd046060f192c986d79acb
5a4454bdad3ec8672ccc05b1d9af5365e50f8eac,Vehicular Cloud for Smart Driving Using Internet of Things,7a59868874c5435e0e9cf5fc4789540a453a5d91$$@$$c69197b570bcf7b08cbd046060f192c986d79acb$$@$$df04b78e6a804aac580cc920f68795b5b35ca02a$$@$$8025219e1b17c8699cbd65fe37c17ddb7e13bed0
811b1b83f91b819c4e8eb300c4199616e850b100,Speech to speech interaction system using Multimedia Tools and Partially Observable Markov Decision Process for visually impaired students,1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$850b8699bd6e257942bd332b4e4af7e3ef50ea86
4e6c3ac2c446d27933f44d1f27daa6c77eaf13f1,Pivot variable location-based clustering algorithm for reducing dead nodes in wireless sensor networks,7a59868874c5435e0e9cf5fc4789540a453a5d91$$@$$df04b78e6a804aac580cc920f68795b5b35ca02a$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9$$@$$850b8699bd6e257942bd332b4e4af7e3ef50ea86$$@$$30beb7e1abbded13202dd74ed545b691eab88679$$@$$8025219e1b17c8699cbd65fe37c17ddb7e13bed0$$@$$8da324b3d5537d6db3412aecd952d96d0a51e2e3$$@$$d92689401ee861f27950cb7c54b68a2c72e91221$$@$$0c94aa297ec061bd3e5dd5cc849d3031e5465ed4$$@$$c69197b570bcf7b08cbd046060f192c986d79acb$$@$$0fb6360d34ccf92605c731a279ee52be0e030dd9
