citationID,citationName,citedReferences
70eb2ac12e265c2246efeeb981bbac16dc5a5f56,Electron-ion dynamics in laser-assisted desorption of hydrogen atoms from H-Si(111) surface,cb063cda50a0cf69889696063a587501ea9bcd03$$@$$30556129b1b5014f1d0a8a2ff75d1bae23cd0f07
e8f1111dee62ba7e2ab977bd7f606cf33983493a,First-principles time-dependent simulation of laser assisted desorption of hydrogen atoms from H–Si(111) surface,cb063cda50a0cf69889696063a587501ea9bcd03$$@$$30556129b1b5014f1d0a8a2ff75d1bae23cd0f07
f2f25c07f3d961814a5758842886f4efb8e0cc63,Numerical analysis of second harmonic intensity images of a H-Si(111) surface after UV light pulse irradiation,522dc4cb01304469c74e7531083efa8c5fb968e5
0f88a05e1e3b3288bcb4afad998027afcb8ea047,Controlling the photodesorption of adspecies from surfaces,cb063cda50a0cf69889696063a587501ea9bcd03
d025d387d81e514260677f639315c1d205a28e33,Theory of the excitation of the vibrational mode of an adatom-substrate system under a resonant laser field,10a57a230ae2354b19424b2961432c3777925e0d
b3ff30b254e82c7fd82ca33d7a48d166f5507838,Ultrafast reaction dynamics of the associative hydrogen desorption from Ru(001),2f774a20c42e81686ccfd1054a9dad5fbab1dafe
cdb8eb0bfd49e078055fbb1ad9e560affa44b431,Energy transfer and chemical dynamics at solid surfaces: The special role of charge transfer,07e5d18b570db9023b7edf0a193765437074e6aa
f7bdad582ea47e452dd586c5f85e8076cbba9bf6,Laser-induced chemistry and desorption of organic monolayers,2f774a20c42e81686ccfd1054a9dad5fbab1dafe
7ac0268f4c9cfaeae0f6f7f59a177da883f0ec76,Stability and fragmentation of organic silicon functionalizations studied by laser desorption mass spectrometry,2f774a20c42e81686ccfd1054a9dad5fbab1dafe
c40844105913827a6125aa1d7b28800f11e87d21,Breaking Relaxing Bonds at a H:Si(100)-(2 × 1) Surface with Infrared Laser Pulses,cb063cda50a0cf69889696063a587501ea9bcd03
a27d6ccd2f6d3977709b008ec61bcfd314d1e024,"Theoretical study of isolated dangling bonds, dangling bond wires, and dangling bond clusters on a H : Si ( 001 ) − ( 2 × 1 ) surface",30556129b1b5014f1d0a8a2ff75d1bae23cd0f07
c50a05dffc76bfc756030ff5f28204d491c36dce,Reactions of excess hydrogen at a Si(111) surface with H termination: First-principles calculations,2d6826cd0664e8bb3e124dda2171ec190b224746$$@$$30556129b1b5014f1d0a8a2ff75d1bae23cd0f07
5c43d622da55c5145926ec1c8fbefe968c1ac9ac,Mode-Selective Control of Surface Reactions,522dc4cb01304469c74e7531083efa8c5fb968e5$$@$$8c6e2b244e042a3cae84c648a15440d16f3e3084
