citationID,citationName,citedReferences
920df20a79582c41bd2947b8f1e7b3987994b123,Improve the performance of CT-based pneumonia classification via source data reweighting,e5e815a08d8e7af1421db8480aa679fed75abb5d$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511
dfb28bff2dc5fba8f6d7aabf994192b72081f145,Novel Adaptive Histogram Binning-Based Lesion Segmentation for Discerning Severity in COVID-19 Chest CT Scan Images,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901
d42845431a5e7056a687bafa61c51887550133e8,A comprehensive review of COVID-19 detection with machine learning and deep learning techniques,e5e815a08d8e7af1421db8480aa679fed75abb5d$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$754eef845a1fd33405661e9de4e985f020ea949a
c19956241a8086be7ab73d13ef735767d4ea3df1,Diagnosis and detection of COVID-19 infection on X-Ray and CT scans using deep learning based generative adversarial network,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901
9ed438a63729640d1204c249d653703267704e00,Review on chest pathogies detection systems using deep learning techniques,00a407540a8bdd6d7425bd8a561eb21d69682511
2734f05e209832d87cd51313cdba921678b2f0f9,Deep‐CoV: An integrated deep learning model to detect COVID‐19 using chest X‐ray and CT images,754eef845a1fd33405661e9de4e985f020ea949a
fa6414e0e07d74b0a899315f6cee67976006f5c2,Deep Learning Algorithms for Forecasting COVID-19 Cases in Saudi Arabia,00a407540a8bdd6d7425bd8a561eb21d69682511
d2918c75e14fa28c4ddbd5b78b28ee6963d16f3b,Using fused Contourlet transform and neural features to spot COVID19 infections in CT scan images,00a407540a8bdd6d7425bd8a561eb21d69682511
8ae73a0c54cdb25cbdf571c83985a305778542e0,COVID-19 Detection: A Systematic Review of Machine and Deep Learning-Based Approaches Utilizing Chest X-Rays and CT Scans,c9e6f9830966d35e607b337db8a55bfb59a37901
b4004b977faa8d17e5c0b3eaa6cf719a474672fb,Design of an Efficient Approach for Performance Enhancement of COVID-19 Detection Using Auxiliary GoogLeNet by Using Chest CT Scan Images,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
50d34a8fc193387a0646bdd7761f9cf1678777e2,D-Cov19Net: A DNN based COVID-19 detection system using lung sound,754eef845a1fd33405661e9de4e985f020ea949a
89bada4d43327d00c7e14509b557367fdb0f7e22,A Transfer Learning Approach for Diagnosis of COVID-19 Cases from Chest Radiography Images,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901
9b2dcc156ac0c97872332628fc252b0fcdac10c1,Improved Residual U-Net for COVID-19 Lung Infection Multi-Class Segmentation in CT Image,00a407540a8bdd6d7425bd8a561eb21d69682511
5c4728127d6b91f24f97448889e098b11d175b72,Enhanced framework for COVID-19 prediction with computed tomography scan images using dense convolutional neural network and novel loss function,00a407540a8bdd6d7425bd8a561eb21d69682511
848254f9427109742b7af8c5a6973722e36a2246,"FirecovNet: A Novel, Lightweight, and Fast Deep Learning-Based Network for Detecting COVID-19 Patients Using Chest X-rays",754eef845a1fd33405661e9de4e985f020ea949a
7d7a90748d977040598c62b0c3ebcb31a3b54e96,Deep Transfer Learning approach for Classification of Chest Infections in Radiographic X-Ray Images,754eef845a1fd33405661e9de4e985f020ea949a$$@$$fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1
30eba6c19ed547b26b183a4c130cd7cdce7efdb1,SUFEMO: A superpixel based fuzzy image segmentation method for COVID-19 radiological image elucidation,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
41961d16876e8f25275ecbf734d91b56270fbdf9,COVID-19 identification in chest X-ray images using intelligent multi-level classification scenario,754eef845a1fd33405661e9de4e985f020ea949a
942c57269873bb31938eb7c435a41738623e25cd,Dynamic feature learning for COVID-19 segmentation and classification,754eef845a1fd33405661e9de4e985f020ea949a
9bbfb5e1740ea30f686c98fd6b1692a9e54a97aa,Novel Crow Swarm Optimization Algorithm and Selection Approach for Optimal Deep Learning COVID-19 Diagnostic Model,00a407540a8bdd6d7425bd8a561eb21d69682511
06bf72ca7f20289f71f6952c98c7c2a75b2774a3,A Systematic Survey on COVID 19 Detection and Diagnosis by Utilizing Deep Learning Techniques and Modalities of Radiology,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
de11b9151c8d42c1f198dbbdf6631406eb61a871,An Optimized Ensemble Model for COVID Detection,00a407540a8bdd6d7425bd8a561eb21d69682511
26d9323a949282a498da5ba882add576cf4c41c5,COVID-19 infection prediction from CT scan images of lungs using Iterative Convolution Neural Network model,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a$$@$$fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1
91661f7a7ea3dce69195f38e7274331898220141,Comparative Analysis of State-of-the-Art Deep Learning Models for Detecting COVID-19 Lung Infection from Chest X-Ray Images,00a407540a8bdd6d7425bd8a561eb21d69682511
17f109ba16a6059b13b8c62deaf09f8cad9c74e7,DCML: Deep contrastive mutual learning for COVID-19 recognition,00a407540a8bdd6d7425bd8a561eb21d69682511
97e0a369762df281476f6e404b5ed09e5c7574ce,COVID-19 detection with X-ray images by using transfer learning,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901
b957f3e53c277090b7a51951dd6dd91a53570e72,Let AI Perform Better Next Time—A Systematic Review of Medical Imaging-Based Automated Diagnosis of COVID-19: 2020–2022,00a407540a8bdd6d7425bd8a561eb21d69682511
e8320ec6511cb2d5f572126a77065bf1df66b8b8,Detection of COVID-19 from CT and Chest X-ray Images Using Deep Learning Models,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
431f2bbe5c0d3a8c26408f16c9c0a8a48b9b9626,COVID-19 Diagnosis with HRCT Images Using Deep Transfer Learning,754eef845a1fd33405661e9de4e985f020ea949a
c0bfed44dd9706c4df19305243d8acbabd7d569f,Quantifying prognosis severity of COVID-19 patients from deep learning based analysis of CT chest images,c9e6f9830966d35e607b337db8a55bfb59a37901
d21bf505568ac1930b5c73426672163b0c8118fb,WMR-DepthwiseNet: A Wavelet Multi-Resolution Depthwise Separable Convolutional Neural Network for COVID-19 Diagnosis,754eef845a1fd33405661e9de4e985f020ea949a
8757e58e0306ea967a9ff181e71e9347e8cd7793,Development of a computer-aided tool for detection of COVID-19 pneumonia from CXR images using machine learning algorithm,00a407540a8bdd6d7425bd8a561eb21d69682511
5368f884c2d61703e70a84fa917d57a80cf69e55,A novel algorithm for detection of COVID-19 by analysis of chest CT images using Hopfield neural network,4209698decb8a44e8a8704d38eb92fe560264120$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
e07975df2f9d3bff2c43cb7ffa8ed82f8430cde0,COVID-19 Diagnosis from Medical Images Using Transfer Learning,754eef845a1fd33405661e9de4e985f020ea949a
59adc1e34738fb3cb2381c415095bc1b30830cac,A Deep Learning Approach for the Detection of COVID-19 from Chest X-Ray Images using Convolutional Neural Networks,047394c8de0ad5f49aeb89b7e419b4990986b6e4$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511
36ed20d47374d4e8ca2a657e9929027fefeab93b,COVID-19 detection in CT and CXR images using deep learning models,754eef845a1fd33405661e9de4e985f020ea949a
0aae47c82ca222349ff880cdb833367b6224ee96,Fully automated segmentation of pneumonia infection based on Probabilistic Graphical Model and U-Net blend network,754eef845a1fd33405661e9de4e985f020ea949a
d5d9bc19e41f1ec9d20c552ef30931464a4a34ee,UNAS-Net: A deep convolutional neural network for predicting Covid-19 severity,00a407540a8bdd6d7425bd8a561eb21d69682511
08a82671b6065ec813a1dfb968aecd8ce6e5b09f,Chapter 6 Conclusions,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
155c0eb3fc14b694503fc09a56065ec786d95174,Radiological and Laboratory Modalities for Diagnosis of COVID-19: A Systematic Review,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
d420fffb4017a297c9962e2c69a148330a1e5b49,Deep COVID 19: Deep Learning for COVID 19 Detection from X ray Images,754eef845a1fd33405661e9de4e985f020ea949a
b932d17b962da38fa4b88a9571fe49a26c366273,Automatic classification of severity of COVID‐19 patients using texture feature and random forest based on computed tomography images,c9e6f9830966d35e607b337db8a55bfb59a37901
94899d5b307ab5d3727ca10116a31f2586041155,Investigation of COVID-19 Using an Artificial Intelligence Based Approach,754eef845a1fd33405661e9de4e985f020ea949a
d1217c2afa2bcdfb8f96370f17a3cd15473fe937,Classifying chest CT images as COVID-19 positive/negative using a convolutional neural network ensemble model and uniform experimental design method,00a407540a8bdd6d7425bd8a561eb21d69682511
13588e63ace8dde7816006ac36eed604393d1a63,Factors determining generalization in deep learning models for scoring COVID-CT images.,754eef845a1fd33405661e9de4e985f020ea949a
3ce403d7a3491018010489e305f8c70bc33f90b0,Mix-and-Interpolate: A Training Strategy to Deal With Source-Biased Medical Data,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
e77a33e45d349b55267d4b792c55770921495f43,WOANet: Whale optimized deep neural network for the classification of COVID-19 from radiography images,00a407540a8bdd6d7425bd8a561eb21d69682511
f7b02297129f0852fc29967f9667d518420df4ab,Detection of Covid-19 Based on Chest Medical Imaging and Artificial Intelligent Techniques: A Review,00a407540a8bdd6d7425bd8a561eb21d69682511
3311ce9f78db6b5c12fbb4173c31312d47cbdc16,Diagnosis of COVID-19 Using a Deep Learning Model in Various Radiology Domains,00a407540a8bdd6d7425bd8a561eb21d69682511
01d95358167b3469d565e3f143ba34557e523f2a,Automated COVID-19 diagnosis and classification using convolutional neural network with fusion based feature extraction model,00a407540a8bdd6d7425bd8a561eb21d69682511
63b9863462b36be00a5536942877406a2ec344b5,Machine Learning Approach Using KPCA-SVMs for Predicting COVID-19,00a407540a8bdd6d7425bd8a561eb21d69682511
b6fdcc5e19687f3bf96e61ef56d94b87e8f069f5,A comparative analysis of eleven neural networks architectures for small datasets of lung images of COVID-19 patients toward improved clinical decisions,00a407540a8bdd6d7425bd8a561eb21d69682511
6e667ccd6f5080b12694c16d06022ba109436c29,PAM-DenseNet: A Deep Convolutional Neural Network for Computer-Aided COVID-19 Diagnosis,754eef845a1fd33405661e9de4e985f020ea949a
5748653a2df8f15562afee419b5e307a286ebf3e,Application of Artificial Intelligence on Post Pandemic Situation and Lesson Learn for Future Prospects,754eef845a1fd33405661e9de4e985f020ea949a
3da93b6958999ddd6148384f8e4180372c8e40d6,Understanding Human Innate Immune System Dependencies using Graph Neural Networks,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a$$@$$fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1
e6918f2d9d6f3c7672ed132e9b1bd603420365d5,A Novel Weighted Consensus Machine Learning Model for COVID-19 Infection Classification Using CT Scan Images,c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$754eef845a1fd33405661e9de4e985f020ea949a
79208d7ff13cb5f33ba0f937cdf7eaf39600d485,COVID-19 disease identification from chest CT images using empirical wavelet transformation and transfer learning,754eef845a1fd33405661e9de4e985f020ea949a
f399747aa96ce04d1d7a6e3a72947a1b5d8501b7,"A Blockchain and Artificial Intelligence-Based, Patient-Centric Healthcare System for Combating the COVID-19 Pandemic: Opportunities and Applications",00a407540a8bdd6d7425bd8a561eb21d69682511
f7722dc5d993d8d9800b34031177f6222061d648,A Novel Multi-Stage Residual Feature Fusion Network for Detection of COVID-19 in Chest X-Ray Images,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901
55ece348cfcc5899c1db57e58919b8b17ddba343,The Recent Technologies to Curb the Second-Wave of COVID-19 Pandemic,00a407540a8bdd6d7425bd8a561eb21d69682511
41ec011ea143e9116be709aab4f3e34996c5f017,"AI for COVID-19 Detection from Radiographs: Incisive Analysis of State of the Art Techniques, Key Challenges and Future Directions",754eef845a1fd33405661e9de4e985f020ea949a
e5342efe98c3bc706c09d1c7ad936da3fbbb9179,Attention mechanism and mixup data augmentation for classification of COVID-19 Computed Tomography images,00a407540a8bdd6d7425bd8a561eb21d69682511
68542179f697e9f4b5e266745cf37ef897d2c7d8,A stacked ensemble for the detection of COVID-19 with high recall and accuracy,c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$754eef845a1fd33405661e9de4e985f020ea949a$$@$$fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1
c4c3fdd9b314fe233474522f12e48c11b29d838a,Deep Learning Method for Quantitative Analysis of Covid -19 using CT Chest Images,e5e815a08d8e7af1421db8480aa679fed75abb5d$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$754eef845a1fd33405661e9de4e985f020ea949a
4cbd657ed0ed3e444d19ed27ae058db4059f3f94,COVID‐19 diagnosis on CT scan images using a generative adversarial network and concatenated feature pyramid network with an attention mechanism,754eef845a1fd33405661e9de4e985f020ea949a
e8e6645e3781c42b93fee155ec6f8d7736a1e3a3,CoviLearn: A Machine Learning Integrated Smart X-Ray Device in Healthcare Cyber-Physical System for Automatic Initial Screening of COVID-19,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
0122c816ce8894604b11bde956e4f941abcb828b,"Automatic detection of COVID-19 from chest CT scan and chest X-Rays images using deep learning, transfer learning and stacking",c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$754eef845a1fd33405661e9de4e985f020ea949a$$@$$fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1
84c43d860beedcd750924f17bddb60e2a38bd475,Identification of pneumonia based on chest x-ray images using wavelet scattering network,754eef845a1fd33405661e9de4e985f020ea949a
a5a993eb35858c2adfb645d2a82b5e6bf64b763c,An Overview of Deep Learning Techniques on Chest X-Ray and CT Scan Identification of COVID-19,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$c9e6f9830966d35e607b337db8a55bfb59a37901
bc0411ed74a9658866ec234b8188cfa7eea496ca,Coronavirus disease (COVID-19) detection using X-ray images and enhanced DenseNet,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
