citationID,citationName,citedReferences
9c58bf80012119532c4f5a45702f90b5dd31081f,Ridesharing evacuation models of disaster response,bdb16b4371a6ae263832ad652d6deddee385bacb
1d999bd4173c122867ea81f1b7cde3d1ba9d5473,An experiment-based nonlinear model of shear force-slip relationship for perfobond strips in an unreinforced narrow joint with high-strength steel fiber mortar,ff04d5f0922a2e0d3d9a014d823baf9168dbde59
0c77908ac66da9fb3bc05e36ea947d7aaae4d035,Design of Type-2 Fuzzy Logic Controller in a Smart Home Energy Management System with a Combination of Renewable Energy and an Electric Vehicle,56dc37163a5a732b7119a4e0fec58e7d8cc55425$$@$$abf3a6f60f222fc148fed3893210f6fca302d07c$$@$$e08b0d8a39c96e6416b43f0bff760118b360f99f
24f44dfa147924180db236bc4582cbd2da824aba,Application of the J-Integral and Digital Image Correlation (DIC) to Determination of Multiple Crack Propagation Law of UHPC under Flexural Cyclic Loading,ee34d1d89a2919be85e1f2fe76971dddbc1072d6$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
3d38ddb35e9f2de3fbc91d832db46003ac62eff7,Predicting the Young’s Modulus of Rock Material Based on Petrographic and Rock Index Tests Using Boosting and Bagging Intelligence Techniques,47d376c446f1fe436d2ea1c580c5328a1d509b86
73fca5fffdac900e52d4fac7fa751be0314f3e30,Enhanced artificial intelligence for electrochemical sensors in monitoring and removing of azo dyes and food colorant substances.,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
73a48d5ef15805fcd6e47ec6f0c6da2ef1d50649,Parametric investigations on shear behavior of perforated transverse angle connectors in steel–concrete composite bridges,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$1890aff74a909ef25d1886621a4982d6b93326fc$$@$$da4d973c992dd93da8a81298c2335112aeae3800
f7d5938d234dccef90965a9b1060f4069f2dd744,Application of Machine Learning in Prediction of Shear Capacity of Headed Steel Studs in Steel–Concrete Composite Structures,3c09a04ff6ed730eb2b5fb605230ad26dbe9edae
be1568a980ae9d1d6b278a203c20c0306e5947c4,Introducing stacking machine learning approaches for the prediction of rock deformation,47d376c446f1fe436d2ea1c580c5328a1d509b86
c46ef492e2035c2a398dd652f278dde5c553ee6e,Design parametric analysis of low-energy residential buildings on the way to a defined cost-optimal capacity point,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
ace4274d97ddb522328bc4def9c62b0dc33b62d5,Evaluation and monitoring of impact resistance of fiber reinforced concrete by adaptive neuro fuzzy algorithm,bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f$$@$$debec6ee5120e254bc84f964f004095fb3c771e7$$@$$e75b95e934ad9c15d2be4a0c15dda8c1fec7ffdd$$@$$0095b6bb7c92f5deeffa8a311b80f75e680325eb
a8de6b341f3874b9d4964b4bd3df68a46aca66aa,A new intelligence fuzzy-based hybrid metaheuristic algorithm for analyzing the application of tea waste in concrete as natural fiber,56dc37163a5a732b7119a4e0fec58e7d8cc55425$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f$$@$$debec6ee5120e254bc84f964f004095fb3c771e7$$@$$0095b6bb7c92f5deeffa8a311b80f75e680325eb
6a7ca1035b19f1c1150a6354ad1321745eb55ace,A human-centred deep learning approach facilitating design pedagogues to frame creative questions,9933330479f873e80f0b88bd79b8c9840545c73f
d9e92e1751d79fb8517c8bdc0015f61f27dc5cae,"Neuro fuzzy evaluation of circular economy based on waste generation, recycling, renewable energy, biomass and soil pollution",0095b6bb7c92f5deeffa8a311b80f75e680325eb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
5795b01c8d4a08ee4d80728b529c95d844a43e15,Adaptive neuro fuzzy evaluation of energy and non‐energy material productivity impact on sustainable development based on circular economy and gross domestic product,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$0095b6bb7c92f5deeffa8a311b80f75e680325eb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
9d22eb17879e1772bf444245ed5fee6d7055e96e,Numerical assessment of rectangular tunnels configurations using support vector machine (SVM) and gene expression programming (GEP),debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
ebb2af576b46f0ec91653a925141147e15dfe9c2,Using peak discharge estimation methods in urban flood modeling for WADI AL-AQIQ,bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$ee34d1d89a2919be85e1f2fe76971dddbc1072d6$$@$$debec6ee5120e254bc84f964f004095fb3c771e7$$@$$1890aff74a909ef25d1886621a4982d6b93326fc$$@$$e75b95e934ad9c15d2be4a0c15dda8c1fec7ffdd
1c8e2725dacec586044bce21f4e793250fb7d3b3,Parametric study of I-shaped shear connectors with different orientations in push-out test,3c09a04ff6ed730eb2b5fb605230ad26dbe9edae
e271a2c3880a402083c2525552fbacaa166058ef,Structure estimation of vertical axis wind turbine using artificial neural network,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
dc6f07e9ea577268a7ae79fec7a0548e2502fc8c,The overall framework design of automatic logistics system using a hybrid ANN-PSO model,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
19d14f870e3fe46274f8d0a743bfbe67b0634a89,The overall framework design of automatic logistics system using a hybrid ANN-PSO model,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
756a7c733ffb7c9306bb7af5cb03045c1be46ba3,RETRACTED ARTICLE: Analyzing the energy performance of buildings by neuro-fuzzy logic based on different factors,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$0095b6bb7c92f5deeffa8a311b80f75e680325eb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
d52fcad90d77233f9af719c2c13e362d3cccba07,The WASPAS and AHP optimization methods applied on vibro-diagnostic models for rotational machines,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
9a6e3a1562b3e7d49cc305704621e082e4d39acb,Assessment of composite beam performance using GWO–ELM metaheuristic algorithm,bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$ee34d1d89a2919be85e1f2fe76971dddbc1072d6$$@$$9933330479f873e80f0b88bd79b8c9840545c73f$$@$$debec6ee5120e254bc84f964f004095fb3c771e7$$@$$1890aff74a909ef25d1886621a4982d6b93326fc$$@$$e75b95e934ad9c15d2be4a0c15dda8c1fec7ffdd
7e639d3942ce63690e2b09d7cf7c5673fab012d8,Computational evaluation of microalgae biomass conversion to biodiesel,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$0095b6bb7c92f5deeffa8a311b80f75e680325eb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
5a5cf4621fa5e91ec178f14413d85b791e75392b,Assessment of circular-bored twin tunnel (CBTT) performance using soft computing methods,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
0187924012e2e07db826e16baa27cb8ffd93513b,PSACONN mining algorithm for multi-factor thermal energy-efficient public building design,bdb16b4371a6ae263832ad652d6deddee385bacb
30f49a028e24b1040fa1c10116166032ffcf7ca5,In-plane varying bending force effects on wave dispersion characteristics of single-layered graphene sheets,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
643367df4081a5df48dcd3a2b3ed07fcc9f0bdb5,Estimation of the Most Influential Parameters Affecting the Rotary Braces Damper,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
a02c45dda7bff988a0d1ba5331b2bdc8cfa133d6,Estimation of the Most Influential Parameters Affecting the Rotary Braces Damper,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
66ca4f0ba0e4dd67f29efe4896f9546834174577,RETRACTED ARTICLE: Management of higher heating value sensitivity of biomass by hybrid learning technique,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$0095b6bb7c92f5deeffa8a311b80f75e680325eb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
7bdc19005c35f421e2642ff2de9f1c3352ca71ca,Optimization of hydrothermal liquefaction process through machine learning approach: process conditions and oil yield,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
