citationID,citationName,citedReferences
be54d253afa68ec98cd56d5210e8f288492919f4,Hybrid grey wolf optimizer for solving permutation flow shop scheduling problem,36c22aba379281608a23962a3dccdd44bdcf2a5c$$@$$88e875c45afda3073131e491834318479311a509$$@$$a4e78d3c24351eb869c27bf1af854631c0f6d6d7$$@$$52c590bb9fd468d987a96f4f01911f09f6edd885$$@$$9af8e429d9c65fb0b2ca18f5bc721426b1f432e2$$@$$35cc2c86c414a237bc196ad9c1b69863c4c70559$$@$$24759adb80d93168bcb41d478747d3bbbc2bf283$$@$$661de3a9ad0d0d43e13ea35e20391725846ccade$$@$$9b50519aaa26fad6db30402937e714bd821cf9a8$$@$$28128a4a48dc26b1fcb7a724725dd652f2b46331$$@$$5e3c4e1085692fc6f730894c903284d4a0a09fed$$@$$49de5eebf16017558e0afa4acda54db593f4ad92$$@$$85229fa386a180da36ffe88eada89951238db15c$$@$$e165250bc0e3899c3a9f9ea84724fc6dbe9dfff4$$@$$e8d867d1df851af730794eac105a6e06d0b39d6b
4561f8495d9b33914a8a7e7fecf8e84d6aa36403,A Nature Inspired Hybrid Partitional Clustering Method Based on Grey Wolf Optimization and JAYA Algorithm,683f68101f573d69dccbc380cf97ab9b39b21d96
7e64119718915c2e3cc3f65abf5e7d14af4987b1,Blocking Flow Shop Scheduling Problems Using Evolution Strategies Algorithm,24759adb80d93168bcb41d478747d3bbbc2bf283$$@$$e165250bc0e3899c3a9f9ea84724fc6dbe9dfff4$$@$$f60c7a62b7270c6c550f463efced6bc6852d023f
b16e0ca8506ec68a0d57f16bc2f5b9a0ef170ed3,Multi-Strategy Discrete Teaching-Learning-Based Optimization Algorithm to Solve No-Wait Flow-Shop-Scheduling Problem,35cc2c86c414a237bc196ad9c1b69863c4c70559$$@$$5e3c4e1085692fc6f730894c903284d4a0a09fed$$@$$18b9d93188b23ac9a6d389d238108b7dfaf95d38$$@$$b76136c7f9e13a8c081e2a725f52c4aaea7aa22f$$@$$85229fa386a180da36ffe88eada89951238db15c
ae2b0b4d383119f6434a436ed76d7d074f4668b0,An adaptive artificial electric field algorithm for continuous optimization problems,683f68101f573d69dccbc380cf97ab9b39b21d96
8ecf24c495b623e0f86af7af8974104447a1f79e,Inversed Control Parameter in Whale Optimization Algorithm and Grey Wolf Optimizer for Wrapper-based Feature Selection: A comparative study,683f68101f573d69dccbc380cf97ab9b39b21d96
0969c6244b06f7feb15c22585d0fbc731d2c5991,A comparative analysis of SAMP-Jaya and simple Jaya algorithms for PFSSP (permutation flow shop scheduling problems),52c590bb9fd468d987a96f4f01911f09f6edd885$$@$$24759adb80d93168bcb41d478747d3bbbc2bf283$$@$$0a71937519b8577b27940ef55cf1be4d7c41d05e$$@$$d539fde4e461a2cf9be6998894fb9d9da4759419$$@$$85229fa386a180da36ffe88eada89951238db15c$$@$$804a41fc1211681f8fb9a446f3505ec41601d26d$$@$$d43557cb9c3211ea77c325f0d998177aa11e5d40
5e004d7a90d7cb9d4f0b809a9af7f87f68358cd3,Hybridization of Particle Swarm Optimization with Variable Neighborhood Search and Simulated Annealing for Improved Handling of the Permutation Flow-Shop Scheduling Problem,4bf2297c2a9859f887215fe8cc4aa8685b6bea87$$@$$24759adb80d93168bcb41d478747d3bbbc2bf283$$@$$9b50519aaa26fad6db30402937e714bd821cf9a8$$@$$9af8e429d9c65fb0b2ca18f5bc721426b1f432e2
736f75193bc9020730f7ad0e3e40698f334726ac,Modified Hybrid Moth Optimization Algorithm for PFSS Problem,f60c7a62b7270c6c550f463efced6bc6852d023f$$@$$9af8e429d9c65fb0b2ca18f5bc721426b1f432e2$$@$$35cc2c86c414a237bc196ad9c1b69863c4c70559$$@$$24759adb80d93168bcb41d478747d3bbbc2bf283$$@$$9b50519aaa26fad6db30402937e714bd821cf9a8$$@$$3e79558717468eb8b6dbfd7e57fc9442ebbde95f$$@$$9caef5cc883a4aa37a541b89786270c6e9874abe$$@$$5e3c4e1085692fc6f730894c903284d4a0a09fed$$@$$18b9d93188b23ac9a6d389d238108b7dfaf95d38$$@$$e165250bc0e3899c3a9f9ea84724fc6dbe9dfff4
c73d7c21a0398b3d8f8a40e40de0128a6a27cc16,A novel Q-learning algorithm based on improved whale optimization algorithm for path planning,fb40f2b3d5b5ff3e1c39930464256c5d5760edbf$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96
