citationID,citationName,citedReferences
68c1feada589074da40ea802adc1b2880da61340,Application of green energy and environment-friendly decorative composite materials by using kinetic model with Sodium Alanate Nano carbon particle for building technologies,645b9d86189bfcdd9718759542ca49548cd79f44$$@$$25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$a347f937fcc096c7e6ee6a18c658911916359373
c7658316af1cb38b64f13580f44947c5e0277d72,Innovative composite machine learning approach for biodiesel production in public vehicles,a347f937fcc096c7e6ee6a18c658911916359373
8ee1d3c7b7019a22995dc50d4d0e60328f825102,Development of hybrid ANFIS-GAN-XGBOOST models for accurate prediction of material removal rates from PCB-polluted concrete surfaces using laser technology for sustainable energy generation,25639e4b9488e982914dd862f77a5a77e0021f09$$@$$a347f937fcc096c7e6ee6a18c658911916359373$$@$$645b9d86189bfcdd9718759542ca49548cd79f44$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518
ef202a33ba065db42489575759a7e38bd246ec43,Novel modified ANFIS based fuzzy logic model for performance prediction of FRCM-to-concrete bond strength,a347f937fcc096c7e6ee6a18c658911916359373
453835280db4b7db1b820742e308b8b8aa00b81f,Predicting the shear strength of concrete beam through ANFIS-GA-PSO hybrid modeling,25639e4b9488e982914dd862f77a5a77e0021f09$$@$$a347f937fcc096c7e6ee6a18c658911916359373$$@$$645b9d86189bfcdd9718759542ca49548cd79f44$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$2903c87ed0d5a4d46c0777b3d823ea60c923a64e
11da8c4a5aa30b8aba23b799fc467d6708a5eacf,Sensitivity and robustness analysis of adaptive neuro-fuzzy inference system (ANFIS) for shear strength prediction of stud connectors in concrete,f2df0c1026ffa474f603a535e48e5c115d3d8629
cf82788a968be1f1ddfe9d96aa8da12cf9962edf,Innovative ANN hysteresis to predict hysteretic performance of composite reinforced concrete beam,645b9d86189bfcdd9718759542ca49548cd79f44$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c
9ed052d7cdfddfc123d6c78ab9d1a916e5858071,The effect of carbon dioxide emissions on the building energy efficiency,a347f937fcc096c7e6ee6a18c658911916359373
10a8ad461fc9c419faec8228791560f60c459519,Application of nano remediation of mine polluted in acid mine drainage water using machine learning model.,13e3ffd0e97b8dd11564172c04355f578b6e8518
979c6e656b2bdf45a9a96c2584fe2777c3021524,Application of Polyacrylic Hydrogel in Durability and Reduction of Environmental Impacts of Concrete through ANN,f2df0c1026ffa474f603a535e48e5c115d3d8629
0fefd89f3ec6eefa051a39482a9f6203257ec4eb,The metaheuristic optimization of the mechanical properties of sustainable energies using artificial neural networks and genetic algorithm: A case study by eggshell fine waste,a347f937fcc096c7e6ee6a18c658911916359373
2d0089a4a02209dce03d3183bd313fe26be73275,Application of hybrid learning algorithm for optimization of LED lens design,25639e4b9488e982914dd862f77a5a77e0021f09$$@$$a347f937fcc096c7e6ee6a18c658911916359373$$@$$645b9d86189bfcdd9718759542ca49548cd79f44$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518
5d357c7b571abc8a83254bdf13b3c9be724e10fe,The Numerical Analysis of Replenishment of Hydrogel Void Space Concrete Using Hydrogels Containing Nano-Silica Particles through ELM-ANFIS,25639e4b9488e982914dd862f77a5a77e0021f09$$@$$a347f937fcc096c7e6ee6a18c658911916359373$$@$$645b9d86189bfcdd9718759542ca49548cd79f44$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$2b9c0e4d1d473aadbe1c2a76f75bc02bfa6416b0$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518
8872fcf1bdcf7533560443b85230c4ae8e031eb6,Improving the Self-Healing of Cementitious Materials with a Hydrogel System,645b9d86189bfcdd9718759542ca49548cd79f44$$@$$25639e4b9488e982914dd862f77a5a77e0021f09$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518$$@$$a347f937fcc096c7e6ee6a18c658911916359373
b99c2f4b6bb96afdcdef133a6267e1696eaef4c8,On the dynamics of the axisymmetric circular system via an exact continuum elasticity theory and discrete singular convolution method,25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c
ace4274d97ddb522328bc4def9c62b0dc33b62d5,Evaluation and monitoring of impact resistance of fiber reinforced concrete by adaptive neuro fuzzy algorithm,25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c
a8de6b341f3874b9d4964b4bd3df68a46aca66aa,A new intelligence fuzzy-based hybrid metaheuristic algorithm for analyzing the application of tea waste in concrete as natural fiber,07c2763f31c28e49a0a7d22fad0548db27b3cb91
9d22eb17879e1772bf444245ed5fee6d7055e96e,Numerical assessment of rectangular tunnels configurations using support vector machine (SVM) and gene expression programming (GEP),07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518$$@$$a347f937fcc096c7e6ee6a18c658911916359373
ebb2af576b46f0ec91653a925141147e15dfe9c2,Using peak discharge estimation methods in urban flood modeling for WADI AL-AQIQ,645b9d86189bfcdd9718759542ca49548cd79f44$$@$$25639e4b9488e982914dd862f77a5a77e0021f09$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$a347f937fcc096c7e6ee6a18c658911916359373
9a6e3a1562b3e7d49cc305704621e082e4d39acb,Assessment of composite beam performance using GWO–ELM metaheuristic algorithm,25639e4b9488e982914dd862f77a5a77e0021f09$$@$$a347f937fcc096c7e6ee6a18c658911916359373$$@$$645b9d86189bfcdd9718759542ca49548cd79f44$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$f2df0c1026ffa474f603a535e48e5c115d3d8629$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518
ebb32fcefd97e70d0ea05df933b335b88942aa17,Simulation of steel–concrete composite floor system behavior at elevated temperatures via multi-hybrid metaheuristic framework,25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$f2df0c1026ffa474f603a535e48e5c115d3d8629
bdfbb76b74e2760f9fc66570dcb61c06fcf29bec,Simulation of steel–concrete composite floor system behavior at elevated temperatures via multi-hybrid metaheuristic framework,25639e4b9488e982914dd862f77a5a77e0021f09$$@$$a347f937fcc096c7e6ee6a18c658911916359373$$@$$645b9d86189bfcdd9718759542ca49548cd79f44$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518
