citationID,citationName,citedReferences
d07018e290563f1d807f2d95d98a72c0a40b42f1,Sampled-data control of fuzzy systems,331ace8e416d66e4187b4158456515a7add3f0b7
9f6e2d365746e6b6d8836ea7ba14508ba767f996,Fuzzy switching function-based sliding mode controller design for T-S fuzzy descriptor systems,f08971b346763aee433200e5814ba00d7fe44e8c$$@$$a2eba797d94b65492eee274117816ee6c92a1077
9c544436a2bb673daa108766b59dff1827df7651,Membership functions dependent adaptive sliding mode fault‐tolerant control for uncertain T–S fuzzy systems with performance bounds,c3e5e7dc1cd3157c3f7e48881ac70af7574d510b$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$331ace8e416d66e4187b4158456515a7add3f0b7$$@$$f08971b346763aee433200e5814ba00d7fe44e8c
345fdb9bf817e47e53dfb5d81b04511fe3fce687,Robust fault-tolerant control design for polynomial fuzzy systems,d79eeb61bc8960242550234e7a801d6863c58aec
6e307e86082110ecebe29bf673570f0f42112f36,Fixed-time integral sliding mode control design for a class of uncertain nonlinear systems based on a novel fixed-time stability condition,a798b5a2623c337133a472354a1e5ca88332d1b5
d588e77ec54867b9c234bc3e45cf49c0312a67d2,Fixed-time Disturbance Observer-based Sliding Mode Control for Mismatched Uncertain Systems,96d21f9ba6d7dd9cae2138e2ea142ef098c70cc2
f26ab6cdbddd368cb6772233eeeb4a7a0353a753,Sliding mode predictive control: A survey,6cd4a66cf6158458653fcac6c7b703612a6201d5
0cb8b72b9051b118a7c3440a34c15c080f7c37ae,Robust Adaptive Neural Sliding Mode Method for Coupled-Tank System Intelligent Control,a798b5a2623c337133a472354a1e5ca88332d1b5$$@$$970aca534f6cc7a1f5de71a3a957d8a6e75742c6
f47f82cafbf0b1072485702f3327e130729d3fca,Cooperative control problem of Takagi-Sugeno fuzzy multiagent systems via observer based distributed adaptive sliding mode control,d79eeb61bc8960242550234e7a801d6863c58aec
5af1ddc14b5d3cd71fdd7d6802d438c22b3edc9e,Enhanced Stabilization of Discrete-Time Takagi–Sugeno Fuzzy Systems Based on a Comprehensive Real-Time Scheduling Model,5860aacaceecea47f4c1eb104c080bd8497bc4b2$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$be67cb637a7d6214185d75d7ab58579905f7e953
b5ee161bff8c3385626c1ce7a52b95dc3771ff37,Event-triggered-based adaptive sliding mode control for networked linear control systems,c3e5e7dc1cd3157c3f7e48881ac70af7574d510b$$@$$5860aacaceecea47f4c1eb104c080bd8497bc4b2
fdc0b7e73d1c0c10a884fcfaa05796b4479dbc26,Asynchronous Output Feedback Control for a Class of Conic-Type Nonlinear Hidden Markov Jump Systems Within a Finite-Time Interval,a798b5a2623c337133a472354a1e5ca88332d1b5
67007e5e7a310a641f1397b5086643cf5400a2b3,Adaptive Sliding Mode Fault-Tolerant Fuzzy Tracking Control With Application to Unmanned Marine Vehicles,c3e5e7dc1cd3157c3f7e48881ac70af7574d510b$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$e3ac956517264b2a445bf444ce4f65dce9fdd203$$@$$eea634d65d6aadc6979b8f49bb7e95edef8d20df
19db43b4cd62ab377f879ed2d3490a53f44f7ce7,Admissibility Analysis and Control Synthesis for Polynomial Fuzzy Singular Systems via Line Integral Fuzzy Lyapunov Function,331ace8e416d66e4187b4158456515a7add3f0b7
