citationID,citationName,citedReferences
7121723cc806049fa68a01a7d10b08e4d74e7c57,Relaxed Observer Design of Discrete-Time Takagi–Sugeno Fuzzy Systems Based on a Lightweight Gain-Scheduling Law,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$a2fe390c001b0031b41a9146c5c8e2c3f2147c7c
a0e661b1344763ffe97f9ac00b3ec962156db559,Event-triggered Nonfragile Observer Design for Interval Type-2 T-S Fuzzy Systems with Unmeasurable Premise Variables and Bounded Disturbances,209dd9d1879d3e262efef4956bb955bf6950953f$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$561131701e0f66a78177d0d575f70f84095b01e8
40b1202cfcea4aa39acae05a129a987fe7cbdea5,Event-triggered Non-fragile State Estimator Design for Interval Type-2 Takagi-Sugeno Fuzzy Systems via Quadratic Boundedness,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$9c994e9b8a57f3df3420e9042b415d221c5b295a$$@$$55753b73f3a4f23ba72808ad255d4ead5dbecb6d
cde5754e0672f9751b5351e170787227a9fc2982,Unknown Input Functional Observer Design for Discrete-Time Interval Type-2 Takagi–Sugeno Fuzzy Systems,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$9c994e9b8a57f3df3420e9042b415d221c5b295a$$@$$8a5d18967505a17801e5bcee289db66508575ca2$$@$$0ae9d611687e2012a11ca16c8990b8add633ba23
cc5dd40608387c5749c355624bbc8579eac6f1d8,Relaxed Observer-Based State Estimation of Discrete-Time Takagi–Sugeno Fuzzy Systems Based on an Augmented Matrix Approach,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$a2fe390c001b0031b41a9146c5c8e2c3f2147c7c
fbb1e34e4939ddd12f46b2d36178c28424e97106,A T-S fuzzy state observer-based model predictive reset control for a class of fuzzy nonlinear systems with event-triggered mechanism,d79eeb61bc8960242550234e7a801d6863c58aec
77eb1a53768057744832c0949cf195daf2c1a8fc,Non-Fragile Observer-Based Adaptive Integral Sliding Mode Control for a Class of T-S Fuzzy Descriptor Systems With Unmeasurable Premise Variables,d79eeb61bc8960242550234e7a801d6863c58aec
0387f53ad8615bf9f9ecb6804ab191e9ecdc8e84,Takagi–Sugeno Fuzzy Observer-Based Magnetorheological Damper Fault Diagnosis Using a Support Vector Machine,2bc03566b4d7dceee327fae00a570506237f2454
19735ee329303fcae3968a09f1a627ec08be7e94,Fuzzy Tracking Control for Markov Jump Systems With Mismatched Faults by Iterative Proportional–Integral Observers,d79eeb61bc8960242550234e7a801d6863c58aec
43e09160c2e0b154a140c4e21d6acc8967626fb5,Multi-Instant Observer Design of Discrete-Time Fuzzy Systems via An Enhanced Gain-Scheduling Mechanism,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$a2fe390c001b0031b41a9146c5c8e2c3f2147c7c
