citationID,citationName,citedReferences
6a833dd39ea906888b98a852ae8b06c54c3b04e8,A Novel Medical Support Deep Learning Fusion Model for the Diagnosis of COVID-19,00a407540a8bdd6d7425bd8a561eb21d69682511
0adb25f059695d6ede25adb87c8ee3d7f7b3c37a,Deep Learning in the Detection and Diagnosis of COVID-19 Using Radiology Modalities: A Systematic Review,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
239e92e8538846fd5e04803c7dfb80d2aef25126,Artificial Intelligence Facing COVID-19 Pandemic for Decision Support in Algeria,00a407540a8bdd6d7425bd8a561eb21d69682511
20dd182b210418be46ddcaa8952cb7ad1a61c29f,CHS-Net: A Deep Learning Approach for Hierarchical Segmentation of COVID-19 via CT Images,fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
7fc30915fb1aa8c4dedffd4b67347e0ddcb5d2dd,CHS-Net: A Deep learning approach for hierarchical segmentation of COVID-19 infected CT images,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
a1e6d5d71294ee2d7e69fb61ae03bb55593be4d1,COVID-GATNet: A Deep Learning Framework for Screening of COVID-19 from Chest X-Ray Images,00a407540a8bdd6d7425bd8a561eb21d69682511
c88332226782f40911d08aa91830eddc6eb6d33f,A Survey on Artificial Intelligence in Chest Imaging of COVID-19,c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
e34b19d7008ca5081c3d6e76c98b78e66907c557,COVID-CLNet: COVID-19 Detection with Compressive Deep Learning Approaches,00a407540a8bdd6d7425bd8a561eb21d69682511
5baaa6fd8dcc3d124b8c192b6210f7550f2c4e56,Single-Shot Lightweight Model For The Detection of Lesions And The Prediction of COVID-19 From Chest CT Scans,754eef845a1fd33405661e9de4e985f020ea949a
f03c7a6194578218f7851f1990c6d3afaa9118c1,A Systematic Review on the Use of AI and ML for Fighting the COVID-19 Pandemic,00a407540a8bdd6d7425bd8a561eb21d69682511
1c24c60fd08601aca365b54d531b8657b60c832e,A Systematic Review on the Use of AI and ML for Fighting the COVID-19 Pandemic,00a407540a8bdd6d7425bd8a561eb21d69682511
15ccce33cb62421fa969dfa90ae843cad5c732ff,A hybrid deep transfer learning based approach for COVID-19 classification in chest X-ray images,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
95af7dc44b82eccf3a2d61083bd76a360c3f99f9,Early survey with bibliometric analysis on machine learning approaches in controlling COVID-19 outbreaks,754eef845a1fd33405661e9de4e985f020ea949a
209b40df91d5a4dc142edba3f975a6d0bacab513,Enhanced Canny edge detection for Covid-19 and pneumonia X-Ray images,754eef845a1fd33405661e9de4e985f020ea949a
989889887e9820597d022eeea98dbd1345ea8296,An Automated CAD System of CT Chest Images for COVID-19 Based on Genetic Algorithm and K-Nearest Neighbor Classifier,fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1$$@$$754eef845a1fd33405661e9de4e985f020ea949a
4a545bdf5085e837210e14990c4e943f2016043f,Deep neural network to detect COVID-19: one architecture for both CT Scans and Chest X-rays,c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$Publisher's note Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations
354b5fd878982c2df3091d815c3988ca6fe1fecf,Differentiation of COVID-19 conditions in planar chest radiographs using optimized convolutional neural networks,Publisher's note Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations
79ac98aa3545ee5f6b14f551e27f6b3c67b95605,Early survey with bibliometric analysis on machine learning approaches in controlling coronavirus,fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1$$@$$754eef845a1fd33405661e9de4e985f020ea949a
ee8531e9d26032f1beb547df18be0f6732bed663,Deep learning and medical image processing for coronavirus (COVID-19) pandemic: A survey,fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
07159bd474b262a720c1b20727d316f8b313635f,SuFMoFPA: A superpixel and meta-heuristic based fuzzy image segmentation approach to explicate COVID-19 radiological images,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
ae5e144417f6a4635317b4470981f47ef9cb6476,An ensemble deep transfer-learning approach to identify COVID-19 cases from chest X-ray images,754eef845a1fd33405661e9de4e985f020ea949a
ca36747fd83dbd69c4a6fd73aacf0a8e8d9195a3,COVID-CT-Mask-Net: prediction of COVID-19 from CT scans using regional features,Publisher's note Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations
469e3b64ef9b204c16333695d01899178c33e204,FUSI-CAD: Coronavirus (COVID-19) diagnosis based on the fusion of CNNs and handcrafted features,c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$047394c8de0ad5f49aeb89b7e419b4990986b6e4$$@$$754eef845a1fd33405661e9de4e985f020ea949a
ecbd2c5383ce47458598e8956585c3addf5956b5,A survey on artificial intelligence approaches in supporting frontline workers and decision makers for the COVID-19 pandemic,754eef845a1fd33405661e9de4e985f020ea949a
4ffbe2cb66b1afccb9ca72b273cae01e2aff1af7,Hybrid-COVID: a novel hybrid 2D/3D CNN based on cross-domain adaptation approach for COVID-19 screening from chest X-ray images,754eef845a1fd33405661e9de4e985f020ea949a
dd78634b59e5b46fd1246c938f33ff8db07b9712,M$^3$Lung-Sys: A Deep Learning System for Multi-Class Lung Pneumonia Screening From CT Imaging,c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
0adce3b6aece3cdc03451d017f3dbaceb9d932c7,Issues associated with deploying CNN transfer learning to detect COVID-19 from chest X-rays,fc60032a3f2ad65ffbdbd9088bc7059a4deb24e1$$@$$754eef845a1fd33405661e9de4e985f020ea949a
c23695942048859a3b8cc22cbc751f38c67e424b,Automatic deep learning system for COVID-19 infection quantification in chest CT,754eef845a1fd33405661e9de4e985f020ea949a
2434c810c1477d4b00d5af9450ab3d932b4aea7a,Medical imaging and computational image analysis in COVID-19 diagnosis: A review,c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$047394c8de0ad5f49aeb89b7e419b4990986b6e4$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
f0f61c001787ddb565f584551991f0e2b12bd8bc,MULTI-DEEP: A novel CAD system for coronavirus (COVID-19) diagnosis from CT images using multiple convolution neural networks,047394c8de0ad5f49aeb89b7e419b4990986b6e4$$@$$754eef845a1fd33405661e9de4e985f020ea949a
4397f13cc009c816f1962aabe49efb31a3600436,Detection Methods of COVID-19,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
1fe10fab0344af37c69d8602cb4bfcf220c3cab9,Novel Feature Selection and Voting Classifier Algorithms for COVID-19 Classification in CT Images,c9e6f9830966d35e607b337db8a55bfb59a37901
fc67e6ab7faaa1e091aa1f3843cc26a0bd3440a1,"Machine learning research towards combating COVID-19: Virus detection, spread prevention, and medical assistance",00a407540a8bdd6d7425bd8a561eb21d69682511
74d8100d69e82153cbb3f3c03ebc9e7f3f3ba375,COVID-19 Control by Computer Vision Approaches: A Survey,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
4b8f1df5be2d7f74dc627d2b53db6a7112cfa519,An Attention Mechanism with Multiple Knowledge Sources for COVID-19 Detection from CT Images,00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
c0fca64e46b3f85ebb37875795e96c914cb1f662,Classification of COVID-19 in CT Scans using Multi-Source Transfer Learning,754eef845a1fd33405661e9de4e985f020ea949a
80d7eff67d38c8acc630b9639ed0e271adaa5c39,OptCoNet: an optimized convolutional neural network for an automatic diagnosis of COVID-19,Publisher's note Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations
76e3402f66d6e42dd7459aeb92773811ba094fa4,Effectiveness of COVID-19 diagnosis and management tools: A review,c9e6f9830966d35e607b337db8a55bfb59a37901$$@$$00a407540a8bdd6d7425bd8a561eb21d69682511$$@$$754eef845a1fd33405661e9de4e985f020ea949a
54d05fe5b8ee8680cb0e7bc444d3b2b1c7b1209a,CCBlock: an effective use of deep learning for automatic diagnosis of COVID-19 using X-ray images,754eef845a1fd33405661e9de4e985f020ea949a$$@$$Publisher's note Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations
