citationID,citationName,citedReferences
2a53f454517e2584539f3c4bd156be8acdf7a9d8,A Fuzzy Best Worst approach to the determination of the importance level of digital supply chain on sustainability,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
0ece6a78be3597f3c6ba1bbeac0ba9abe94cd554,The Impact of Block Chain and Smart Inventory System on Supply Chain Performance at Retail Industry,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
ebe97dd6f6f84d7945e217dd92d9bae96c470160,Analysis of Security Criteria for IoT-Based Supply Chain: A Case Study of FMCG Industries,570482152368a61226706ed8e0b3a76e5c60cf5e$$@$$a5046b31365733a0bc99a60ed9ca2bf3b7a15690$$@$$020e4a7ac702dab2a37037bfc8a643b9332f6bf7$$@$$0d1fa29721d8236808ede99ab0a0fb433a7c50e3$$@$$2e5924dbb26cf9c3b5533bdf1c96885befbb265d$$@$$8de607342496b9355c07ed994e531a68c225d28e$$@$$1160f46a503ffd72914cea9da602a9d261bab40d$$@$$65dbe35f1e420deb8fa4d5fa5d5025f67a8bc9d2$$@$$23280321de4885a55a4d840ee9a2bac08596f6fc$$@$$baf508891f1e44f736a3b0f0cb3e0b60807b9fe6$$@$$933c9c469f084fb3b4c0e3f8ab8bdf997146d03a
09955cd2224e7be69868412c7db5d32c3d328c9e,Industry 4.0 and Supply Chain Performance in the Oil and Gas Industry,fb80f989432ef2a0a876224ba880902b46b8b3a6
23195fddfcd1001d6be7b236089936e4c1751e14,Determining the Importance of Barriers to IoT Implementation Using Bayesian Best-Worst Method,2e5924dbb26cf9c3b5533bdf1c96885befbb265d
fe0cb68e171abfbfbea76746af22c7e78164d2e9,Internet of things challenges of sustainable supply chain management in the manufacturing sector using an integrated q-Rung Orthopair Fuzzy-CRITIC-VIKOR method,ea7d63d0f887b9ca3e929e5f05b795ccb3938d5f$$@$$020e4a7ac702dab2a37037bfc8a643b9332f6bf7$$@$$0d1fa29721d8236808ede99ab0a0fb433a7c50e3$$@$$1280dc2f6235235327ad0d225a7082bea17d718c$$@$$7246fbc92846444a12130ffd805ad5d121b070a0$$@$$8de607342496b9355c07ed994e531a68c225d28e$$@$$65dbe35f1e420deb8fa4d5fa5d5025f67a8bc9d2$$@$$1e8a315a3a206d48182e1c6c1c736e36da5a08c3$$@$$c6b987e28fc4bb2f0efe1ee5f55222517b5d66a9$$@$$b29db870f86093b330b2e4b54087d0d267218264$$@$$01bcf64d94323bc7fc2cde45dfcc48db09bc1b34$$@$$933c9c469f084fb3b4c0e3f8ab8bdf997146d03a$$@$$e6d7938962c87be14f5509f83597464adad91526
8e20cf506fb2c41beb8db32a261bddc6cd2c5258,Remanufacturing facility location for automotive Lithium-ion batteries: An integrated neutrosophic decision-making model,99a1f72367e272c331b054230b813cb6c1e2776d$$@$$d3f0bd047b260ebc210686bd2677cbb168d538b4
b21dc524c2e9227a335bbebaa5bf8c44bd8bbec5,Blockchain-based smart tracking and tracing platform for drug supply chain,d997b7fb85e07dc27a637455fd6f945014f15260
8ec7c562aff07e140f9b868f92b6e2193d392884,Contributions of Industry 4.0 to supply chain resilience,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9
50bd4fe86a73ca33834f661fa53a4f4544f6a97b,Smart supply chain innovation model selection: exploitative or exploratory innovation?,b6abc21243f2b5ae12b7eb0ad0a59df3dd7e86b9$$@$$0d1fa29721d8236808ede99ab0a0fb433a7c50e3
