citationID,citationName,citedReferences
6e307e86082110ecebe29bf673570f0f42112f36,Fixed-time integral sliding mode control design for a class of uncertain nonlinear systems based on a novel fixed-time stability condition,09f885deb1c88867c83cccafeeeaa468f91218e0
9b32efb8c51a9b672866b18099eaed82eb8ac415,Memory characteristics-based generalized fuzzy dissipative robust control for multiple delayed uncertain jump systems,4311dcf0bfaa14ba9b6976db2377567629582889
6ae8f15fe7b5cfe380c533c6e03b627cf65e7112,Finite-time synchronization of reaction-diffusion memristive neural networks: A gain-scheduled integral sliding mode control scheme.,09f885deb1c88867c83cccafeeeaa468f91218e0
23448c0d8cda234bb8eca1f024a96b4a6cf09999,Stability and Control of Fuzzy Semi-Markov Jump Systems Under Unknown Semi-Markov Kernel,4311dcf0bfaa14ba9b6976db2377567629582889
4d64efa8baa096855b71f46aa2075c6edbea21f2,Interval type-2 generalized fuzzy hyperbolic modelling and control of nonlinear systems,85668b547dd5697c4ce45e6e0b9336a8870b68a8
05c6491d81ea7fc347895e10316e0bfa344cb0af,Filter for Positive Stochastic Nonlinear Switching Systems With Phase-Type Semi-Markov Parameters and Application,d79eeb61bc8960242550234e7a801d6863c58aec
54a63ed658dc9d68eeaa3645541ca043a6cb1b69,Optimal Sliding Mode Control Design for Constrained Uncertain Nonlinear Systems Using T–S Fuzzy Approach,d086b8eabe81c32b717be5c21ff353c3980f5844
b5ee161bff8c3385626c1ce7a52b95dc3771ff37,Event-triggered-based adaptive sliding mode control for networked linear control systems,d086b8eabe81c32b717be5c21ff353c3980f5844$$@$$adf6cc3ff5fa4e0487bb0069aea8f37d29e580ae$$@$$80d3dcbddb5a5f879e0868e74cc9fbdce0abf72b$$@$$5860aacaceecea47f4c1eb104c080bd8497bc4b2$$@$$09f885deb1c88867c83cccafeeeaa468f91218e0
fdc0b7e73d1c0c10a884fcfaa05796b4479dbc26,Asynchronous Output Feedback Control for a Class of Conic-Type Nonlinear Hidden Markov Jump Systems Within a Finite-Time Interval,09f885deb1c88867c83cccafeeeaa468f91218e0
67007e5e7a310a641f1397b5086643cf5400a2b3,Adaptive Sliding Mode Fault-Tolerant Fuzzy Tracking Control With Application to Unmanned Marine Vehicles,e3ac956517264b2a445bf444ce4f65dce9fdd203$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$d086b8eabe81c32b717be5c21ff353c3980f5844$$@$$09f885deb1c88867c83cccafeeeaa468f91218e0
25e1b2773fd1dcb92aa283e0138527948fa18d15,Reliable H∞ and Passive Fuzzy Observer-Based Sliding Mode Control for Nonlinear Descriptor Systems Subject to Actuator Failure,8d200a0119c5d43965da05766d8304c92f420b2e
f983d58e31f4b2a4772fb939707dea207fec7ea5,Reliable H∞ and Passive Fuzzy Observer-Based Sliding Mode Control for Nonlinear Descriptor Systems Subject to Actuator Failure,a1b51e4cbda0b6133159567901a51bcbf99f7d09$$@$$8d200a0119c5d43965da05766d8304c92f420b2e
01101d3e05e3babd68e793ae4a56913bffafd9a3,Generalized non-fragile asynchronous mixed $$H_\infty $$ and passive output tracking control for neutral Markov jump systems,ec4a5d081b96ac0f374b15a17dc656bb73e880e8$$@$$4b618519025c966654b716abda977e617a7b4514
09c8d26d9311fe9c59ade9f74b56587fb852daf7,Advances on modeling and control of semi-Markovian switching systems: A Survey,0b83978bbc71f623d31311dffad530c5b675d61b$$@$$8d200a0119c5d43965da05766d8304c92f420b2e
b6d94cecb5a026a576609bb615c709e3eb1d7861,An Input Delay Approach to Interval Type-2 Fuzzy Exponential Stabilization for Nonlinear Unreliable Networked Sampled-Data Control Systems,d79eeb61bc8960242550234e7a801d6863c58aec
1b9cdc39e106b72b0e7b57f0db2e0868fda2c23a,Fuzzy Event-Triggered Integral Sliding Mode Control of Nonlinear Continuous-Time Systems,11aaec241756a5c74539c4c3e4a8f40846d5a8be$$@$$d086b8eabe81c32b717be5c21ff353c3980f5844
3187e4d98eac7330080da526be9dacf7dc9f07ac,Sliding Mode Control for Markov Jump Systems With Delays via Asynchronous Approach,476fec56d4cefda37e88f2ad2f993d5165ca5d97$$@$$0722531683850ae6e0edb5bd42badb1cba89c976
c4e01848a6c7e9bcf127758502d325941f68475e,Passivity-Based Fuzzy ISMC for Wind Energy Conversion Systems With PMSG,d79eeb61bc8960242550234e7a801d6863c58aec
76b0aab2749d2e59da6b009b8dd402181cd29ae1,Dissipativity-Based Fuzzy Integral Sliding Mode Control of Nonlinear Stochastic Systems,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$09f885deb1c88867c83cccafeeeaa468f91218e0
69a907948d803694bd8d419664dd626e12adc0eb,Fuzzy-Affine-Model-Based Output Feedback Dynamic Sliding Mode Controller Design of Nonlinear Systems,1bf83ba94b06714afd886679c38bad7d27344f01$$@$$85668b547dd5697c4ce45e6e0b9336a8870b68a8$$@$$e3ac956517264b2a445bf444ce4f65dce9fdd203$$@$$5d1402650ddcfd16e2169f078d59f99762124238$$@$$f08971b346763aee433200e5814ba00d7fe44e8c$$@$$11aaec241756a5c74539c4c3e4a8f40846d5a8be$$@$$d79eeb61bc8960242550234e7a801d6863c58aec
0362946be94b49472739dd0d4ef57b0a7ceda13e,Tracking control design for interval type-2 fuzzy nonlinear unreliable networked control systems,d79eeb61bc8960242550234e7a801d6863c58aec
62a5c8948d1b9e9f30ec1f2e83d8bc3bdd372ff2,Dimensional-varying integral sliding mode controller design for uncertain Takagi-Sugeno fuzzy systems,85668b547dd5697c4ce45e6e0b9336a8870b68a8$$@$$e3ac956517264b2a445bf444ce4f65dce9fdd203$$@$$a1b51e4cbda0b6133159567901a51bcbf99f7d09$$@$$f08971b346763aee433200e5814ba00d7fe44e8c$$@$$5860aacaceecea47f4c1eb104c080bd8497bc4b2$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$09f885deb1c88867c83cccafeeeaa468f91218e0
2a2b1c8152c397989ba36f7756398c4c4994c7e5,Robust controllers design for constrained nonlinear parameter varying descriptor systems,f08971b346763aee433200e5814ba00d7fe44e8c$$@$$5d1402650ddcfd16e2169f078d59f99762124238
50d448e5b96bfa21bcb76aa38f8a28710b295667,An integral sliding‐mode parallel control approach for general nonlinear systems via piecewise affine linear models,126e16650ec131bfba96e3b2342a46159467ded4$$@$$4679f37fdf9c986ab70b632860ace3542eeb35ba$$@$$f60b22bd6e4c35c09c5d325a452ec9b5721b5b7b$$@$$e3ac956517264b2a445bf444ce4f65dce9fdd203$$@$$09f885deb1c88867c83cccafeeeaa468f91218e0
3fcb73c5346fec4b63669cb1b552ee1ca29301a9,Observer-Based Adaptive Sliding Mode Control for Nonlinear Stochastic Markov Jump Systems via T–S Fuzzy Modeling: Applications to Robot Arm Model,ce2589493492e5b6f516721f989aed17ecebc94b$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$67b585a4b0e84a919db699f45546b553b3931df1$$@$$09f885deb1c88867c83cccafeeeaa468f91218e0
1590cb512a2ad74f7bc53348b0f03f40c1e60a31,Fuzzy Sliding Mode Control of a VAV Air-Conditioning Terminal Temperature System,09f885deb1c88867c83cccafeeeaa468f91218e0
fa46146fe5c2c298471355987fb888c9587be91a,Multiple delay-dependent finite-time boundedness and input–output finite-time mean square stabilization of uncertain semi-Markovian jump systems with input constraint,ec4a5d081b96ac0f374b15a17dc656bb73e880e8$$@$$4b618519025c966654b716abda977e617a7b4514
