citationID,citationName,citedReferences
58993ea6be29c1a05d5cf75674716619452358f0,A new hybrid method for predicting ripping production in different weathering zones through in situ tests,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
2a4897b79752453112c67d53a5a3a58a0bf9efce,Experimental investigation on the effect of cementitious materials on fresh and mechanical properties of self-consolidating concrete,bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$ee34d1d89a2919be85e1f2fe76971dddbc1072d6$$@$$9933330479f873e80f0b88bd79b8c9840545c73f$$@$$debec6ee5120e254bc84f964f004095fb3c771e7$$@$$1890aff74a909ef25d1886621a4982d6b93326fc$$@$$e75b95e934ad9c15d2be4a0c15dda8c1fec7ffdd
50005550c306b2dda7a5ec5aaeda4ad7a05c16dd,Retracted: Estimation of important variables for strength of concrete with high performance based on neuro fuzzy logic approach,0095b6bb7c92f5deeffa8a311b80f75e680325eb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
c3b076f12bcdea3ef1f374b8fca7855dbcaa5c8a,UML diagrams for dynamical monitoring of rail vehicles,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
283329e1add163908a1407f801922cef9d221815,Predictive model based on Adaptive Neuro-Fuzzy Inference System for estimation of Cephalexin adsorption on the Octenyl Succinic Anhydride starch,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
d540027f75fb8d39fbf1418a632588213f7c86cb,Analysis of the Seismic Performance of a Two-Span Specially Shaped Column Frame,1890aff74a909ef25d1886621a4982d6b93326fc$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
7a29db9c916ac1341379b590bee20a747f22da93,Performance evaluation of hybrid FFA-ANFIS and GA-ANFIS models to predict particle size distribution of a muck-pile after blasting,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
7817574cc6591f4104f3a2fdca6bfd0011dc94f1,Performance evaluation of hybrid FFA-ANFIS and GA-ANFIS models to predict particle size distribution of a muck-pile after blasting,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
d5c9ef09c253b125dfd53d04d0dab18f386b3d16,Deep neural network and whale optimization algorithm to assess flyrock induced by blasting,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb
807eee28b7276b3a03f6721f61b1f77da768f699,Developed comparative analysis of metaheuristic optimization algorithms for optimal active control of structures,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
b5f723cb7d2f1bc5fa4ac56af248fadb6252814a,Potential of adaptive neuro-fuzzy methodology for investigation of heat transfer enhancement of a minichannel heat sink,56dc37163a5a732b7119a4e0fec58e7d8cc55425$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f$$@$$debec6ee5120e254bc84f964f004095fb3c771e7$$@$$0095b6bb7c92f5deeffa8a311b80f75e680325eb
205441fbc997a5b560d278bf9960464e9408d311,Potential of neuro-fuzzy methodology for forecasting of outdoor thermal comfort index at urban open spaces,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$0095b6bb7c92f5deeffa8a311b80f75e680325eb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
a412b20fda7e4550c81bd7632a65c398603cd4b8,Developed comparative analysis of metaheuristic optimization algorithms for optimal active control of structures,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
654e916dcd4a735e0b13195286663c3ed5ec3a26,Development of a novel hybrid intelligent model for solving engineering problems using GS-GMDH algorithm,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
49b476c3c55fada81618b458ff589fb06df0c4c2,Developing new tree expression programing and artificial bee colony technique for prediction and optimization of landslide movement,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
822bc6f1b048fdb63c8958d8fc8eba718c9dfe9c,Computational optimized finite element modelling of mechanical interaction of concrete with fiber reinforced polymer,9743400388d9543bf742d2e42acc5d723711c01c$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$ee34d1d89a2919be85e1f2fe76971dddbc1072d6$$@$$9933330479f873e80f0b88bd79b8c9840545c73f$$@$$debec6ee5120e254bc84f964f004095fb3c771e7$$@$$856d8c50298f55108be054f3924897ba352e7210$$@$$1890aff74a909ef25d1886621a4982d6b93326fc$$@$$e75b95e934ad9c15d2be4a0c15dda8c1fec7ffdd
f442759c6e1f59a0480bc508584d590a8cce6844,Assessment of electronic system for e-patent application and economic growth prediction,9933330479f873e80f0b88bd79b8c9840545c73f
50c41315b79a2843a7a1a1e1b845b50a7036f8e7,Novel approach for forecasting the blast-induced AOp using a hybrid fuzzy system and firefly algorithm,debec6ee5120e254bc84f964f004095fb3c771e7$$@$$bdb16b4371a6ae263832ad652d6deddee385bacb$$@$$9933330479f873e80f0b88bd79b8c9840545c73f
