citationID,citationName,citedReferences
a4c39bd6da1a730faaac6a3fb3e674498229e30c,Enhanced Jaya algorithm: A simple but efficient optimization method for constrained engineering design problems,683f68101f573d69dccbc380cf97ab9b39b21d96
8056897c060d21927d36bb1bd76e53479f5f376c,"Research on a collocation approach and three metaheuristic techniques based on MVO, MFO, and WOA for optimal control of fractional differential equation",683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$ba581a44451316611f1409df9a2e9fd17d7f3633
8c2fbfb64594eaaf60ffde61df2ce6f8263b54dd,A novel hybrid firefly–whale optimization algorithm and its application to optimization of MPC parameters,5b7f7d19c6facfd4d0beb72739ff3f7a4b244429$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$ba581a44451316611f1409df9a2e9fd17d7f3633$$@$$32f021b06593cc52c7c4ff991118b7ac33715436
7a882b4eba6e95d21398381f779edbb52eaee9ce,Self-encoding Barnacle Mating Optimizer Algorithm for Manpower Scheduling in Flow Shop,b76136c7f9e13a8c081e2a725f52c4aaea7aa22f$$@$$5e3c4e1085692fc6f730894c903284d4a0a09fed
9cf12ff8a9903c2120a4a97f909dd56f286cff4a,Deep learning for detecting distresses in buildings and pavements: a critical gap analysis,683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$ba581a44451316611f1409df9a2e9fd17d7f3633
6b48dd4fedd8d22aa55487fd309c1bb6da209efd,Hybrid marine predators algorithm for image segmentation: analysis and validations,683f68101f573d69dccbc380cf97ab9b39b21d96
242c7a1e9a200c3b5ee8f14647181abd903d1e4c,A bilevel whale optimization algorithm for risk management scheduling of information technology projects considering outsourcing,683f68101f573d69dccbc380cf97ab9b39b21d96
78cd9006354ea6d366ca66b2185c26af6076baca,Review of Metaheuristics Inspired from the Animal Kingdom,5b7f7d19c6facfd4d0beb72739ff3f7a4b244429$$@$$fb40f2b3d5b5ff3e1c39930464256c5d5760edbf$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96
4702e8399056f8af5c559a29946926604e5f7487,Enhanced precision inspection of free-form surface with an improved whale optimization algorithm.,683f68101f573d69dccbc380cf97ab9b39b21d96
e6bd4a99560d51ab0dbfdd1b70d2873b47164317,A modified nature-inspired meta-heuristic methodology for heterogeneous unmanned aerial vehicle system task assignment problem,5b7f7d19c6facfd4d0beb72739ff3f7a4b244429$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96
a3cf632e8c58e07732df898a8b9b7b65e9902b16,Discrete Jaya with refraction learning and three mutation methods for the permutation flow shop scheduling problem,36c22aba379281608a23962a3dccdd44bdcf2a5c$$@$$0a71937519b8577b27940ef55cf1be4d7c41d05e$$@$$d43557cb9c3211ea77c325f0d998177aa11e5d40
29bcf57884f16e727750332e6aa009551585441f,A wale optimization algorithm for distributed flow shop with batch delivery,4fee1c60eebff02dbc5a0d7105716b5c37db96bd$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96
5e2f7f1ac6aff3557351cec5659315c99cc6e568,A novel MPPT controller in PV systems with hybrid whale optimization-PS algorithm based ANFIS under different conditions,683f68101f573d69dccbc380cf97ab9b39b21d96
73b6d7a57a3a94da9bec76c0db97f751aa5f24e6,Constraint based local search for flowshops with sequence-dependent setup times,e165250bc0e3899c3a9f9ea84724fc6dbe9dfff4$$@$$f60c7a62b7270c6c550f463efced6bc6852d023f
882778ee505f1b538452de1926581f8f112817d1,Modified whale optimization algorithm for solving unrelated parallel machine scheduling problems,683f68101f573d69dccbc380cf97ab9b39b21d96
6cce1d53ff276635cc6a4b9b457284e4fcd301b9,A hybrid whale optimization algorithm for global optimization,fb40f2b3d5b5ff3e1c39930464256c5d5760edbf$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96
f9f69b789210e71d8e8715c00030796459b2d141,A Local Search-Based Generalized Normal Distribution Algorithm for Permutation Flow Shop Scheduling,cc102df720b83c8ae0307112f1024b3112cf6965$$@$$88e875c45afda3073131e491834318479311a509$$@$$a4e78d3c24351eb869c27bf1af854631c0f6d6d7$$@$$edcfd236f08e762b7b432edeefcdaed53c411e59$$@$$c9963d44a661504f1319d2b2f5212b31621069fd$$@$$ea44bc2c1035a745104d0ec45e41d4118935719c$$@$$85229fa386a180da36ffe88eada89951238db15c$$@$$e165250bc0e3899c3a9f9ea84724fc6dbe9dfff4$$@$$804a41fc1211681f8fb9a446f3505ec41601d26d
7b9aba147721047ef8227d2aa81033fb5de8c123,Hybrid Whale Optimization Algorithm Based on Three Spiral Searching Strategies and Sine Cosine Operator with Convergence Factor,4fee1c60eebff02dbc5a0d7105716b5c37db96bd$$@$$fb40f2b3d5b5ff3e1c39930464256c5d5760edbf$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96
e4845cbc97c10216b4fb11c82991bdedbfc7b2ec,Energy-efficient scheduling for a permutation flow shop with variable transportation time using an improved discrete whale swarm optimization,683f68101f573d69dccbc380cf97ab9b39b21d96
3dcdd25b033502650d839a68414ae35fcefddacf,Optimized controller design for islanded microgrid using non-dominated sorting whale optimization algorithm (NSWOA),683f68101f573d69dccbc380cf97ab9b39b21d96
5175a04408cf200b7849221f5d908d9f80f324dd,Presenting a New Method for Earthquake Relief Center Location Allocation based on Whale Optimization Algorithm,683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$ba581a44451316611f1409df9a2e9fd17d7f3633
085072660b0fb4522601aa81f1bf6499d1768441,Flow shop optimization of hybrid make-to-order and make-to-stock in precast concrete component production,24759adb80d93168bcb41d478747d3bbbc2bf283$$@$$e165250bc0e3899c3a9f9ea84724fc6dbe9dfff4$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96
8a25df2beaf64ef7cf6c350037ec8066f0dc0b7c,Improved whale optimisation algorithm for two-sided disassembly line balancing problems considering part characteristic indexes,683f68101f573d69dccbc380cf97ab9b39b21d96
b8619442f4980cc800ccf7fefa49bb194162a795,Minimizing Number of Tardy Jobs in Flow Shop Scheduling Using A Hybrid Whale Optimization Algorithm,cc102df720b83c8ae0307112f1024b3112cf6965$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$a4e78d3c24351eb869c27bf1af854631c0f6d6d7$$@$$edcfd236f08e762b7b432edeefcdaed53c411e59
4e2122cdeb498be0569954e882890c5a1928bdd3,Distributed assembly permutation flow-shop scheduling problem with sequence-dependent set-up times using a novel biogeography-based optimization algorithm,5e3c4e1085692fc6f730894c903284d4a0a09fed$$@$$9af8e429d9c65fb0b2ca18f5bc721426b1f432e2
9236a1560acc4b41335e19f2885d70f8518125c2,Stance detection using improved whale optimization algorithm,683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$ba581a44451316611f1409df9a2e9fd17d7f3633
e9772680d3c587d26581cc834fd8db82c4df67aa,Prediction of Chaotic Time Series Based on SALR Model with Its Application on Heating Load Prediction,683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$32f021b06593cc52c7c4ff991118b7ac33715436
0105c91f30cd80c9edd7a6581c107ec1b1d4420e,Optimal Scheduling of Non-Convex Cogeneration Units Using Exponentially Varying Whale Optimization Algorithm,fb40f2b3d5b5ff3e1c39930464256c5d5760edbf$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$ba581a44451316611f1409df9a2e9fd17d7f3633$$@$$32f021b06593cc52c7c4ff991118b7ac33715436
c6a68895e9a7d93ee90e12594a077fbfd68f28a4,Hyperparameter tuning of AdaBoost algorithm for social spammer identification,fb40f2b3d5b5ff3e1c39930464256c5d5760edbf$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$32f021b06593cc52c7c4ff991118b7ac33715436
14a3c9cce061a8f4d2091ed5d5af1a284f2be68c,Semisupervised SVM by Hybrid Whale Optimization Algorithm and Its Application in Oil Layer Recognition,683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$fb40f2b3d5b5ff3e1c39930464256c5d5760edbf$$@$$ba581a44451316611f1409df9a2e9fd17d7f3633$$@$$32f021b06593cc52c7c4ff991118b7ac33715436$$@$$4fee1c60eebff02dbc5a0d7105716b5c37db96bd
57ca73b4a6b91d5fb79c1f2990aa88a967ced096,A genetic programming hyper-heuristic for the distributed assembly permutation flow-shop scheduling problem with sequence dependent setup times,85229fa386a180da36ffe88eada89951238db15c$$@$$e165250bc0e3899c3a9f9ea84724fc6dbe9dfff4$$@$$ea44bc2c1035a745104d0ec45e41d4118935719c
a29b0af28feaefea637d712128845a67dfbbc107,A Simple and Effective Approach for Tackling the Permutation Flow Shop Scheduling Problem,cc102df720b83c8ae0307112f1024b3112cf6965$$@$$36c22aba379281608a23962a3dccdd44bdcf2a5c$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$a4e78d3c24351eb869c27bf1af854631c0f6d6d7$$@$$37114463f912d8748379199707b6ee6078ef588c$$@$$52c590bb9fd468d987a96f4f01911f09f6edd885$$@$$edcfd236f08e762b7b432edeefcdaed53c411e59$$@$$9af8e429d9c65fb0b2ca18f5bc721426b1f432e2$$@$$b8b781393c538264e511eb25a965d2037d387a80$$@$$5e3c4e1085692fc6f730894c903284d4a0a09fed$$@$$da7500ed8bf561d2d788d725d0696c17c09c059a$$@$$2136048f7449a6c2411678b56a9150782879de6c$$@$$ea44bc2c1035a745104d0ec45e41d4118935719c$$@$$85229fa386a180da36ffe88eada89951238db15c$$@$$804a41fc1211681f8fb9a446f3505ec41601d26d
ea1c473677e776dc65c1d9603554fd4084d614f1,Evolutionary biogeography-based whale optimization methods with communication structure: Towards measuring the balance,fb40f2b3d5b5ff3e1c39930464256c5d5760edbf$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$32f021b06593cc52c7c4ff991118b7ac33715436
25756e50e10497e7bcccbf41757a3f4c67a7d024,A New Hybrid Whale Optimization Algorithm for Green Vehicle Routing Problem,683f68101f573d69dccbc380cf97ab9b39b21d96
b6cf93e02297184b65f0b771cfcbba5aaeb35104,Improving the Performance of Whale Optimization Algorithm through OpenCL-Based FPGA Accelerator,683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$ba581a44451316611f1409df9a2e9fd17d7f3633
d78c965c4a5e2c4abb6fdeb034126f2dbeb87db8,Improved Whale Optimized MLP Neural Network-Based Learning Mechanism for Multiuser Detection in MIMO Communication System,683f68101f573d69dccbc380cf97ab9b39b21d96
d066e0c6c7ce6da6c67543fb3ca6a7d3864d6a5a,Sustainable smart waste classification and collection system: A bi-objective modeling and optimization approach,683f68101f573d69dccbc380cf97ab9b39b21d96
62fb6e351cfb8349e51f7ce63194cd460c84f106,Island-based Modified Harmony Search Algorithm with Neighboring Heuristics Methods for Flow Shop Scheduling with Blocking,35cc2c86c414a237bc196ad9c1b69863c4c70559$$@$$24759adb80d93168bcb41d478747d3bbbc2bf283$$@$$9b50519aaa26fad6db30402937e714bd821cf9a8$$@$$d539fde4e461a2cf9be6998894fb9d9da4759419$$@$$5e3c4e1085692fc6f730894c903284d4a0a09fed$$@$$18b9d93188b23ac9a6d389d238108b7dfaf95d38$$@$$b76136c7f9e13a8c081e2a725f52c4aaea7aa22f$$@$$e165250bc0e3899c3a9f9ea84724fc6dbe9dfff4
83149bdf5980d7000021fc8de5f9d41346f86c9b,A combinatorial social group whale optimization algorithm for numerical and engineering optimization problems,fb40f2b3d5b5ff3e1c39930464256c5d5760edbf$$@$$683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$32f021b06593cc52c7c4ff991118b7ac33715436
d5f56909bb3e627bfa73caa6901e41153bdbdaff,An improved whale optimization algorithm with cultural mechanism for high-dimensional global optimization problems,683f68101f573d69dccbc380cf97ab9b39b21d96$$@$$ba581a44451316611f1409df9a2e9fd17d7f3633
0b3957809b3ced6d935586dc36ce1f9093788169,Developing mathematical model and optimization algorithm for designing energy efficient semi-automated assembly line,683f68101f573d69dccbc380cf97ab9b39b21d96
cdf324409099fafc715ad0bb7fc1c9e32341379e,Optimal Foraging Algorithm That Incorporates Fuzzy Relative Entropy for Solving Many-Objective Permutation Flow Shop Scheduling Problems,382f4ab5708ea74e001ac7bcfe3a8c7b52c10256
